Energy performance,Heating energy,Energy consumption
G,Electricity,196.3565891
F,Electricity,124.5891473
E,Electricity,83.56589147
D,Electricity,54.78294574
C,Electricity,34.88372093
B,Electricity,22.68217054
A,Electricity,16.93023256
G,Natural gas,506.6
F,Natural gas,321.44
E,Natural gas,215.6
D,Natural gas,141.34
C,Natural gas,90
B,Natural gas,58.52
A,Natural gas,43.68
G,Oil fuel,506.6
F,Oil fuel,321.44
E,Oil fuel,215.6
D,Oil fuel,141.34
C,Oil fuel,90
B,Oil fuel,58.52
A,Oil fuel,43.68
G,Wood fuel,506.6
F,Wood fuel,321.44
E,Wood fuel,215.6
D,Wood fuel,141.34
C,Wood fuel,90
B,Wood fuel,58.52
A,Wood fuel,43.68
