,Sizing factor (%),Total population (Millions),Income (Billions euro),Buildings stock (Millions),Buildings additional (Thousands),Buildings built (Thousands),Buildings demolished (Thousands),Person by housing,Share multi-family (%),Surface existing Owner-occupied - Single-family (m2/dwelling),Surface existing Owner-occupied - Multi-family (m2/dwelling),Surface existing Privately rented - Single-family (m2/dwelling),Surface existing Privately rented - Multi-family (m2/dwelling),Surface existing Social-housing - Single-family (m2/dwelling),Surface existing Social-housing - Multi-family (m2/dwelling),Surface construction Owner-occupied - Multi-family (m2/dwelling),Surface construction Owner-occupied - Single-family (m2/dwelling),Surface construction Privately rented - Multi-family (m2/dwelling),Surface construction Privately rented - Single-family (m2/dwelling),Surface construction Social-housing - Multi-family (m2/dwelling),Surface construction Social-housing - Single-family (m2/dwelling),Surface construction (Million m2),Carbon footprint construction (MtCO2),Embodied energy construction (TWh PE),Taxes Electricity (euro/kWh),Taxes Natural gas (euro/kWh),Taxes Oil fuel (euro/kWh),Taxes Wood fuel (euro/kWh),Prices Electricity (euro/kWh),Prices Natural gas (euro/kWh),Prices Oil fuel (euro/kWh),Prices Wood fuel (euro/kWh)
2018,0.9194713879361635,61.59737341657014,1306.5688422572882,26.698690691502378,,,,2.3071308675138615,0.39279387851383435,109.5,74.3,87.1,53.5,77.8,63.3,81.0,132.0,60.0,90.0,71.0,84.0,0.0,0.0,0.0,0.0490721358,0.01828508535,0.028008746200000004,0.00559,0.1642197078,0.07765565434999999,0.0899524772,0.061489999999999996
2019,0.9194713879361635,61.73707973819594,1322.2476683643758,26.94787998972969,249.1892982273102,342.6347156475685,93.44541742025832,2.2909809514412647,0.39386566912067544,109.5,74.3,87.1,53.5,77.8,63.3,81.00786503590955,132.25634191112633,60.00582595252559,90.17477857576796,71.00689404382196,84.00815633353584,35.56631532135724,17.78315766067862,53.349472982035856,0.05143343580000001,0.029550985350000003,0.0426050462,0.00559,0.1665810078,0.08892155435,0.1045487772,0.061489999999999996
2020,0.9194713879361635,61.86869287266512,1338.1146403847483,27.18562116976202,237.7411800323315,331.1865974525898,93.44541742025832,2.2757873541429445,0.3948764301758364,109.5,74.3,87.1,53.5,77.8,63.3,81.02376962567938,132.77142187584673,60.017614429946306,90.52358272819943,71.02082958237352,84.02464377018792,34.554843829331276,17.27742191466564,51.83226574399691,0.05148066180000001,0.03130712435,0.0449430222,0.00559,0.16662823380000003,0.09067769335,0.1068867532,0.061489999999999996
2021,0.9194713879361635,61.97902943921746,,27.406370326779093,220.74915701707454,,,2.2614825932880653,0.39580486931968717,,,,,,,,,,,,,0.0,0.0,0.0,0.05175954375,0.03202708355,0.0462451132,0.0056591249000000005,0.16844518875,0.09222075655,0.10997066920000001,0.0622503739
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
