"","clust","PONDMEN","index.repr","Deper_mur","Deper_baie","Efficiency.inverse","Proxy.conso","Cchauf.EF.square","DPE_etiquette","clust","SHAB","R_mur","S_mur","R_plancher","S_plancher","R_plafond","S_plafond","R_baie","S_baie","Efficiency","Proxy.conso","Cchauf.EF.square","Weight"
"174","1",124152.449904635,"174",1.09714285714286,0.430885714285714,0.598041212293767,50.3297738887211,40.8075462313959,"C","1",70,0.5,38.4,0,0,0,0,0.15052052251177,4.54,1.672125565,50.3297738887211,40.8075462313959,0.0358887410144544
"191","2",344035.585104866,"191",0.48,0.36,1.04314825991975,48.2600441932055,52.7384353036572,"E","2",25,1.25,15,0,0,0,0,0.333333333333333,3,0.958636503,48.2600441932055,52.7384353036572,0.0994503453058632
"150","3",249759.227268486,"150",0.432839446198688,0.626548457614767,1.04314825991975,60.8644131616484,99.2493895716029,"E","3",82.34,1.11952861952862,39.9,0,0,0,0,0.267784454351619,13.815,0.958636503,60.8644131616484,99.2493895716029,0.0721978843775867
"166","4",120468.915204426,"166",0.256,0.944283799999999,1.04314825991975,68.9592252766531,71.9180613766786,"E","4",50,0.5,6.4,0,0,0,0,0.326658150865238,15.4229,0.958636503,68.9592252766531,71.9180613766786,0.034823941866511
"168","5",382864.054141323,"168",1.33949191685912,0.393625866050809,1.04314825991975,99.5718342800758,99.3383466948585,"G","5",17.32,0.5,11.6,0,0,0,0,0.335601971368223,2.288,0.958636503,99.5718342800758,99.3383466948585,0.110674488448488
"46","6",636813.099394586,"46",0.507727272727273,0.382204545454545,1.29237540474629,63.3443392300858,155.483834011498,"D","6",66,1.10713219934348,37.1,0,0,0,0,0.254504370577392,6.42,0.773768981,63.3443392300858,155.483834011498,0.184083523251772
"66","7",476961.534474287,"66",0.909807377565152,0.641021276595745,1.29237540474629,110.386227742264,200.673187262066,"E","7",47,0.717944814989068,30.7,0,0,0,0,0.161975570897504,4.88,0.773768981,110.386227742264,200.673187262066,0.137875241267916
"156","8",118173.625695017,"156",1.74733333333333,0.926571428571431,1.04314825991975,153.622335688032,148.736318701448,"G","8",42,0.5,36.694,0,0,0,0,0.155720012334258,6.06,0.958636503,153.622335688032,148.736318701448,0.0341604426700018
"27","9",282052.75743388,"27",0.6967818128137,0.946934750516682,1.29237540474629,116.997883948496,185.854170193953,"E","9",67.74,0.5,23.6,0,0,0,0,0.186114786790502,11.9384,0.773768981,116.997883948496,185.854170193953,0.0815329731449734
"41","10",47224.6820166432,"41",0.214,1.51950999999999,1.29237540474629,123.389279105774,216.835333744752,"F","10",50,0.906542056074766,9.7,0,0,0,0,0.120630992885865,9.165,0.773768981,123.389279105774,216.835333744752,0.0136512359094574
"39","11",405415.401388415,"39",1.65818181818182,0.460963636363637,1.29237540474629,150.838374140699,280.346021679811,"F","11",55,0.5,45.6,0,0,0,0,0.37037037037037,9.39,0.773768981,150.838374140699,280.346021679811,0.117193405002286
"151","12",102726.440967762,"151",2.61333333333333,0.442,1.04314825991975,175.536335347191,141.925174436829,"G","12",15,0.5,19.6,0,0,0,0,0.666666666666667,4.42,0.958636503,175.536335347191,141.925174436829,0.0296951259363833
"60","13",168722.670082286,"60",2.66,1.8738,1.29237540474629,322.710750794493,735.862892653928,"G","13",10,2,53.2,0,0,0,0,0.37037037037037,6.94,0.773768981,322.710750794493,735.862892653928,0.0487726518043068
