Wall,Floor,Roof,Windows,
True,True,True,False,0.02923817889478724
False,True,True,False,0.002791984472839556
True,True,False,False,0.001297048104524334
True,False,True,False,0.0738087218487018
True,False,False,False,0.06861037936451445
False,False,True,False,0.6510074981920704
False,True,False,False,0.0014019123967817081
True,True,True,True,0.026744425603735335
False,True,True,True,0.03503269738976851
True,True,False,True,0.009223265563230236
True,False,True,True,0.00475689089326232
True,False,False,True,0.002393395094185963
False,False,True,True,0.0073384763040565725
False,True,False,True,0.049923594609633214
False,False,False,True,0.03643153126790839
