Income owner,Housing type,
D1,Single-family,0.759055118
D2,Single-family,0.759055118
D3,Single-family,0.759055118
D4,Single-family,1.059340659
D5,Single-family,1.059340659
D6,Single-family,1.059340659
D7,Single-family,1.50625
D8,Single-family,1.50625
D9,Single-family,1.50625
D10,Single-family,1.50625
D1,Multi-family,1.196850394
D2,Multi-family,1.196850394
D3,Multi-family,1.196850394
D4,Multi-family,1.67032967
D5,Multi-family,1.67032967
D6,Multi-family,1.67032967
D7,Multi-family,2.375
D8,Multi-family,2.375
D9,Multi-family,2.375
D10,Multi-family,2.375
