Housing type,Occupancy status,Income tenant,Income owner,Heating system,Wall,Floor,Roof,Windows,0
Multi-family,Owner-occupied,D1,D1,Air/air heat pump,0.3,0.3,0.2,1.5,1571.440236516452
Multi-family,Owner-occupied,D1,D1,Air/air heat pump,0.5,0.4,0.3,2.5,3005.962454134596
Multi-family,Owner-occupied,D1,D1,Air/air heat pump,0.9,0.6,0.3,2.6,3011.458738321975
Multi-family,Owner-occupied,D1,D1,Direct electric,0.3,0.3,0.2,1.5,1986.1796126638696
Multi-family,Owner-occupied,D1,D1,Direct electric,0.4,0.4,0.2,2.5,12551.384936947969
Multi-family,Owner-occupied,D1,D1,Direct electric,0.6,0.4,0.3,2.7,15750.03149
Multi-family,Owner-occupied,D1,D1,Direct electric,0.9,0.8,0.4,2.7,11571.89359
Multi-family,Owner-occupied,D1,D1,Direct electric,1.8,1.6,1.0,2.9,9309.862328
Multi-family,Owner-occupied,D1,D1,Gas boiler,0.3,0.3,0.2,1.5,4341.1037072
Multi-family,Owner-occupied,D1,D1,Gas boiler,0.5,0.4,0.3,2.5,19320.38491
Multi-family,Owner-occupied,D1,D1,Gas boiler,0.9,0.6,0.3,2.6,29695.48157
Multi-family,Owner-occupied,D1,D1,Gas boiler,1.6,1.1,0.4,2.7,16453.52999
Multi-family,Owner-occupied,D1,D1,Gas boiler,2.0,2.0,1.2,2.8,4889.767013
Multi-family,Owner-occupied,D1,D1,Gas boiler,2.5,2.5,2.5,4.0,1098.445667
Multi-family,Owner-occupied,D1,D1,Oil boiler,0.3,0.3,0.2,1.5,162.939671863588
Multi-family,Owner-occupied,D1,D1,Oil boiler,0.5,0.4,0.3,2.5,882.0486390399556
Multi-family,Owner-occupied,D1,D1,Oil boiler,0.9,0.6,0.3,2.6,2066.4133615703245
Multi-family,Owner-occupied,D1,D1,Oil boiler,1.6,1.1,0.4,2.7,1328.0426906913237
Multi-family,Owner-occupied,D1,D1,Oil boiler,2.0,2.0,1.2,2.8,484.84473205413053
Multi-family,Owner-occupied,D1,D1,Oil boiler,2.5,2.5,2.5,4.0,275.2004836843687
Multi-family,Owner-occupied,D1,D1,Water/air heat pump,0.4,0.4,0.2,2.4,653.6598514835482
Multi-family,Owner-occupied,D1,D1,Water/air heat pump,0.5,0.4,0.3,2.6,656.9754862015341
Multi-family,Owner-occupied,D1,D1,Water/air heat pump,1.0,0.8,0.3,2.6,513.7040086535078
Multi-family,Owner-occupied,D1,D1,Wood boiler,0.3,0.3,0.2,1.5,14.26294526136413
Multi-family,Owner-occupied,D1,D1,Wood boiler,0.5,0.4,0.3,2.5,77.21024175757529
Multi-family,Owner-occupied,D1,D1,Wood boiler,0.9,0.6,0.3,2.6,180.88376100391136
Multi-family,Owner-occupied,D1,D1,Wood boiler,1.6,1.1,0.4,2.7,116.25038878157946
Multi-family,Owner-occupied,D1,D1,Wood boiler,2.0,2.0,1.2,2.8,42.440946360431354
Multi-family,Owner-occupied,D1,D1,Wood boiler,2.5,2.5,2.5,4.0,24.089709950914898
Multi-family,Owner-occupied,D10,D10,Air/air heat pump,0.3,0.3,0.2,1.5,10003.438012224076
Multi-family,Owner-occupied,D10,D10,Air/air heat pump,0.5,0.4,0.3,2.5,17375.75094764169
Multi-family,Owner-occupied,D10,D10,Air/air heat pump,0.9,0.6,0.3,2.6,17426.06384724408
Multi-family,Owner-occupied,D10,D10,Direct electric,0.3,0.3,0.2,1.5,11480.969178261581
Multi-family,Owner-occupied,D10,D10,Direct electric,0.4,0.4,0.2,2.5,72629.66365744306
