decile,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11552189999133589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8568108214477839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1376066199591861,0.0,0.0,0.0,3.879961230635466,3.0079952283676974,0.0,2.5174591472213983,0.0,0.0,9.414087509979204,0.014550215478756456,11.737944780673647,0.0,0.0,9.615479680653234,0.0,0.0,2.2197572392642364,0.0,0.0,0.0,3.767826868006459,5.73643615949468,0.04745223916556185,0.0,0.0,13.78039212613902,0.0,0.0,0.0,0.0,0.0,3.977582716823161,0.0,4.030058948249302
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9179497075731042,0.0,0.0,0.0,0.0,0.26950935507375817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.221134931349734,0.0,0.0,0.19859089321701973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1387296625065098,0.0,0.33278167130911385,0.5967601656850547,6.545913657882021,6.715777897446763,0.0,3.538857402683931,0.0,0.0,13.657337914630983,1.6461599220071363,21.88352852981277,0.0,0.0,14.982389557378887,0.8822455554036033,0.0,8.810341105362852,0.0,0.0,0.054880072846305694,7.738969691096077,9.825516144211289,0.8783830922718003,0.0,0.8471135603622137,18.27511598791245,0.0,0.0,0.0,0.0,0.10604014381180349,7.298202964576333,0.0,10.468018841760792
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219834767970571,0.0,0.0,0.0,0.0,0.6641549033191367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.783461928385098,0.0,0.0,1.0061421889685889,0.0,0.0,0.0,0.0,0.0,0.3214654839487707,0.0,0.1332514330145287,1.732547511733042,0.5423691549559315,1.1696722952071745,1.502517989180859,9.719943755760035,8.902543297400836,0.0,5.313334252483301,0.0,0.0,26.814396742127578,4.239840326259639,46.18295194091808,0.0,0.0,16.877223909942458,1.0912903308352924,5.402706824226705,12.00782753774239,0.0,0.0,0.5040822938661726,8.961969628660366,11.285621967377448,1.4215464844575187,0.24363012456121425,4.204710989050856,24.597670342936244,0.6927123680313265,0.0,0.0,0.15553073037655096,0.6372230970226589,10.374406805338893,0.0,16.752125281090034
d4,0.0,0.0,0.006804996000841612,0.0,0.0,0.0,0.0,0.0,0.0,5.185125216852292,0.0,0.3763350332649331,0.0,0.0,2.3977019793384535,0.0,0.0,1.6138656429392668,0.0,0.0,0.0,0.5607143278281761,23.002292517407124,0.0,0.0,3.7646513559426715,0.0,0.0,0.0,0.0,0.7092495116464832,0.9919444525584886,0.4134115067704194,0.6387668776385667,4.341475977718744,1.209608704875727,1.948356602293856,3.228763669149018,11.916300140417778,10.550990144201702,0.0,8.336586998244908,0.0,0.0,52.899203760345074,12.305085536977824,82.32909192381443,0.0,0.0,20.046320920378214,4.1159254538041985,12.55216195843797,21.8965055355583,0.0,0.0,5.61557288298879,17.396184669617707,21.985102691652475,4.235085110968992,0.5759166758775045,12.087255394600366,42.29416240523075,1.5724384353637255,0.0,0.0,0.7446988904792207,1.185684221257759,17.957467507027545,0.0,29.67498563818052
d5,0.0,0.0,0.016137218848037094,0.0,0.0,0.0,0.0,0.0,0.0,6.432965808504505,0.14771725618696507,0.8183068415606662,0.0,0.14336224350308413,3.5071109796752253,0.09000914163694773,0.0,3.195634057533937,0.0,0.0,0.12113084318730216,1.4639102623412121,30.91010246944016,0.0,0.0,5.996228983949006,0.0,0.0,0.0,0.2322522531418656,1.1580909164041309,2.4963307364131637,1.1522186376093444,0.8977663731994561,5.579952730846976,2.278236530032345,3.2824732801797794,4.066740663336979,13.805071422779893,13.128735781479318,0.0,10.542398892823932,0.0,0.0,59.60928766422376,15.825834926998063,86.64407576809687,0.05316158653520375,0.0,22.10347476649628,6.535019861170877,18.58351061685747,28.1158005832979,0.0,0.0,9.910512361683399,21.52842955388259,29.196237260392923,5.924782540275242,1.302575485641892,14.460685840337515,47.81737784506093,2.186943602690828,0.0,0.21011310309378928,1.2758212436974716,2.2787118660571366,22.993209168221224,0.0,38.17511607038642
d6,0.0,0.10008913125675889,0.332759450864863,0.0,0.0,0.0,0.0,0.0,0.22577198552293254,8.157674916464888,0.8216306377940477,1.4555770511014785,0.0,0.28032105336891533,4.834630293018748,0.8776990697708698,0.0,4.589431513597059,0.0,0.0,0.6519720640241218,2.7312820876207944,34.73583751850997,0.0,0.041962617044703165,8.580252926706958,0.0,0.0,0.2819312521566921,1.616706918933982,1.5380928447455844,3.0601470432242373,2.382969670310402,1.125797641917913,6.26495602725543,3.1276526135736376,4.563070408016564,5.6533847281201375,14.626853561934482,15.495905875010497,0.0,13.155560431886425,0.0,0.0,65.44644736625182,18.89650816423871,90.78174202996485,0.19930160687437848,0.0,25.73612568788375,7.877582697193212,21.218959347207775,30.983286858640806,0.0,0.0,12.298591638471024,22.893107187301247,31.951508725426024,7.214652524916502,2.24662136906899,16.621176839469076,51.87834898190745,2.5414401129648603,0.0,0.5960349479056326,1.3975016901787853,3.7185550850544615,25.983678808268422,0.0,42.92894641415026
d7,0.0,0.415725286999006,0.48883493546856727,0.0,0.0,0.21185180805422732,0.0,0.0,0.5435735629639638,9.452258258936194,1.0913241050934843,2.7918668714318002,0.0,0.6630937582404748,5.953801847288911,1.1918680949816043,0.20924562966599325,5.928321562248577,0.0,0.0,0.9527432686424646,3.949396550581916,41.953838682662315,0.0,0.5822716584283718,10.569101812153828,0.0,0.0,0.7822577721609605,1.8348150883447367,1.6195447696443566,4.495103040823135,4.2494841514861115,1.4103135498769177,6.9343540211679695,4.756105102236614,7.253963853914513,7.971511408263108,17.981616177362444,17.41165153202711,0.03611772422820536,13.802012641616486,0.0,0.21572347445152218,78.1672285882118,21.53075755070833,100.05543584297574,0.2934399372824501,0.0,27.201136036977374,7.978720228369966,24.273109492284764,37.53598751261778,0.0,0.0,16.656095643905672,25.01278414521405,35.54916649450498,7.853081270619725,3.0446267671328116,18.164512132799576,53.38292027686871,3.47203703258565,0.0,0.5960349479056326,1.7433186711491437,6.242201604732905,28.81071223276479,0.0,53.337840250537
d8,0.0,0.5949078013372961,0.9081600357570814,0.0,0.0,0.7059049076634487,0.0,0.0,0.5928001942128027,12.418086983480745,1.570493223409155,3.6596293037196226,0.0,1.202097197214112,9.268326652068033,1.6452179773508426,1.0479994514798818,6.694243391852538,0.0,0.60772948478348,3.7329390324318723,5.113327737432538,43.29044339109586,0.11409010838669431,2.1111965052981283,12.019157046960814,0.0,0.0,1.1324062088657172,3.7969397924753387,2.250368456524079,4.726776045996608,4.2494841514861115,1.9178254717031642,8.724653134358572,7.83075398422946,8.074800128726878,8.725650949560787,20.422604207992475,18.422385133832606,0.3378295233925428,16.850509745514145,0.0,0.446227817845088,81.64880794331323,21.762340668879038,101.75823070200349,0.7855611077393796,0.31220280118365906,29.446329135377788,7.992931275403198,27.065898019655755,40.29948844356983,0.05786077625198871,0.0,18.52915922142254,27.064774759652337,37.53289881195876,8.465041479326654,3.2478375262287713,18.386571290134423,58.68740727093578,3.5704868635837315,0.0,0.8383831963618107,2.366092927179743,7.720525779931741,30.45174200753094,0.0,59.73047195022812
d9,0.0,1.2392919657797705,1.8127094383664506,0.0,0.0,2.461699269258755,0.0,0.0,0.8340110286422622,13.774451337107493,3.078516277086223,3.6790807607903417,0.0,1.9201962541470508,10.038311566321589,2.022325587722424,1.5443244115400496,7.55956163558162,0.07015261184978883,1.0075702208625117,4.561639877746803,5.487085787625926,45.14504527582956,0.7246402083752734,2.244287719022175,13.229074007024447,0.0,0.025291096763872645,1.3006402404069668,4.656086239945328,2.3725093328471445,4.980097698914321,4.520429631433025,2.122828480157658,11.5035707766923,8.34729109312049,8.529806576109923,9.973206856880687,20.947563367965667,24.359834072361583,1.364651066311687,24.230320792731614,0.0,0.46808491969764177,85.16494208258814,23.43881407478822,106.67001188577193,1.0128359087965855,0.7202965270996415,31.98454413996565,8.247448189400288,30.56372221894169,43.03507301124538,0.27318664394040226,0.0,18.854105124230028,27.8717737311301,39.24297642706729,9.115399603353534,3.29315853518991,19.988594035132245,60.534719604493205,3.9412434629699433,0.0,0.9143412616218178,2.5958636606583596,9.208537414549898,32.88875269272313,0.0,61.61249349744351
d10,0.0,1.3304176741182943,2.3699751893199377,0.0,0.0,2.461699269258755,0.0,0.0,2.1698974962286535,23.63931815834695,5.8916994337903255,8.131418523306507,0.008709927706721743,3.150768056315563,15.134606806024525,4.200855148260256,3.374642080381566,10.82129770679986,0.08508922531390439,1.772806715027201,7.588875682960477,5.942378720413554,45.2006569103606,0.7791289451374297,2.463570448840102,13.935829659340861,0.1571901468651049,0.23289171298215194,2.319031614731589,5.922972073574247,2.838974256688868,5.205746339340607,5.9472797514525375,2.5289044917440187,11.660809292978914,9.370520726434385,9.354555138239952,12.146228148329975,22.160843483374922,27.545849329029355,1.6515705763415731,30.34983958923769,0.0,0.5788403401970257,85.62048998767372,24.14893877019139,108.00305531105066,1.702045964999222,1.0281914986274998,32.18084892883181,8.640352586900551,31.04154331186809,43.80822101927051,0.3379745117186772,0.0,19.81828827663117,29.056932485961237,42.82106566393051,9.83899509079481,3.749905972620379,23.01385574258307,60.934269907439734,4.697745008809253,0.0,1.203514538574364,3.149912609780383,9.856843294298226,33.55844395653074,0.2446657714844065,66.7247742133074
