decile,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8331160253439975,0.0,0.0,2.079320974979705,0.0,11.240011060560565,0.0,0.0,3.587500347611975,0.0,0.0,0.0,0.0,0.0,0.0,0.9242779901865319,0.0,0.0,0.0,0.0,0.6970126148122908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38848007614550184
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7139468096682791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2403483900035965,0.0,0.0,7.73924760272029,0.0,16.60990815033847,0.0,0.0,4.848021916238977,0.0,0.0,0.0,0.0,0.0,0.0,1.9875507004198205,0.0,0.0,0.0,0.0,1.5169990151897395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3950334291198097
d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43401897673888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9953529965032963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076129272227519,0.0,0.0,0.0,0.0,0.0,3.769765099603383,0.0,0.0,13.924026897699324,0.0,20.0105743424709,0.0,0.0,7.041692181563928,0.0,0.0,0.0,0.0,0.0,0.0,3.1904189636224025,0.6016479708698164,0.0,0.0,0.02573704982425795,2.327764026538887,0.0,0.0,0.0,0.0,0.08843696532373713,0.14393811530019462,0.0,3.416082652818794
d5,0.0,0.0,0.13707338142528158,0.0,0.0,0.0,0.0,0.0,0.0,1.7448269231257036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5339837931458256,0.0,0.0,0.15537647114454955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593175749798178,0.0,0.0,0.6460269087848829,0.0,0.0,4.365066274489244,0.0,0.0,19.494371746661347,0.0,23.485341296388444,0.0,0.0,10.863204831178585,0.0,0.0,0.0,0.0,0.0,0.0,3.7880736042739933,3.0851443916914327,0.0,0.0,1.1003009978417388,4.394854117399127,0.0,0.0,0.0,0.0,0.5189851155049183,1.1883708713852599,0.0,4.780943754249101
d6,0.0,0.0,0.6637001668398739,0.0,0.0,0.0,0.0,0.0,0.0,3.021423651389334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.237006115470862,0.0,0.0,0.814420684183851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1501766544600756,0.0,0.0,1.5741677047631484,0.0,0.0,5.142651991817871,0.0,0.0,26.452515359208,0.0,34.652839177643216,0.0,0.0,12.918562246374972,0.0,0.0,0.5714061193930995,0.0,0.0,0.0,4.858551750554227,3.8735699849312333,0.0,0.0,4.019787567139019,9.229837455131591,0.0,0.0,0.0,0.0,1.3276213684104903,1.9316456360689855,0.0,7.557647305010541
d7,0.0,0.0,0.8253800658275239,0.0,0.0,0.0,0.0,0.0,0.0,4.099204461594827,0.0,0.0,0.0,0.0,0.14402344701333547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.258083640836208,0.0,0.0,1.3122471559138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5895207663233322,0.3938954438010498,0.0,2.0385657955610306,0.5713310524109794,0.0,6.397901328475385,0.0,0.0,30.342832967234997,0.0,44.99844865129656,0.0,0.0,14.57067308811444,0.0,0.6607355969415067,1.6374630411526354,0.0,0.0,0.12963141343419693,6.329361215747735,5.8850784982229385,0.0,0.0,6.094164287879419,12.739845041844365,0.013985580691848298,0.0,0.0,0.0,2.400305802051392,3.4703944718645374,0.0,13.679289569836175
d8,0.0,0.0,1.4732410734175154,0.0,0.0,0.0,0.0,0.0,0.0,4.780366537375663,0.0,0.0,0.0,0.0,0.6829589346117118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.339111120679995,0.0,0.034173568078266214,1.4681612057472115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11584376140758224,1.736691993826696,1.278214775531353,0.0,3.9598776659201675,1.0072808847929586,0.0,8.740052020929397,0.0,0.0,46.70154081768294,0.325933841849789,50.33460268217242,0.0,0.0,17.443323997289703,0.0,1.1886642862268886,2.6134118611953596,0.0,0.0,0.3867551378824672,6.901695186141939,7.31821871172955,0.0,0.0,8.239219078601721,17.968673770394446,0.2540044956108858,0.0,0.0,0.0,3.637151078218519,3.6958518096920088,0.0,17.03338181977105
d9,0.0,0.0,2.68776497301344,0.0,0.0,0.0,0.0,0.0,0.0,6.6694986804533265,0.0,0.0,0.0,0.0,1.0978792190394273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.812671200183853,0.0,0.28272537522316554,2.3042235620574374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47423916386686926,1.8602843240922233,1.8161475650664158,0.0,7.043613634085421,1.0766202232667546,0.0,10.398075628201664,0.0,0.0,53.84335860958513,0.9317961471142624,57.07959276519013,0.0,0.0,18.915334131523444,0.5504098545796161,1.2586860759846061,5.251456023345121,0.0,0.0,0.8574138888799929,9.379283690086861,9.669463666101365,0.5955859869057072,0.0,13.416543707111167,22.119461167412783,0.6033082890277477,0.0,0.0,0.5379769852922607,4.08131659162375,4.868395881118978,0.0,23.581330657133403
d10,0.0,0.0,3.413500620118956,0.0,0.0,0.0,0.0,0.0,0.0,7.054921419269945,0.0,0.0,0.0,0.0,1.4401028979675061,0.0,0.0,0.0,0.0,0.09836376369167965,0.0,0.0,12.1182479320412,0.0,0.6061250008915984,3.5103914350854026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8632662917064877,3.1839728010312065,3.2318993224730903,0.0,9.392883808008904,1.509729376846714,0.0,11.54081468727836,0.0,0.0,60.20102471099041,1.3521180774585915,57.878372285791514,0.388165695397479,0.0,22.45526966816676,1.2694608245027865,2.376172731470948,6.58768818334644,0.0,0.06688549949027944,1.2847416507618021,11.139190662280882,10.249727169964828,0.6556240102407145,0.0,13.99768625475912,22.668456351615394,0.6761815199980958,0.0,0.0,0.7552397650641467,7.154695568023509,6.119461146836379,0.0,25.056885538668375
