decile,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.19926668869929287,1.149915911065186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08925128476944977,0.0,0.0,0.18791040881491483,0.0,17.46767902232506,0.0,0.23476804840995413,2.42070165574124,0.0,0.0,1.3227380448782853,0.0,0.0,1.6165506542473587,0.0,0.0,3.0232130419154153,0.0,2.969639001031396,3.281059247460046,9.389792012068476,1.5974619811065587,1.5734726015109075,13.831626391283873,4.236054250356631,1.0274715529983247,40.48613203734725,14.998520738759435,149.72271602222418,0.0,2.92596056056772,2.3792210849656996,5.85187139125431,9.548619068050797,18.098963225484113,0.10480082513058164,0.3193447980723505,8.17978112661013,17.72435789778897,7.989266265048919,20.02157827800844,0.0,1.9238120299040844,22.53897480698678,15.547924763448172,3.6806473286407275,0.3348643156304014,4.138430147779399,13.131880561624016,5.787700995366709,7.684471183403371,2.6338188450164033
d2,0.0,1.9001107984501893,6.424924712069608,0.0,0.0,0.0,0.7763880869373025,0.030919538324205575,0.9987074498866164,1.2136613106734977,0.09900421658508662,1.0232300022552039,0.0,0.0,0.7589303034031829,0.0,0.12870873667143812,0.809990868826123,0.0,0.0,3.5206016037044776,0.3788833278331225,34.33110051138101,0.00544083605357315,1.4049878226387413,13.666095698523698,0.6002592913424856,0.8472549934969145,4.131674404573619,1.4660990357020722,0.32885948587151503,5.318943338465729,0.586579093397404,0.0,11.962065220217532,0.6408274017767255,6.772400182755021,10.075436241280677,20.500644613115824,4.572971975370667,5.627906846809026,32.16613741001664,8.703570473500644,10.346527689342466,77.79505067039904,34.93619561404984,169.08940793548302,2.454732711379087,6.520558697510506,12.073611193848635,16.32930246136529,22.968860386535084,40.30493885130199,4.3309561321342755,2.8026195169403714,17.312486679490643,43.41026740904566,32.18718738089993,44.90204432265909,0.1733393915951602,12.81061094838778,35.31716013307553,33.72801622710419,10.670931279363753,3.652784687764065,17.748230542780338,24.528529277908333,17.104683951627727,16.632876737851248,15.458244578269902
d3,0.8919612745374899,1.9001107984501893,6.980587905980883,0.0,0.0,0.0,1.762696013186833,0.48012596996024826,2.520573910325929,2.405179489180263,0.09900421658508662,2.1177755215551706,0.0,0.0,0.7589303034031829,0.0,0.29225897469940776,0.809990868826123,0.0,0.0,4.8554665932987575,0.8030094832130033,34.33110051138101,0.00544083605357315,1.4049878226387413,17.206015510225896,0.6002592913424856,0.8472549934969145,6.730927632317883,3.9175733738606624,0.6447271591844519,6.566800932694843,2.522462393096262,0.4026895020612784,19.00340539436255,0.6408274017767255,6.772400182755021,16.76767016707961,26.655105300272623,4.572971975370667,5.796039471749044,36.90376873589825,10.257949084226588,17.621999095196063,94.59960281265305,42.789288229449625,169.08940793548302,5.017645699245399,9.465444174113088,18.936052798877096,21.021350277800213,26.859402918803287,47.99687895194787,8.81550365072706,4.244163788997582,25.7858700464233,48.48092418444246,39.4335740048009,51.26721943326631,1.9747553862704557,17.24623937616983,35.31716013307553,39.98698891552124,20.53418532554354,7.072198484267357,24.791815073375915,31.109561045177063,18.85722118711959,29.1499837608577,28.797130081798915
d4,1.0470288653073823,1.9001107984501893,10.461845863325369,0.0,0.0,0.30713653810148145,2.4177648601516033,0.9882754071116508,3.9138740001989127,3.6173641374609318,0.09900421658508662,3.6073305249722374,0.8974260697696366,3.1103580160819497,0.7589303034031829,0.0,0.29225897469940776,1.3349119086210308,0.33055174121935593,0.1866104250651226,4.8554665932987575,1.9258669432612479,34.33110051138101,0.8512703184443495,1.4049878226387413,17.206015510225896,0.7853331460937305,0.9886871077504935,7.2191401684877015,4.237672739558395,1.093137976576525,8.041971252745569,3.0709260437877077,1.672390612574116,24.984982072138028,0.937626501059011,9.430406660765914,21.35887208700008,26.655105300272623,4.631234628690432,8.163201779188814,36.90376873589825,10.257949084226588,20.701517955884444,94.59960281265305,56.829076413545906,169.46192799732387,8.761966406251013,10.301030512629993,18.936052798877096,28.50173615772428,26.859402918803287,47.99687895194787,9.349306325553663,4.244163788997582,31.65549578519679,48.48092418444246,39.4335740048009,58.35252975480774,4.218458628885635,24.10265185621363,38.561037798495335,47.40577732057656,29.419773795296596,8.338233708562932,26.479606554517982,34.12322177173791,18.85722118711959,29.1499837608577,40.14176443499183
d5,1.9768280031308834,4.689528037820917,12.804313259261118,0.0,0.2675949717135495,0.31934321672625643,3.798636680918616,2.1255452575825977,3.934078204087964,4.507335097941244,0.5055102324308507,4.205791426764868,2.3061457195691943,6.016233252027671,2.4209892543117917,0.37802129171187815,0.3782242521054826,2.973362462407131,0.7663646577234466,1.113098503650324,4.913453072790521,2.9139425454630477,44.291034120356734,2.6881660875618643,2.124288828020358,19.909205214725866,1.5960825825391929,2.1805113045259006,7.2191401684877015,4.237672739558395,1.6937969579677592,8.041971252745569,3.3471859452612094,1.9439912168869675,24.984982072138028,2.8475909629114042,14.369313206934429,21.35887208700008,28.25397195073803,7.91675906243405,8.163201779188814,44.20439703874132,11.38122951816813,20.701517955884444,94.59960281265305,62.5745882240941,182.7381425372986,13.437476433830565,13.6559320396631,18.936052798877096,28.50173615772428,29.106018208485587,49.500353344067776,9.349306325553663,4.8324829349033855,31.65549578519679,48.831064253854564,39.5526118430123,58.35252975480774,5.21182012197216,24.10265185621363,50.04219776133091,47.40577732057656,34.30058704685727,8.338233708562932,26.479606554517982,34.12322177173791,25.567551236540094,29.1499837608577,49.81286009760993
d6,3.2906722228577365,5.831153564468309,12.804313259261118,0.0,0.6319470667722875,1.1244584737210985,3.798636680918616,2.760433332620668,4.535556764119004,6.606800678928277,2.8035260762406082,5.958238473369608,3.392244925196376,8.792378137089116,6.038181318015603,1.1725259079023083,0.7357553936541947,4.5998475015523645,0.7663646577234466,2.2635070484957573,7.273935841734275,3.8078866255624177,49.74486378331572,4.504424711277018,3.441817051437532,28.29695136446914,2.6020719310953737,3.499884541575522,9.22218135849479,5.523529053914238,2.8728821912054556,8.041971252745569,3.3471859452612094,1.9439912168869675,24.984982072138028,5.1514379272205275,22.001174136091965,22.320203205971442,33.77399987173357,10.016441655712097,9.190821668295147,59.98727809913136,12.529954079460726,21.563387005781298,108.86147057495117,62.5745882240941,204.1052436450864,15.081377779740443,16.277539798632557,22.994276065312274,30.211778799604367,39.28438386164582,63.884638810440705,11.833677124848514,7.98278027855164,31.65549578519679,55.00368144143697,46.06934944689142,59.812487503055564,7.046714241974939,25.06641644947318,58.339532568026016,47.83525391119872,37.430473049680515,9.199632238439843,31.718386402852108,35.33193017660268,30.89985839390125,36.086511145849826,49.81286009760993
d7,4.896013356503126,8.271471920494129,14.808741442614004,0.0,1.0541466498534575,1.8593029700071355,3.798636680918616,2.760433332620668,4.535556764119004,6.606800678928277,8.778294277549499,9.391126290931531,4.601920747513507,10.749510736442563,8.265027531752345,2.193772144165976,1.9685213852567465,6.035167596886435,0.7663646577234466,3.6359411283061576,9.236308242962725,4.615935064016021,59.803886094016924,5.688207333155283,4.9227554295728915,33.6042445709551,3.942108046306309,5.274332299087057,12.63899128524228,9.06413323593113,3.49078170311369,9.669822666046393,3.630789727063963,2.8662962923299915,29.578364108271302,10.045898867400204,25.827408362285777,27.609176337278196,35.71185300897611,12.56946200659732,11.398832772157068,61.03992880767885,17.146906037567128,21.926296131035095,120.09341285292828,62.5745882240941,218.3224851552573,15.081377779740443,20.987778742447077,37.65961047198464,35.31378029406123,48.65309088497409,80.80951568703159,16.26586826831775,11.024505140975037,39.860187755276144,65.38614989306416,51.50012269357065,67.9192116682743,10.387058958889554,39.128373980546414,81.15894309626478,55.53468751517766,39.95697400719171,14.267482336922093,43.19693044434152,45.31933040515921,42.81145372545497,54.44913442869668,51.91418553161694
d8,4.896013356503126,10.783540216171765,19.11027336637035,0.5425246055498008,1.0541466498534575,1.8593029700071355,4.944624345348156,2.960303856398191,6.728940675584148,6.606800678928277,13.967853158483077,12.997096176519797,4.6404990544314515,12.188656731746285,11.768115105850452,2.7917584242436995,3.2449795368338883,7.645373750586369,1.4117619494658236,5.167142316610839,12.885645132245735,4.615935064016021,67.43206327962486,8.066079473868953,5.69595007209481,40.72778258879293,4.559376140792331,7.783293316555273,12.937690557317424,11.735682752749344,4.498438656997951,10.550013723734768,5.551345149119655,3.9125451355971705,31.129694338426486,12.413157109755574,25.827408362285777,30.42455034299611,38.20162507368558,12.672129279084338,15.27998099960529,70.12559207318054,20.902770944958036,26.55232992388791,123.47787065388525,71.08190659270898,222.56374669461158,15.589832298485629,20.987778742447077,42.462787003388684,43.38413082885879,49.68263091628898,91.7876987003649,18.669614503190918,14.62262441406305,41.55692224698548,73.62254352482854,54.54065523920968,76.4797779846199,10.387058958889554,46.24739141846152,91.01903158652343,58.604560012819434,39.95697400719171,17.49939835213419,51.94464506613254,47.72185046824187,47.12171285681028,57.64707092697685,61.17019016575202
d9,5.286505666508635,14.795229222093141,27.61763005804105,0.9890919100596136,1.0541466498534575,2.108324706131434,8.646872403265178,4.637413447924224,11.411475770730444,9.749004288407015,14.85782062068224,12.997096176519797,6.719854005785589,16.684722349560108,14.324033188446268,3.0911217321125974,3.7745021057224584,10.817088853434456,2.0139331508854923,6.816671493756317,18.909877389206947,5.4082782089626065,86.48559937285108,9.13635527812718,7.792447141131518,45.42289650765723,6.784011587947344,7.806696936949024,18.73203340955517,12.297340094109735,4.498438656997951,13.848913526453636,7.872043076531131,4.452194971186888,39.30157501485475,14.558466176051823,30.618867023917435,42.3837042476363,51.216233090551206,17.805457322831924,17.14058665800879,82.8836720687387,23.927501435810193,31.945935778643765,144.26960210373434,77.56018231366235,238.99133808214148,16.779456436570683,20.987778742447077,47.008604089847054,49.34763666926406,60.27315885901633,92.62957723850123,21.168144220796876,15.193999062616268,50.42010332946644,73.75321134618835,63.09720187658297,81.38785310339364,11.426998132324602,56.63661336331906,102.10807486374124,65.49782756924715,40.23908746832953,20.135420060445345,54.85292552390733,53.41844446460938,55.99975639582368,57.64707092697685,65.21509580870323
d10,7.716950773926435,19.144205957023626,33.37905750381404,2.172837903123387,2.8800636425888904,5.798153111935989,13.697719928636705,5.861370067139852,14.878018200327634,19.578158978001287,25.917814732194913,13.757084835973064,9.735878437547402,22.617975009446013,15.918887806985776,4.8402191005387,5.466966535693956,12.117776930752612,3.763165875169566,6.876090230522159,22.37224309623029,8.834675297432721,96.03288018667746,11.842333903534023,10.434610814209897,53.955323050114686,8.401630166186866,11.513756878452146,25.06120914572402,16.116205951253338,5.170013773795102,20.774426670931717,14.444498409704945,6.071710820282107,44.156134362969844,19.681583028864598,41.0784135575836,50.773847847043136,62.61762059862332,23.543838106232336,22.67146052857877,92.59084319774671,29.72768836975116,41.25050995005258,170.60446256582264,82.18763357329655,244.40798727169897,24.521463304674782,31.930320171624953,57.168387905637715,51.263195215010526,72.00980418091243,108.0888905583167,27.101625633530052,22.33290013906002,65.73278819489789,84.61976313856277,74.56110830837126,94.66755830338086,16.46773260036352,57.64850986996095,103.10417346644941,75.18336961422263,53.752748684280675,23.801150263605702,64.19584385986329,64.83560136785503,68.55193664229166,76.43685684072369,76.52241158282425
