decile,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.20231275318928965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93512502061844,0.0,0.0,0.0,1.8785037082964529,0.0,0.0,0.0,0.0,0.0,0.0,0.19857418905668922,0.0,0.0,0.31598485849768565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,1.8710305530782136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3843955955458469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316365171452894,0.0,0.0,0.0,1.749650471347877,0.8757626091783912,0.0,1.363827265849828,0.0,0.0,0.0,0.0,0.0,0.0,30.02183425226488,2.8203922152123866,0.0,0.0,20.500563041066687,5.592743338259854,1.6815679181897174,0.0,0.0,0.0,0.0,8.164295905035338,0.0,5.24143569141933,2.9166838774808035,0.0,0.0,3.3078903399487665,2.1803693541645437,0.0,0.0,0.0
d3,0.0,0.0,3.4968202092996243,0.0,0.0,0.07655862965090066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.622725003834411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.768593416248276,0.0,0.4116368252466174,0.49354651175551467,7.20070164533789,2.6650915085217584,0.0,5.9971296967928005,0.0,0.0,0.2894001573711833,1.7677668803407833,0.19725405091919512,0.0,37.30244979940433,5.798452198916081,0.0,0.0,51.10708752829122,8.490712659685656,15.153578957379061,0.0,0.0,0.5463039610159477,0.0,12.311664450564749,0.0,8.283104845198388,5.726955829020682,0.0,0.0,5.05926239211967,7.794740853301654,0.0,0.025427830999813494,0.0
d4,0.0,0.0,4.436215472456922,0.0,0.0,0.4022615299082588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4577931484498734,0.0,0.0,0.8491905217016082,0.0,0.0,0.0,0.0,22.32062651037719,0.0,0.45777431157427984,1.1673171898140353,0.0,0.0,0.26399584435684886,0.0,0.3196368029768877,0.17006668102557754,0.12798263235418972,0.0,9.954978326839061,0.0,1.438073220130967,2.767981444469509,12.809273180833088,4.204420532219508,0.0,8.239870252871238,0.6583601787668165,0.0,1.3007454979566795,4.05848995402474,1.60772354105384,0.0,48.81716392724095,9.822962283575311,0.0,0.0,80.56686676126836,11.615554306113694,26.360401671368212,0.0,0.0,1.5909953033453519,0.0,18.102612689456592,0.0,10.606253526010718,8.42702422872717,0.10654128615911418,0.0,7.159172745163666,11.597819294857526,0.0,1.191326244458189,0.5143034990872977
d5,0.0,0.0,5.14966173782841,0.0,0.0,0.8558522591590609,0.0,0.0,0.0,0.07895695229944977,0.0,0.0,0.0,0.06541266901780673,1.175389533033762,0.0,0.0,1.9770216927109736,0.0,0.0,0.0,0.0,29.4801302850368,0.0,1.057682327143759,3.388372616213797,0.0,0.0,0.8923039499209153,0.025562615636587793,0.7841167416142483,0.5161103649331409,0.5732561202273061,0.0,12.854938852570339,0.0,2.569699904754387,5.2546654464253955,16.890525377796703,6.423680614478965,0.0,9.320946032826598,1.2788732812409052,0.0,4.290508455844559,6.92043427338529,3.8257236526903426,0.0,56.893283600345484,13.671104626008386,0.0,0.0,92.35459171192461,13.92516496396641,31.65292594735903,0.2359323136613085,0.4072476997170078,2.9010595257723004,0.0,22.154321033786623,0.0,16.649992428959095,12.508577609005211,0.6149653917460647,0.0,9.227862334586437,15.560447739967948,0.0,2.972106350459459,1.523226230931101
d6,0.0,0.0,6.521992803175436,0.0,0.0,1.0644039523374467,0.0,0.0,0.4316149123169417,0.6148485367183802,0.3650359876020772,0.5174470868051309,0.0,0.3122783160370233,2.0304906760528283,0.0,0.0,3.148272876866187,0.0,0.0,0.0,0.0,32.42258728518426,0.0,1.972792491797275,5.491555911376032,0.0,0.0,1.368955311688044,0.31849814302404766,2.2095552090404027,1.4161927346102843,1.3289427796710527,0.0,14.881938222934266,0.10194541187470207,4.1800137542421965,8.57126189212013,18.937262770159208,8.368341654948182,0.0,12.284609925319195,1.7338974767735458,0.0,5.273071862544338,10.946434039471459,5.517731448610508,0.2735895659576357,62.625190815694694,17.14038728868619,0.11474166457740154,0.4045367205645931,100.698007620363,15.871863363154358,35.48202437909386,1.0996896888117966,0.9594171901371595,4.474164898845704,0.22723041703537206,25.846795720283847,0.25829034588775457,20.734293066402078,13.662166120910591,1.0057220663536022,0.0,11.923338078513932,21.64154857799214,0.1392104855103291,5.419680245394261,3.492828030473653
d7,0.0,0.0,7.896358388162902,0.0,0.0,1.6231678841845465,0.0,0.0,1.3550485602745432,1.4955051591064112,0.7330147641826592,1.0986715106930873,0.0,1.0792141588213582,2.636471549149668,0.0,0.0,4.6828368641817235,0.0,0.0,0.0,0.2135273445758834,40.20617106184655,0.2587519063647399,4.268522295556771,7.233189698256478,0.0,0.0,2.1898482901959504,1.1585690046617323,4.198002944186218,3.4873211959967563,2.034998690794044,0.27483272334457,18.393013426985146,0.3680080267570247,5.326304579198023,11.876051248180001,20.714257774249255,11.295377309314087,0.0,14.52593294979264,2.164484962875445,0.0,7.548808445284919,13.181355652842793,8.024525315361256,0.6776883436872048,65.16639866760195,19.732024283083657,0.5266125497353613,1.0599641736832162,108.76179168495,18.896809521813637,40.3171827329901,1.8108972349420007,1.6534091598920106,6.367524014365014,0.7776630542652967,28.72576263889782,0.5194463152497839,24.108091875231327,15.492975348809544,1.6824355564429467,0.0,15.309958189928459,30.918617858884346,0.5539622037323895,7.428253791025007,4.748987810908041
d8,0.0,0.10960876588728041,13.341893074394633,0.4877478574831855,0.0,2.0868719688803523,0.0,0.17088290425473573,2.2918570764815023,2.2414553707056726,1.755276694591327,1.6121000494160143,0.0,1.9609932527308906,3.8112908027738435,0.0,0.0,5.384551910218242,0.0,0.26397851252129456,0.0630754959288673,0.6161340667701154,46.3533364893223,0.9998167588674036,7.925057122579879,8.738483918185334,0.0,0.0,3.357928045413839,1.8060755873571708,6.749904760902663,4.657236569772728,2.888353766109045,0.6524825316779364,24.012266559451685,1.2540871757022778,6.98652018964129,13.816427225825894,23.641451418892945,14.299811083284396,0.19165757031911212,23.550679249080936,3.5504778401139845,0.24177599520218607,10.00669539168204,14.291843001741618,10.334108162873267,1.0857424281331234,70.53172412191712,24.07521539883131,1.5357252804306114,1.5498146906675636,114.00748619351798,21.49961450195344,45.01166052691437,3.8465720838394226,3.406285934860449,8.859419100046328,1.309847032701768,31.575832424931157,1.562591657895954,28.63648990412572,18.180784998712117,2.818920895467844,0.0,19.064258731326348,34.72241845917575,0.8801739353489069,8.687372123429885,6.084836227167035
d9,0.0,0.3909602033170074,19.848213691846997,1.0808856517091172,0.09464120935525955,2.6078927907657707,0.17410056704861887,0.6436201743456209,2.871581913667786,3.6651693959500733,2.514907104172927,2.5659009605203558,0.0,5.39120371489102,5.710780156680112,0.0,0.0,6.727684990902922,0.482186460360122,1.2828199733855747,0.5404844203565702,1.2307674534239403,55.366511643233935,2.3877387403728925,11.302994274114447,13.07462927943834,0.0,0.23715026869228595,5.988998866131865,3.2925095190876092,9.259329822584291,8.056393529368812,5.033673502812434,1.487080985150147,30.116530066193626,2.729972255909999,10.990968246869187,17.70958241407233,30.453768692136034,16.91064331241997,0.7957694813411678,31.92936823252392,5.215467908704767,0.8164836409287126,14.782597609398522,18.816197309179298,12.168794956104087,1.9921356407361657,74.89947837623308,28.07774487502498,2.669702279083893,2.2079684458142204,120.69349417229527,28.32692654353022,48.50497089546148,6.565487052381776,6.75598884277176,12.16522153885386,3.2556502085084205,38.20386005100235,3.283287478885846,34.37835707315503,23.87844376896765,7.3021912030161715,0.0,29.281060480650392,39.78424879744442,1.5303392399966569,10.652133643898935,9.117137865636355
d10,0.0,1.639431304250973,36.60411346720875,2.9548446865158233,0.6571191197561888,4.896692221774,0.3580981888110024,1.3140104290843873,3.993011066307414,5.938605990117733,3.7476396449688316,5.192263729833151,0.0,9.71155891198293,7.375918652498353,0.0,0.8213217428438355,9.826862250268032,3.0326862882464596,3.8972527113933957,1.0558526819447778,2.700966135588942,81.15022474677411,5.074058374178232,18.07579213311959,23.82037016526436,0.7146269589155025,1.1060687910873206,11.085451023091554,6.281375877171943,12.269778900628388,10.533848023726126,9.76479223339501,2.906201292226843,50.44513296881026,5.3179305293196215,22.626483424357332,32.25155953490012,46.39110818037517,34.03194062013827,3.928615819597322,49.43289231346975,11.47246615023191,2.2119661492010962,31.852256570354715,35.243209129541874,17.5278327436684,3.681912478885124,105.42870642275278,39.82525723843972,12.609687131150778,8.022450765041487,148.89287492081445,36.314894469593945,73.76927118877005,17.058670801315614,15.125964652397158,22.88601539405594,12.597091241621069,63.134504724451645,5.971986663323172,52.43932877824301,45.81301265506528,23.212660901869622,0.0,45.1546182498412,58.198885053065624,2.2231756449928533,23.990265248894207,19.788206201913038
