decile,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7685895356055745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6249642400537176,0.0,0.0,1.1950778807489932,4.222766738715254,0.2122974065457548,0.0,0.6255317275680454,0.0,17.3429313045983,16.860527556547435,0.0,8.467699566197446,0.4226559581051319,10.010380446974999,5.6144328560507795,0.660707160991393,20.996130964126017,16.111139119946845,0.1399349900530069,16.947027353072727,7.691740118409843,0.0,0.0,34.567183778916714,16.09603808758956,2.280111432463464,3.2481208675079927,0.1342798838028969,18.88008811307639,15.094931011220243,3.7643742792080417,0.10253773308778591,13.806599111819953,4.3151368650698245,12.481866340516955
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4086151476903197,0.0,0.0,0.0,0.0,0.0,0.49173944645128387,0.0,0.0,0.0,0.0,9.997960064601674,0.0,0.0,1.3098720403516637,0.0,0.0,0.0,0.0,0.0,0.0,0.2199213706898604,0.0,4.804290340901051,0.0,0.0,2.6127162952427305,9.40164108904212,1.8607007141546923,0.0,4.331437311056408,0.0617175701657402,27.35291149040323,21.43471454929676,2.2854821487012345,14.2840861054293,1.8657035538955924,17.582987947866823,7.6694757781155865,2.5248053308435736,28.713889014747274,30.15372609743703,3.040021142082736,19.61692640632419,8.725748493915884,0.8925616832013432,0.0,48.98882082140322,29.485847676955405,4.774862742655991,8.33016991210025,2.600740185052274,27.88052054583894,24.550639824779214,6.2372776202215725,1.3713280055688557,25.642652392576956,10.192851631038376,18.26496475467356
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8386230123543754,0.0,0.0,0.7818808328653901,0.0,0.0,1.0789471284563312,0.0,0.0,0.0,0.0,15.523567397684939,0.0,0.0,3.073182440972584,0.0,0.0,0.0,0.049084588587014366,0.09730026080632115,0.3082660428201578,0.5310179344180845,0.0,7.27372041550932,0.0,0.5366297434526999,3.2474821303163672,11.77023951545489,3.7735149479705186,0.0,4.955071896868404,0.30805754856467615,29.626441963816646,23.312441558837733,3.8246392430483525,15.27892357243762,2.001921527388962,18.019384945184495,9.755998721767668,4.564494767802092,30.153384848106143,32.622589982317045,3.759181955365751,22.183064606908914,9.847732676737749,1.2894156090810682,0.0,52.007159084666014,30.464951432677612,5.740956903244214,11.630090619061846,3.8272831088082135,29.475297703101656,25.50048912254496,10.088593567925408,1.7860729485590596,26.82665081415841,11.51098007276342,22.042233630039192
d4,0.0,0.0,0.30428615721150365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290337459183327,0.0,0.23363269456659097,0.9860050111234422,0.0,0.0,1.4988947544511113,0.0,0.0,0.0,0.3604667601705529,20.8266606900399,0.0,0.0,3.4765371756659817,0.0,0.0,0.0,0.23530913430677458,0.28967341303693317,0.9521436018607723,0.7824677681319265,0.0,8.380877371079183,0.27662678806434116,1.4445896058979812,3.6333663141605435,13.357560251160312,5.173448063173769,0.0,6.099099522125172,0.8653926139213226,30.20491909311196,23.95020055575024,4.377900972108115,17.119257502704862,2.411417971843253,20.235245058793062,14.648399501079144,5.565337926751617,31.182163944553434,33.20829622439663,5.574324372494122,23.38253507979104,13.95206961991612,1.3874111295140779,0.0,54.11471499551266,31.210325234079242,6.606753767685131,12.211696121627956,5.157524460251434,29.7629628153977,27.243679169527507,10.708453248719138,2.6418410973211053,28.639692443351723,14.171243017248734,23.299628413430344
d5,0.0,0.0,0.5284818582800135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7411820729804788,0.0,0.49503066760616576,1.284798233808047,0.0,0.0,1.9444947890779467,0.0,0.0,0.0,0.47526394180879805,22.41014351548598,0.0,0.0,4.234248150620843,0.0,0.0,0.014955104040939915,0.4824613859836049,0.550081677167988,1.467113112175202,1.194146397847998,0.0,11.766703755086759,0.5703489022519221,2.616777037746079,4.866769316969524,14.172375997364288,6.848394776620324,0.0,6.424163309672917,1.0557608411636252,31.426181030767975,24.47325783373832,4.631403131269675,18.81202830876876,3.889188105814025,22.303419691590143,15.5995768831818,7.702675139391012,32.71946008630831,35.82847380882628,6.256277250093959,26.242689872536257,16.636431821423155,1.5731677740972145,0.3677800009238261,55.13853252349037,31.963511206053738,7.653673514701751,13.962334661123503,6.18093774743841,31.950600412069555,28.23928693187148,11.454195104319723,2.9706264890934584,32.480618006276714,15.195538905954024,28.671905554031156
d6,0.0,0.0,1.3376935607443947,0.0,0.0,0.008585133570104375,0.0,0.0,0.0,0.0,0.0,2.0376840377890133,0.0,0.8489828068891967,1.4535740725681663,0.0,0.0,2.4606126705139957,0.0,0.0,0.0,0.6287470044310481,26.47289101066389,0.0,0.0,5.412525416076356,0.0,0.0,0.15926359795812317,0.7393518469644142,0.7922145064830808,1.6155507961237063,1.8484798686637909,0.25455417864587204,12.933756211569541,0.7328960023756821,3.3811947166376086,5.356095598323368,14.675459458264587,7.69547819177129,0.0,7.193207990519657,2.4119555993987163,39.0680082488179,25.318493266749947,5.753563183758416,21.38307484889637,5.077776621885121,24.640299421979794,15.998116737158764,8.180372943693378,33.88912755853187,41.23998896608592,8.028088763263067,26.37971583392433,17.633101212783757,1.9489073578699987,0.4569388803845058,56.90202061305597,32.68813183263958,8.38729415324525,16.7730559637954,6.402920282311388,38.33909579220176,28.385634569197897,12.871384825008459,3.347432397462004,34.906017783914876,15.95002377665918,29.50026313740902
d7,0.0,0.0,1.7808225804257525,0.0,0.0,0.041628470761637004,0.0,0.0,0.0,0.0,0.1594913332844321,2.227917847850712,0.0,1.2065159934411511,2.1898502237710176,0.0,0.0,2.99663807049345,0.0,0.0,0.0,0.9348390111226124,28.037314215599366,0.0,0.11323849516415407,5.737110206318686,0.0,0.0,0.21505974597683064,1.0893772974350178,1.0466721986971947,1.9337273055588255,2.5395873433345493,0.5912660133277043,14.527773079196276,0.8152549450917093,4.9451555120647015,6.438300729485128,15.74794842834547,7.912062336764478,0.0,8.376006775716899,4.801222311484739,46.14945046090183,26.512596273884494,6.124926837818052,22.632623077887477,5.635276182432488,25.920890027845306,16.85067932458545,10.072442775415091,37.488379744493926,44.91790592882176,9.302803504326139,28.229156438051735,18.29725640704215,2.0291665741795484,0.5602727776605789,59.26621520064058,35.26551234856709,10.766747991777908,18.230482758395713,8.451772873997456,43.824220762512915,32.00961815103628,14.085669383281743,3.758957585515194,36.798506024335666,16.94789844822222,33.93027445695393
d8,0.0,0.0,2.0325964347052583,0.0,0.0,0.2515516491700893,0.0,0.0,0.0,0.06298478339912705,0.2548999109218073,2.3050384780915465,0.0,1.638707801849069,3.03173941962007,0.0,0.0,3.3415624136829614,0.0,0.0,0.0,1.0665190778061486,28.501591755347288,0.0,0.5052817645539776,6.223090003347291,0.0,0.0,0.32195026341006283,1.2071074448602914,1.3377719790796334,2.087362348620019,2.883621380338731,0.9908844101471495,16.9545423448215,1.0592250818323876,5.453963456815817,7.574554243045679,16.061066805527723,9.365012098633471,0.0,9.167248494586094,5.831993973109199,50.60505491671357,28.840817184860285,6.699055195081655,24.98614308125428,6.265217305776094,27.369352083277697,17.97088705031964,14.863333347629382,39.95227869394637,48.33332367244566,10.432923262478543,29.22529411860302,20.80655736149979,2.2859617276572557,0.7292549042570364,64.42701527280684,38.64882364634201,14.37428769291877,21.139588361749844,9.806956396979214,48.46069147380196,35.533738924595944,18.40694534714166,4.482654339434308,41.29424046730108,18.116590753509143,39.61096352835985
d9,0.0,0.0,3.4365591440660914,0.0,0.0,0.6142731224391547,0.0,0.0,0.0,6.030467385099222,0.338525088851636,2.8991707603649246,0.0,1.7335265858077449,3.478684703247289,0.0,0.09287956246330964,3.4497776454976297,0.0,0.0,0.0,1.244597698770967,32.06380568169828,0.0,0.9112901707641079,6.733417116887061,0.0,0.0,0.4450629320485575,1.697639500552011,1.5658828770633555,2.3545886681763726,5.24192428305474,1.790106476128905,21.26400855038774,1.5774700660964065,5.901430610267695,7.952116559076153,18.121826032416166,10.604717101123054,0.10065233683956265,9.468923548110762,9.946333486198753,56.02585054140263,29.277253579629754,10.842107958819739,33.674767844119046,7.1624812777136135,29.42699748535136,22.103951994611176,17.53800047797001,47.52642784192737,51.75386888856745,13.807343359993375,34.13344105323702,23.72211492342606,2.5871205452582693,0.8061460818729458,75.2128569977606,44.377767686502864,21.03384555259924,21.840240058900303,14.680422808675665,53.356367167295986,38.355306503256216,21.81514351138794,7.870675098315953,42.32558690894942,18.935837642359125,42.34834353192358
d10,0.0,0.0,4.867581034851707,0.9825753130407371,0.0,0.8453586311383461,0.0,0.1310420993702941,0.170162725648769,8.327761666425111,1.1466797250580285,3.443532927860602,0.0,3.1820918995730203,4.1353386417417966,0.0,0.43649950209647415,4.817618768557015,0.0,0.0,0.0,1.946338917967278,36.46266916187862,0.0,2.95747335145699,7.678029142113093,0.030771671337305406,0.0,0.8921895083662825,1.7907670264708706,2.745350192542162,3.6805946152796487,8.680768285723172,4.536271691138712,22.988633490293196,2.3679686161992493,6.210636503156696,9.441360978414814,18.752492947497796,11.498305727179662,2.533734812523857,11.107542496681312,15.292158816736563,60.52920017758102,31.372794739264197,14.123925720875349,38.692125170731835,9.813611406893259,34.08144533311807,29.291077990143492,19.856593776393286,56.713672861832194,63.941595263094804,15.428153828472116,39.066181430299,28.751938948759296,3.303844381796008,0.9506023061388689,90.20030215495339,54.880642689883146,28.381227753180177,25.118383572552705,17.4688727507721,58.333757946941496,43.72718104800661,31.858450181949827,9.39183438572362,51.27158008010396,19.89796508129134,52.466969453963955
