decile,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,1.6773494564208598,4.965694801896827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3464546500663772,0.05002949968077175,0.0,0.0,0.0,0.0,0.0,0.0,0.09087757418374665,19.77189123916869,0.026989324606212506,0.3104565087796125,4.801080691134128,0.0,0.0,1.1278018035206294,0.0065573503372178266,0.0,3.0956257524615403,0.5765700525323503,0.0,6.442820717479268,0.0,12.55473510264595,3.449807901968363,16.55533692644885,2.8806554746824027,0.1844222776181894,16.60058391786121,21.146533183332036,52.52076667787696,46.39228601585887,0.005793640095472341,16.425113805152996,2.971752250054397,17.32189266423514,29.299482235467607,8.2635546851923,88.04383456007992,52.69670392604815,16.219346740726788,35.78064252731917,31.42122230983138,17.351719479121826,1.9381222775028526,75.17113537202246,56.98280216410859,17.48852970152335,25.928539839457105,10.344116022880371,69.26303703530812,43.06015560323192,36.87205102043758,13.11382011520261,73.88993121339169,54.83305629585578,67.58785620118522
d2,0.0,1.8615282138131022,11.34468781935637,0.0,0.0,0.1975284232421224,0.0,0.0,0.0,0.24090058324408758,0.40617373943164026,0.0,0.0,1.36309719498691,0.05002949968077175,0.0,0.0,0.0,0.0,0.0,0.0,0.7048937360995637,27.197295115487705,1.862993625942483,1.623707635134938,10.150888023862088,0.0,0.0,3.5245124459271295,0.7538955070672984,0.21397710053571473,4.581731059057681,1.5610941013879085,0.0,15.93818876842428,0.7603339697473501,15.333107306537592,13.165810897270717,30.701707863870705,6.706195913902025,0.5501451609670553,33.04399312834701,28.001841721324098,69.10922038252146,65.60871327992558,1.3743965635570206,24.28133111283423,6.899428702361522,19.686516714723684,39.64300971650874,18.663130493170353,94.9194183814873,58.22070180334567,20.70583132456359,37.22436825050131,37.60779139164977,21.48033360331777,2.6491853343238745,88.42248928692706,65.69050354704896,31.66649382060571,32.327264774469526,13.581973273611325,77.76019836623826,53.03762598448524,53.28907528769158,20.384725458592396,79.83682273906003,55.66043158322154,85.0543564947922
d3,0.0,4.69813203879859,15.153570513008084,0.0,0.0,0.4854469961735042,0.4744790140544666,0.0,0.0,1.9155860473962427,0.7320010738584983,0.2941426902789601,0.0,2.625810841169791,0.6755888702805066,0.0,0.10321648863749289,1.0412654751806834,0.0,0.31027351387042756,0.0,0.885224412532704,39.534579318893684,2.931705688273116,2.9349638761616355,10.9585787875418,0.0,0.0,3.7455063181310884,2.4351253737212097,0.7716860152352965,5.555868844245307,3.317399302898739,0.0,20.633218887696295,0.7754437886435568,16.604941591097507,19.662838825657758,35.409161300827584,9.857783861901716,1.1992404673158354,44.19755929679679,33.782075780592095,73.5127753681087,68.26389620394774,1.9050931033578706,29.000094949589165,10.6234018398799,19.686516714723684,40.14798918993124,22.311156674280216,105.6225742731846,62.00386942336918,21.80701502124591,39.16942910816399,38.189184991534574,23.174834317593795,3.0839276123060095,96.50661146867506,74.66755202744267,35.215945485541006,35.29295218225387,17.06818836438973,84.50198946434915,55.64234154217026,55.145561834963345,27.054610825820426,81.40208865636724,57.60174434385623,91.99917762929903
d4,0.44767803346302415,9.651275492177422,22.82414351876404,0.379582153909503,0.0,1.175505965219756,1.068908767453781,0.6187356352324542,0.6773292687526009,6.961174948411205,2.597355619185528,0.5685554706754914,0.0,3.872494579253704,1.4413016104914185,0.0,0.14412593915884386,1.2880837448793763,0.0,0.6873970745868689,1.2012737802404558,1.5647128144776445,42.905052672371035,3.0996426724390034,5.053044077031341,16.432508227258005,0.9169311577395476,0.3663153570930042,6.5901353777264475,2.4351253737212097,1.019928738008545,5.555868844245307,3.3558195880258204,0.0,21.991416365230815,1.5545167806548292,16.879234306775587,20.636949784514908,38.20051543228678,11.260887780133825,4.592001511334132,58.67227178623498,36.097083153717946,74.76827085191081,72.51687258094634,3.0658095658583058,30.264680444005492,10.920033268695857,19.84545879367146,40.98078811191702,27.681678849502376,107.71096123937961,67.28130367464527,29.144823345124017,50.71296404827419,39.64311246593539,24.671030708106905,8.762740633577337,102.55258147067244,77.88963562474123,35.74468855046268,37.08728724942896,18.85890216262304,95.59161192164834,67.06526600193044,56.522280077134425,27.07164818799745,87.49525644630603,61.054637823567276,96.56894049303094
d5,1.3484591531681538,10.605339490501994,25.94325845584289,0.7556226684332437,0.0,3.0233169421849517,4.201531870168587,0.9846411507218242,2.8465922116525206,9.043670651027583,10.398382105720035,2.7844932002046328,1.1190565254650515,8.001173539107274,1.7528675133569251,0.039577420721840895,0.38366529893468027,1.78040697820677,0.0,1.7172401967216686,2.6691747336171865,1.8235229174354686,44.52377279151072,4.053717835291231,5.179922973346844,24.30476802755365,1.3139202998823976,0.9472871254440918,6.769384435573592,5.247931139501556,1.019928738008545,6.896403707379584,3.718927978092779,1.5413257120513606,28.253629912466018,2.0621775575150423,21.80963044901338,27.04083602163863,39.04714798361165,11.78941845483335,7.612257252759207,62.10310369664015,36.097083153717946,79.06276331654716,75.06564980089097,3.1942043648380647,30.264680444005492,12.99673178954065,25.412654433296364,45.098809132835726,28.395028788546874,110.30082966473825,67.29948671677138,32.61095638064698,59.22373576519914,42.08650860331488,26.14742300860117,13.71054507891531,106.49694032328901,79.54596632013676,45.79348866387468,43.86961789121449,23.607672860470622,99.9657745272221,71.61433832034336,58.74720351298343,27.983091690070875,101.14416619448293,66.74454143998088,99.66114582832878
d6,1.7056248385828603,13.37654529441032,27.401384287658843,1.1315219405145314,0.06655258637211148,4.080186432479191,5.806254714747549,1.090818743838284,7.8388774362095255,9.358824768427038,11.852810852956065,3.786663793714446,2.5381013349623345,10.368341631607752,2.3078067174431425,0.4113690932143861,1.2428790184962146,4.001748443418048,0.05213161641749764,2.639604577369223,5.1801648728878895,2.951679234073776,52.2879743176939,6.156492074914738,5.896570186898259,28.9063009435309,2.1477114814520135,2.2493223601729717,15.761488408659307,8.69553845787102,1.7375018046136859,9.73708709840205,7.523259455145695,2.70359855604012,33.87883818835318,4.779836647204949,27.885578468952694,33.952701389823346,43.906073938136984,12.254811351005532,11.85318887323509,77.7749889604762,39.347607440019125,79.06276331654716,88.66722178822583,4.763157236623886,34.23861933466188,15.066238306652707,27.320470843672386,46.39643459472968,30.15336949833898,118.44874813693755,67.29948671677138,32.61095638064698,64.28703835144711,48.99970370483853,27.237196103565093,16.051175180216784,108.9502239673458,79.54596632013676,58.89085949442107,51.09287333274901,23.607672860470622,99.9657745272221,79.90956976589956,76.12470909093739,35.394568165053286,121.3629357682467,69.02553284392577,108.16924292288527
d7,2.077013199072791,17.859087208738316,29.365207231653443,1.2415285325002756,1.149462901079687,5.528072331156963,7.70327672547268,1.8448374529730174,8.744933587741183,14.495996771479522,14.725461683464456,6.3678845999020055,3.593006943066225,15.73818585788824,7.269453316264556,0.6738193593387507,2.74822948278047,8.273177021307934,0.5163829272672373,3.4289043414854348,10.226079469053495,3.7082273056639856,69.13947649305398,6.382589210013581,6.2297728865251365,38.56633997422854,3.6844171524573817,7.117415474157593,16.995602786872208,10.186160176919248,2.2763399341201236,11.127989544017755,11.163845490644174,2.9454513772722812,33.87883818835318,6.842874319990948,32.26498926735539,39.56282010548219,50.170589278258674,12.254811351005532,17.657253864618006,88.2190971820931,39.347607440019125,80.01785890849524,99.94817771588332,8.526337736712446,35.766029895762415,19.992015139359083,29.238721640097783,49.12376151618022,41.313934805307014,118.44874813693755,69.79206212009701,33.289121234137234,78.2427006529117,61.275849514348494,36.9141220995912,19.426434035181742,108.9502239673458,80.86157613847458,80.6270012149112,63.23272584512955,23.607672860470622,99.9657745272221,92.57808418925339,92.30255597830792,42.41693767122966,130.56318684213983,81.18947068563739,122.11978930135609
d8,6.963683762900519,20.939911915723037,35.25823552908858,1.4405079084007717,2.119872768751108,6.5269881904838165,14.49817663401118,5.786330449718836,10.975106676595761,14.495996771479522,20.75643657155534,8.560563093380672,3.593006943066225,15.73818585788824,7.269453316264556,1.1189803208900138,3.081492389496102,9.322823709987652,0.7610095256287224,4.982589562126179,15.365690814543182,3.7210679339142345,82.5499996443511,6.382589210013581,6.2297728865251365,50.727724768125,5.608610133346897,9.372095251928307,19.158707335047175,10.186160176919248,2.3473248853368176,11.127989544017755,11.163845490644174,3.8658859292497247,33.87883818835318,12.100141960268704,32.26498926735539,40.93509959069623,50.170589278258674,12.875806140354815,21.97263377896971,89.31618427254143,39.347607440019125,84.3079131347715,107.16497907351533,11.619679413665992,35.777335694430974,19.992015139359083,31.819997654267723,49.12376151618022,42.459403082436936,127.28362278640705,69.79206212009701,34.354283889355926,78.2427006529117,62.060810445919515,40.353180862344146,20.163360116990468,108.9502239673458,88.06396156071787,90.7576364132452,65.93030917803763,27.22517030392209,102.88456868030252,92.57808418925339,101.42618661251095,42.41693767122966,130.56318684213983,81.18947068563739,122.11978930135609
d9,7.197498416589397,20.939911915723037,35.25823552908858,1.4934074530309438,2.119872768751108,6.5269881904838165,14.49817663401118,5.786330449718836,10.975106676595761,14.495996771479522,20.75643657155534,8.560563093380672,4.119059846652512,16.084735226134114,7.269453316264556,1.1189803208900138,3.081492389496102,9.322823709987652,0.7610095256287224,4.982589562126179,15.365690814543182,3.7210679339142345,82.5499996443511,6.768495429237351,7.9378253843287006,50.727724768125,5.608610133346897,9.372095251928307,19.158707335047175,12.09564831431818,3.146355078163591,11.127989544017755,12.25740455248014,3.8658859292497247,38.00502292001208,12.100141960268704,32.26498926735539,40.93509959069623,50.86610066918769,14.389423698356218,21.97263377896971,89.31618427254143,46.56204349085063,87.7780947116357,107.16497907351533,11.619679413665992,37.4389479456709,19.992015139359083,39.64753650479568,51.86122849211526,42.459403082436936,130.78350847477864,81.26454729647851,34.74748356751944,78.2427006529117,62.060810445919515,40.353180862344146,20.163360116990468,110.05863951668032,94.70715223337737,90.7576364132452,65.93030917803763,30.537086161678378,107.43002581118773,95.13126086121973,101.42618661251095,42.41693767122966,130.56318684213983,81.18947068563739,122.11978930135609
d10,7.197498416589397,20.939911915723037,35.25823552908858,1.4934074530309438,2.119872768751108,9.108235658615591,14.49817663401118,5.786330449718836,10.975106676595761,17.467757052956337,20.75643657155534,8.560563093380672,8.054539845382735,24.395191358902494,8.797746567854855,1.1387836374868776,4.51041052171588,9.322823709987652,1.5299133259826014,4.982589562126179,15.365690814543182,3.8389228964334556,82.5499996443511,9.581941119016584,9.711833045304754,50.727724768125,5.608610133346897,9.564279339297126,21.080886042536413,14.802476405294172,3.8073342514382382,13.978011293279163,16.154605254341295,4.780633667374371,43.26964963946697,12.100141960268704,40.93003914151731,42.6666487563611,54.779231499737065,15.954651151465278,21.97263377896971,89.31618427254143,53.070572404345576,93.04995551889391,117.99526573792537,11.619679413665992,43.38110695833842,24.784204981613325,39.87627878822017,61.29172483453459,42.47222620205028,135.0948159249018,93.55042944384395,41.74044224357763,81.35500241542618,62.485643476950635,40.77338621973704,22.030122596858007,124.17525653041672,95.09525898734398,90.7576364132452,65.93030917803763,33.46587852336779,115.5448228670557,105.9809196245928,101.42618661251095,54.19409889657079,134.9593248836905,90.49572769776361,138.30171305457387
