decile,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.106909196902727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642979670344058,0.0,0.0,0.0,1.2663570794182917,1.0538934868894891,0.0,0.0,0.0,0.274303126979504
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35046544568171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506969622977124,0.3385228815854333,0.7281738332806604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34048550959473545,0.0,0.0,0.0,0.0,0.0,0.0,0.9740510405669482,0.0,2.962236466279652,0.0,0.0,0.0,3.0061720028445755,2.0745109962263406,0.0,0.855403309754994,0.0,1.720983728027882
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17552692665911707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2404586959251809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030459968601235232,0.0,0.0,0.0,0.0,0.0,3.618233064581382,1.4283423494902046,3.1780578931655405,0.0,0.0,0.0,0.0,0.0,0.6583093444825252,0.0,2.3041630848660937,0.0,0.0,0.0,0.0,0.0,0.0,1.5672004386280562,0.0,5.253563943398589,0.0,0.0,0.10744271933129923,3.7706285816907545,6.771985870692056,0.0,1.4368704260750569,0.0,3.2310985280636437
d4,0.0,0.0,0.5364740980084264,0.0,0.0,0.0,0.0,0.0,0.0,1.8001168649437673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.656570574265473,0.0,0.0,0.22681915353699367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076129272227519,0.0,0.0,0.5474554783949195,0.0,0.0,4.510203522919873,2.4183458713840977,9.406385457302235,0.0,0.0,1.758077355957333,0.0,0.0,1.4128462764432328,0.0,4.791923911677433,0.1331068082239888,0.0,0.0,0.0,0.0,0.0,2.2557115808435526,0.0,7.0483310002509505,0.0,0.0,1.1469827961270056,4.3032359897496875,8.4023311645498,0.0,5.874598501172098,0.0,9.712287473029118
d5,0.0,0.0,0.7983890468456494,0.0,0.0,0.0,0.0,0.0,0.0,3.021423651389334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283373557890489,0.0,0.0,0.9398113730754929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479990358876854,0.0,0.0,1.5741677047631484,0.0,0.0,5.315233001484323,2.4183458713840977,11.803258791046861,0.14794635669595735,0.0,2.193950545028571,0.0,0.0,3.4181383089649593,0.0,6.010967049513869,0.6405236230809592,0.0,0.0,0.0,0.0,0.0,2.6743040350834555,0.0,8.465057560896298,0.0,0.0,3.4710976892443135,6.4461744784801205,14.220418099315996,0.7965108467720228,7.17173462244067,0.0,12.270056753911373
d6,0.0,0.0,0.8253800658275239,0.0,0.0,0.0,0.0,0.0,0.0,4.159930582774166,0.0,0.0,0.0,0.0,0.2660440633227239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.843339775865925,0.0,0.0,1.3122471559138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4781899951906112,0.0,0.0,1.8025969524759802,0.6418158530559381,0.0,6.477332131161795,2.8150410280794915,14.44418294814134,0.5164047195847026,0.0,2.496887518393219,0.0,0.0,4.297342466117392,0.0,6.929144322741468,1.1450798425635682,0.0,0.0,0.0,0.0,0.0,4.381494324147255,0.7306749444088183,11.272344194155085,0.0,0.0,5.253101293246075,6.826119610760625,18.95039470479327,1.167313008489213,8.709233950727075,0.0,14.41329648486996
d7,0.0,0.0,1.6038918221001452,0.0,0.0,0.0,0.0,0.0,0.0,4.4039910559654665,0.0,0.0,0.0,0.0,0.692526378685713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305064151820442,0.0,0.034173568078266214,1.4681612057472115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06788266064646109,1.70476914180011,0.911129681040947,0.0,3.7891856645949495,0.861073772536745,0.0,8.740052020929397,3.0891112658528073,14.73322990244198,1.201164723948498,0.2962638489182403,2.806747861459236,0.0,0.0,4.59733887935559,0.0,9.995766323604709,2.275953234863202,0.0,0.0,0.0,0.0,0.0,7.634313008737987,0.9524892545143899,14.095164844206689,0.0,0.0,7.09211856739169,15.371066505927168,19.839046257229867,1.7177474450193415,10.817854181652685,0.0,14.41329648486996
d8,0.0,0.0,2.0143788883376494,0.0,0.0,0.0,0.0,0.0,0.0,6.643905809085005,0.0,0.0,0.0,0.0,1.0261179953869153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.671361540785618,0.0,0.034173568078266214,1.6917450140119534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47423916386686926,1.8602843240922233,1.8161475650664158,0.0,7.043613634085421,1.06582396977959,0.0,10.261515154222117,3.576556257917499,18.76100720544715,2.4824309934050426,1.0853803232540855,3.51539223505009,0.0,0.27712646616331327,4.879773833404549,0.0,10.966954840378584,2.42749112738554,0.0,0.11429083210714808,0.0,0.0,0.0,8.76700896391894,1.404483959919716,16.27416879004358,0.0,0.14659969391693295,7.993443093954582,20.083763291312604,22.680625786694034,2.4900134652622867,11.479364911713713,0.4057293153505128,15.85609568003127
d9,0.0,0.0,3.413500620118956,0.0,0.0,0.0,0.0,0.0,0.0,6.6694986804533265,0.0,0.0,0.0,0.0,1.0978792190394273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1182479320412,0.0,0.28272537522316554,3.3303087540618215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47423916386686926,1.8602843240922233,1.8161475650664158,0.0,9.392883808008904,1.509729376846714,0.0,10.398075628201664,6.3038883157682974,20.347855776606472,3.0693591308593575,3.163581439250237,3.55692207790068,0.4087236812694357,0.4754948342813208,7.195913218317909,0.0,12.186844479535143,2.7235830276077415,0.0,0.11429083210714808,0.0,0.0,0.0,10.663317219501401,1.404483959919716,18.6074286542326,0.0,0.14659969391693295,8.144124632758196,20.29949378410555,23.600088468397125,3.19274090040053,11.566730991054392,0.4647569419242217,17.929601067624358
d10,0.0,0.0,3.413500620118956,0.0,0.0,0.0,0.0,0.0,0.0,8.133498311429278,0.0,0.0,0.0,0.0,1.6623375465605967,0.0,0.0,0.0,0.0,0.09836376369167965,0.0,0.0,12.453031385646064,0.0,0.6061250008915984,3.5103914350854026,0.0,0.0,0.0,0.0,0.966546005145311,1.6592442431080485,0.0,0.17209683488413674,1.378996256845518,4.911037707757082,6.815533624439322,0.0,9.392883808008904,1.509729376846714,0.0,12.197996178965596,6.520838282446132,20.347855776606472,3.342332507571655,3.163581439250237,4.052341576449063,0.4087236812694357,0.4754948342813208,7.195913218317909,0.0,12.186844479535143,3.6189740810076643,0.674525644004202,0.13108403324468298,0.0,0.0,0.0,10.743824886218977,1.4747968993320413,18.6074286542326,0.0,0.32654104828704433,8.543722451248406,21.08278680082077,23.600088468397125,3.19274090040053,11.649827063195616,0.6564299511057143,21.087911955510606
