decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.07874686715769848,0.08588511414331687,0.2720691975666121,0.2720691975666121,0.2720691975666121,0.27410894998269414,0.27410894998269414,0.27410894998269414,0.27410894998269414,0.27410894998269414,0.29105514814962274,0.29886728579565724,0.30163256854623166,0.3063506312269103,0.528061014749705,0.5367339003171292,0.5546998034607057,0.6884017380562634,1.077423003548261,1.1503967605875447,1.1503967605875447,1.3097087709170556,0.9396656434317305,0.9886803562283191,1.940942113545045,1.9715803983055538,4.449365940843313,4.449365940843313,4.528420653763621,4.61388015202577,4.61388015202577,4.659995680178355,4.610719830219125,4.610719830219125,4.381178671796808,4.381178671796808,4.53208814014843,4.7348209259727785,4.47717785170925,4.47717785170925,4.47717785170925,5.342464759707222,5.374064833596842,5.374064833596842,4.459591870220367,4.422228166924613,2.139691305624404,2.4787987443498856,2.4886415803360533,3.2582514184040674
d2,0.17467969203413886,0.19006983216865941,0.743336874734141,0.743336874734141,0.743336874734141,0.7930843258061799,0.7930843258061799,0.7930843258061799,0.7993906665944595,0.814297724339745,0.8274755321986162,0.8560892388586057,0.900408369408923,0.89815072003632,1.2580057256170603,1.2614406162883829,1.2872759164516125,1.4317358355537269,1.8737807531086994,2.1750835110342166,2.1750835110342166,2.2889107498734895,1.6305009088093727,1.6662561979079151,3.1471225396032017,3.137724966639399,6.138509525900353,6.138509525900353,6.155480267956493,6.533536400640523,6.533536400640523,6.549345501041316,6.601078787272243,6.602251087331479,6.133232757075956,6.133232757075956,6.3598190497173865,6.744900925070729,6.342747109181441,6.156068113007943,6.167241081840042,7.014064440552869,7.042730073630267,7.082423716552188,5.696780246878985,5.6084221452041305,2.776979114841778,3.155813182315318,3.155813182315318,4.926712437092936
d3,0.25262790947961805,0.2663276669066187,0.9733356897344667,0.9733356897344667,0.9856009616780664,1.0827210784977024,1.0827210784977024,1.0827210784977024,1.0873133493151943,1.0980428685092327,1.0980428685092327,1.1058153857348028,1.201214690229478,1.213855006359338,1.7056369785515835,1.7078660220036377,1.7696860736954156,1.8947016413180808,2.392456305224826,2.706129723410883,2.706129723410883,2.923201391978227,2.0634633911853446,2.119547905593814,3.747431453442894,3.8093524760366035,7.146289118547699,7.158805867117802,7.174344568037972,7.617681486618186,7.607682349057678,7.517700529220997,7.6505665697934715,7.6505665697934715,7.093474071432797,7.1179779948963855,7.5039947998325385,7.993496252460145,7.414060552767748,7.095739782787257,7.140525484314338,8.015593371835246,8.042008451125259,8.071561559505943,6.500093131400822,6.28742985097564,3.3549245546086213,3.8399583740238414,3.7786574509082387,6.192310031334894
d4,0.33226634033043323,0.35134136910030056,1.2384295937055954,1.2384295937055954,1.2453978764428018,1.3898189839243429,1.3898189839243429,1.3898189839243429,1.3947873223620246,1.3981185666169609,1.400117462125492,1.3759476271521298,1.4984554549327718,1.4759537912630485,1.9441158236634812,1.9666392572824656,2.023565085381387,2.2576759053290614,2.806063963478703,3.1157518967433324,3.1157518967433324,3.400869905957329,2.3975801375469024,2.437555529903977,4.1598028156489075,4.2094154131254715,7.76218652416059,7.76218652416059,7.835148870563015,8.406807907009831,8.36505309357098,8.395920678224856,8.286191086680542,8.298487890868648,7.73120978624709,7.715128414371984,8.316823297048256,8.708518094761759,8.14759712988722,7.82453236540685,7.875022066527457,8.73356173128672,8.781626479102908,8.768075988379799,7.106315187733088,7.098196706270405,3.6509499665349536,4.116655670924631,4.123707077356076,6.719298132468703
d5,0.42546045098005825,0.44770604609012776,1.490864602157703,1.490864602157703,1.4959947571434828,1.682816228274384,1.682816228274384,1.682816228274384,1.6964133488752857,1.7192280651868412,1.7267656939638414,1.6785405425602362,1.7974057623944026,1.7650372434899846,2.2334808574661276,2.2611673455852066,2.3060510009844264,2.551729527963551,3.2268641422354127,3.5314318226919816,3.5319324010093767,3.914199667266895,2.7109492776734263,2.7286064434198067,4.744083568954004,4.840538741571928,8.379904933646316,8.384793210948084,8.384229811169112,8.958750345566367,8.893234488455727,8.882940139494066,8.925171506405604,8.925171506405604,8.339025349961396,8.341814895860587,8.80237167752384,9.210944664559104,8.615934272550565,8.152027856661412,8.152027856661412,9.14928982868485,9.21671770933838,9.171334024542608,7.50689659056778,7.298555672592757,3.838823521621137,4.400976558689754,4.418285757001226,7.263528894306077
d6,0.47606943007530733,0.5357195079087088,1.6755808866960593,1.6755808866960593,1.7088204424332336,1.9422324214070827,1.9463765039853875,1.9463765039853875,1.9629970373421934,1.9943169719501477,2.000674827789269,1.9417671107436838,2.082258547976012,2.07334377326701,2.5215516495581243,2.5729273256489975,2.716107018255861,2.8592542850382903,3.5569145251151277,3.9419258807757047,3.9419258807757047,4.277315522451156,2.921124177924013,2.9832720192027034,5.26040068527041,5.300027993104218,9.056197480827397,9.131191644553613,9.153437032476774,9.68799906538396,9.679616760302553,9.662750317399762,9.733828732676256,9.646987825618357,8.946454038161114,8.839497453752774,9.018448875985232,9.528959183846066,8.854461844005144,8.634308896637474,8.65489621477468,9.49982422868094,9.568348371202354,9.55687218519082,7.743649763216799,7.658156880278488,4.114848188580519,4.639651746595823,4.639651746595823,7.732318896286647
d7,0.5468615008947226,0.5648848389032504,1.8485440896673893,1.8485440896673893,1.8485440896673893,2.1305764649404644,2.1305764649404644,2.1305764649404644,2.1385396448383704,2.1984926509085176,2.216910938114031,2.2251140549714163,2.32655852018319,2.2661119290986997,2.732938617563839,2.7705946585292964,2.9114084099070827,3.037440694587439,3.761413167470585,4.136992349765298,4.136992349765298,4.502726246818634,3.1498233216121094,3.2418352978427833,6.105228015102069,5.952818291690754,9.750550956782494,9.772201827786175,9.805827344003365,10.142086035371554,10.1024753100474,10.186680798739797,10.258574519798191,10.22712973978921,9.507981912336472,9.585328715438864,10.235207986961287,10.747390742978773,10.144299384486022,9.694390810659502,9.738317752914815,10.541661474314576,10.517627770872569,10.563353358975045,8.423117762896684,8.389891085205493,4.512480728446276,5.079452270590192,5.066104531952723,8.40829260996293
d8,0.676814055553425,0.6977248071062252,1.9230797486333948,1.9230797486333948,1.9230797486333948,2.2099352589493293,2.2099352589493293,2.2099352589493293,2.2321884055517573,2.2866572704235084,2.324952676734985,2.3057017713184322,2.388386524809957,2.375034388498365,3.0135629677736406,3.048717215668287,3.224973089029956,3.3437478779707632,4.167064110104409,4.630923575776146,4.630923575776146,4.914168911214804,3.507214170558414,3.6234244741642434,6.620173917593602,6.56013008519122,11.178603369861476,11.194599728073737,11.221339883526507,11.915502500383914,11.911916219113271,12.106026526532506,11.889320334927518,11.744924813479821,11.009166167250495,11.135507281578516,11.83687126049564,12.299367560056243,11.79590467009144,11.328038099231707,11.517977362872937,12.617810081885782,12.641635108020056,12.461564489828802,9.772713148292441,9.70999049109346,5.311466198998469,5.869933277336252,5.786986226262219,8.98588510808204
d9,0.9243077330371676,0.9776336869274751,2.3973617110485903,2.3973617110485903,2.412035186061489,2.6409411406132786,2.6409411406132786,2.6409411406132786,2.6569310730138347,2.417851992405778,2.5136834337447502,2.4855093976092073,2.5932622037943482,2.7009940290463894,3.3261880607373113,3.354705505849908,3.6652373310077424,3.8903542766866677,4.820826512134935,5.1764972662429525,5.245773823972304,5.551748355478709,4.276534429786366,4.37864808618585,7.763980139019919,7.689749742688299,12.801646721304262,12.84584999733923,12.887097454737196,13.592782637558022,13.55420011181911,13.781784819437153,14.460259802604643,14.386253366250997,14.03550472736488,14.209621885019953,15.08246178942918,15.603613238247169,15.306849253242433,15.026438711099768,15.709429193585114,17.46168840041679,17.711430389942517,17.687546621582438,13.721093166371261,13.266633937007143,8.66522065385784,9.894679677395882,9.894679677395882,10.31875063160484
d10,1.1934347387094102,1.232110222148433,2.8607687905860217,2.8607687905860217,2.888343552196374,3.225014408040727,3.225014408040727,3.225014408040727,3.2241552152717015,3.0370499813953975,3.114269091594631,3.0944603722593635,3.2095917500654947,3.210893451046401,3.8337205658584956,3.888588229634922,4.170534240391658,4.497276701561108,5.297205356284264,5.737171700421607,5.7883625272612,6.27970042801469,5.125915530422603,5.203504197617763,8.436347491690476,8.429773644964722,13.958149619448537,13.983366173131452,13.983223364837425,15.279725366833741,15.46452583408811,15.791903007677291,16.95414023316762,16.96735445520155,16.57231335710872,16.972834421137136,17.92764506674549,18.625099170774874,18.2413806128802,17.86268442162838,18.761224842267794,20.799972458558695,20.846554746762575,20.846554746762575,15.92905479027468,15.570470419526606,9.859162461399581,11.212991731632714,11.243384774408455,11.594337012458883
