decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.08125930762229298,0.08125930762229298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03180609628455926,0.03180609628455926,0.40733621861865166,0.40733621861865166,0.40733621861865166,0.40733621861865166,0.40733621861865166,0.40733621861865166,0.46616266766748354,0.46616266766748354,0.4475491730146999,0.4475491730146999,0.4475491730146999,0.4475491730146999,0.4475491730146999,0.4475491730146999,0.4475491730146999,0.48935163099939166,0.48935163099939166,0.48935163099939166,0.47615902936761606,0.47615902936761606,0.006801389951982451,0.006801389951982451,0.006801389951982451,0.006801389951982451
d2,0.24250661410908342,0.24250661410908342,0.08909941414798883,0.08909941414798883,0.08909941414798883,0.07503771071467451,0.07503771071467451,0.07503771071467451,0.05560006581843062,0.054942923423238456,0.054942923423238456,0.054942923423238456,0.05879687143806596,0.05879687143806596,0.10041400731539607,0.10041400731539607,0.10838407487108662,0.10838407487108662,0.22247093550445723,0.2337983646323485,0.2337983646323485,0.26113741667628165,0.18127902615821406,0.17990406058587444,0.7681621908164683,0.7692317273559579,2.6725934198835968,2.6725934198835968,2.6725934198835968,2.6725934198835968,2.6725934198835968,2.6725934198835968,2.6990475761524806,2.6990475761524806,2.6068381769138336,2.6068381769138336,2.6709183609221716,2.7052155541792615,2.6494613973172543,2.6494613973172543,2.6494613973172543,3.0580446572428848,3.0127457992792097,3.028849373580429,2.563826671224418,2.563826671224418,0.570637776600346,0.5767532500187966,0.5819018614565274,0.5819018614565274
d3,0.3301784944257363,0.3301784944257363,0.4517629721076185,0.45053942512222667,0.4550944911363013,0.4320978259147147,0.4320978259147147,0.4320978259147147,0.40841342284881466,0.3457664973608964,0.3670666465843045,0.38217628276876975,0.38217628276876975,0.38217628276876975,0.4862477207858955,0.49699475807716276,0.5250334566454578,0.5028928570967943,0.881772590785709,1.009318696459706,1.009318696459706,1.032227389956975,0.5915442846432832,0.6048065093859469,1.9292326530548791,1.973618883322787,5.379858802814984,5.379858802814984,5.398965683753561,5.398965683753561,5.427351166626238,5.427351166626238,5.551707695375486,5.551707695375486,5.40630527844152,5.40630527844152,5.553484388747973,5.780656898848891,5.76696723487409,5.571233862108848,5.594050164083574,6.242421154068294,6.24501690606266,6.281112181685883,4.682199391398184,4.682199391398184,1.6406051976541065,1.728509003806679,1.6810015519172439,1.6882185802062282
d4,0.47518025494063065,0.47518025494063065,1.0836654913041792,1.0902796246681365,1.1061393773063168,1.1308729740718249,1.1308729740718249,1.1308729740718249,1.080644000368089,1.080644000368089,1.0888786558673051,1.1308989222650374,1.1578689028805096,1.1535023241580205,1.465516248841759,1.465516248841759,1.509844545275578,1.5900482042149116,2.162243113133042,2.2687264461786487,2.2665071703002235,2.5163833025565094,1.6368415238824834,1.6749806595398877,4.166386666172832,4.238214763532348,8.69191116991993,8.69191116991993,8.744188649697117,8.74539794649272,8.794935161184155,8.752388486403989,8.88007203882179,8.88007203882179,8.666004172976931,8.675625597115491,8.781153399198491,9.057344073524387,8.718142540435021,8.59811274641692,8.59811274641692,9.49573579297852,9.623931886877008,9.668017955404745,7.386004745411292,7.4485954254066495,3.1574701898934796,3.4312668089127465,3.4312668089127465,3.9023679987725215
d5,0.7091056998390763,0.7125425858002743,1.7230345619246972,1.74603015971253,1.8003781264194951,1.872397583212966,1.8364854928798873,1.8364854928798873,1.8439320446015834,1.7630098077078595,1.8196002929890902,1.828316935755381,1.85133362836814,1.85133362836814,2.2787153200002783,2.2826788197260144,2.379737974537335,2.453322366966947,3.2131832729159884,3.517718891839226,3.517718891839226,3.991993988836009,2.686762401218438,2.7114052328220555,6.114055193074241,6.185242822030102,11.532131960282642,11.533581029562495,11.508558634208038,11.800252096075823,11.768187427697063,11.847269671770025,12.109142891217745,12.11265309823251,11.509633041214403,11.488012560061168,11.941857848581291,12.09388268708592,11.6705191013727,11.432389576252778,11.611842858084875,12.529743245551902,12.575847779639725,12.636493003127333,9.520049240984168,9.510538305333602,4.43359876141682,4.787066980175995,4.787066980175995,5.304043736844896
d6,0.8786907850257272,0.8901878789078606,2.1897892507609407,2.1912988847200894,2.3098922880656168,2.3554471313393663,2.3554471313393663,2.3554471313393663,2.3582671315435313,2.2880991391755496,2.3554471313393663,2.391550577097452,2.4655624199944364,2.4129854855657564,2.9902577421215253,3.0043347098221505,3.1364754711206175,3.2952887786845353,4.230780389239967,4.6644311725300085,4.6644311725300085,5.273055090838083,3.618589601180014,3.659414507428702,7.556241329319842,7.547835692896233,13.517205263711006,13.517205263711006,13.459221704944662,13.974552301279981,13.930094105215213,13.945314073848781,14.30652597421406,14.352789771561941,13.475484993368534,13.531287088688888,14.288311181071194,14.408418078992302,13.905294758269696,13.4337574441804,13.795831373347966,14.94610466280567,14.996202723298103,15.041005400493484,11.318104070385179,11.176692359559684,5.93548138788566,6.63064520253357,6.6101757407593835,7.027891726676319
d7,1.0566093107013594,1.0644915482612913,2.4815767386432745,2.4756992271750766,2.613655027435396,2.8238380510476246,2.8238380510476246,2.8238380510476246,2.8664082936163866,2.740812465196578,2.8418449305377065,2.9388327314572633,3.022100572394121,2.9880959765062705,3.5494193200451134,3.6481856252565863,3.8463000806024965,4.126985088088457,5.037364273970491,5.534560629853813,5.534560629853813,6.029971945321714,4.365312107844263,4.368142004153887,8.453443325063215,8.536332973027767,14.988234982750845,14.990550743517057,15.002806284906256,15.392227722695262,15.400836744817667,15.561585852675483,15.932200858741462,15.98732982923853,15.087686922810638,15.167574372630929,15.833066289365311,16.000280707204176,15.56753520314498,15.107332975327726,15.609338828333478,16.83625917615768,16.754749184554154,16.882559181461115,12.728339397146106,12.70206116468972,6.670837333126952,7.4996424520379605,7.415589992428529,8.107928289233621
d8,1.249569318968528,1.2837892868928926,2.8269762277702237,2.8446683208081507,3.0008499869332113,3.225349928637699,3.221226813311854,3.221226813311854,3.26140567920841,3.1790882459071357,3.3227259403840073,3.4649786633937625,3.4760665021741497,3.4687427939929463,4.338147904892854,4.381237865420976,4.599292342004275,4.914858735621758,5.889514398174468,6.346326680552466,6.346326680552466,6.741768757734691,5.022063127845101,5.03307601643282,9.42561304305922,9.394233482979676,16.205319854437022,16.213161508704207,16.154877444629292,16.573268230426894,16.459416168987637,16.468190935245662,17.110309056954307,17.05069781647098,16.198782915929314,16.220155316976548,16.943947331023992,17.32823963848008,16.78320582916916,16.40507527324893,16.864438679501763,18.057457146102127,18.007681490996397,18.15473109073009,13.476806295214914,13.520125434710787,7.267963234252823,8.072465471520765,8.085731355821808,8.912981824289828
d9,1.5589027735093395,1.5842665565916876,3.268469476986675,3.2770434448916435,3.5041855615440207,3.8425704671449123,3.8425704671449123,3.8505178388247083,3.932524151502688,3.930916873124102,4.134328226315963,4.167909819361299,4.3230962504761,4.1788787751831835,5.1698194777959525,5.319896455721507,5.585551329363867,5.86217808097774,7.085400594940697,7.518982656163857,7.5063267379633825,8.208046351639318,6.358802320106058,6.386210930909375,10.551982884891466,10.459872691647229,17.804845561621,17.805469808748228,17.67639889589504,17.724145458062083,17.80702327623085,17.85322083129936,18.473986629567328,18.429667431745305,17.53736980580664,17.66414147710888,18.508332911143818,18.722877432664145,18.484174736048384,18.221503879944787,18.746067068165363,19.823760147444222,19.78461104963665,19.77237975126011,15.065729192966208,15.023286150018475,8.341550886414794,9.129212703370124,9.14209201983052,9.915328016456257
d10,3.2281911147947526,3.2281911147947526,4.959641635536285,5.151386696328119,5.66284765276443,6.165498855639057,6.165498855639057,6.165498855639057,6.3320527585032576,6.54602722382095,6.7827771802856605,6.909455478308973,7.275738997903495,6.929723116290757,7.594249194495269,7.600010524708324,7.981234883536862,8.587891332313173,9.6601179175602,10.39118530022959,10.363415697848533,10.996456175097023,8.17091566609558,8.37657331005306,12.935394253256453,12.914015405383145,21.37553019014325,21.379454630500362,21.42276043673771,21.677587496704835,21.479979423673313,21.427980240900382,22.49487731630628,22.47494245236616,21.050872340975946,21.297098535977277,22.330174913984823,22.602208313432044,22.25970570641453,21.473613720879182,22.05419818941158,23.162377396043784,23.056933508178552,23.026194259495792,17.890898254179753,17.867085618510124,10.805798460528198,11.995215019123384,11.832114088111112,12.57692398850663
