decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.5788943881139528,0.4659682186793301,1.4527111102285244,1.454060576458835,1.459786049864551,1.7666627874026406,1.8491726071167744,1.8674883749714248,2.080452093756494,2.080779961273355,1.9107329754667557,2.3691686140702224,2.442785008416057,2.4282987820387616,2.677142045668501,2.763146337245029,3.5360612952269457,3.477979141843639,4.305745988166081,4.564561988491209,4.733885160917234,6.358972914598331,5.9604365490181666,6.510869409308258,10.084246430042032,10.716468954707322,18.91410509174954,18.868699380199992,18.975295922102045,19.05286364442265,19.553592846674643,19.980511523887152,21.719103887496956,21.79104956581198,21.77022494082108,22.429631771254133,23.924408836786817,24.26782876751654,25.14084141798414,24.852779299314633,24.785173667153394,24.630535979070906,25.475025753933764,25.00834492696509,21.521760559404665,21.091066880279506,13.968175356462783,14.317951451499443,14.96559868997208,15.291135957395145
d2,1.195747536376816,1.1471247503607511,2.5346988583288987,2.7373847500934603,2.9900369539450273,3.386800046212869,3.386800046212869,3.386800046212869,3.5630256685092254,3.589002634825474,3.66976882539939,3.947562267611656,4.115353247012947,4.029637413985169,4.633714004398721,4.613145549738,5.449900968118838,5.985317658529276,7.8953434301436145,8.353862769509357,8.627334469656113,10.118815259628986,9.669229305072275,9.993742844346745,15.253750505148215,15.787880060365003,25.321297437494554,25.424971674229294,25.702706163408628,26.28511912978293,26.804810633145536,27.134593058560334,29.214237521280364,29.436942840766335,28.409771228495096,28.994343169885127,30.459084822473233,30.92900602080598,31.040268761804732,30.450797839063064,30.981586960629322,31.781390199043255,31.673323255782925,31.66798176391465,26.149746045794906,25.807199897434987,17.28962425559261,18.37329862502926,18.903387781556376,20.064906960616305
d3,1.7316671295050596,1.7205159238540162,2.686266128832307,2.8116549106857955,2.9900369539450273,3.386800046212869,3.386800046212869,3.386800046212869,3.5630256685092254,3.589002634825474,3.66976882539939,3.947562267611656,4.115353247012947,4.047198387263601,5.020969848542402,5.073509035374366,5.726451558283175,6.543388860610565,8.492080795388063,9.135871102405805,9.178911918570012,10.795866888182385,9.684943812244462,10.925407706071539,15.29012284060624,16.56719099426746,25.76786305164875,25.980411178406165,26.164753455804345,26.695524187690246,27.719482071500437,28.42921822194473,30.148612421996866,30.080608550681497,28.409771228495096,28.994343169885127,30.459084822473233,31.406037258040186,31.040268761804732,30.81366747154299,31.001853140533296,31.84435416522329,31.754819775385165,31.767129589087613,26.34850418932337,26.083156537923156,17.474733964251776,18.493432367011362,19.111048308734375,20.21413720712467
d4,2.9913302080630806,2.527290843931169,3.2068568870837084,3.3428599130101837,3.747431470694603,4.365047560433544,4.3612135376894035,4.358069713477495,4.594125014868565,4.615463527814119,4.616676260850569,4.674793489915729,4.6881833311756855,4.346573970202991,5.144267730541104,5.1830399199732815,6.013286999528157,7.045134488753902,8.580219881947437,9.169690804689104,9.195833125771596,13.339089341811228,12.104414752933303,12.608535670586166,17.70905760733251,18.058731743869156,27.86578618432561,27.930497603112588,28.051822216042403,28.75639794789497,29.15528750429354,29.591149506028234,31.837815909951644,32.03066610371356,31.039510716035362,31.595847407746845,33.33406845727994,34.08874651611066,34.67012386154074,33.972666884202305,34.531735995683555,35.183269495019424,35.148687134715736,35.12798204195054,29.016350404810474,28.61278085337355,20.267340897302812,20.80316290582094,21.549394841984338,22.644377319252307
d5,4.28461420381669,3.8378053887839045,4.046330172390325,4.2277992639590165,4.679157254865594,5.546933651500583,5.402553072986274,5.400576932292309,5.95899236564558,6.393769288539131,5.994861994549035,6.314476076826103,6.203660000673757,5.802959058510114,7.224562906741724,7.296163192017341,8.275919146340339,9.660071249070272,12.018972658254802,12.316963740025338,12.419099831929415,15.384305281178793,13.592988176933279,13.844452209322744,18.934625445507034,19.418631135054852,29.132737243440676,29.512115047155635,29.67473741971268,30.58814134917921,31.92262009396624,33.524676899270226,36.68666459987762,37.264391415211556,37.044148962123636,38.63898321627387,40.3474982710864,41.915340122115786,42.578216730129974,42.20721780334606,43.15102474044778,42.86430812778933,43.31166511501569,43.8157242064413,37.0263989963857,36.59668100129578,27.171765773907005,28.18632000393195,29.54855455027981,30.287477922929906
d6,5.317770374137589,4.796527071120761,5.652646496313355,5.739583890519382,5.820769272276129,7.189225047804564,7.006297886139786,7.167997169470735,7.305769274095337,7.257602296359039,6.6653734513739495,6.971301165370771,7.519892181263003,7.155866813444971,8.453713014181002,8.685675176417583,10.27283497411543,11.572888672194967,13.849876010654167,14.563713408148919,15.26303109493821,18.25647513036182,16.990196237732096,17.98286322838286,24.784189332507697,25.53527060311803,37.09677127598154,37.318504168859874,36.886290036739794,37.349898548559096,38.313376927677076,39.517642482313036,42.634828998739096,42.89820988287759,41.435483765794814,42.930806047702895,44.07362673891405,45.30424022046596,46.07500466032392,45.7021618736007,46.61414222217238,46.70103552032499,47.424120199246694,47.40574000419388,41.62663615293368,41.425281728424984,33.09329007251245,34.230444801103864,35.55255226937782,35.70648198139495
d7,8.29181478513979,7.6392578086820055,9.615845847632396,9.901227587363948,10.15329110406413,12.02283280451457,11.848249518864826,12.111878419924054,12.436910106964438,12.484680126585875,11.839370722903352,12.200950382523589,12.802727652908027,11.718148012764908,13.213819850899927,13.52639584311874,15.455090579314652,16.968500651033832,19.548307880861973,20.088045694766997,20.542185585209843,24.23898888841198,22.91957738658023,24.51079746196497,32.15719114332558,32.592622416482946,43.619296600383784,44.142021236030274,44.12199183564594,45.893411261591424,48.22909711850766,50.42244114784246,54.61655293203269,55.443215702220655,54.18030889730507,55.95028443549906,57.86882640350473,58.70650267464639,59.82343188099185,59.57971645082017,60.95685318897923,60.808376009208395,62.530226344122866,63.03696026609707,55.66085055382545,55.46516175704282,46.585428906899224,48.089668349260435,49.72861331136882,49.82372634183834
d8,10.132212924685486,9.271270725595047,11.635858931358172,11.880318019207303,12.085813025096003,14.295849853978064,13.851371528944847,14.030659769055323,14.439839801977891,14.224347972249879,13.23752258057254,13.36589390310439,13.744435830483289,13.150820834051363,14.481290077655796,15.030348159624731,16.489523003517697,18.070136797553122,20.54061578518462,20.904226874628584,21.23457402284991,25.514329839781276,22.91957738658023,24.51079746196497,32.15719114332558,32.592622416482946,43.619296600383784,44.142021236030274,44.12199183564594,45.893411261591424,48.22909711850766,50.42244114784246,54.61655293203269,55.443215702220655,54.18030889730507,55.95028443549906,57.86882640350473,58.70650267464639,59.82343188099185,59.57971645082017,60.95685318897923,60.808376009208395,62.6321807759716,63.03696026609707,56.026474712079334,55.63338023008647,46.8419073043416,48.33982476379441,50.45470396926512,50.9834735294161
d9,10.132212924685486,9.271270725595047,11.635858931358172,11.880318019207303,12.085813025096003,14.295849853978064,13.851371528944847,14.030659769055323,14.439839801977891,14.224347972249879,13.23752258057254,13.36589390310439,13.744435830483289,13.150820834051363,14.481290077655796,15.030348159624731,16.489523003517697,18.070136797553122,20.54061578518462,20.904226874628584,21.23457402284991,25.514329839781276,22.91957738658023,24.51079746196497,32.15719114332558,32.592622416482946,43.619296600383784,44.142021236030274,44.12199183564594,45.893411261591424,48.22909711850766,50.42244114784246,54.61655293203269,55.443215702220655,54.18030889730507,55.95028443549906,57.86882640350473,58.70650267464639,59.82343188099185,59.57971645082017,60.95685318897923,60.808376009208395,62.6321807759716,63.03696026609707,56.026474712079334,55.63338023008647,46.8419073043416,48.33982476379441,50.45470396926512,50.9834735294161
d10,10.132212924685486,9.271270725595047,11.635858931358172,11.880318019207303,12.085813025096003,14.295849853978064,13.851371528944847,14.030659769055323,14.439839801977891,14.224347972249879,13.23752258057254,13.36589390310439,13.744435830483289,13.150820834051363,14.481290077655796,15.030348159624731,16.489523003517697,18.070136797553122,20.54061578518462,20.904226874628584,21.23457402284991,25.514329839781276,23.43516082937723,25.141345283541703,32.82941136466134,33.522084139202875,44.75286784100472,45.335792275937685,45.52154900224875,47.05405536589901,49.48501366705428,51.62534159848347,55.49380019665989,56.509722104448564,55.05649839613413,57.11445435348868,58.61330326523118,60.21469835927677,60.83050060893222,60.43988115010986,61.69603642640991,62.061756143111076,62.814217047355456,63.16824010815243,56.15784748187632,56.10900072024502,47.25207743162214,48.75938979026799,50.659106266254746,51.26526607579333
