decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,1.3855527881073506,1.225847434791972,2.507114129352478,2.5652287352891188,2.6197994414720718,3.028094208700974,3.1211164901893795,3.246472618915847,3.4228012432707793,3.4905468792268217,3.423821103361771,3.5713297279138216,3.816976799280866,3.683999565422758,4.237516234400796,4.284635376882202,5.226062701033234,5.638039310825238,6.308687001616532,6.519610495204654,6.394531009084432,7.976775782301322,6.007456707382935,6.937614789538924,11.278674429635867,11.40769453360927,20.738922617816495,20.760050559036106,21.07849188642088,21.403769315513244,22.17177938463931,22.905797811196543,24.460697512528824,24.65054983994776,23.921612244523608,24.646997631121554,26.33059007427996,27.808779892503765,28.527778153293458,28.338610288659726,27.742638480909896,28.021636928454505,28.93449675956855,28.756538246943364,25.3500119657782,24.524144493240595,15.916908191990961,17.146421492293864,18.047833746833632,18.06256978215487
d2,2.4301770370340385,2.388585153063589,4.007051222144999,4.0073232639476775,4.024865322586942,4.79220094959788,4.632282080119074,4.536623163162886,4.670802333381321,4.552345936412826,4.77231765843347,4.524561412244759,4.691920709507819,4.789120270352168,6.00042285878891,6.032464228877745,6.356471289280526,7.383915350189224,8.678352382316683,8.907000981085217,9.072387740379721,10.68677942397383,9.483121852616112,10.517925708607654,14.391285579519565,15.567014318138401,25.356505545122225,25.3978130419432,25.39265419631187,25.982390625418997,26.77129725684395,27.655458425203204,29.395174710180083,29.57162985019471,28.733201707524653,29.385079346601156,30.62154297699263,31.65810066610043,32.30822553179603,31.925897625545524,32.10892137645604,32.400811412585526,33.73938267670094,34.35327750546653,30.524002216538975,29.49872628141383,21.642157042967444,22.633522608162536,23.423988433292035,23.691471741075805
d3,2.794920646260713,2.930711859539005,4.007051222144999,4.0073232639476775,4.024865322586942,4.79220094959788,4.632282080119074,4.536623163162886,4.670802333381321,4.552345936412826,4.77231765843347,4.524561412244759,4.691920709507819,4.789120270352168,6.00042285878891,6.032464228877745,6.356471289280526,7.383915350189224,8.678352382316683,8.907000981085217,9.072387740379721,10.68677942397383,9.483121852616112,10.517925708607654,15.177656458108368,17.446085093801777,25.8705425260088,26.582248665320982,27.27068059401895,28.005599596984887,29.2057644720212,30.14663605532409,32.37912070565842,32.74938646109176,31.71234554693474,33.26307896610574,35.34850516619011,36.25224026208015,37.837111484806904,38.127815833982844,38.92478833783409,38.84545790769295,40.702849319510456,41.322782657146455,36.83493143986658,35.547804583392505,27.249637886581574,27.908531279732028,29.047830847578307,29.236294137149365
d4,2.794920646260713,2.930711859539005,4.007051222144999,4.0073232639476775,4.024865322586942,4.79220094959788,4.632282080119074,4.536623163162886,4.670802333381321,4.552345936412826,4.77231765843347,4.524561412244759,4.691920709507819,4.789120270352168,6.00042285878891,6.032464228877745,6.356471289280526,7.383915350189224,8.678352382316683,8.907000981085217,9.072387740379721,10.68677942397383,9.483121852616112,10.517925708607654,15.177656458108368,17.446085093801777,25.8705425260088,26.582248665320982,27.27068059401895,28.005599596984887,29.2057644720212,30.14663605532409,32.37912070565842,32.74938646109176,31.71234554693474,33.26307896610574,35.34850516619011,36.25224026208015,37.837111484806904,38.127815833982844,38.92478833783409,38.84545790769295,40.702849319510456,41.66562212207581,37.3525536668713,35.547804583392505,28.79949527520525,28.98828744557421,29.396397696494738,30.94023806143138
d5,2.8452414886633215,2.930711859539005,4.551861304116526,4.687503119793765,4.84856482331652,5.953812529153792,5.945920332566272,6.076631863907146,5.882218572174052,5.808811570721778,5.808621525104907,6.060242936670893,6.032135641735162,5.592940389862983,6.455110670434482,6.645482196108416,7.885124444448681,8.484747861808433,10.056073507095688,10.54683111102029,10.577911422337435,12.738144097228888,11.00109860780616,12.336902376775658,16.229947993611574,17.446085093801777,26.14545700074686,26.582248665320982,27.27068059401895,28.005599596984887,29.2057644720212,30.14663605532409,32.37912070565842,32.74938646109176,31.71234554693474,33.26307896610574,35.34850516619011,36.25224026208015,37.837111484806904,38.127815833982844,38.92478833783409,38.84545790769295,40.702849319510456,41.66562212207581,37.3525536668713,35.547804583392505,28.79949527520525,28.98828744557421,29.396397696494738,30.94023806143138
d6,4.336681372615962,4.116468919467829,5.755016039033231,5.886800269961218,6.1741218115957555,7.694911376597635,7.534701810482005,7.656534119623099,8.178067941415183,8.092749663114521,7.757331727455833,8.128431019795686,7.970137164952024,7.766955188271891,8.341988767415465,8.645065180673578,9.280017668663557,10.586738509062474,11.922982839310132,12.314105227867945,12.805873819713057,15.727188127515973,13.883678943281016,14.94648950507867,20.501592137992457,22.448438574299423,31.83050547113043,32.513547119761014,32.92812794524922,33.680764921022615,35.0710580121121,36.34515555944896,38.77274224702067,39.2347173349554,37.8865282584487,39.16998276379099,40.985277066229926,42.87460708445918,43.89596174289454,43.41669261965403,43.62517360291892,43.28362376923382,45.20788025434493,45.75989855159101,40.223990540120504,39.11259676904684,30.599497530097533,31.43195768312949,32.73835691911117,34.011996993854225
d7,6.048540218662039,5.625916006020159,7.976939445799208,8.22926678891723,8.61972815305323,10.309383155881353,9.896218264045004,10.03635117858081,10.118155744846767,10.046505799962102,9.773690861047823,10.234212714562409,10.218645629151075,9.293650147095411,10.091052421729094,10.256143215717456,11.387528595902475,12.161905950793741,14.566314640497126,15.197556183353402,15.332343428647695,18.768346201664635,16.873997234370282,17.659471166398152,23.020458618907096,25.024868327866177,35.92508685555714,36.37489501155791,36.24306200932354,37.77941722185551,40.072259970163024,42.07290038267515,46.50873901550401,47.21960999210422,46.4228252283137,47.79517676058973,50.191466909784864,51.53804085488143,53.57643710366362,53.20342164580801,54.80064222845495,54.474651088732436,56.57061679827647,56.64580079378395,50.95489863798285,50.24113824768149,41.77481171214876,42.982452901169744,45.13619240979695,46.09475992182107
d8,6.048540218662039,6.2557975816426294,9.833190544081367,9.862573562685213,10.027040676431266,12.036012180954994,12.01909528038145,12.21197141439329,12.768810178473124,12.866092032980287,12.27758225047348,12.561358958996323,12.593737262344934,12.302772658969294,13.614115738664143,14.284293535021934,15.35723292839,17.357384298777824,19.196476729886264,19.489249619152666,18.660439437928602,21.27070211344091,17.038119580015444,17.81458880152797,23.418004037565918,25.024868327866177,35.92508685555714,36.37489501155791,36.24306200932354,37.77941722185551,40.072259970163024,42.07290038267515,46.50873901550401,47.21960999210422,46.4228252283137,47.79517676058973,50.191466909784864,51.53804085488143,53.57643710366362,53.20342164580801,55.74545034038651,57.84866257332503,60.2098290980576,60.84668910011139,55.71698837507171,54.43621151269521,45.5739906982226,47.09110351923458,49.45840553995192,50.596020980217645
d9,7.470288135642394,6.849209784418056,10.708412195677457,11.165229959583817,11.411367731062462,13.66715572954025,13.806989735920524,14.172148103250276,14.6233389311062,15.029254861870623,14.460902915992193,14.73410447795627,14.65755474276998,14.342688954507196,15.103229281079232,15.56933104996138,16.671976362789547,17.511580736981735,19.196476729886264,19.489249619152666,18.66665096676755,22.456230691221112,20.138669279010127,20.927503162675734,27.260704278031785,29.0510976441332,40.92610108035679,40.89025074489133,41.05970647241496,43.50288825122869,45.420313115869725,48.27070028517997,52.45966596381438,53.52251524474593,53.30187476128003,55.71763324371784,58.050019451778645,58.768773103783495,59.333901876741734,58.93235110463165,60.32940798992822,60.36224324439409,62.59266181893285,63.10698375359315,57.01591237395513,55.760970842183056,46.8664157858836,49.01662325875482,50.5114141900336,51.720972128843655
d10,10.852756277957322,9.90014749252389,12.29620407411222,12.6771619635505,13.020302427608613,15.102198105912356,14.784789480541956,14.92751188886696,15.63289801918317,15.430883381541724,14.530544976472976,14.940710726819995,15.59798730752398,14.545047348823232,16.146824139024375,16.86360100148286,18.959661839212252,21.1798714341746,24.191500897673016,25.02488829145852,25.16017303525229,29.08463585117475,25.899634899174522,27.173789261828784,35.20572685255191,36.15857537641083,47.80709009864296,48.30477156231073,48.08974569910783,50.05370712744396,52.49762588421777,54.98505523844682,59.85903388851658,60.6952616772477,59.07269196742832,61.21839761477687,63.34550147658101,64.67690783593052,67.5459933078333,68.286696204306,69.79096863075522,70.88397186123265,73.42377919683348,73.92755751515696,66.62641899731463,65.79879478170152,56.54970349733419,59.31409076330097,61.91627831575808,62.782533884506826
