decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.005776094999566795,0.005776094999566795,0.04861663607195599,0.04861663607195599,0.04861663607195599,0.09892374552038544,0.09892374552038544,0.09892374552038544,0.09892374552038544,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.13234230579884051,0.13234230579884051,0.13234230579884051,0.15108066214800947,0.340412330480072,0.6502999325194135,0.6502999325194135,0.7845791502945246,0.6415396241557707,0.6415396241557707,0.6679836949699546,0.6679836949699546,0.8103088841047379,0.8103088841047379,1.4475081202819025,1.7698532002123677,1.7698532002123677,1.8086547694196298,3.0516446120574896,3.1939024782083387,3.3355116722877347,3.322182471840803,3.320671463711753,3.2890270195852316,3.1405482832637377,2.994991938434743,2.994991938434743,2.8983942533336746,2.8983942533336746,2.8983942533336746,2.8983942533336746,2.8983942533336746,2.707332899072802,2.707332899072802,2.04705375690959,1.6326915955825427
d2,0.17507212868559385,0.17507212868559385,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.4895353024832406,0.3208601264840002,0.3271339240118552,0.3271339240118552,0.3271339240118552,0.32514831903603836,0.3135914782438324,0.3151586204765023,0.3473320391386535,0.3930617565933849,0.7781690517773898,1.2612553030725722,1.2612553030725722,1.4829841942400592,1.0257697172738705,1.0257697172738705,1.3609214832931682,1.4327504323358276,1.9595218099344625,1.9595218099344625,2.958241540226118,3.421578441961201,3.3979861365721584,3.4554668233194454,6.393050110478261,6.380675686923313,6.949939214561093,6.932052459313863,6.906984226690933,6.848004838968059,6.32266903212874,6.062897678590446,6.236751866979555,6.147811307892644,6.10939852781551,6.10939852781551,5.9565427507678645,5.878349567405079,5.200002950285137,5.200002950285137,4.396858765275153,3.962228339447738
d3,0.28347044675392663,0.28347044675392663,0.7547428133220679,0.7547428133220679,0.7547428133220679,0.7920571445369727,0.7920571445369727,0.7920571445369727,0.7291073814664359,0.5525567899282147,0.5642335406424757,0.5960869736928919,0.6001863661464949,0.5927556402400521,0.6063777227438475,0.6242644779910762,0.6697499074588734,0.7643592108964155,1.1448137936461724,1.6830699750112061,1.6830699750112061,1.8862850154696873,1.8024412337823132,1.8024412337823132,1.996338445073178,2.014998190070729,2.8589654883577325,2.8589654883577325,3.7315065898938373,4.39044378574571,4.39044378574571,4.40666509058251,7.936156653349758,8.289991137691919,8.726113684929512,8.698995227181715,8.714695178375617,8.718467956837133,8.464614687621964,8.547993133225146,8.647325277307738,8.48346039088578,8.48346039088578,8.528918622012743,8.193766855993442,8.1086066287282,7.685949599065883,7.685949599065883,6.887369934990247,5.753382655190236
d4,0.5859494496323213,0.5990378284534879,1.8333795661779615,1.8333795661779615,1.8333795661779615,1.968092282770197,1.968092282770197,1.968092282770197,1.968092282770197,1.7070610202621346,1.7433655144475864,1.8475023716598102,1.934532528175317,1.9879737211259958,2.0682896396411,2.0702134505526226,2.1843080258032352,2.2227252840905165,2.787256300854316,3.26587361980557,3.26587361980557,3.663884642780732,2.493532045608821,2.493532045608821,3.2290842582526715,3.4405718109090664,4.115408683460313,4.153266854387058,5.938228734259373,7.155574340577654,7.105375988364884,7.125865514127838,12.617894207351162,12.921149693270138,14.119560448037745,14.03176149759901,13.98880019560857,14.049669178355538,13.568309473984982,13.577793893570615,13.607079471639562,13.693334580948871,13.867636109005366,14.035842616408775,13.42899182996238,13.174023863088607,12.403109250729687,12.395368479899009,11.72309032474443,10.395471341779555
d5,0.8264812822238925,0.9462214913477605,2.503961077177285,2.503961077177285,2.5060592080295203,2.697750780091588,2.697750780091588,2.697750780091588,2.70606915878009,2.3343939346925224,2.37586039046795,2.4156095979274306,2.472100386704785,2.504990417749405,2.6630121701243348,2.7695239833821943,2.9434884469674882,3.0631585273832416,3.687078085199674,4.135510264992727,4.135510264992727,4.6239091139589945,3.1114105385059956,3.1114105385059956,4.129438978956556,4.356276210754198,5.553672888136084,5.592178957571001,7.436219368725422,9.196407591794541,9.186274222959328,9.193640231109393,15.589044016295972,15.685754670358268,17.095034308823834,17.199999932469215,17.239382421223304,17.235048753073194,16.567584891256214,16.686698705727633,16.94591478972853,16.930607341788185,16.979806267816908,17.146449267414432,16.139827740974557,15.940200202406839,15.17140706465542,15.118611198220112,14.071404686655773,12.915106931367735
d6,1.1708698836187605,1.3146333460554176,2.9991753428815264,3.010576634811738,3.010576634811738,3.576442076987017,3.576442076987017,3.576442076987017,3.5900834537266464,3.3470743171618893,3.3758653005839916,3.496383705627307,3.71273438625008,3.7727824854728516,3.802421029898447,3.829833053718879,3.9523472325277518,3.9299946185287795,4.669761195438132,5.358512933176384,5.318883693884807,5.8686709912840795,4.437526489706682,4.437526489706682,5.741155503523051,6.099188465479818,7.745789882597028,7.811470297912436,9.760094539077201,11.18313324939037,11.157397817384695,11.145685194522391,16.870142547512632,17.309723974948405,18.550324638975308,18.378484077769805,18.45138269591107,18.656734713505198,18.16405224756979,18.46875271982675,18.748274783804852,18.69486971833327,18.94288248593535,19.104718715583395,18.012578484136313,17.61988299243213,16.729210561859468,16.752501903144168,15.878687960182404,14.404929234105467
d7,1.5241482088371545,1.7048203235986008,3.846948778393526,3.846948778393526,3.877636577063808,4.357357476701044,4.357357476701044,4.357357476701044,4.369301537580322,3.9073849751001326,3.9672053879528164,3.9454931783758282,4.1603318248746985,4.227845678611578,4.55906549123377,4.867459621022412,5.27040341056257,5.256656568856147,5.9576565688771534,6.759218703958327,6.7562779761924805,7.227154048939859,5.213559297105065,5.213559297105065,6.447554311356828,6.729679238933278,8.639846443653289,8.7117844501791,10.798864125303052,12.848037010620397,12.994240462233657,13.220216324520191,20.631236763053142,21.342668904524906,23.108273862668575,23.25122691973445,23.03844365113128,22.97183903837925,22.296132022566926,22.797696076185805,23.07217054941291,23.367810523616683,23.76629287413129,23.852595762314877,22.287031836022365,21.98961048916212,21.10435026121504,21.13339382159368,20.35402211584258,18.62755755232385
d8,2.0509438767061283,2.244340086073805,4.41363922223721,4.452595669494081,4.558155494758987,5.164420275299037,5.164420275299037,5.164420275299037,5.164420275299037,4.66554469806743,4.729603959455113,4.893163909199869,4.950774841080336,4.97507945474836,5.024107063442313,5.130318878435065,5.587584353863763,5.860183591687635,6.881313802087258,7.802433058778888,7.7753285594363195,8.435964031354638,6.3133001278086684,6.3133001278086684,7.935742579699275,8.332623182668865,10.335017828266654,10.42623445082442,12.554649691757337,14.900269243240203,15.060445769445598,15.17570600711591,22.832707261756024,23.35544036285544,25.035230728663333,25.046932460779306,24.89292191292136,24.768463949747527,24.046523399829347,24.7610792274859,25.163874367924173,25.493485464380775,25.934896710442352,26.053274333702415,24.413501920644574,23.94065211837798,23.066950070833897,23.131883282338826,22.126744036584867,20.208345787130895
d9,2.4764743321636633,2.7300423571950097,4.986487760044086,4.99219226546342,5.1044066514145285,5.765860351765751,5.765860351765751,5.777504937414859,5.812896939724567,5.424796902547797,5.38338951151969,5.460695363300739,5.758059350873366,5.768190962173895,5.841453922692432,6.106167294927227,6.432691080786567,6.290201765859731,7.393989478762782,8.68264160946289,8.385776354131945,9.585229146662309,7.450164870154085,7.444460364734749,9.00328965258866,9.39108897764275,11.503661630016122,11.567642615524118,13.747202921734509,15.930487922629862,15.977018631751761,16.18924328300347,24.039389668635966,24.510467296710942,26.0812711547351,26.101086031907766,25.96037251861777,25.970625528187412,25.292762906532097,25.546672029396156,25.98861773216594,25.86010724983813,26.245196232761476,26.364151301805407,24.693107628000384,24.11194434626393,23.12782957172355,23.17358653897734,22.283721965165675,20.417414456560962
d10,4.515087971215899,4.745686023530663,6.724879198197781,6.761111208616545,6.88428973105855,7.289659858203303,7.297519365546559,7.298783920384753,7.306240626309899,6.420423322071263,6.267787063216191,6.110221021996582,6.322259733185551,6.291166554956973,5.847684016018519,6.176557578480914,6.4343158032673315,6.554998064332284,7.5988686021380785,8.766481794713034,8.648067396407024,9.606149397573152,7.656880147510509,7.620648137091746,9.35825533043958,10.022321896886863,12.343192392418146,12.440643428132207,14.580202794294271,16.80197508376613,16.84310536122053,17.10959982526482,25.217010103382943,25.60221152817187,27.47474393935584,27.5211666582181,27.453306929570072,27.685221085888486,27.11056012633593,27.165910793198556,27.700382735535804,27.288837358238688,27.664160245230466,27.81973407041091,25.95894835462107,25.209834749637388,23.979609968910246,24.069320837151825,23.107887662296825,21.185611871850348
