decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.05864264136889972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0015687420935478259,0.0015687420935478259,0.0015687420935478259,0.0015687420935478259,0.0015687420935478259,0.0015687420935478259,0.0015687420935478259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361303999312801,0.12447112514483508,0.12447112514483508,0.1361303999312801,0.1361303999312801,0.16053099773787807,0.16053099773787807,0.278259565833895,1.0677473769033508,1.0677473769033508,1.1195525631709702,1.506681311473325,1.5139562975999226,1.6026831240809387,1.6026831240809387,1.6026831240809387,1.6026831240809387,1.6026831240809387,1.6026831240809387,1.613229134035448,1.5112124134704177,1.5112124134704177,1.5112124134704177,1.429813338021047,1.429813338021047,1.3018331126693448,1.3018331126693448,1.3018331126693448,0.4717490853490073
d3,0.0035771348680395222,0.0035771348680395222,0.0773689604006357,0.0773689604006357,0.0773689604006357,0.08254610285918744,0.08254610285918744,0.08254610285918744,0.08254610285918744,0.035697340483413956,0.035697340483413956,0.035697340483413956,0.035697340483413956,0.035697340483413956,0.035697340483413956,0.06362734913271542,0.06362734913271542,0.06362734913271542,0.06362734913271542,0.06362734913271542,0.06362734913271542,0.20192103837842232,0.16566439566520152,0.16566439566520152,0.26854667664435966,0.26854667664435966,0.2977416849108646,0.2977416849108646,0.43343234711633477,1.755460867916026,1.755460867916026,1.7640741525499934,2.0684829354533285,2.2274317459316313,2.368435125089044,2.317337164917435,2.317337164917435,2.317337164917435,2.3184407049081712,2.3879701315344035,2.3879701315344035,2.44932337676225,2.4543278509443716,2.4543278509443716,2.4256563888386764,2.4256563888386764,2.3771448992014848,2.4030849779039163,2.118792562020945,0.8723559213834703
d4,0.0313783051118298,0.0313783051118298,0.12570318373060232,0.12570318373060232,0.12570318373060232,0.12570318373060232,0.12570318373060232,0.12570318373060232,0.12570318373060232,0.10653520965367616,0.10653520965367616,0.10653520965367616,0.10653520965367616,0.10653520965367616,0.11523762586839333,0.16410889467566747,0.16633558604000206,0.16633558604000206,0.16633558604000206,0.16633558604000206,0.16633558604000206,0.35704075338873553,0.23759519654963235,0.23759519654963235,0.4163140261122926,0.4163140261122926,0.49202225954432244,0.49202225954432244,0.7261856388477108,2.0179715688794335,2.0179715688794335,2.029311471284352,3.2300534619490833,3.57798463631883,3.746100519056823,3.6339359997330005,3.6130391112316866,3.6130391112316866,3.5905695685983305,3.6283354597766078,3.6515115556432156,3.7552228385317603,3.7978885502182025,3.7978885502182025,3.6854863005111858,3.6854863005111858,3.529685327684814,3.602772287235009,3.4785558376838055,2.188016492689006
d5,0.10708439179629181,0.10708439179629181,0.21999334036485738,0.21999334036485738,0.21999334036485738,0.2348608126264926,0.2348608126264926,0.2348608126264926,0.2348608126264926,0.19380693731381998,0.19380693731381998,0.19380693731381998,0.19380693731381998,0.19380693731381998,0.1974327404712195,0.24702468083905488,0.264459452445417,0.264459452445417,0.30636456913197707,0.30824390991542056,0.30824390991542056,0.5395887467967972,0.33658287132204556,0.33658287132204556,0.491222687491298,0.5015687943602197,0.8460989973407672,0.8460989973407672,0.9925662113258769,2.5768629282652915,2.5768629282652915,2.583509244723919,4.309904767843763,4.411737186233973,4.487809208350366,4.466206976285378,4.466206976285378,4.491699084047893,4.533392157526838,4.695654318884894,5.019712809658705,5.22692692844325,5.231609941163319,5.231609941163319,4.964934836063241,4.944617637428428,4.680387924586431,4.841859199359291,5.040342448879268,3.7013613979444515
d6,0.19072478766407083,0.19072478766407083,0.41523986046399114,0.41523986046399114,0.41523986046399114,0.4603230991273056,0.4603230991273056,0.4603230991273056,0.4603230991273056,0.29787204380498034,0.29787204380498034,0.299056540858197,0.299056540858197,0.299056540858197,0.299056540858197,0.3502789270251839,0.3806649289864902,0.3806649289864902,0.4732902878781319,0.48857291803189185,0.48857291803189185,0.7505863241093861,0.4838566164224961,0.4838566164224961,0.6548276570514112,0.6781868199130582,1.0369155595355015,1.0369155595355015,1.326703746865595,3.445130849275087,3.445130849275087,3.505830359610731,5.888164337652235,6.2031363591284,6.246313209424768,6.420664124099696,6.420664124099696,6.420664124099696,6.371127689442975,6.5196952719311,7.056049289388319,7.1801616473229,7.217924536298311,7.217924536298311,7.059405743408135,7.058571987733508,6.757729878366716,6.781941329106401,6.627602480823443,4.92389217555836
d7,0.25086680147112117,0.25086680147112117,0.5081662875771041,0.5081662875771041,0.5483014528650523,0.6705002178841355,0.6705002178841355,0.6705002178841355,0.6705002178841355,0.4622483106266769,0.4622483106266769,0.4622483106266769,0.4622483106266769,0.4622483106266769,0.45210371469202587,0.5073650405804108,0.5214020879222557,0.5214020879222557,0.6134794694254733,0.6541791626262112,0.6541791626262112,1.0693569491173927,0.7539872140205238,0.7539872140205238,0.9976033034617133,1.01641358701647,1.4880461181996374,1.4880461181996374,1.853154134331648,4.421254546886243,4.421254546886243,4.563556478195363,7.093249119427921,7.554933677471574,7.654040001713854,7.727214684361073,7.727214684361073,7.727214684361073,7.724627155485356,8.147744580667062,8.330266132111973,8.367991256010296,8.484389849801588,8.484389849801588,8.362992765156047,8.271044390742802,7.81070483715189,7.905595314811196,7.727195197815021,5.809066090557091
d8,0.31142490490990155,0.31142490490990155,0.6482195741132827,0.6482195741132827,0.6749584562735009,0.7675268941287372,0.7675268941287372,0.7675268941287372,0.7675268941287372,0.5473273413304639,0.5473273413304639,0.5473273413304639,0.5473273413304639,0.5473273413304639,0.523072911348405,0.601996104691579,0.6468804931377345,0.6468804931377345,0.8554646419329117,0.8984436391181271,0.8984436391181271,1.3104248258492084,0.9369808353077177,0.9369808353077177,1.2261301404302158,1.283785648602186,2.0300190624022294,2.035944329505263,2.48407391235832,4.809368298761128,4.809368298761128,5.026200969296851,7.745521587470067,8.244998003899578,8.465151376840586,8.370274982701734,8.129888916566896,8.129888916566896,8.01204714508727,8.414027907048233,8.473928560134656,8.633269778412739,8.833265589390646,8.833265589390646,8.605380465824044,8.487117004355294,7.9663781436416174,8.338774961276904,8.67581438087382,6.629108112572373
d9,0.53106079619087,0.53106079619087,0.883174551555357,0.883174551555357,0.883174551555357,0.9414448754360383,0.9414448754360383,0.9414448754360383,0.9414448754360383,0.676777099502939,0.6795851804684521,0.6931334020723382,0.6931334020723382,0.6931334020723382,0.672766175514328,0.8026734978758725,0.8934808761291932,0.8934808761291932,1.3631250665296384,1.4336933471873903,1.4336933471873903,1.9535971285974731,1.3156248000092023,1.3156248000092023,1.6244930707085647,1.7520359455363739,2.297364417037497,2.2976890490986106,3.001086558573563,5.727553521622616,5.727553521622616,5.824960072270248,8.697802681373062,9.357387982437215,9.671330200930388,9.584658492254775,9.639940164662516,9.642762296088517,9.321587580576212,9.792370802567692,10.051623673253923,10.154731336925924,10.32763330490557,10.32763330490557,9.990181874563163,9.895695362392404,9.26704361881591,9.386565488371993,8.900302495925512,6.633288964803674
d10,0.5639621141651695,0.5639621141651695,0.9991994797612817,0.9991994797612817,1.000908158165195,1.0743162184525556,1.0743162184525556,1.0743162184525556,1.0743162184525556,0.7408412844298893,0.7408412844298893,0.7408412844298893,0.7408412844298893,0.7408412844298893,0.7096592816712614,0.8869639662166993,1.084714773655754,1.084714773655754,1.5218416172492937,1.6008530976259359,1.6008530976259359,1.9943427274867198,1.4462471946556608,1.4462471946556608,1.7399565138730266,1.768645416946277,2.5854697686539456,2.5943073858270127,3.398068131148751,6.100584640519291,6.100584640519291,6.19608338670047,9.103698358335626,9.76318317215984,10.178370206370921,10.08535599016631,10.128259097453846,10.143858205928163,9.775404312814292,10.279848866152042,10.32120803338507,10.294773498617678,10.50556395314192,10.50556395314192,10.268880480781773,10.064259663813838,9.320557014176735,9.494777178707762,9.561219713203831,7.458819710014852
