decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.4762345295868659,0.46451949965658257,0.9883952897453592,1.0262224486730562,1.0531447419158597,1.2064095890157787,1.2064095890157787,1.2064095890157787,1.2064095890157787,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8755325223515482,0.9441417181295477,1.0205767487327368,1.066049018392143,1.4037681018320565,1.4486047928694963,1.4486047928694963,2.050213268435174,1.4878097772003192,1.4829976562038365,1.857048225637805,1.8176085658358683,2.36645227029244,2.389814925731818,3.011465464705141,5.200245236333046,5.187699067937332,5.361884768735722,8.322909407024376,8.817660731033625,9.59551517308042,9.51223904483216,9.587425579847487,9.428676491925438,9.122683871284144,9.41526618477968,9.588957046510698,9.720904728327685,9.992636130516619,9.992636130516619,9.684588360958625,9.539419055505636,9.300386360295535,9.451070781317505,9.483390402477678,7.797423868210354
d2,0.7372458481202495,0.7201039209347989,1.424940574291805,1.4685405329989778,1.5648141441623415,1.9006262356456083,1.9006262356456083,1.9006262356456083,1.9072913584972013,1.410450757354796,1.4392942156060298,1.457117323008745,1.4910639063222697,1.4910639063222697,1.5169511391974007,1.5934164620429994,1.708178554516813,1.9251301939311412,2.299110989723548,2.410543878437884,2.3633300034894607,3.529427536254898,2.647396264821373,2.610578388961479,2.9979123419478277,3.0707054671506295,3.6317985295112374,3.746524445698422,4.721325041894953,7.152886360635482,7.126647458807765,7.30465341763221,10.213559888152806,10.738503958287605,11.384384552941466,11.387728123649357,11.381890699621815,11.282321053103916,10.857448825604441,11.323394442731953,11.557905322705242,11.742183387035144,12.013002178624472,11.993191124827757,11.535063379730781,11.447599812008885,11.081204899861019,11.407321873713371,11.088003484794074,9.396568977066986
d3,0.8816554759942592,0.8368005397802539,1.8058125244310488,1.8595542669033058,2.0325316578399835,2.3625662920244324,2.3625662920244324,2.3625662920244324,2.352544374756173,1.7347149487384832,1.7760536614066371,1.828572556707028,1.8756925725072555,1.8756925725072555,1.857736839678001,2.013926295641651,2.244385110410562,2.3850047643933356,3.010607696645318,3.24453763614846,3.191024363294157,4.155263861639206,3.117834780478849,3.0736847806716776,3.42834208445841,3.527446695772391,4.164378627192618,4.270468013608005,5.312005637566289,7.614873045560698,7.622409344963235,7.7756820845431225,11.470996958668719,12.048276590263825,12.643838530186674,12.64886720432295,12.697980134294486,12.595938638295435,12.113610200430696,12.569407781584662,12.861232439478524,12.62601300129254,12.852587406422469,12.852742950423046,12.401736600040831,12.363657447637705,11.895765620830764,12.149921952659115,11.991457335766041,9.943790188710118
d4,1.0525988046951853,0.9940466489419503,1.8582819650627507,1.8944040579144446,2.121146109251676,2.507371203691056,2.507371203691056,2.507371203691056,2.477923279429003,1.8108990586861609,1.9141832289475158,1.9484980912842644,1.991620304580288,1.9744657575312643,1.9485195217369515,2.1142876311509498,2.3624636573985445,2.520216322051069,3.2622433378854687,3.4450961523480856,3.41307574829725,4.525246911316245,3.6505189335379256,3.615248918505587,3.8215553658488224,3.7310506677910547,4.323830054494941,4.449042264651058,5.618420175557212,8.069103261269678,8.06800525220078,8.348649668618492,12.16703194301149,12.809042876535965,13.72275312924496,13.659461000552374,13.660368894772251,13.419169625251033,12.85715649142835,13.350685356700515,13.555303279247223,13.917734941987902,14.239370812019288,14.239370812019288,13.796263589638297,13.633422091155987,13.256764042189454,13.433146278638404,12.894545537834967,11.323972832725321
d5,1.1570764100920914,1.1270844799779742,2.064960234394799,2.092320919631093,2.222864988554151,2.5310055237792186,2.5310055237792186,2.5310055237792186,2.5166050934648294,2.0237580105715844,2.0969783614879813,2.113045868263869,2.1466159453148506,2.1371936302800023,2.1217036987044837,2.4957149879902145,2.8273100379498484,3.0084964655721023,3.920652611253827,4.184932883633489,4.174682483907245,5.052696343103067,3.703787244277227,3.6809852693482874,3.997957691484342,4.197142296908725,4.991516927686821,5.132926301898088,6.419196557140479,8.760020948230718,8.70364690730958,8.999799327505276,13.45236677332762,14.182471717111998,15.351631896488206,15.29041902401355,15.132646822112392,14.947844502772076,14.092383985264101,14.731287374374537,14.940934799157123,15.44576609444282,15.78442096211198,15.78442096211198,15.34411381294899,15.198470575776309,14.737567314696605,14.859849366141603,14.22865579711907,12.61696589405279
d6,1.2389428085094312,1.2107731498691514,2.3592151054638704,2.371165030970191,2.4786964931276776,2.8219134341373975,2.817548574168465,2.817548574168465,2.7992523724877194,2.3703502368036538,2.490431038535754,2.547508820391178,2.5545954823943076,2.5409699556137832,2.541810711023497,2.7473581751914784,3.2084715240556108,3.6175757230350207,4.606518713494429,4.932633099807998,4.919225141879151,5.729306419215366,4.13351976154812,4.120460377403839,4.421572586787088,4.720055676535277,5.671655180137561,5.816996703053519,7.346389777289163,9.425072619878533,9.34538357559998,9.649129151301517,14.53654172167803,15.399253778002869,16.669330150947694,16.50581836110738,16.10886968581013,15.850663265974536,14.916584941797524,15.792341704803722,15.9206363315181,16.776005871577894,17.30226870920751,17.30226870920751,16.8909760579001,16.648905064868398,15.844105243272589,16.028532315591367,15.69435839399022,13.931983641548978
d7,1.3026905061757863,1.2837466687162384,2.778836417112656,2.7918491404318004,2.9363285493719573,3.2285872808278264,3.2285872808278264,3.2285872808278264,3.20489879943018,2.7344250276063056,2.8829908692415342,3.032226932004311,3.0883403114629124,3.041757604331795,3.079893541572829,3.3089627276333338,3.739461420966788,3.9028306982959506,4.963183260139292,5.372156763341286,5.342449881912339,6.490358360438722,4.725713521843764,4.720298341676252,5.054613292550885,5.4975761177453535,6.336662645618218,6.493745828162413,7.9431368402270595,9.98769462726243,9.891230044688667,10.228773773161375,15.426839847945718,16.337860158314744,17.535879523128347,17.422609302961355,17.272153919281568,17.119293143122455,16.087934084189353,16.88530849402016,17.112305752076008,17.199264377596105,17.677035080146208,17.69478966267399,17.1091132115116,16.954041625645058,16.323598820529075,16.52506359748841,15.899762896210978,14.73990834265432
d8,1.468450169815031,1.39406518678308,3.013062723111875,3.0222015415483323,3.184481051581357,3.580814158864679,3.580814158864679,3.580814158864679,3.5761942070912824,3.108839175591016,3.2336575162594436,3.3816120121996227,3.455128358009836,3.4325635280790165,3.4539052462279343,3.687136298806652,4.118999763684829,4.354925141066731,5.525113076893204,5.971759651193262,5.906267339153834,6.900733786811441,5.428248023196761,5.3781338359371045,5.668255921739776,6.079084900010384,7.001859442271386,7.1394352545429625,8.909248221982981,11.078690709736872,11.00019764360335,11.190711086215796,16.63031345913268,17.62984686117851,18.898604280037567,18.678453447523253,18.293122611052706,17.817912977223646,16.56505557976586,17.360585657033454,17.527288417206925,18.31754155373264,18.95562561340339,19.02021180572517,18.508454402197977,18.30018630680305,17.4080886652356,17.58834980167722,17.142274902325095,15.197218401893528
d9,1.5881708451640157,1.5516590534837402,3.3058636164564357,3.3718116705294334,3.577861348750612,3.874349082217145,3.8726103759137542,3.875540494747996,3.840728272103084,3.415674137542692,3.600487735089929,3.781431055374518,3.8556014290064935,3.794147080584891,3.7696949066639975,4.054831640976172,4.547526688459908,4.69989255179425,5.923501599497388,6.670480784204097,6.625406114080644,7.391499001060263,5.921831348016196,5.9167181535991595,6.2539080848410284,6.589957255716722,7.5591842998244205,7.630255447769812,9.12157787534314,11.829858216440211,11.771646122924784,12.171740009670051,17.45426235963935,18.364186445166922,19.68262385773896,19.52742235328818,19.12441801095231,18.712304819742506,17.434109004382005,18.34484176442779,18.6204212189189,19.01419518510989,19.484207415490584,19.552050175384874,19.0504895338398,18.840178577402035,18.165247415793484,18.336506464160315,17.57570205111077,16.33466867580758
d10,1.895601677863653,1.8769956098935423,4.052587318236838,4.083157703779287,4.3122775186131435,4.878576812814691,4.878576812814691,4.878576812814691,4.86762573984372,4.391861863254539,4.500952767536381,4.667300839082334,4.758342925548949,4.762183787684566,4.951286454372347,5.2206506317412975,5.663097110302361,5.784168583355109,7.134348842491543,7.494911252561929,7.454148218190111,8.371792825262395,6.320054980854492,6.296442869230698,6.6953703206504045,6.869513151023169,7.859201272291831,8.001879972232913,9.854199863616397,12.324047448277827,12.240859347097395,12.43085899153512,18.044903489520983,19.034377350630955,20.41259184374371,20.30355336756424,19.96985959310479,19.76406041644652,18.74405067718722,19.311484378338314,19.683865253067417,20.656694953919047,21.307617664662786,21.337465766782845,20.765589823914144,20.66581630790075,20.35988214124206,20.558199690122713,19.867985440888173,18.25097316634705
