decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.005776094999566795,0.005776094999566795,0.04861663607195599,0.04861663607195599,0.04861663607195599,0.09892374552038544,0.09892374552038544,0.09892374552038544,0.09892374552038544,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.13234230579884051,0.13234230579884051,0.13234230579884051,0.15108066214800947,0.340412330480072,0.6502999325194135,0.6502999325194135,0.7845791502945246,0.6662284307760158,1.0567869393525695,1.1965362231780485,1.2052738091221018,1.2126944639213688,1.2126944639213688,1.2682666588445533,1.402902954369357,1.4514545696394467,1.714894290574065,2.0905119299536743,2.0905119299536743,2.2603338135948925,2.3062105316767543,2.3062478102346473,2.283309327608878,2.4002928280821276,2.257726642364836,2.409083979120548,2.260443732448172,2.260443732448172,2.3703635466209803,2.333296881557225,2.517387552284081,2.540649912711536,2.782377075550021,2.8061003457064517,2.9861723211094273
d2,0.17507212868559385,0.17507212868559385,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.4895353024832406,0.3208601264840002,0.3271339240118552,0.3271339240118552,0.3271339240118552,0.32514831903603836,0.3135914782438324,0.3151586204765023,0.3473320391386535,0.3930617565933849,0.7781690517773898,1.2612553030725722,1.2612553030725722,1.4829841942400592,1.0928384182189377,1.9701694747531868,2.5261318290169923,2.6397107852955224,2.7725284822114213,2.7725284822114213,2.916341621215126,3.0524805571428346,3.1502592520832957,3.789192938585937,4.2499586464736,4.277833468925229,4.824353917562058,5.050258692198076,5.023508545972458,4.984853955737526,5.570009820559841,5.4649269108597185,5.685993703973627,5.8543334681167645,5.85234271952882,5.8981079304465585,5.966693486922201,6.150254047171182,6.132343192437703,6.626302775054316,6.657323430604885,6.8365879023676355
d3,0.28347044675392663,0.28347044675392663,0.7547428133220679,0.7547428133220679,0.7547428133220679,0.7920571445369727,0.7920571445369727,0.7920571445369727,0.7291073814664359,0.5525567899282147,0.5642335406424757,0.5960869736928919,0.6001863661464949,0.5927556402400521,0.6063777227438475,0.6242644779910762,0.6697499074588734,0.7643592108964155,1.1448137936461724,1.6830699750112061,1.6830699750112061,1.8862850154696873,1.7637650055853151,2.422622126812768,3.1799871422529655,3.1618014467086724,3.352682334885659,3.352682334885659,3.406642299225789,3.6644739698322537,3.7697055277876017,4.579325703993261,5.059396764454307,5.078038925263799,5.692575585057769,5.960525238312113,5.974575822336069,5.899449922877027,6.383197355926261,6.2334234053840465,6.526031383689377,6.607277056823759,6.55931771708393,6.3667598455694545,6.339580411310917,6.78737336145343,6.879899552072847,7.591188206400349,7.565355718211509,7.9675245576197895
d4,0.5859494496323213,0.5990378284534879,1.8333795661779615,1.8333795661779615,1.8333795661779615,1.968092282770197,1.968092282770197,1.968092282770197,1.968092282770197,1.7070610202621346,1.7433655144475864,1.8475023716598102,1.934532528175317,1.9879737211259958,2.0682896396411,2.0702134505526226,2.1843080258032352,2.2227252840905165,2.787256300854316,3.26587361980557,3.26587361980557,3.663884642780732,2.753726564167186,4.2297732381426885,5.361059624713503,5.648340352156471,6.060098206127312,6.109012239771702,6.7220910707686246,7.031887529204002,7.393917987738057,8.56677017466469,9.976507723611265,10.08620945147612,10.836201480501586,11.087637434184735,10.95067548158681,10.778280888827547,11.974366749350462,12.323371294839813,13.035234816327357,13.558943293387529,13.410863487970033,13.336329919687604,13.41836229082104,13.556221885516683,13.35818620782221,15.020482653314057,14.878495894959666,15.850723441895008
d5,0.8264812822238925,0.9462214913477605,2.503961077177285,2.503961077177285,2.5060592080295203,2.697750780091588,2.697750780091588,2.697750780091588,2.70606915878009,2.3343939346925224,2.37586039046795,2.4156095979274306,2.472100386704785,2.504990417749405,2.6630121701243348,2.7695239833821943,2.9434884469674882,3.0631585273832416,3.687078085199674,4.135510264992727,4.135510264992727,4.6239091139589945,3.367310947405707,4.951385450976273,6.227864360387253,6.632419685489052,7.283171607648105,7.40003116626905,8.316199889853792,8.68823819601819,9.098692440090478,10.80071523911999,12.312469884028692,12.612953888717126,13.602891947693198,14.16184501044022,14.214889424182704,14.060711695330557,15.472709969529726,16.061659070767,16.835474985991354,17.239732810654566,17.195504848861752,17.344468607732466,17.681410907430212,17.95456397941006,17.45098948253758,19.424281770630486,19.373442290985857,20.461417684365593
d6,1.1708698836187605,1.3146333460554176,2.9991753428815264,3.010576634811738,3.010576634811738,3.576442076987017,3.576442076987017,3.576442076987017,3.5900834537266464,3.3470743171618893,3.3758653005839916,3.496383705627307,3.71273438625008,3.7727824854728516,3.802421029898447,3.829833053718879,3.9523472325277518,3.9299946185287795,4.669761195438132,5.358512933176384,5.318883693884807,5.8686709912840795,4.656316054439562,6.743796980281621,8.223320489143283,8.577281425644035,9.554328936568734,9.678393178404908,10.541999491956194,11.027431590193167,11.683210268495433,13.375239515040175,14.945597006766448,15.185026165335724,15.735760637261418,15.917316591772613,15.611356813275114,15.124955373307097,16.651068383314577,17.420969139892637,18.414877305547204,18.96437855987424,18.841294549942877,18.86820375839088,19.063854044930316,19.414254886733225,19.04685728296112,21.186533122342574,20.975333193902145,22.195054164699183
d7,1.5241482088371545,1.7048203235986008,3.846948778393526,3.846948778393526,3.877636577063808,4.357357476701044,4.357357476701044,4.357357476701044,4.369301537580322,3.9073849751001326,3.9672053879528164,3.9454931783758282,4.1603318248746985,4.227845678611578,4.55906549123377,4.867459621022412,5.27040341056257,5.256656568856147,5.9576565688771534,6.759218703958327,6.7562779761924805,7.227154048939859,5.646248443380287,7.7542295745347385,9.108936619218806,9.380991349597661,10.301444275181284,10.43238009037178,11.459524320879297,11.919997595167548,12.733380431286179,14.849361586743564,16.91114978400688,17.561784500208127,18.597367301785614,18.917972013744563,18.732462200616663,18.19920933504256,20.378989474619694,21.280320155271717,22.617605357603324,23.3290379990785,23.155498213707794,23.23810994442578,23.336235675907226,23.813114983215904,23.473642543286047,26.000679505549318,26.128552216400955,27.831597810866203
d8,2.0509438767061283,2.244340086073805,4.41363922223721,4.452595669494081,4.558155494758987,5.164420275299037,5.164420275299037,5.164420275299037,5.164420275299037,4.66554469806743,4.729603959455113,4.893163909199869,4.950774841080336,4.97507945474836,5.024107063442313,5.130318878435065,5.587584353863763,5.860183591687635,6.881313802087258,7.802433058778888,7.7753285594363195,8.435964031354638,6.802111881571453,9.52225082381552,11.224946995636062,11.324294893764582,12.287601621737775,12.464967926809603,13.502979202746328,14.089869718176427,15.180167397082261,17.43772935472115,19.472336118427712,20.2222276478553,21.224098490487997,21.509007344014933,21.2502125236919,20.677082925497576,23.037157871813992,24.1101846750431,25.723130100725978,26.262449604005507,26.26133769687126,26.540247423863285,26.821906489074543,27.677900626893262,27.24458561735659,30.029569004553746,30.09114978642832,32.155559225603554
d9,2.4764743321636633,2.7300423571950097,4.986487760044086,4.99219226546342,5.1044066514145285,5.765860351765751,5.765860351765751,5.777504937414859,5.812896939724567,5.424796902547797,5.38338951151969,5.460695363300739,5.758059350873366,5.768190962173895,5.841453922692432,6.106167294927227,6.432691080786567,6.290201765859731,7.393989478762782,8.68264160946289,8.385776354131945,9.585229146662309,7.856130294703083,10.471830391713905,12.089439556367633,12.222574837628256,13.358471705460715,13.544384550099556,14.60524679742583,15.168715172484777,16.25788929385125,18.38626235542598,20.370785386071454,21.00916666218461,22.01652626850809,22.363937952659427,22.149118124045277,21.699257875055153,23.78805609972671,24.50591972635838,25.86023318279522,26.623572452886027,26.448132611729882,26.55568698128348,27.016143053440082,27.964671577774972,27.405013465171727,30.251129254644916,30.4069198791912,32.37607152571334
d10,4.515087971215899,4.745686023530663,6.724879198197781,6.761111208616545,6.88428973105855,7.289659858203303,7.297519365546559,7.298783920384753,7.306240626309899,6.420423322071263,6.267787063216191,6.110221021996582,6.322259733185551,6.291166554956973,5.847684016018519,6.176557578480914,6.4343158032673315,6.554998064332284,7.5988686021380785,8.766481794713034,8.648067396407024,9.606149397573152,8.039354695920508,10.774731369369428,12.416520243010963,12.839735430521483,14.006113865534752,14.21128441508731,15.21629226064916,15.740152913063298,16.835841026108014,19.157815341078088,21.380490248745684,22.07829176047256,23.389836664278686,23.774214279067632,23.63292239202268,23.358204265646886,25.48290094086656,26.19755745631994,27.681503701990426,27.959701016747875,28.014113265369634,28.25649144556517,29.07339571245874,29.923411006343127,29.351927626517124,32.605757220847934,32.95809945120457,35.317963627106344
