decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11158148205728669,0.11158148205728669,0.11158148205728669,0.1020284492781542,0.1020284492781542,0.1020284492781542,0.1020284492781542,0.1020284492781542,0.1020284492781542,0.1020284492781542,0.1020284492781542,0.15990138757657882,0.15990138757657882,0.15990138757657882,0.15990138757657882,0.1626484452696067,0.1626484452696067,0.18687453618228336
d3,0.0,0.0,0.018066013983159834,0.018066013983159834,0.018066013983159834,0.018066013983159834,0.018066013983159834,0.018066013983159834,0.018066013983159834,0.0,0.0,0.0,0.0,0.0,0.0,0.040246352575714364,0.040246352575714364,0.040246352575714364,0.040246352575714364,0.040246352575714364,0.040246352575714364,0.1415688719753808,0.1415688719753808,0.3357815643298251,0.38148653152456885,0.38148653152456885,0.38148653152456885,0.38148653152456885,0.38148653152456885,0.38148653152456885,0.38148653152456885,0.3831850793609618,0.46926805536097743,0.46926805536097743,0.46926805536097743,0.45478026376928804,0.45478026376928804,0.4549079338008276,0.4549079338008276,0.4779195887304118,0.5375156823148043,0.41421393147259133,0.41421393147259133,0.3432279689891784,0.34252996082207937,0.4437974697545869,0.4513947553397205,0.5003576262706962,0.5667435133242874,0.7336964251543648
d4,0.0,0.0,0.07547239090708331,0.07547239090708331,0.07547239090708331,0.077090497655165,0.077090497655165,0.077090497655165,0.077090497655165,0.054181198459347255,0.054181198459347255,0.054181198459347255,0.054181198459347255,0.054181198459347255,0.054181198459347255,0.09815619108952696,0.09815619108952696,0.09815619108952696,0.09815619108952696,0.09815619108952696,0.09815619108952696,0.25600898464538685,0.2431479611859242,0.7740087880365272,0.8398794582978006,0.8398794582978006,0.8398794582978006,0.8398794582978006,0.914198233602639,0.914198233602639,0.9203979045946415,1.0126055357707633,1.2463519209844796,1.2463519209844796,1.2510307550233029,1.1531196597723126,1.138248266398052,1.138248266398052,1.230886260756721,1.2431652221662908,1.343336663712424,1.2070325725247626,1.1774665432825127,0.9737174201348002,1.0801596213761933,1.2962491342414817,1.3005929667708858,1.3408607123607572,1.2945238439945006,1.4734631601282027
d5,0.018066013983159834,0.018066013983159834,0.1310937792615002,0.1310937792615002,0.1310937792615002,0.13228227408333898,0.13228227408333898,0.13228227408333898,0.13228227408333898,0.12316599315659911,0.12316599315659911,0.12316599315659911,0.12316599315659911,0.12316599315659911,0.12316599315659911,0.15961922423290725,0.17648082542547366,0.1745117049361916,0.1745117049361916,0.1745117049361916,0.1745117049361916,0.3653114126799812,0.3879338777811954,1.080164640401383,1.1937036546340993,1.1937036546340993,1.2018209201312473,1.2018209201312473,1.3165492394953824,1.361452114294353,1.4430690464098817,1.7330676418119204,2.019461620750925,2.019461620750925,2.0677599770695303,2.0134668786802115,1.9321319286085632,1.9518221155905535,2.0408825455572512,2.058735220569262,2.2884156279129284,2.127101636666321,1.990913322860956,1.633782651491306,1.752338938068447,2.1839715060676754,2.218322978664544,2.2713255124483656,2.2712085265165456,2.7726401856299305
d6,0.047445723368650404,0.047445723368650404,0.2041832664500305,0.2041832664500305,0.2041832664500305,0.21547359997462207,0.21547359997462207,0.21547359997462207,0.21547359997462207,0.17669918965729128,0.17669918965729128,0.17669918965729128,0.17669918965729128,0.17669918965729128,0.17669918965729128,0.23564528586405248,0.24561303120660566,0.24561303120660566,0.26562220276064374,0.26562220276064374,0.26562220276064374,0.47371598359049544,0.5385711230426982,1.337585553375717,1.4595432701367572,1.4595432701367572,1.493513700305889,1.493513700305889,1.5859542644191849,1.670850812984049,1.7690840324196273,2.3843784796007537,2.704546195655108,2.704546195655108,2.7515813807100002,2.6933884634320866,2.60897302701379,2.60897302701379,2.647896337753536,2.725079738949308,2.993245229210066,2.8367966148219637,2.664852606613298,2.352880715267843,2.5326760420938337,3.163197259861966,3.2039626651044655,3.5065292781122226,3.6693085495198217,4.0833054177940955
d7,0.09897409882619534,0.09897409882619534,0.3028602513889213,0.3028602513889213,0.3028602513889213,0.3200979237581395,0.3200979237581395,0.3200979237581395,0.3200979237581395,0.22547561159898794,0.22547561159898794,0.22547561159898794,0.22547561159898794,0.22547561159898794,0.22547561159898794,0.28226495081696523,0.3075808973621831,0.3075808973621831,0.38649765424395566,0.38649765424395566,0.38649765424395566,0.6209891008576232,0.7641672546274361,1.668078970929344,1.8214356038492092,1.8285615173678316,1.861758650955911,1.86634755146127,2.0108454393725617,2.1088237696688834,2.2183752400840553,3.22688667937159,3.5314991712885386,3.5314991712885386,3.5314991712885386,3.556013724120155,3.556013724120155,3.556013724120155,3.7370088206358894,3.893488814205065,4.377900615983267,4.207509907891276,4.040116752622554,3.6059243002527337,3.949842215403217,4.5693609173590435,4.6527116238986554,4.850789826982111,4.9410247162759315,5.672301530914657
d8,0.16462566668138603,0.16462566668138603,0.42045563769652183,0.42045563769652183,0.42045563769652183,0.4364310968336886,0.4364310968336886,0.4364310968336886,0.4364310968336886,0.29735315771157766,0.29735315771157766,0.29735315771157766,0.29735315771157766,0.29735315771157766,0.29735315771157766,0.3719855171387774,0.4453596715366153,0.4453596715366153,0.5420590229838564,0.5549252421776465,0.5549252421776465,0.8358087711068661,0.9495952260031805,2.0845612793739425,2.30748388485489,2.3864075775684412,2.4510415757733406,2.4937111338931546,2.6517965624025184,2.749583059632034,2.9464367665184277,4.192609862829844,4.676494585293031,4.6848147172280035,4.699633861311305,4.701144464317439,4.701144464317439,4.701144464317439,4.843800474171765,4.975028894790247,5.7195744840010985,5.726113776444538,5.317586138471247,4.8687590046492035,5.30959588267624,6.1105190919618,6.223492032052073,6.925550918694865,7.003346312734513,8.009396433280738
d9,0.22298464179477745,0.22298464179477745,0.5441901511750424,0.5441901511750424,0.5441901511750424,0.6109504575108866,0.6109504575108866,0.6109504575108866,0.6109504575108866,0.42983139683169275,0.42983139683169275,0.4303253077721264,0.4303253077721264,0.4303253077721264,0.4158873141242371,0.4939733853759991,0.516652701675522,0.516652701675522,0.6884696576080549,0.7146421539281208,0.7146421539281208,0.992117860079748,1.281296906120891,2.412315471323063,2.781656499762846,2.915612969385445,2.918890768762002,2.935789795194341,3.22020752192757,3.342367720638238,3.740340372745682,5.087718561593299,5.564977808829764,5.961107975070421,5.945762843795242,5.922527122556309,5.907167415020562,5.907167415020562,6.0687701719577785,6.245906939385419,7.04087091511183,6.978733603912781,6.2842101610758725,5.961822118481621,6.5113980445664055,7.560825176301769,7.755245025182042,8.35308405485517,8.47173651040677,9.70426122234629
d10,0.4714139338143347,0.4714139338143347,0.8665594371207235,0.8665594371207235,0.8861660339219416,1.0066149432202383,1.0066149432202383,1.0066149432202383,1.0066149432202383,0.7366329114921075,0.7366329114921075,0.7366329114921075,0.7366329114921075,0.7366329114921075,0.7055146857727885,0.8190479619291233,0.8603350507221279,0.8603350507221279,1.163385459847658,1.2168646592065941,1.2168646592065941,1.7265718916310795,2.108688130853918,3.545521190757758,3.933420353543709,4.04095961226891,4.117269372849357,4.1447206516513555,4.476248829501308,4.580930304748978,5.121006264489719,6.988539459615046,7.503181542860389,8.138668268208836,8.155559505023426,8.315868430309282,8.286088827710241,8.407722905489074,8.660148101664161,8.965676926139462,10.075860869441053,9.95673765836162,8.908102325722112,8.395000222036147,9.238990808478883,10.394875019174714,10.663315202137909,11.815658760524677,11.96715987581843,13.545208078687896
