decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,1.044108649861893,0.8758604605886445,1.6254715234433477,1.627725150214874,1.691265303551989,1.8940953599155201,1.965421443095704,1.971517439958464,1.9878042009259225,1.9703478069576277,1.9678585658029655,2.0071886563441064,2.0180075085622806,2.0119050120213364,2.163065664117107,2.163065664117107,2.8821974438962727,3.0350013186210303,3.691656084271493,3.9140965047840424,3.837032602198973,4.836102048275429,4.0238262619159375,7.059120675030357,8.866922812996359,8.465338896798574,8.984334615424931,9.710321315044208,10.032389433398318,10.687589352690315,10.735176052409802,13.61734227090765,15.96285524510267,16.0985206572995,17.562678026792142,18.430485134815086,18.5446316125291,18.270127408067424,20.098914750989138,21.709686474163473,22.203082682447008,21.35599112812982,20.447830587074325,21.481527085932914,20.839443552888177,22.170146430270435,21.718892486999877,23.581073246384324,23.707225527301052,26.655509794330715
d2,2.343352092619159,2.1010427900025497,3.376396594985296,3.6138381432047595,3.7451050102936825,4.7312509446249305,4.594157574566038,4.527682065337887,4.670802333381321,4.552345936412826,4.77231765843347,4.524561412244759,4.691920709507819,4.789120270352168,5.711024336869188,5.833771810326602,6.356471289280526,7.164943102625069,8.418359849773907,8.792387578354985,9.072387740379721,10.68677942397383,9.362401754701663,11.90440123714946,13.990760266629323,12.992445886868254,13.69282923720225,14.37635997456619,14.889775179254059,17.221194306556292,18.208087544715664,22.796859525755785,25.202985104163297,26.100445723463793,28.615462644165024,30.905145324018555,31.633346127594155,31.627232140246594,34.554722995198034,35.682317550802836,37.34948353728409,36.41911987923436,36.16994420281639,36.78894635690023,36.51882102058822,38.636037372603745,38.71295975103121,41.63117902905079,43.19698365301179,45.98272942836873
d3,2.794920646260713,2.930711859539005,4.007051222144999,4.0073232639476775,4.024865322586942,4.79220094959788,4.632282080119074,4.536623163162886,4.670802333381321,4.552345936412826,4.77231765843347,4.524561412244759,4.691920709507819,4.789120270352168,6.00042285878891,6.032464228877745,6.356471289280526,7.383915350189224,8.678352382316683,8.907000981085217,9.072387740379721,10.68677942397383,9.711233744557408,12.39796500218733,14.514328314941608,13.798929570230822,15.133047587047088,16.303949792131924,17.104743764435177,19.542558236790207,20.114317683512276,23.00578995700687,26.911053432133787,27.79269710137724,29.322509988712376,31.757170968060525,32.11195564900023,31.864065107456202,35.04836381291554,35.899837964370434,37.689155814558916,37.822095605133946,38.0689203329914,39.710486006300165,39.48222935852009,41.26563487153701,41.17063822127017,43.38014342684331,43.80302172395437,46.45793986408109
d4,2.794920646260713,2.930711859539005,4.007051222144999,4.0073232639476775,4.024865322586942,4.79220094959788,4.632282080119074,4.536623163162886,4.670802333381321,4.552345936412826,4.77231765843347,4.524561412244759,4.691920709507819,4.789120270352168,6.00042285878891,6.032464228877745,6.356471289280526,7.383915350189224,8.678352382316683,8.907000981085217,9.072387740379721,10.68677942397383,9.711233744557408,12.39796500218733,14.514328314941608,13.798929570230822,15.133047587047088,16.303949792131924,17.104743764435177,19.542558236790207,20.114317683512276,23.00578995700687,26.911053432133787,27.79269710137724,29.322509988712376,31.757170968060525,32.11195564900023,31.864065107456202,35.04836381291554,35.899837964370434,37.689155814558916,37.822095605133946,38.0689203329914,39.710486006300165,39.48222935852009,41.26563487153701,41.17063822127017,43.38014342684331,43.80302172395437,46.45793986408109
d5,2.9221004243544915,2.9963753786764804,4.77395634680868,4.943493590160485,5.1666065804493355,5.954512363991203,6.066468942918407,6.135185907118054,6.131304624882387,6.153728851606739,5.812681719096456,6.0638825572030814,6.123273914236211,5.8766177409310645,6.671046210304065,6.706108181801847,7.896292814727427,8.627362496130354,10.14092598336956,10.598785544074703,10.862503758655253,12.742846014873185,11.598852419940126,14.497642892916469,17.17043554439228,16.707192671913074,17.52012703178218,18.61677500659754,19.36637710953132,21.419490526552487,21.92918678839117,26.367628587995007,29.320867907284832,29.986226238951577,31.75853928849284,33.84366870340966,33.953346924557714,34.0509540887054,36.64594268096459,39.27046062994256,40.59956951561065,40.13866992780727,39.058188084397294,40.02115362957312,39.48222935852009,41.80826301238413,41.94295287467692,44.78373239355768,46.99597568904132,49.62093392344982
d6,4.336681372615962,4.116468919467829,5.786168254958508,6.067309893964856,6.3190833715385,7.909258979174149,7.751824135558222,7.750591428521481,8.243583291357986,8.234152185738644,7.757331727455833,8.128431019795686,7.985063038387904,7.766955188271891,8.50117189663619,8.78442476447486,9.331850493220319,10.586738509062474,11.922982839310132,12.314105227867945,12.805873819713057,15.718068269598382,15.166188997792194,19.588948919771656,23.546323766652627,22.906731478566208,24.322859805945832,25.468647475178695,25.390825216501096,26.73690006047631,28.78571223810212,33.669963313292556,35.853352752405634,37.29543781797257,40.16948529860916,41.22165283189499,41.799623636697405,40.89796304168625,44.33867361852812,47.06107429105437,48.63824328025007,46.767047968191534,45.3090202935836,46.37153373116301,45.89518202720613,49.17935830109204,49.24240275021268,52.965697524745494,55.50774907070705,57.70243196814598
d7,5.946390673196468,5.494095113630236,7.564191157545343,7.904041310054931,8.083723788103917,10.010032726004187,9.83022222815831,9.820401588691151,9.820394688039102,9.784674129971158,9.583681029251968,10.111602827853684,10.011157818416075,9.109941849888637,10.061096961942415,10.256143215717456,11.387528595902475,12.161905950793741,14.566314640497126,15.197556183353402,15.332343428647695,18.442526935717193,18.053153910262203,21.445975745370458,26.21929770046568,25.35840620300985,26.468573264409354,27.355568470481963,27.393123269031292,29.04380791077722,31.759006653953616,37.539412488599666,40.508710852418,42.23775723745881,44.37232327294309,46.94656326251929,46.92611325157137,46.62893503293019,49.391821815571994,51.798072370578055,55.77427188090803,54.84487172053415,53.63025892209805,55.189611881467684,54.555404610503594,57.976847111777815,57.893192635578814,62.964916051708386,66.1331186243593,69.95682828315338
d8,6.048540218662039,6.2557975816426294,9.2182631544876,9.317099895982869,9.577490095125658,11.46148425469176,11.40214191364273,11.749473548083433,12.216182891256398,12.538993684202742,11.906941435628335,12.125710570094776,12.360826078102178,11.957287141215481,12.993975922029815,13.59489927975485,14.43714698027261,16.203329439834125,18.362041415174428,18.470044544508077,18.53960736582122,21.27070211344091,18.619275798672966,21.828319066273,26.77988115286694,25.397814505065035,26.72265145216922,27.38064252025497,27.793439275545843,29.844114091182938,32.35251547396775,37.55173831433328,40.92378222818309,42.23775723745881,44.85763417899444,46.94656326251929,47.38094717294657,46.72168568975938,50.04695434817865,53.044562549209004,55.882711747057854,55.44307931446239,54.107158779658505,55.69298100558992,54.56358168157209,58.06935227863865,58.41129645105168,63.189256435473375,66.587505201905,69.9572999334226
d9,7.470288135642394,6.935109764572873,10.708412195677457,11.165229959583817,11.411367731062462,13.66715572954025,13.806989735920524,14.172148103250276,14.6233389311062,15.029254861870623,14.460902915992193,14.73410447795627,14.65755474276998,14.342688954507196,15.103229281079232,15.56933104996138,16.671976362789547,17.511580736981735,19.196476729886264,19.489249619152666,18.660439437928602,22.453507639665336,21.46734143465544,25.15001531096171,29.365327909854877,28.69101910131373,30.494970385980697,31.09414531137626,32.0189701508075,34.82533394722422,36.836170111461634,42.47006384122862,45.9491247245454,47.56731280361149,49.54758540462756,51.8610941344548,52.52497826818693,51.76256095583172,55.130134730750875,59.02471584561134,62.07987524331486,60.82249951644711,59.872971872775466,60.52885233703544,60.1974898903463,64.00856993469162,64.35069060424719,69.52140469404009,72.50765985058065,76.08395064020536
d10,10.852756277957322,9.90014749252389,12.29620407411222,12.6771619635505,13.020302427608613,15.102198105912356,14.784789480541956,14.92751188886696,15.63289801918317,15.430883381541724,14.530544976472976,14.940710726819995,15.59798730752398,14.545047348823232,16.146824139024375,16.86360100148286,18.718369290274094,20.520583518545166,23.75253882316847,24.408686448514914,24.401923474820116,28.435649157871467,27.104375342199102,31.101764471616292,36.697390070427204,34.91054655977432,36.27496228792546,36.868205491309894,36.787001628687314,38.64019539170838,41.42903446365681,47.12937230680711,50.44902575546997,52.18751421420454,55.88260048382407,57.99979803983838,59.22257648376033,59.30762960632721,61.90267871326246,65.26288486788359,69.89225766513286,68.98209593375255,68.04538947862899,70.2208690365118,70.69609475802568,74.2647567405796,74.82961779653196,80.60480296515398,84.82200501511045,88.71786600374801
