decile,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.07874686715769848,0.08588511414331687,0.2720691975666121,0.2720691975666121,0.2720691975666121,0.27410894998269414,0.27410894998269414,0.27410894998269414,0.27410894998269414,0.27410894998269414,0.29105514814962274,0.29886728579565724,0.30163256854623166,0.3063506312269103,0.528061014749705,0.5367339003171292,0.5546998034607057,0.6884017380562634,1.077423003548261,1.1503967605875447,1.1503967605875447,1.3097087709170556,0.9396656434317305,1.569813527852536,1.7643151984360972,1.7696824377394953,2.169748270338949,2.169748270338949,2.2539998304695543,3.036152436017537,3.036152436017537,3.1934569577955165,3.115756126073338,3.115756126073338,3.0085998843630706,3.0085998843630706,2.9916475574871604,2.939752429531238,3.1649807018412606,3.233318995823929,3.2476880601261433,3.2476880601261433,3.2476880601261433,3.0408437137995,3.9892026247096886,4.078976034595209,3.666193582221414,3.6782367010167376,3.6994301775289307,3.2175816685860665
d2,0.17467969203413886,0.19006983216865941,0.743336874734141,0.743336874734141,0.743336874734141,0.7930843258061799,0.7930843258061799,0.7930843258061799,0.7993906665944595,0.814297724339745,0.8274755321986162,0.8560892388586057,0.900408369408923,0.89815072003632,1.2580057256170603,1.2614406162883829,1.2872759164516125,1.4317358355537269,1.8737807531086994,2.1750835110342166,2.1750835110342166,2.2889107498734895,1.6381501281183275,2.807369360924092,2.9594538373167616,3.038212314803501,3.6198805477208857,3.6198805477208857,3.6824243379773676,4.641638759462169,4.63878565863192,4.799144484285923,4.792746422075481,4.782860665756763,4.7884701406863055,4.785920268764277,4.768744534565602,4.500034037941511,4.993296122770533,4.836881659154758,4.8386268578446,4.665148118937749,4.699409506638392,4.135992707553133,4.894489258166933,4.932151810599026,4.412596994612205,4.48646819145671,4.406854746851434,3.9555565556791956
d3,0.25262790947961805,0.2663276669066187,0.9733356897344667,0.9733356897344667,0.9856009616780664,1.0827210784977024,1.0827210784977024,1.0827210784977024,1.0873133493151943,1.0980428685092327,1.0980428685092327,1.1058153857348028,1.201214690229478,1.213855006359338,1.7056369785515835,1.7078660220036377,1.7696860736954156,1.8947016413180808,2.392456305224826,2.706129723410883,2.706129723410883,2.923201391978227,2.067806910112096,3.3872365487272753,3.5260310320152577,3.532154187750649,4.334501193352066,4.334501193352066,4.393108161778813,5.409330117995158,5.38333602496051,5.692119562643685,5.643721207195901,5.6604901351787635,5.755038306710267,5.780060553777281,5.664627103065833,5.43380699832967,5.875744253172279,5.653535871896617,5.668758499258027,5.401474101711493,5.430697071533262,4.8106791630266645,5.757850757430468,5.726415430632149,5.040019145295189,5.208869988168877,5.254726858356174,4.897040485794352
d4,0.33226634033043323,0.35134136910030056,1.2384295937055954,1.2384295937055954,1.2453978764428018,1.3898189839243429,1.3898189839243429,1.3898189839243429,1.3947873223620246,1.3981185666169609,1.400117462125492,1.3759476271521298,1.4984554549327718,1.4759537912630485,1.9441158236634812,1.9666392572824656,2.023565085381387,2.2576759053290614,2.806063963478703,3.1157518967433324,3.1157518967433324,3.400869905957329,2.4087925718107313,3.7859248250668935,3.985637385779794,4.003976849331358,4.716963494042342,4.716963494042342,4.788780110393205,6.002985994941163,5.966151787613549,6.367103060296765,6.352017030965835,6.360405213498473,6.232927685326315,6.141360507520328,6.114404948340845,5.978936656531364,6.406671309323483,6.172292200417713,6.196382803313097,5.8910168783654155,5.980007062427626,5.2239838967816,6.025215851820107,5.946944678064569,5.492118504704851,5.680071837729079,5.714382764364456,5.329266923972226
d5,0.42546045098005825,0.44770604609012776,1.490864602157703,1.490864602157703,1.4959947571434828,1.682816228274384,1.682816228274384,1.682816228274384,1.6964133488752857,1.7192280651868412,1.7267656939638414,1.6785405425602362,1.7974057623944026,1.7650372434899846,2.2334808574661276,2.2611673455852066,2.3060510009844264,2.551729527963551,3.2268641422354127,3.5314318226919816,3.5319324010093767,3.914199667266895,2.758361536995202,4.253433344278551,4.488755746325423,4.467511789964566,5.134911663524909,5.134911663524909,5.179356712681802,6.25016840063116,6.2417115380833925,6.6875558698907955,6.643288431643707,6.6707341494501495,6.585458786091591,6.56907659987518,6.497842991866226,6.100237163912418,6.675973271341905,6.598763190425021,6.632456458865869,6.332208321978831,6.421955186709826,5.629476170411015,6.53777371590527,6.4572006547263925,5.821505902396153,6.079722099704579,6.046770601509749,5.727481759890937
d6,0.47606943007530733,0.5357195079087088,1.6755808866960593,1.6755808866960593,1.7088204424332336,1.9422324214070827,1.9463765039853875,1.9463765039853875,1.9629970373421934,1.9943169719501477,2.000674827789269,1.9417671107436838,2.082258547976012,2.07334377326701,2.5215516495581243,2.5729273256489975,2.716107018255861,2.8592542850382903,3.5569145251151277,3.9419258807757047,3.9419258807757047,4.277315522451156,2.9992553489370875,4.501103591884627,4.908575094999077,5.032374679990859,5.78681170174489,5.78681170174489,5.888064616230417,6.990788871248927,6.990788871248927,7.378677947834916,7.403722084114865,7.411462745045104,6.9670116668506,7.001684386032788,6.878587306926912,6.553945136351436,7.255922378271587,7.273656908473093,7.273656908473093,6.905302578702454,7.091087248930869,6.0864179473048745,7.159899666452219,7.2633493565751746,6.3581670168281885,6.506990609116363,6.528666725901101,6.133466915154664
d7,0.5468615008947226,0.5648848389032504,1.8485440896673893,1.8485440896673893,1.8485440896673893,2.1305764649404644,2.1305764649404644,2.1305764649404644,2.1385396448383704,2.1984926509085176,2.216910938114031,2.2251140549714163,2.32655852018319,2.2661119290986997,2.732938617563839,2.7705946585292964,2.9114084099070827,3.037440694587439,3.761413167470585,4.136992349765298,4.136992349765298,4.502726246818634,3.2174909787225174,4.763908858011673,5.2680648573788345,5.5197789553676335,6.211385363337557,6.2247182295394845,6.275724906959324,7.272665459199797,7.233054733875642,7.79061192428472,7.892703354079832,7.86872834194547,7.754954598025495,7.803048675386682,7.649892607018333,7.317999387691001,8.356042782045481,8.263730038301597,8.270256811963637,8.10591039360882,8.170655040304965,7.181624905519466,8.441338682844805,8.705704743246272,7.703329949817752,7.798599664933532,7.937143847594458,7.2872901525957445
d8,0.676814055553425,0.6977248071062252,1.9230797486333948,1.9230797486333948,1.9230797486333948,2.2099352589493293,2.2099352589493293,2.2099352589493293,2.2321884055517573,2.2866572704235084,2.324952676734985,2.3057017713184322,2.388386524809957,2.375034388498365,3.0135629677736406,3.048717215668287,3.224973089029956,3.3437478779707632,4.167064110104409,4.630923575776146,4.630923575776146,4.914168911214804,3.626221526926506,5.336674385524468,5.692254028492533,5.7628455463141846,6.502475136338236,6.502475136338236,6.523469297570388,7.874618880461685,7.7659684119308805,8.257656192430328,8.292628303849373,8.280514195758077,8.237549771893363,8.301378942767633,8.063724232063585,7.867375914001611,9.220440608569408,9.207026391760921,9.234537822872976,9.025769852633207,9.073603712662042,8.398103951051215,9.460459222846087,9.940437002440028,9.13914464794233,9.38092684685816,9.486955555584567,8.820034902344299
d9,0.9243077330371676,0.9776336869274751,2.3973617110485903,2.3973617110485903,2.412035186061489,2.6409411406132786,2.6409411406132786,2.6409411406132786,2.6569310730138347,2.417851992405778,2.5136834337447502,2.4855093976092073,2.5932622037943482,2.7009940290463894,3.3261880607373113,3.354705505849908,3.6652373310077424,3.8903542766866677,4.820826512134935,5.1764972662429525,5.245773823972304,5.551748355478709,4.362992755983257,5.748822966636867,6.052308230396983,6.1576216419621606,7.203381616063391,7.203381616063391,7.368968419419295,8.540392966456269,8.519605857548752,8.894801137650955,8.940863828114301,8.9915845701455,8.732082510111738,8.77176772790003,8.576843701876832,8.26523522470806,9.62171564616748,9.668657420085179,9.860291438913352,9.675809141622613,9.605031536646639,9.080921389089742,10.19827440599644,10.855632516912388,9.950371767280988,10.370452717977475,10.538172907545254,10.11018309365738
d10,1.1934347387094102,1.232110222148433,2.8607687905860217,2.8607687905860217,2.888343552196374,3.225014408040727,3.225014408040727,3.225014408040727,3.2241552152717015,3.0370499813953975,3.114269091594631,3.0944603722593635,3.2095917500654947,3.210893451046401,3.8337205658584956,3.888588229634922,4.170534240391658,4.497276701561108,5.297205356284264,5.737171700421607,5.7883625272612,6.27970042801469,5.125915530422603,6.954288550697759,7.031179773537891,6.885169293919025,8.11738648412024,8.11738648412024,8.357158814657852,9.77892440325524,9.737170345426685,10.689672850909343,10.469564647094657,10.337766998177816,9.881510860037698,9.841933142326628,9.723394984628518,9.204104738220618,10.686834341455432,10.66933293138204,10.728556141943226,10.344268006938174,10.530896128767122,9.656480463167842,10.92329681654205,11.326551596110061,10.715297775895872,11.321815209309847,11.538776635610485,11.522181784468545
