decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039277445997054204,0.07624445399428169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29131567929224655,0.5654951421555374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678625078612328,0.25372743646717894,0.0,0.14820847343802498,1.4239684396533154,3.648397402796264,1.9852768507226803,0.8559361100552755,1.661523037166123,0.0,3.2007897533929297,6.5042723680969905,3.9909012254290404,7.747043555244607,0.0,3.2692630914220997,6.366014541051244,0.2787699898385227,0.8916042218022848,1.465039777914396,0.0,0.0,1.281061135122196,3.731806200562321,4.014157257201249,0.031318477849270825,0.15350036238737944,5.297746896916601,9.095058803251753,0.0,0.0,0.0,0.0,1.354423817270932,2.625204593103286,1.3702200424047626
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9921029005748555,1.9258468069982488,0.0,0.0,0.0,0.0929126170275157,0.17787617434868042,0.0,0.0,0.0,0.0,0.0,0.0,1.77518587665891,3.445949054690825,0.0,0.06752090369378672,0.13106998952323304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274893409193786,0.8439787226628545,0.19141859372594427,0.536900381942502,3.005052936654261,6.6121501033826675,4.4324134123148635,1.2032115169125366,2.3356458857713944,0.0,4.643494890974535,9.638069648734755,8.352138207562747,14.44312882967643,0.0,5.094012449508822,10.205221221402214,0.6431349248706729,3.452310958535396,5.814825129539482,0.0,0.018659224767743936,2.8263869508255004,8.661930857105634,6.707904148493763,0.721923220472213,0.6199005348907727,6.815702405032121,12.061576552022217,0.0,0.0,0.0,0.34560947570468753,3.0450896972851047,4.81681395662038,3.5591264061986694
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6637110399753279,2.7850909468605773,0.0,0.0,0.0,0.3263934692123816,0.4383422361906303,0.0,0.0,0.0,0.0,0.0,0.0,3.3263770556509336,6.457084872734165,0.0,0.3420883442493202,0.6640538447192686,0.0,0.0,0.0,0.0,0.19221914269480372,0.23067239010178137,0.10566386513232999,0.6024295669630619,1.2647429219047415,0.7556522226413542,1.240889584022671,4.412879979689107,9.946810061968009,5.875678576284552,1.8065336458443226,3.5068006066389787,0.0,9.116894892323376,18.851893336472582,17.896171412314825,30.480748281005933,0.0,5.738256129380436,12.647997108003244,2.2597877387630865,6.3588866345309825,7.925166174909978,0.0,0.17138797991449872,3.358622980024916,9.800832436762473,7.7471607498415285,1.0347608858808257,1.429601736277291,11.002347140941293,16.525608844903374,0.45719016290067555,0.0,0.19760905145134233,0.6897598909795996,4.049333629064242,6.847108491523669,5.695722595570612
d4,0.0,0.06605882662946087,0.004491297360555464,0.0,0.0,0.0,0.0,0.0,1.8027313672499543,3.6557940955111587,0.27822432613062653,0.24838112195485587,0.0,0.8229230471447216,1.628041964378669,0.0,0.5487143185993507,1.0651513243399162,0.0,0.0,0.20744626004252537,8.212520698401159,15.181513061488703,0.0,1.2799814610205085,2.4846698949221633,0.0,0.0,0.0,0.2725842087083372,0.8704425054286251,1.0685222595313664,0.5995455709537375,1.8072182365848708,3.0696987721787052,1.597671668166539,1.86889739144873,5.868664527522895,11.149455457704876,6.963653495173124,2.8344395794032686,5.5021474188416395,0.0,17.985729278517326,37.528184616704806,34.23107719202283,54.38383153597973,0.0,6.815749112928593,14.284567394635348,7.828326804406507,16.131718360983495,14.45169365346848,0.0,1.9092947802161886,9.466671343838824,19.61655893917584,16.927360817978116,2.80572551328073,4.215923973144435,21.891480912081285,28.008164447354833,1.0378093673400588,0.0,0.4646118297054056,1.1380703701534614,6.287018357845288,11.85192855463818,10.089495116981377
d5,0.0,0.11571274999836477,0.010650564439704482,0.0,0.0,0.0,0.0,0.0,2.38208603688242,4.245757433612974,0.6702301322541487,0.5400825154300397,0.04874316279104861,1.357655543428643,2.338062352948048,0.059406033480385506,1.0865155795615387,2.1091184779723986,0.0,0.041184486683682735,0.6664877197930513,11.64186911224992,20.400667629830508,0.0,2.038717854542662,3.957511129406344,0.0,0.0,0.2802333882080029,0.5342773869770095,1.4986714399401186,2.380403322408857,1.021044831910162,2.577734462874501,4.293426593292458,2.6556424810629267,3.428877376250222,7.463975712838183,13.163232621320532,8.66496561577635,3.584415623560137,6.957983269263796,0.0,20.267157805836078,45.76694263422884,41.019633879664866,57.18509000694394,0.035086647113234476,7.5151814206087355,16.577204842479894,10.262605834573527,21.823355691000987,18.556428384976616,0.0,3.369574202972356,13.905433135677917,24.11292329645929,20.936431131779443,4.55318956168505,5.990692111552428,26.31355709357544,32.42355901614827,1.4433827777759467,0.07143845505188835,0.6901089011814001,1.4262401358595127,9.39614545043111,15.175518051026009,12.979539463931385
d6,0.03403030462729802,0.2384245384894959,0.21962123757080962,0.0,0.0,0.0,0.0,0.07676247507779707,2.9088886585482228,5.384065444866827,1.087688898179684,0.9606808537269759,0.09530915814543121,1.934786688465819,3.6946565156584197,0.6504249001352118,1.5604067146230003,3.0290247989740595,0.0,0.2216705017682014,1.5517480702391793,13.640515821503417,22.92565276221658,0.08816242054398545,3.301585289643091,5.662966931626593,0.0,0.09585662573327533,0.6077128761965661,1.6439994797122912,2.0099962226847907,2.804955470861966,2.0032599276553924,2.880971404696859,5.6400755425858975,3.7195745100900903,4.727709694795491,8.424958204304454,14.03653201950389,10.227297877506928,4.472890546841385,8.68266988504504,0.0,22.25179210452562,47.88820926472497,42.80391277470805,59.9159497397768,0.1315390605370898,8.750282733880475,19.73249765945096,12.611962224104992,23.94217097320466,20.448969326702933,0.0,4.181521157080148,15.880998391856139,26.071001236079326,23.540977617252786,5.125951337487972,6.994862802595504,27.477602294056084,34.95170626589878,1.677350474556808,0.2026518822879151,0.8853962473804136,1.9910185614811486,11.28869715094721,17.149228013457158,14.59584178081109
d7,0.14134659757966206,0.2798653438276766,0.3226310574092544,0.0,0.07202961473843729,0.13982219331579004,0.0,0.1848150114077477,3.5727924435904588,6.7994794678136365,1.4372671864995508,1.8426321351449881,0.22545187780176143,2.209304523301714,4.617099919036305,1.0232313814111047,2.3191053980002194,3.912692231084061,0.0,0.323932711338438,1.9735618059374485,17.769171552240092,27.93591120140472,0.19797236386564643,4.315268883374191,7.029051845955663,0.0,0.2659676425347266,1.2170456790258435,1.7492958672312704,2.5972345818451417,3.5114265271449385,3.3353355911787532,3.7938857498022975,7.2826136286586305,5.263372848155388,7.754337466434246,11.87267912701335,17.46824744792265,11.60065465399264,4.692684298149605,9.109328343466881,0.07334598131351755,26.576857719992013,55.958401505898536,48.229148170079256,66.12386832021362,0.3295354818077897,9.351776221558204,20.49559588808423,14.005011692260297,28.78248801919799,24.877061053285917,0.0,5.663072518927929,19.259344590372805,28.22988466479557,26.132497518383996,6.302707540573588,8.349418758377197,30.732452634990278,36.541510617702194,2.291544441506529,0.2026518822879151,1.0212682926657433,3.0706606380143304,13.232255082029457,19.015070073624763,18.134865685182582
d8,0.2022686524546807,0.6622892548972164,0.5993856235996737,0.0,0.24000766860557257,0.46589723905787617,0.0,0.20155206603235293,4.613397702563903,9.242632943306608,2.287412986118759,2.415355340454951,0.4087130470527981,3.9323450900490826,6.415513274086998,1.6910547013999597,2.7073089691412386,4.418200638622675,0.2066280248263832,1.9341956167960945,4.329348929197851,18.186275107578133,28.57169263812327,0.8383572960027578,5.2194511123667695,7.932643650994137,0.0,0.38501811101434386,1.3632078031684554,3.312633436201753,3.1729600153179627,4.562022474291809,3.6355442171248726,3.7991620138178988,7.320848024976275,8.348846376593027,8.039681963769196,12.795884313801125,19.74252972277812,12.263115345680298,5.931717913038082,11.121336432039337,0.15171745806732995,28.055105060504257,61.28740907000561,48.96094328014135,67.50479647231315,0.7746206522081904,10.217805754809664,22.14734210699513,14.468360677407134,31.565318763786543,26.712573706740436,0.03818811232631255,6.299914135283664,21.43126850442067,29.949467949502235,27.407051762870747,6.72237473889309,8.549585859650858,31.942296479765886,40.073711576227396,2.356521329965263,0.28505028676301564,1.3526216418011687,4.338248781211309,16.43122697616345,20.09814972497042,20.46983987225727
d9,0.421359268365122,1.434253906459242,1.1963882293218575,0.0,0.8369777515479768,1.6247215177107786,0.0,0.2835637497383692,4.683313454616548,9.46218807822273,3.276094706141579,2.4281933021216258,0.6528667264099973,4.680355460286394,7.184659746071535,2.233222172381289,4.6984953319283855,5.013162567512797,0.38887459891411463,1.9520590183910098,4.749213750039953,18.547442948987793,29.832433560838,1.2320319155920672,5.979115056942948,8.731188844636137,0.07918318241393167,0.595926212306589,2.44149188025001,3.838142193582103,3.2551969366816986,4.73168909278873,3.6644870671738,5.181735818029616,10.317160381480466,8.409346357336897,9.020562671571984,13.704488070649582,22.107735407460282,16.541471850304617,9.138978773294463,15.992011723202866,0.19680571566698873,29.09845780121797,64.41950095637324,51.73742133052268,70.98090347270922,0.8680554406413405,11.416884343688578,23.913931516773427,15.667000196206285,35.066851811053496,28.41230422172042,0.1803031850006655,6.41039574223821,21.592130420055632,32.520187425937294,28.999600307004613,7.120428497131115,8.939694739255954,33.91012383171679,41.146408531396304,2.6012206855601625,0.3108760289514181,1.3578045048399079,4.692524052885596,16.5054179599754,21.706576777197267,20.948247789130793
d10,0.4523420092002201,1.683867229286853,1.564183624951159,0.0,0.8369777515479768,1.6247215177107786,0.0,0.7377651487177422,9.469500521348875,17.6051277919977,6.653203924225828,5.3696976008025805,1.077009691433728,7.22527323121661,11.417131242384675,3.2976346977753863,4.797514729149585,7.170986823094636,0.6589131718164253,3.7502701641245153,7.0290667156945235,18.970792013615164,29.834520518898987,1.315876490133315,6.131571777672658,9.197647575164968,0.11234446983068594,0.8051628728728963,3.544371370738093,4.874412815833218,3.566956227045522,5.457867699458664,4.646966319212279,5.3122808609794365,10.430435684277885,8.929975723213833,10.30372396167056,14.960196008615224,23.99174547089743,18.74179455311551,11.408982040726254,20.030894128896875,0.19680571566698873,29.493001220339103,64.47872017729266,52.65933839408354,71.54910728192483,1.3682511561133648,11.553351396682471,23.95695692666608,15.997440531039341,35.11934340965637,29.006309331658276,0.22306317773432696,6.738218014054598,22.959427307803395,32.954532988282246,31.607161669064375,7.5772367964797995,9.927975729320739,35.77094945563252,41.81385144190537,3.100511705814107,0.40919494311528376,1.464353352943048,5.43026904251645,17.687692489762696,22.231759373614985,22.68642323252452
