decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2935677432500359,0.5698667957206578,1.075070845247695,2.086902229010231,0.0,0.5118884067026093,0.9936657306580062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7258378613409672,1.4089793778971715,0.0,1.9009510585469869,3.69008146659121,3.898326047380538,7.567338797856339,0.0,1.0777069246858375,2.0920193243901553,0.0,0.0,0.0,0.0,0.0,0.23072306122668254,0.5871658439738656,0.0,0.0,0.0,0.29097387179825585,0.564831633490732,0.0,0.0,0.0,0.0,0.0,0.0,0.13208322588947063
d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35037758387715695,0.6801447216438928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03549852502532247,0.06890890151974362,0.0,0.0,0.0,0.0,0.9899131227101098,1.9215960617313894,0.0,3.221004573647745,6.252538290022093,5.387953574518786,10.458968703477643,0.0,1.7375407198350217,3.3728731620326893,0.0,0.0,0.0,0.0,0.0,0.5589316704996985,1.2119562201092184,0.0,0.0,0.0,0.6586711397742143,0.8463468687399748,0.0,0.0,0.0,0.0,0.0,0.0,0.3026243871903044
d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09351897072222337,0.18153682551961006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7244394256449979,1.4062647674285254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20278674317763504,0.4125578566483738,0.0,0.0,0.0,0.0,1.2366677996368327,2.400590434589146,0.0,5.3604341942894616,10.405548730091308,6.455927697179387,12.312406198281673,0.0,2.358928562340312,4.579096621013546,0.0,0.0,0.0,0.0,0.0,0.7399505624240205,1.5984078626677245,0.12064816614185205,0.0,0.032239786609467205,1.16045166993477,1.830309920841254,0.0,0.0,0.0,0.0,0.010474020847583745,0.0,0.5937779199342655
d6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28914524008306675,0.5612819366318355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941874533166671,2.1240109387911774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30823234371262914,0.5983333730892213,0.0,0.08151792724656695,0.15824068230215937,0.0,1.3415678054897169,2.6042198577153326,0.0,6.69611673024776,12.99834424106918,7.745411578291398,14.465250908948803,0.0,3.12462055496545,6.065439900815285,0.0,0.0,0.0,0.0,0.0,1.0175996285925357,2.2484374929718816,0.7093292808741677,0.0,0.25493607321605466,1.7772409088958765,2.6696794859689863,0.0,0.0,0.0,0.002657653505077491,0.22008261624894318,0.2470274472705424,0.9557564466515704
d7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5528131387805653,1.0731078576328619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.467750777764822,2.8491632744846545,0.0,0.0787333376534744,0.15283530250380323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4979383504604509,1.0101206613512046,0.03548065724069993,0.4202857005247977,0.8158487127834307,0.0,1.5076869846945984,2.926686499701279,0.0,8.27885109520163,16.070710949509046,9.113332914018462,17.690587421329955,0.0,4.133002913791744,8.022888009125149,0.0,0.0850719328877917,0.0668817927842467,0.0,0.0,1.3842973713147735,3.7116867156079922,1.994631682677154,0.0,0.7517923687327688,3.6760044867767148,3.7335300460838257,0.0,0.0,0.0,0.11517387917036764,0.7725380341795188,0.7140789782534895,1.4712241354787117
d8,0.0,0.056935776129666354,0.11052238895758763,0.0,0.0,0.0,0.0,0.0,1.0091890772529062,1.9590140911379943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763615676612124,3.4234892546000055,0.0,0.23442110910069325,0.45505274119546335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6024277513804185,1.3620505917004806,0.34139463873639275,0.7112783347112074,1.6129420704937376,0.1546395940566849,1.7251814704567117,3.3488816779453816,0.0,10.3165632088599,20.0262697583751,11.52746648990927,22.37684671570623,0.0,4.693749543100877,9.111396171901701,0.0,0.383759247641058,0.6513020695079641,0.0,0.0,1.6850677647118164,4.668637120757308,2.66739118672168,0.0,1.3469945566373611,6.501622511950691,6.408639202524643,0.0,0.0,0.0,0.3317049695088729,1.6881183771906811,1.7632415518859048,2.1499353358496722
d9,0.0,0.29434938552850387,0.5713841013200369,0.0,0.0,0.0,0.0,0.0,1.2537796985310559,2.4338076500896966,0.0,0.0,0.0,0.035278991573331316,0.06848274834823137,0.0,0.0,0.0,0.0,0.0,0.0,2.2701271865007278,4.406717479677883,0.0,0.4377014127885386,0.8496556836483397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460872329435302,1.70770824683126,0.8687949889049137,1.2737025001803473,2.6931820806880276,0.4530174600806786,2.186084670601313,4.243576125284902,0.0,13.316950516948225,25.85055100348773,14.832752322478992,28.498976986947177,0.0,5.4490078643996425,10.722124498540714,0.20836995610443262,1.205219354033899,1.1053640186043696,0.0,0.0,2.1708109298695977,5.82274114592155,3.7802586789457684,0.0,2.2185668247668535,9.736214935165954,10.999035729584191,0.0,0.0,0.0,0.7502354637682046,2.487081077581802,2.290460351430595,4.862255683133181
d10,0.0,0.7535269336826554,1.4627287536192723,0.0,0.0,0.0,0.0,0.0,2.0379146334131346,3.9559519354490256,0.0,0.0,0.0,0.3159508275625968,0.6133163123273938,0.0,0.0,0.0,0.0,0.0,0.0,3.5252445192123067,6.843121713765066,0.2166974774580394,1.3284034587147566,2.042802531888907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17481803710290886,0.9525492150346098,2.2491660722888276,1.521209214443506,2.3055567457580426,4.736360206510577,0.8885029068282538,3.5116207156486245,6.841766245128722,0.0,17.574132565173937,34.34219572611042,20.1295932227128,38.13573765959954,0.0,6.195480769420325,12.20747744238302,1.6226224120777428,2.9270654641640226,3.038634211222008,0.02289790250208583,0.3243671334714474,3.441723003457577,9.198898123218479,6.3061617766806854,0.0,4.4704431057313085,16.24348816689342,14.377928677146638,0.2628314931508999,0.0,0.18291217499936865,1.1822415500291794,4.000746687430807,4.13601368916688,8.187868152569976
