decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3763491269469272,0.7305600699557998,0.0,0.0,0.0,0.0,0.0,0.0,2.9204449007439472,5.669098924973545,0.0,0.06326926291811319,0.5757530994327273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08870739139050698,0.17219670093451356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11915825153178142,0.23130719414992862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8523696718122222,1.6545999511649019,0.0,0.21532944187466946,0.4179924459920054,0.19764180066902293,0.38365761306339746,0.0,5.908674567375258,10.857809803434185,0.0,3.6375630808075985,7.061151862744162,1.0247311510616668,0.7190012286785604,0.0,0.0,0.0,0.0,0.07171286769066441,0.6816550650108005,1.3161490836478078,0.0,0.0,0.0,0.0,0.0,0.2545025164613749,0.22490307256322453
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059679155064099806,0.11584777159501727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42175595661456156,0.8187027393106194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01035638932441998,0.020103579276815255,0.0,0.0,0.0,0.0,1.23019924195767,2.3880338226237123,0.0,0.6344961917600431,1.3196821731484698,1.0373044474175284,2.0135909861634373,0.5691993185016383,10.698609405560253,17.033469479122886,0.0,6.534446665889898,15.223376670696968,2.6007219802443426,1.5498691772877573,0.0,0.0,0.0,0.5525941227268973,1.385790232241954,1.8820628397347285,2.7817676290351074,0.0,0.0,0.0,0.0,0.24898633525125585,0.48253903020094757,1.75759353901615
d4,0.0,0.18240119332286497,0.3540729046855614,0.0,0.0,0.0,0.0,0.0,0.612039734080881,1.1880771308628866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032339952502608,1.7533365790152122,0.0,0.07711851220257786,0.14970064133441582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17258839525573563,0.33502453196701626,0.0,0.18613486265427265,0.3613206157406469,0.0,1.533469197792757,2.9767343251271168,0.0,0.8255001755896658,2.227690463331191,2.7319657965028097,4.588235783825052,1.4806901923744884,14.208662284600493,20.460967565795848,0.3561474353531626,16.717512739711193,30.456685850127027,4.381497641021453,1.9783797172549358,0.0,0.0,0.2268746254709052,1.653731267156855,4.345458267188259,3.4765285236363876,4.953840877233117,0.28963291788278067,0.0,0.0,0.019785544482968265,0.4370929583906496,2.578571955036453,4.1178220895661575
d5,0.0,0.2714522759275208,0.5269367709181286,0.0,0.0,0.0,0.0,0.0,1.0272840414723736,1.9941396099169606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7963470096827663,3.4870265482077225,0.0,0.3195358668456676,0.6202755062298253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883196722018131,0.6003938962358744,0.0,0.5352170196194704,1.199543806431785,0.0,1.80717922050467,3.5080537809796533,0.0,1.1642870058787418,3.3098098626952805,3.875419281812384,5.169038345391959,2.128777423063559,18.15807529121366,24.787262862622033,0.558398677054905,18.52672868754746,35.74131119165214,6.768159171023724,2.2423955896987,0.5691191779495993,0.0,0.5176218232645898,2.410534829701087,5.779698368834409,3.8702584166037353,6.573791942225417,1.5364614380450345,0.0,0.0,0.15402633456182685,1.00445770153153,3.4256672638435517,6.470503660735794
d6,0.0,0.2806292223813581,0.5447508434461658,0.0,0.0,0.0,0.0,0.0,1.4143763981432165,2.7455541846309495,0.0,0.0,0.0,0.09045498152972613,0.1755890817929978,0.0,0.0,0.0,0.0,0.0,0.0,1.9867355237944144,3.8566042520715103,0.0,0.4461640330107241,0.8660831229031704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572498495938484,0.9756053968258035,0.0,0.6128829638418333,1.386970299649362,0.42359846301691917,2.2022929245950102,4.275039206566785,0.0,1.813390714680527,3.658268338037747,4.400664298806548,6.097443951392263,3.0217953873321832,21.238437351422256,30.11769444215029,0.6493914740320135,19.080295453661773,36.665036214663495,7.44178042846746,3.4748432279018453,0.857302199711992,0.17334633278509856,0.5745579969252788,3.8941926231290633,6.042087273245721,3.8702584166037353,7.783192568991901,2.1868791169365176,0.0,0.10249029077511708,0.468547662353699,1.3390257610094625,3.4256672638435517,7.1239607948717065
d7,0.0,0.5453232195140494,1.0585686025860959,0.0,0.0,0.0,0.0,0.0,1.4973569590282587,2.906634096937208,0.0,0.0,0.0,0.23545896875314243,0.4570674099325706,0.0,0.0,0.0,0.0,0.0,0.0,2.4837218116189503,4.821342340201492,0.011619013146610513,0.5217293648857076,0.9689863957931597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023080104619796774,0.7292212516659399,1.505312551378156,0.6013455894870251,1.288323125962283,2.9658450303526136,0.5683086898742518,2.9716176871159954,5.768434333813403,0.0,1.8939157163960398,5.155835390315748,5.20518269359872,6.5588057172919285,3.9875148389344397,23.59224636704071,33.502752663792094,0.7007917828535895,20.05346163474977,39.35361547283666,9.74895161299158,4.134769771208876,0.9092313016778197,1.1826936699128567,0.5911340930443967,4.101252144611268,7.255090057798725,4.320018446995662,7.91773529417306,2.6399447049083498,0.11880462632049345,0.23062074521036963,0.5244501456307998,1.380097323789876,4.16021839799095,7.361731692742425
d8,0.0,0.6848888220348008,1.3294900663028486,0.0,0.0,0.0,0.0,0.0,2.258927975088902,4.384977833996103,0.0,0.0,0.0,0.3488801184315512,0.6772378769553641,0.0,0.0,0.0,0.0,0.0,0.0,3.2882629238671104,6.383098616918509,0.011619013146610513,0.5751933047640642,1.1165517092478894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16124131571473557,0.9454945183434897,1.8452778260234488,1.1986573929438344,2.3948286355890436,5.011165148221439,0.7034438200545294,3.48891515243552,6.772600001786597,0.0,1.8939157163960398,5.155835390315748,6.956213631760076,8.452105981155375,4.7873882076363765,27.55083241943329,34.412718396422704,0.9817667876288597,21.03236525671062,39.70083044311303,10.834859952551028,5.1240250655147035,0.9421483088444494,1.6494821745031574,0.6421656747220323,4.205370539652416,7.93633182996172,6.8791137398951445,8.186309635287138,2.697540763517934,0.26553666987241714,0.6223756490794804,0.5603499815950941,2.803610791758004,5.276325338740447,8.19739327870985
d9,0.0,1.1605902108404451,2.252910409278511,0.0,0.0,0.0,0.0,0.0,2.267629551354131,4.401869129099196,0.0,0.0,0.0,0.3732789344734053,0.7246002845660221,0.0,0.0,0.0,0.0,0.05525787079244211,0.0,4.120204296894008,7.998043635147193,0.0961266275758763,1.3189037240283086,2.1980037776808024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16124131571473557,0.9454945183434897,1.8452778260234488,1.1986573929438344,3.1935804947230273,6.71261130141376,0.9964213887188312,3.535345713588566,6.862729914613098,0.0,2.7835476547165503,6.0517188462680815,8.426202957743108,10.84217723931808,5.582229614872303,28.986754101966625,35.673217923691126,1.2821722489695788,21.03236525671062,42.86501435958872,11.689712690829731,5.793466699738433,1.3009303429103394,1.8710523467646496,0.8940022534096946,5.279242875007386,8.228820221596889,8.360766500379206,9.231709929733839,2.843141320037855,0.2844681043470296,0.6401919997798392,0.878645578671013,3.620036559486899,9.125879990965661,12.155162959544
d10,0.0,1.1605902108404451,2.252910409278511,0.0,0.0,0.0,0.0,0.0,2.765389425885955,5.368108885543324,0.0,0.0,0.0,0.5651947658306029,1.0971427807299938,0.0,0.0,0.0,0.03344367965517108,0.06492008403650858,0.0,4.234030671119662,8.219000714526402,0.20608250030314346,1.7233172697299532,2.3168583471563657,0.0,0.0,0.0,0.32862564174940573,1.2020634060526418,1.095101200451312,0.0585129238606065,0.5824426383510064,2.5798903501554498,5.558566319429044,4.498252192129953,3.1935804947230273,6.71261130141376,0.9964213887188312,4.147318700848303,8.050677478117294,0.0,3.0123691345823658,7.355253093807928,8.426202957743108,10.84217723931808,5.582229614872303,28.986754101966625,37.75399514539664,2.4043167987224963,22.060905985386924,42.86501435958872,11.689712690829731,5.793466699738433,1.9944333281578819,1.8710523467646496,0.8940022534096946,5.279242875007386,9.045362611884109,12.110732530257557,10.97290170865918,2.8475382239291327,0.44205910240386304,0.8581147281957341,2.2266231190131824,6.631156157820693,10.775580281909924,14.057978969017272
