decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.06775067415775958,0.5224874243036965,0.7589445013030228,0.0,0.0,0.0,0.0,0.0,0.7562035467316494,0.2120155303245063,0.08812261582159338,0.5926608492455839,0.0,0.2580363031570822,0.04937466872843203,0.0,0.2468207474383479,0.5100166621103481,0.17204958766135628,1.074802261627811,0.7291428795203982,9.333296335015019,18.16466583586936,0.4812868114925304,3.4804072079507287,6.081994458349552,0.6842378300749914,1.4956033813506013,2.7522721185898433,0.34884924624168445,1.5284617500218218,3.7412178474793185,0.0,2.5126896540841064,4.910947203728198,1.96027322059407,5.41083590559367,8.859143497196133,10.286829274844312,3.830475100934769,6.857674287751065,13.366206887543221,3.1977040289802514,5.209007061932942,10.164853001566287,8.771958656540711,6.526441609670947,24.026970214019585,46.12915910313019,21.020801058821384,3.4903226219368717,33.46716731336228,68.67019034309216,29.45155165968096,21.12736236707326,3.823344378824782,4.033110410535445,7.662220600584099,20.270954701347563,22.760989245214056,8.209176972260979,25.33921643419261,27.641456174183148,3.021660723948955,7.786776835674208,24.847743252904642,24.8909840454669,8.174273321368457,11.128243886170887
d2,1.629087386417281,5.468488392995306,4.607188017947383,0.0,0.0,0.674262513052227,0.5766154176738348,1.1026822261154732,2.254436924019454,1.3124313045345224,1.0904109607544008,1.4594213461419607,0.0,0.2580363031570822,0.5008940002461008,0.09936805139779864,0.468287818702491,0.7951579570512131,0.5058006740974748,1.6508586417215776,3.15073160229946,14.252982678717055,22.66037622176968,0.4812868114925304,6.529278923655634,10.778826900130571,0.6842378300749914,3.0136959529937823,4.004986582524975,1.906593713977693,2.476125719423206,4.686417053320206,1.1847270495549698,5.877194275677625,12.28214499832061,2.725562147309346,11.731800630198343,18.274184145284167,19.078617312057958,5.793650108668837,17.934994544470023,26.802329649144866,5.368904459240877,8.961533231416244,18.528696074288465,18.05442881865713,11.864814316677903,31.78444801199204,55.44186393719307,23.403999564013287,9.637224448113201,44.88906719957775,85.56526806820766,38.10100501839613,33.69813197848529,7.063311043700143,8.324350783106983,13.326330274925265,22.742192812451897,22.760989245214056,11.721971404996275,28.19568025217437,31.02055735234933,7.036057054519742,11.941081965188273,38.614518163757566,39.45427731641663,13.98696134744074,20.40533891890683
d3,2.285478583961984,5.468488392995306,4.8361130743278276,0.0,0.1044264229545037,0.8020267596305011,1.3266221984897943,1.6476003002413941,3.4407563193630777,2.635408932768847,2.6009702676072264,3.482450732537738,0.0,0.2580363031570822,0.5008940002461008,0.09936805139779864,0.468287818702491,0.7951579570512131,0.5058006740974748,1.6508586417215776,4.7740258733426275,14.719091316120117,22.66037622176968,0.4812868114925304,6.777337236418375,11.560058395805537,0.6842378300749914,3.0136959529937823,6.205441242651737,3.6597329097862987,3.191907995441775,5.8828030536769695,2.8700997376139674,8.35835437967589,16.707969484215184,2.725562147309346,11.731800630198343,23.159591379512747,19.147179969805958,5.793650108668837,17.934994544470023,26.802329649144866,7.987765818259149,13.069704399700033,22.50667759504568,22.341719457881727,15.63124478783254,34.56556191338388,60.725799173403956,23.403999564013287,12.048417764711544,49.1863545065662,90.10879376442035,41.21150352652937,40.53035053790651,7.063311043700143,13.834804096771325,19.072187589904274,22.742192812451897,22.760989245214056,11.721971404996275,28.19568025217437,31.02055735234933,11.859254135135565,13.129694824960845,38.614518163757566,40.600386714668204,19.423171377145074,29.4359988677668
d4,2.9722918775558997,5.607539635125905,8.450846751112339,0.18113438353768985,0.16950797326779188,1.0873507174260277,2.607255009074977,1.6866711838827222,3.8130606468679993,4.394149881731592,4.484355482962888,4.340475395819405,1.763338863599826,2.1631586807753385,0.523009295681226,0.10472097425938018,0.551660748600759,0.8810418596898804,0.5058006740974748,1.6508586417215776,4.7740258733426275,14.719091316120117,22.66037622176968,0.8959291342715455,6.777337236418375,11.560058395805537,1.1505270879191076,3.0136959529937823,6.205441242651737,4.3263331514878445,4.463867356600336,6.445744248200887,2.8700997376139674,9.777928107672327,16.707969484215184,4.78546900858418,11.731800630198343,23.159591379512747,19.147179969805958,5.864687679635791,17.934994544470023,26.802329649144866,8.218692099534573,13.069704399700033,22.50667759504568,25.8879686755653,15.63124478783254,34.56556191338388,60.725799173403956,25.805474183352285,14.836159313172551,49.1863545065662,90.10879376442035,41.21150352652937,41.55260156648146,7.761288366930432,16.13604014419136,23.32837354371887,22.742192812451897,28.51091381083764,11.788347433261269,28.19568025217437,32.43352290756426,13.474950541350081,13.129694824960845,38.614518163757566,40.600386714668204,19.423171377145074,35.615793381807364
d5,3.8774064867651274,5.607539635125905,8.450846751112339,0.3584098609501756,0.5146182670958173,1.6811722774183733,3.4456475424973134,3.3639752993301024,5.239779695154157,4.394149881731592,4.484355482962888,4.946337133757364,4.284632602540606,5.958331309994765,1.8116240153929168,0.3665773276412385,1.4555014932188175,2.1588902823764515,0.8756856980801689,2.219374314385419,4.7740258733426275,15.509076865547534,30.307682786588384,2.498461434685506,8.521873521717454,13.715213323062569,1.6931707330488335,3.9147932389759506,6.205441242651737,4.3263331514878445,5.591655630510809,6.445744248200887,2.8700997376139674,9.777928107672327,16.707969484215184,8.275247146866947,16.911576610721713,23.159591379512747,21.627412431042416,8.668579733808489,21.873382762293847,30.669146904433354,8.238100896446266,13.069704399700033,22.50667759504568,25.8879686755653,15.63124478783254,34.56556191338388,60.725799173403956,31.636468078340517,14.836159313172551,49.1863545065662,90.10879376442035,41.71773414000597,41.55260156648146,11.259203804256565,16.13604014419136,23.36050537433114,28.09064641383231,35.10931668429355,15.519883153491701,33.86065305656011,38.50441999383201,13.474950541350081,13.223653094747402,41.516641159758464,40.600386714668204,19.423171377145074,35.615793381807364
d6,3.8774064867651274,6.490880031917015,8.450846751112339,0.3584098609501756,0.8546012370768319,2.518676431717039,3.4456475424973134,3.3639752993301024,5.239779695154157,4.394149881731592,4.484355482962888,6.368155910712323,5.286400567732677,7.846033544624989,4.409860783484932,1.3320014124372215,2.119503579026177,3.4750430463286346,1.1957027984725144,3.7920904335720005,5.79930392838926,17.466997933963427,32.81019955717151,3.855950943557727,12.729266539099854,18.2244971828939,3.3450629189587335,5.495940255211414,8.445785622019411,4.587877844145698,5.703239739552142,7.082831685640206,3.517570270788286,9.777928107672327,19.76103835918611,11.34112126352106,23.259547352579567,29.216015640571563,25.659776676481655,10.33425874459034,24.57896184596518,42.11002868377014,8.238100896446266,15.834868635357914,29.013665894542008,25.8879686755653,18.624811360610153,36.83595704459684,66.44107062137692,34.83729091078667,16.719725026014576,52.07441569214262,96.76799371833009,44.996316416222555,42.88704404488335,19.69758173506226,16.13604014419136,23.36050537433114,35.23042057651154,48.46311573805246,21.80548527382122,42.29518662173068,43.78212295796342,13.474950541350081,15.202673176303323,47.97503234223407,50.42587380255797,21.395266611131344,38.33309587478562
d7,3.8774064867651274,9.722732989122285,9.837107444439516,0.3584098609501756,1.3278997987057082,2.518676431717039,3.4456475424973134,3.3639752993301024,5.239779695154157,6.568877974253155,8.486012535447065,8.578083476503066,6.692101343749386,10.99751868365433,6.190871023390766,1.7971148663683614,3.6845866739544513,4.77909814237259,1.6854973333076864,5.888492178711337,7.038371810006556,22.368885643558556,40.683325920756914,5.891076408643562,15.653045404173035,24.71171307748925,5.408335277536315,6.995318825238792,11.03292162240296,6.730849747532303,5.703239739552142,7.42619781447844,3.540557479103429,11.91929862131165,22.823326731724904,15.654585181495491,26.4332094737832,30.364086405655488,27.878346940812907,10.71231821599572,27.251436379456226,42.18235617782309,8.238100896446266,23.564621446408054,34.546135429029576,30.70981376001138,24.915034304125584,41.87817798696878,66.84857132535099,42.649084787055486,20.375198121397055,59.13727162151218,103.96173916716343,49.26004453582504,49.399662508653165,33.34926345925613,20.305343611674346,24.72002032983427,49.85525730132994,64.66290897155635,32.75620720891275,52.16194748892946,53.198519049771114,21.334789435482435,20.010451211100914,55.54994915445981,63.63591373267228,37.77455020965687,49.61679831666348
d8,5.603656987284545,13.151009123448357,12.579670870559655,0.5897065146184235,1.3278997987057082,2.518676431717039,4.015926172867246,4.347393043030259,6.365217015932718,7.439119341756177,11.236130694750333,8.578083476503066,7.234149699953575,12.507098940427255,8.48292484083126,2.9467411066529814,4.98235813863091,6.330338025986426,2.5118007998568173,7.392530476880577,9.834085753024908,25.496035340531378,46.259813985317216,7.703731329618723,18.69280339612157,30.12423936852077,5.655507980551731,9.535788378414406,12.529007903764278,8.932416395873222,5.703239739552142,8.575769578892906,4.363719119929371,13.522544756048351,24.766071680678376,16.974002535615845,26.506625517972573,34.28800454112297,30.381611660199106,13.35215931860338,32.44641912319993,48.527576725207176,10.11980270802606,24.115240943414015,40.09010890383282,33.09186862396955,34.154667377411414,41.87817798696878,67.41824676434778,44.2426106355803,21.46503087607833,62.5941557695942,106.28386625963844,52.5178022700121,51.50018579055988,40.653516534713866,25.66714002434107,25.006043221881228,55.84603118203747,73.39838771036715,35.9461507303193,52.947027401361254,53.198519049771114,22.685386362724692,21.71148158103288,55.565286441741314,67.23266890060977,46.51898297989621,59.58783796556284
d9,8.457436867318336,18.814728009896783,19.0043277019823,1.1035906214447622,1.3278997987057082,3.4057004170658978,7.324767874812897,6.820648289907782,11.067239805707892,12.086199069350478,11.800574034864121,8.578083476503066,8.714481927048778,14.20085009954476,11.557447341528896,3.3234710591399503,6.168981599944538,7.824015914567808,3.6468641874615733,10.713417211369924,15.857249908074682,34.82948606426134,62.1648297220699,7.703731329618723,18.69280339612157,31.529299582923162,6.653144744264691,11.032306959917413,14.926124037352148,9.164150139487528,6.434727965413407,11.77823720765012,5.6877871763274745,15.829161189125237,28.654175057102922,18.84525366725825,32.94415434654114,41.23654946644639,39.85656932952665,17.538923619325573,38.808267131696084,57.6765778963832,12.254724292603099,26.28013282166227,40.09010890383282,34.92716354630209,36.40004856672425,44.42458852539108,73.06945228843091,45.926589938767506,24.404394901351942,63.6589452976472,112.15961341531961,55.17980279963341,53.57691196786824,41.46196969110085,28.36035222692695,30.6064525054461,56.89044670186256,73.39838771036715,41.21403494046346,58.823173563535235,60.13747429992697,26.660603557063148,23.142958849801158,64.37045472168433,71.02694285211454,46.960260407910745,61.677182153570016
d10,11.333859957126384,23.376869519406938,22.54688917571832,1.8480663878035295,2.9666419738881458,9.154706836202555,10.99157073684366,8.337298852628525,15.065673454031959,20.586307852897075,20.298740662165365,11.493157968814998,13.813859498482575,20.299382904335225,11.557447341528896,4.018167514130772,6.903052777291876,8.23042948495656,3.91199135528986,12.105565838597467,17.769470044639117,38.48206495977593,66.48806171777036,10.236427046928664,23.254823493509313,38.428644054990976,9.385166620038692,15.511086358454357,21.571780022725413,11.345879104412575,9.460963779159524,17.633403076272977,11.076654527957288,19.77020445191835,35.56938006611338,25.28832070321954,44.37486121599984,55.63554988064513,49.30705242674268,22.257361657564612,46.146453103572696,64.6639995730577,16.14932920119837,35.904593133116244,51.95074335655916,42.74946131399133,50.145937780990714,48.77875057513958,79.64741044386696,53.753784449958786,33.46925223441135,78.00518439615296,133.96303239635546,59.43422577783174,66.54266139906736,61.13261827714355,47.14506425436629,46.07698670303032,64.7729740471269,84.20166295251903,53.83329629633927,72.89753181906111,70.56698388298923,33.45868224365278,29.701492759445554,77.48930756474923,80.23976315870782,59.907042486168315,78.61004363436714
