decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3763491269469272,0.987877515190831,0.4937366456809011,1.1374519720637493,0.0,0.0,0.0,0.0,0.0,0.0,0.19249786126244445,0.8732549289852377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975315624869722,0.3183456774187257,0.0,0.25365937761296503,0.9386091348515321,0.9935444919102485,1.6350998841574043,0.0,0.13882181111524247,1.1992021587966846
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11915825153178142,0.23130719414992862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8523696718122222,2.5377661578424537,4.793862311682626,4.815401699464846,0.5934321577347063,0.0,0.0,0.3187717040189317,0.7828712638006267,0.14105475839783496,0.866384146571778,1.7313774481037039,0.6513906588038659,0.0,0.0,0.0,0.0,0.07196585455419773,0.3514164635008,1.1574540549185601,2.1183078758369045,0.13763492468765984,0.9754631807278895,1.9657697815155901,3.4112433697019657,2.4449643266007053,1.0748662234744621,1.4374427239232888,2.422661354113047
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059679155064099806,0.11584777159501727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42175595661456156,0.8187027393106194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01035638932441998,0.020103579276815255,0.0,0.0,0.0,0.0,1.23019924195767,3.576070381065824,8.056054471154638,9.005791106682521,1.0603061222636603,0.0,0.0,0.8724886537112974,1.3162714118008512,0.7748855443016528,5.7939814732966255,10.180213905457729,2.8853340676898385,0.0,0.0,0.0,0.0,0.3378883425944604,1.082798399259049,1.8434701012481198,3.8845956327082494,0.7100122571709723,2.0538791043050066,5.494327242572888,5.263014749392715,5.545395797931456,2.003250411072793,2.822403551421293,4.413131949347473
d4,0.0,0.18240119332286497,0.3540729046855614,0.0,0.0,0.0,0.0,0.0,0.612039734080881,1.1880771308628866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032339952502608,1.7533365790152122,0.0,0.07711851220257786,0.14970064133441582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17258839525573563,0.33502453196701626,0.0,0.18613486265427265,0.3613206157406469,0.0,1.533469197792757,6.308418287822738,13.142339135792849,11.020393325317139,1.4530360042722288,0.996109105596505,0.24584273685701272,1.0012823595779505,1.8150167817646774,1.8930557062920186,10.1975405051988,14.754425797524998,3.9284741914177395,0.17752248578919172,0.0,0.0,0.0,0.4803189981686935,1.3650628492428325,3.872532156216676,4.757532742556569,1.0032309581857315,3.419310094327145,7.005500757660339,8.940726363096577,7.649799843683409,4.274995724586958,6.135663069228336,10.600139777469852
d5,0.0,0.2714522759275208,0.5269367709181286,0.0,0.0,0.0,0.0,0.0,1.0272840414723736,1.9941396099169606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7963470096827663,3.4870265482077225,0.0,0.3195358668456676,0.6202755062298253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883196722018131,0.6003938962358744,0.0,0.5352170196194704,1.199543806431785,0.0,1.80717922050467,7.934916052655394,16.188846278929073,15.827974895642177,2.9578670184409583,2.7310215093825914,0.48035682213033115,1.4804467093403408,2.617733102194963,3.9131088548486472,14.16319787036805,18.352579121512267,5.366999220069567,1.2242023096867916,0.6582494073978653,0.7821987269452442,0.0,1.65917495368305,4.314024328185548,5.5755565268337755,9.076893653027845,2.380642720759248,4.197453477743867,11.465418164525104,12.845444343299771,12.340392769644096,9.18449613650138,10.906652669351306,12.767577142869971
d6,0.0,0.2806292223813581,0.5447508434461658,0.0,0.0,0.0,0.0,0.0,1.4143763981432165,2.7455541846309495,0.0,0.0,0.0,0.09045498152972613,0.1755890817929978,0.0,0.0,0.0,0.0,0.0,0.0,1.9867355237944144,3.8566042520715103,0.0,0.4461640330107241,0.8660831229031704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572498495938484,0.9756053968258035,0.0,0.6128829638418333,1.386970299649362,0.42359846301691917,2.2022929245950102,9.854763840166502,18.924977289565796,16.83526749263247,3.0367612859785353,3.603189346209517,0.6185599492913046,2.0448999307216456,2.664296203417094,5.0002614497001145,16.764689649101935,23.171542195084438,10.769247791904679,3.580310283444026,0.7344312319700332,1.1787732505070125,0.0,2.7521935300016698,6.8361329245312525,8.912432567606498,13.299688604128054,3.217442437476874,5.854447499456904,15.42455155268362,16.628133267637708,17.87017898593381,10.766109604375576,15.13896119047114,14.381143756522004
d7,0.0,0.5453232195140494,1.0585686025860959,0.0,0.0,0.0,0.0,0.0,1.4973569590282587,2.906634096937208,0.0,0.0,0.0,0.23545896875314243,0.4570674099325706,0.0,0.0,0.0,0.0,0.0,0.0,2.4837218116189503,4.821342340201492,0.011619013146610513,0.5217293648857076,0.9689863957931597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023080104619796774,0.7292212516659399,1.505312551378156,0.6013455894870251,1.288323125962283,2.9658450303526136,0.5683086898742518,2.9716176871159954,10.83795640611391,19.833037536786073,19.52099352840243,3.670676060281498,3.9848191254074474,0.8572262611380709,2.1294733695928816,4.467611177345605,5.3676466612355025,18.2327628796275,24.53509866534418,11.29564479081172,4.1260179628651565,1.1611920983033373,1.4256606267653587,0.10006554667706283,2.9159823530983773,7.019501515030293,10.368607931261373,15.170733720034047,4.877263593552295,7.532747565748739,20.27542376987855,20.577840965997332,18.824830930221253,11.748680031823971,15.523088646536442,15.588745763541306
d8,0.0,0.6848888220348008,1.3294900663028486,0.0,0.0,0.0,0.0,0.0,2.258927975088902,4.384977833996103,0.0,0.0,0.0,0.3488801184315512,0.6772378769553641,0.0,0.0,0.0,0.0,0.0,0.0,3.2882629238671104,6.383098616918509,0.011619013146610513,0.5751933047640642,1.1165517092478894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16124131571473557,0.9454945183434897,1.8452778260234488,1.1986573929438344,2.3948286355890436,5.011165148221439,0.7034438200545294,3.48891515243552,11.372529955927316,19.833037536786073,22.194549655124284,7.635263090536224,4.235588774756386,1.3323329290330146,2.203841765087235,4.929861954931253,5.720620612110076,19.60560051004147,28.74463753415688,12.007064338920205,4.1642630830099,1.7570583310923529,2.1089274541741823,0.26360220015836433,3.9527471063529758,9.651983996466166,11.45969452442421,16.54757328575898,5.976602788068207,8.532344315688107,21.798120477615633,22.68548951396171,19.10680255949556,13.005532364723042,15.807233012868599,15.752311816877649
d9,0.0,1.1605902108404451,2.252910409278511,0.0,0.0,0.0,0.0,0.0,2.267629551354131,4.401869129099196,0.0,0.0,0.0,0.3732789344734053,0.7246002845660221,0.0,0.0,0.0,0.0,0.05525787079244211,0.0,4.120204296894008,7.998043635147193,0.0961266275758763,1.3189037240283086,2.1980037776808024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16124131571473557,0.9454945183434897,1.8452778260234488,1.1986573929438344,3.1935804947230273,6.71261130141376,0.9964213887188312,3.535345713588566,12.976618197801919,22.405974585240635,24.366213236103906,9.043598981290943,4.36374811872473,1.674384776307174,2.203841765087235,5.1399430586077886,6.0301860817327055,21.356264540236317,31.173575457289573,13.706019809314625,7.723076730282143,2.338746554920119,2.379423424633168,0.5464320308087534,4.463773675273218,11.15918301686885,14.440495417736205,20.101183362223463,6.7882283601297155,9.792206773434213,25.242381613287087,24.032836987552123,19.91212857098955,13.206516548037106,18.413184592953094,16.137313102697508
d10,0.0,1.1605902108404451,2.252910409278511,0.0,0.0,0.0,0.0,0.0,2.765389425885955,5.368108885543324,0.0,0.0,0.0,0.5651947658306029,1.0971427807299938,0.0,0.0,0.0,0.03344367965517108,0.06492008403650858,0.0,4.234030671119662,8.219000714526402,0.20608250030314346,1.7233172697299532,2.3168583471563657,0.0,0.0,0.0,0.32862564174940573,1.2020634060526418,1.095101200451312,0.0585129238606065,0.5824426383510064,2.5798903501554498,5.558566319429044,4.498252192129953,3.1935804947230273,6.71261130141376,0.9964213887188312,4.147318700848303,16.098597571634336,24.19846842432191,25.30356468366053,9.260859579900773,5.4548985533284,2.271409352924526,2.3942880321312563,5.1399430586077886,6.114903865478757,21.356264540236317,31.173575457289573,13.706019809314625,10.125598987055694,2.338746554920119,2.379423424633168,0.5464320308087534,4.561446700926089,11.15918301686885,14.440495417736205,21.0439062050484,6.7882283601297155,9.792206773434213,25.242381613287087,24.032836987552123,19.91212857098955,14.448544374914688,21.611486117309564,19.71861952438443
