decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39512624283445225,0.7670097655021719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05736611848955647,0.0,0.0,0.46215856862266713,1.0785627162592597,0.0,0.6382898267957646,1.2527015218816668,0.5554569026142209,1.5534600468819133,0.49635375405800575,0.0,0.0,0.0,0.6747856264796832,1.3098779808135026,0.2843575806225264,0.5519882447378454,0.0,0.0,0.0,0.0,0.0,0.11090464850353628,0.2143631507734024,0.0,0.0,0.0,0.8660365712966507,4.85495240122927,4.883496126378649,0.5968111546745146,0.0,0.0,1.081226460030446
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20336966208626167,0.351070405704518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0076439206726342,1.9560146695409957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053839717208023365,0.32056053528154715,0.09600356240365741,0.17549425220444406,1.2919522240686614,2.870304331008404,1.1294125694141173,0.9370419607218693,1.864412363933638,1.1321348761645769,3.558811002693659,2.2091058688186695,0.0,0.0,0.0,1.3214675498633421,2.5652017144406054,0.7091019692250504,1.545651857369252,0.0,0.0,0.0,0.0,0.0,0.6443023993743134,1.242163781309135,0.010116844890687276,0.0,0.0,1.6762832860013275,6.8776702511734875,8.311297072622564,1.696249196678008,0.0,0.0,2.244759398444869
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306539727905218,1.0136321543899978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5121010345707813,2.935254949460928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18419428709203722,0.5075867939950777,0.20302352835490795,0.43536824521625367,1.9185158199062067,4.53564844104273,2.2676777473773946,1.038345722480192,2.142404242966637,1.5584933192077168,4.400887432605849,2.7017333918028137,0.05560907163402412,0.0,0.0,2.0164773135518885,3.9143383145419013,1.011538629774536,2.1564369296053765,0.0,0.2198408503022359,0.4259476328257957,0.0,0.0,0.8901134178169474,1.7278672228211331,0.11501040660474175,0.17310833075171184,0.0,2.2180395474754455,9.102500486340535,10.24160282161247,2.571262357326164,0.04750469385094654,0.14137795019538496,2.978903875247898
d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8700582028381022,1.6663687801754807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8094462752461962,3.5124545343014395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857654842604403,0.6056629443637678,0.30128047795201435,0.721134759728072,2.468716345064943,5.599731342184289,3.5249608384189917,1.091368466314388,2.229320893702241,2.162101224455759,5.569705587273316,3.0259321303656455,0.2622407811311784,0.3979243727069915,0.0,2.267767397237391,4.4021367122843476,1.254046120948829,2.6828705932613874,0.20583257194900847,0.28857234624583067,0.5601698485948478,0.0,0.0,1.596227162214867,3.0365555532522315,0.45028982556317226,0.5393933801310589,0.0,2.9916413991571127,10.904183938027835,11.086037278899912,3.0913241350291116,0.27762773955467845,0.42750942551239857,3.6243053479860934
d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0575059802883995,1.9401339036781242,0.0,0.0,0.0,0.05610565156928467,0.10891097069331729,0.0,0.0,0.0,0.0,0.0,0.0,2.2353293906039338,4.339168817054695,0.0,0.034536427359761396,0.030894861941448186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469967256478446,0.6904650378342598,0.39084685736284563,0.9959862072840072,2.884773935175011,6.125807543769778,4.1430032020579795,1.2504488069746165,2.5559298716869887,2.498500930292305,6.582558343598676,3.6747117337940374,0.4705789204810911,0.5843251826699892,0.0,2.9885109640257608,5.801773037702499,1.6075141540068414,3.489912084366501,0.3832197346455836,0.3987914001069572,0.729641218980904,0.0,0.0,2.352899611674511,4.753275549346101,0.8200372578859234,0.7756410974866075,0.0,3.4010064748591278,11.426578712089016,11.493964281403668,3.377344939006891,0.3106183230508151,0.6750259316583173,4.020450389547262
d6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2020110740873038,2.301572864236811,0.0,0.0,0.0,0.15480469172777994,0.30050322511863164,0.0,0.0,0.0,0.0,0.0,0.0,2.6079483652637516,5.062488003159047,0.0,0.16708663422114797,0.3113185808227628,0.0,0.0,0.0,0.0,0.11763173106934098,0.08688549440236756,0.06899873855559634,0.524172681719613,0.8644881338401177,0.6157031506986688,1.1856100105787046,3.745947829602111,7.87466624637095,4.463884522194502,1.402267465753206,2.9113895577859594,3.21798108690417,8.105175375754715,4.3003922108250965,1.050230734501836,1.149626669860695,0.0,3.590922895095547,7.012151454620385,2.0679601799381437,4.279341871387758,0.8915896328653427,0.554830870592299,0.9721670440509547,0.0,0.0,3.5857395496590843,7.079189087887484,1.119238430468569,1.0890113795694132,0.0,4.146202652026662,13.486629258537725,12.874582638701568,4.821748337963909,0.48495995893647414,0.9417165146285955,4.414683359459631
d7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4300099834480318,2.564937565716049,0.0,0.0,0.0,0.2617526601491168,0.5039862529418694,0.0,0.0,0.0,0.0,0.0,0.0,3.6736303844425278,7.1311648639178475,0.0,0.257687152555977,0.5002162373145436,0.0,0.0,0.0,0.0021256781707738527,0.24769369254029522,0.27878623871717434,0.15812779032282429,0.6664152171814364,1.2297687313181551,0.8867750173658624,1.3129298637122553,4.424019700778728,9.232039852369702,5.134419888934053,1.6117993981578065,3.4373366017452636,5.748539382377118,11.948462444335165,5.340967799454186,1.5774760196689548,2.007218677117448,0.0,4.094077782452298,7.947327460054461,2.480714696935584,5.085166943273266,1.1819549505515352,0.7335482323261097,1.3968479051414886,0.0,0.07871567096200131,5.045625325290601,10.48956086459027,1.6146260970166053,1.6113013621614873,0.20315766437578903,4.763789267113712,15.361156208365328,15.057507176332644,6.765079661668299,1.0830040378716943,1.6803817211258096,5.15923808273703
d8,0.0,0.025737697865697202,0.04996141350400045,0.0,0.0,0.0,0.0,0.012478706953485174,1.6244596697796547,2.8834581540121227,0.02579810690559697,0.0,0.0,0.39658827856097295,0.7401069489618501,0.0,0.1506607590904551,0.292459120587354,0.0,0.0,0.0,5.819028069807394,11.166747360879647,0.0,0.4539554852514748,0.8812077066646276,0.0,0.0,0.0,0.10181736651231632,0.4218613243544395,0.5311795573635761,0.321662298124945,0.9485417620297566,1.7177564179123581,1.3304635544093921,1.5908938584126304,4.78963036173748,10.045346868412352,6.22342929375592,1.8669213998173237,4.186026231030186,7.785657208070479,16.132025093116066,6.489543424146344,2.382120801816333,2.9739847455363044,0.08488666371270136,4.6605121005539205,8.75788749948525,2.724946544544272,5.770854672889726,1.475925027987007,0.9759569032741059,1.9153229938586782,0.07368285225531943,0.1671675592577963,7.035357740969151,14.056261889788537,2.1040379720988747,2.1698578972032476,0.6755499723693412,5.432212313484217,17.163735332033788,18.387029374950593,8.899637491124578,1.6515449663317412,2.5865161994401515,6.4513053322885945
d9,0.0,0.06549993069000067,0.12714692428058955,0.0,0.0,0.0,0.0,0.045352145367250574,1.797838783044791,3.430246517435755,0.25422406941122505,0.43801149337059003,0.0,0.7047485860096954,1.158093767570567,0.0,0.4658139358931852,0.9042270520279477,0.0,0.0,0.018679013980944535,7.793994747822303,14.847044852549107,0.0,0.7262732887746742,1.4098246193861323,0.0,0.0,0.0,0.1971061483684522,0.6123115699102939,0.8461155250790395,0.531511180222805,1.2358661888268383,2.501810553618767,1.7639220828048296,2.1559733496354023,5.585368292424956,10.412354388699962,7.309829444782339,2.225708264709958,4.993271132514614,9.383316362110401,18.719361223358696,7.358011320193975,3.6012971358015813,4.634481050715597,0.21148576553768694,5.11724775829452,9.687684773677363,3.2964380089018137,6.858845652636062,1.8633076625885474,1.5666961783417233,2.817708864737848,0.22045198479756054,0.2525323410446073,11.172495331562521,22.574935779694883,3.6203032776370043,2.6954981654612866,0.9901158825815338,6.622348287684352,20.327876531504252,20.192150730307038,11.211332456314718,3.0780178234058577,4.563319462035433,7.880936844157888
d10,0.0,0.12918841425338706,0.25077751002128074,0.0,0.060015546696022576,0.11650076711580852,0.0,0.17494337624537337,2.1449101720940864,4.092801949712521,0.6511565247664957,1.2068147142072567,0.11856266771654106,0.9934344012543795,1.8929750507010585,0.045978247230310534,0.9162054431991866,1.767938154553373,0.0,0.0,0.2866854751644294,10.490928439510776,20.36474344140327,0.0,1.2712330178933828,2.4676876229695077,0.0,0.0,0.1269060483306876,0.5259484649740467,1.2603072727868216,1.5220900281943308,1.0481350677265397,1.950102611002877,3.307658129047317,2.640504857613098,3.2051851876582624,6.564023834894024,12.012284883735372,8.248766446735628,2.771189846767917,6.253032030018955,12.653696194725244,23.79706285499371,8.951988291626106,7.383658397314845,8.281128268185626,0.4410764675293506,7.5270164410319005,12.705161046122091,4.187651266604652,8.74929214833184,2.4095220232749233,2.065319361136869,3.93616029762959,0.9128084067349045,0.38097351156697673,14.572462629116316,29.507794941638416,4.612269951679746,3.6454591237596867,1.5496040755253608,8.15059425275262,23.614443001598985,23.80452314347559,14.058105898512308,4.7113940164517905,7.405243011613583,8.9782230921648
