decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.1268131627564042,1.4852053001449923,0.7877792953735783,0.0,0.0,0.0,0.0,0.0,0.2216095500502833,0.3762581333276047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005366690784520145,0.0,2.9219910694572797,6.189502482788467,0.0,0.21551126003256457,0.4042511351104343,0.0,0.0,0.11627669118706749,0.43149903641025583,0.6390858219026166,0.220311686970084,0.0,0.2908616383416244,0.7541892031207038,0.08109076144899,0.25288748863580596,1.2470026378109358,2.3848337606361163,1.153391623663174,3.1218843327268364,9.997707946682869,14.562426594493905,22.332721978099777,7.565941428894096,7.082459660856973,5.582786893854606,0.11432037848386245,2.039804839421256,4.434603457248929,1.8460416968596185,1.535630857339441,2.5137977424415663,1.5355136106384277,0.32308559703928497,0.0,0.0,1.013580776438093,3.5067959095673578,5.661596676067939,3.9256916960840904,2.3526338029653564,9.129448044248516,14.981520664110334,8.638421334446727,4.498966515519184,4.5866337497192005,6.230936599596166,9.350206410079409
d2,1.1739872615611493,2.8940547812766373,1.514861592887501,0.09867407242050881,0.20566760697839656,0.11613196991811009,0.18527311336179936,0.35773130873423714,1.5227490916882098,2.1694773765790876,0.6768442506411135,0.0,0.06435505999648498,0.455706369685036,0.0,0.0,0.2516255395836437,0.30859796422038877,0.0,0.5347255000990498,0.41272179184014046,7.775938455914611,14.437347286835653,1.2592350352338137,2.0883565296434856,2.3800756466742974,0.0,0.2201832313857442,0.6130322967912175,1.5274076035102948,2.5393551820644964,1.615185315970408,0.44147172678838004,0.8136108774737308,1.923534129491422,1.447340202925612,1.8006825827994462,2.761457624751258,5.396711209580735,2.833432529264763,5.649101888642366,15.71650225164341,24.979001753093502,36.92478887748845,11.94468546851936,9.76081552703852,9.079833398200961,0.8264752836320298,4.835302254649277,8.845759056981876,3.3639305993568365,3.153245080483748,4.142912524005793,2.298553147319028,0.8705430552714053,0.44527993955705103,0.0,2.665687135207954,6.659282504099115,8.05861130618646,10.388446912478468,3.827137264470312,13.245157394247139,24.193215107855192,15.244263848852196,8.344498406347203,8.841333034311578,12.120528073236276,14.0435414171826
d3,1.5512170872306725,3.9590997703685744,2.1846747881442377,0.26384664331321867,0.5121728958433068,0.698161273101159,1.2406663171048649,0.6226750024995304,2.837011021232575,3.8463627535582066,1.2729363672218652,0.24033173059669694,0.3182177827367512,0.9416762576232302,0.14120650642616184,0.013620208962537959,0.5456763692635568,0.7879591522668989,0.03890300797645928,0.8708662395972502,1.0273825411222364,10.874765586043232,20.977806107201665,1.9458194344285782,4.7904209089659675,5.2536347703472135,0.07979433648134553,0.5200238705204084,1.3264357521766954,2.706226579771238,4.533751699593058,2.9706869221222276,0.8258894398284223,1.3212841047595554,3.1089518531991014,2.5580572407396778,3.576484537338155,6.600113232089814,10.956109726913486,4.948337377786255,7.9450363331955,19.66333066148711,28.87931110301986,45.25310652543346,14.552286634646947,13.163777475750958,11.305714483968263,1.0856759534911404,8.087038074146685,13.50550980945235,4.344354603660021,4.764188579171668,7.374555775496143,3.635851611377918,1.918659193107537,1.1756650859409983,0.03931672431250235,4.907841317241846,11.175896263523928,12.01283131550567,12.388242667432083,5.0837597950968085,16.96892497174545,34.010704027264936,20.67963840209871,12.380632779357846,12.319954382634169,17.28594625683595,18.450053050845185
d4,1.8796943363098344,4.993736993529729,2.897743005977716,0.40069045082529936,0.7646839093419457,0.9504894368561445,1.8164172717694353,0.9497653230325148,5.439586435447007,5.956245989335853,2.344228869853591,0.4294086290237283,0.5510293883653041,1.2074553935493895,0.43160355454257804,0.14023435520767402,0.9714522396834346,1.2594903643462099,0.2086590522235246,1.2000425900296878,1.599608609121876,13.178722074191088,25.553187893027342,2.6532782149053897,6.535567140310054,7.663841823625579,0.3552681580264018,0.7254500591065735,2.0582058745289147,3.65475398516919,6.482994699255243,4.054150876222102,1.7859381094502975,1.925744644111804,4.2457996406273,3.399079863414973,5.765586224594598,10.257343142640934,14.607270676091026,6.45435692167515,10.398792267196391,24.595464859722444,34.31458286188581,50.52188013758102,18.51461819242663,15.005581956776021,13.096976383762373,1.3133425444005011,10.31091015308445,17.38082605495175,6.022791547059569,9.072050819800088,9.190739098110894,4.79645125437139,2.8778039501787678,1.6270732745459795,0.1859627006241491,6.5543876538583,17.022801773076125,14.303540381393745,14.48927406088346,5.8598140936278345,20.56815060544412,39.29932396944709,24.824884956957437,17.245520857791508,15.934649009155002,20.69188143178888,20.518386719423717
d5,2.125720706749317,5.382169539668415,3.267279479944044,0.5430166445488506,0.9895985681701033,1.1577683287092697,2.2474326380827003,0.9754334895083219,6.425056885617454,7.904872170374927,3.0145578631105083,0.6817336710826579,0.6202118138253501,1.410620764845008,0.5869554278075877,0.26491060804958594,1.2662465412125188,1.5835175030357607,0.3048132793382472,1.5095392084674104,2.256541965196461,14.714434642316101,28.205096078704294,3.3786084727747108,8.078024648108284,8.726729377931921,0.6265525158491023,0.9893045326746279,2.6409424552978282,4.45192262687903,7.651932852650036,5.559487839547202,2.3971739996508035,2.5860669055312355,5.2259583793788575,4.231423590573706,7.550784327848631,11.517122802696582,15.752297000772337,7.6234379629814075,12.376232703289686,29.232713037002743,37.021458941930874,53.1301648842508,19.81515157583738,16.553131068078493,16.92940198779321,1.5794218016257675,11.98583068172142,21.536904305007624,7.259734176674838,11.131303788724125,11.041097545727729,5.628882013953875,3.569623076752507,1.7154545885653156,0.40011138220896136,7.772842440137602,19.030094724056262,18.311641845291177,14.773785549390118,7.107177141245122,24.40604922587324,44.94094993203743,27.354631574700125,19.12186889655085,19.677216087665997,24.676332165032242,23.599713490815333
d6,2.5736725265424214,5.49597435878226,3.4517352204795064,0.7098989486981891,1.006235340256649,1.6837242444884932,2.852393064294716,1.3112268178602264,7.261701974378634,10.07874446873765,4.131441384770569,0.8590981469548012,0.847443416490929,1.9039807042067578,0.9011652230946239,0.4053149649690363,1.604208552005776,2.009233571533902,0.40957032183515496,1.906683459414077,3.0153694225437775,16.35473679962004,30.866607483438163,4.198544218162285,10.043852934326921,10.430947780790893,1.0168845360504162,1.2067916419730755,3.5996343644593587,5.119387002465306,8.463211776604199,7.27884506931709,2.941729150478492,3.016344375653781,5.892215751145259,4.618685380801552,8.65292283739792,13.215874649901924,18.63737952389901,9.357055385198834,15.254086325606774,33.682843493632916,38.58298838110025,61.443593478066596,20.60077125878835,18.74822957113104,20.46046143031884,1.7853816186275702,13.814035141485626,23.932922622750624,9.05968665078628,13.780817218793029,13.044091225757986,6.071782884967149,3.725643322234178,2.089549074779519,0.8071965137543149,7.966057692990752,20.37759433320239,19.146278294651225,15.950250211742196,7.43230227466786,27.81839018113985,47.759887473633356,30.2550596433749,22.66160728391143,21.33675885405987,28.71314467806547,25.58056886904172
d7,2.8057471761913795,5.8058209097471885,3.6307618575356053,0.8639476803844695,1.148662015899543,2.281206190226992,4.1479603368322415,1.5559006291630135,8.531939597278049,12.841041911276417,5.1965854266409774,1.169183523887742,1.2092478454149194,2.92699221236533,1.2648553514532874,0.42450912580082617,1.8211253766313718,2.866086427635772,0.5633327719884148,2.151224855546748,3.5397966237324376,17.126052112119535,32.30520712624808,5.170109877729608,12.109267333298165,12.23759147014083,1.2416677670001308,1.748884309450637,4.259025624539979,6.1445828050311135,9.722562708645825,8.350760807414394,3.653534291235252,3.5083475938684687,7.142014937900841,5.323251951627843,9.933101340445187,15.12288059713389,23.155701781175438,11.632329757209334,16.236359062675447,36.43809253760259,44.50986454884236,72.15056957878016,25.39540426106197,21.077614062054536,25.59274909169789,2.1024190569970043,15.990745771932652,28.025656504038306,10.658330909650667,14.587495189308077,18.70549906987302,9.251805599482122,3.725643322234178,2.2364219447780296,1.4133908255648941,9.415562351873271,24.9825935592036,23.320060575301444,17.99016019814947,8.996457977504525,33.547134626536355,55.77301241338102,30.432885713575445,27.038692407226783,23.414286233918716,30.928590550797193,28.902167839801265
d8,3.0000683854041377,7.492360534368462,4.278803571330036,1.0401025242724466,1.3409481533138161,2.9208975174471834,5.37756779999588,1.736526030417611,9.142020697226457,14.115751833097239,6.072224938591076,1.453531448250933,1.9136095363596966,4.279268198235339,1.9900440881413906,0.6726508285411152,2.4796169379921134,3.9666248012406355,0.7456274822933486,2.5976494884501506,3.870295332551785,19.878706414920646,40.00420316930615,5.435336781449922,13.397338045207324,14.173227056898211,1.8282523572738625,3.097428382221852,7.013947136599132,7.517431027429023,10.12326514322929,10.422189203587873,4.2510223255504584,4.152128000027006,8.447925595066152,5.6098757895083775,11.137238635765513,16.984118075188654,27.628714398471555,14.938283768053644,21.43612901034099,43.91648707536194,49.52029142830499,78.18564692165079,28.61539262000897,22.946963641926924,28.967061634159,2.5026701640690905,18.013147340450924,29.74254770573815,11.296917117540676,15.527303059568773,22.935689519504965,11.914282788572624,4.411094499181893,2.2731778020893514,1.9576281120176742,10.513403360183261,28.821475474227,29.61288883688488,19.43500521435394,9.787262702611484,41.58144965721298,61.610256739221384,30.432885713575445,31.74479001355913,23.43076053491522,33.27068700780956,31.40980450670341
d9,3.542244308683431,9.742409630918313,5.461333610370354,1.1168695731807006,1.6770749089816173,3.1099227138693943,5.37756779999588,1.872459849805653,9.782469216217375,16.818386912915372,6.969309585548603,2.2160064883416033,3.05350373241751,6.734623012620777,2.6814015881430366,1.8494299429828271,3.123013508811632,4.230393078740788,1.3692478322394472,3.778305615996247,4.6643292061359825,23.798528825625162,47.74237014321977,5.637527529620836,14.188822259501606,15.2120053283542,3.268679368545297,5.068099594983071,10.3913865106893,9.329444714422578,11.230047070931473,13.34511074482933,5.516564625480458,4.152128000027006,8.480331836336703,5.92884381960613,13.682258401424907,21.290321003306644,31.341517643118728,18.278495951777483,26.28849998484553,52.72027876170841,50.53994552701437,78.9102586132814,29.16698753600243,22.946963641926924,29.06442549239755,2.5026701640690905,18.18976052844081,29.994071250140426,11.296917117540676,18.26614517746432,23.020173597453233,11.914282788572624,5.100271543892795,2.573864318781715,1.9576281120176742,10.513403360183261,30.636534516164538,30.03302432330994,20.863303412408538,10.410077986450101,41.71258016973425,61.610256739221384,33.30956144171607,33.59325801320673,24.499411057026073,33.27068700780956,32.948747613237025
d10,3.6636281728476496,9.742409630918313,5.461333610370354,1.209057976296444,2.1334755536180614,3.272583460284928,5.883651375267736,1.9732910333005786,9.782469216217375,18.667666454894768,8.0458027622741,2.9807878039902214,3.561932709587243,7.96375444704365,2.6814015881430366,1.8494299429828271,3.246985984420072,4.806546729678954,1.663922093004686,3.778305615996247,5.425905246121812,24.215500204262344,47.74237014321977,6.7679027999339105,14.895756711029524,16.3128540170268,3.268679368545297,5.068099594983071,10.3913865106893,9.329444714422578,12.431570889166478,13.34511074482933,5.516564625480458,5.491417828307179,10.81412990129781,8.77873348745369,14.173514945061239,21.948473636568238,32.53272319600931,18.841778850244836,31.07977472399297,58.428032092968955,53.485440168877545,87.9826312699076,30.043523712125307,26.347189012822458,32.88546923803634,3.193309261012544,20.39527402147099,33.0991314488747,13.683265508459602,24.476562915076823,29.129904365828466,14.296373043196477,7.219217877247509,3.352170046664,2.5174569815872263,11.63372711316886,32.91808845016874,32.07952493822742,22.626527871782567,12.247995519491717,47.655341986117165,65.32496666784166,36.632685711621036,39.4306503637044,27.398263723285893,37.3221249543737,32.948747613237025
