decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.06775067415775958,0.5224874243036965,0.7589445013030228,0.0,0.0,0.0,0.0,0.0,0.7562035467316494,0.2120155303245063,0.08812261582159338,0.5926608492455839,0.0,0.2580363031570822,0.04937466872843203,0.0,0.2468207474383479,0.5100166621103481,0.17204958766135628,1.074802261627811,0.7291428795203982,9.333296335015019,18.16466583586936,0.4812868114925304,3.4804072079507287,6.081994458349552,0.6842378300749914,1.4956033813506013,2.7522721185898433,0.34884924624168445,1.5284617500218218,3.7412178474793185,0.0,2.5126896540841064,4.910947203728198,1.96027322059407,5.41083590559367,8.859143497196133,10.286829274844312,3.830475100934769,6.857674287751065,24.267530255632444,26.719363442915267,14.548632692282458,25.454622626281523,36.34834176520581,4.569422514334477,10.05401981855427,40.54471065707288,54.74455367804115,9.29171195423292,15.83269541894887,38.95583351137603,68.20795238194944,32.211464188969316,10.070966496223924,9.039234874838778,31.868310884298694,50.24157026260331,36.00274369892909,88.94110087079962,125.81757568374249,44.192268784172356,20.135271297098626,13.100887113713434,45.86916205058766,91.54511801734029,133.46193462374492,113.85397698284724
d2,1.629087386417281,5.468488392995306,4.607188017947383,0.0,0.0,0.674262513052227,0.5766154176738348,1.1026822261154732,2.254436924019454,1.3124313045345224,1.0904109607544008,1.4594213461419607,0.0,0.2580363031570822,0.5008940002461008,0.09936805139779864,0.468287818702491,0.7951579570512131,0.5058006740974748,1.6508586417215776,3.15073160229946,14.252982678717055,22.66037622176968,0.4812868114925304,6.529278923655634,10.778826900130571,0.6842378300749914,3.0136959529937823,4.004986582524975,1.906593713977693,2.476125719423206,4.686417053320206,1.1847270495549698,5.877194275677625,12.28214499832061,2.725562147309346,11.731800630198343,18.274184145284167,19.078617312057958,5.793650108668837,17.934994544470023,37.05805350159891,33.87220088334702,26.30992299794732,35.39295600246163,45.01983679666578,7.6601075970318036,14.253584727588763,45.042258625423145,63.59119873895738,13.87725717019596,20.2451178057052,45.78503957922324,84.90095520957638,42.735662701244024,14.210631263766004,10.692601605319595,40.720752603089636,58.74504973310974,43.913832595753,105.22756783479508,148.04619199336983,56.34688009833377,28.223035478270656,19.77284673197402,54.885512708811206,113.20194870843828,146.87854003899923,128.45895628430185
d3,2.285478583961984,5.468488392995306,4.8361130743278276,0.0,0.1044264229545037,0.8020267596305011,1.3266221984897943,1.6476003002413941,3.4407563193630777,2.635408932768847,2.6009702676072264,3.482450732537738,0.0,0.2580363031570822,0.5008940002461008,0.09936805139779864,0.468287818702491,0.7951579570512131,0.5058006740974748,1.6508586417215776,4.7740258733426275,14.719091316120117,22.66037622176968,0.4812868114925304,6.777337236418375,11.560058395805537,0.6842378300749914,3.0136959529937823,6.205441242651737,3.6597329097862987,3.191907995441775,5.8828030536769695,2.8700997376139674,8.35835437967589,16.707969484215184,2.725562147309346,11.731800630198343,23.159591379512747,19.147179969805958,5.793650108668837,17.934994544470023,37.05805350159891,33.87220088334702,26.30992299794732,39.901866467372386,48.702613652358295,10.059270151324691,14.979855690962601,52.24607535044839,73.0774207386659,17.165393826192727,22.12599126560339,51.798423235228825,88.43619585159831,42.735662701244024,14.210631263766004,10.692601605319595,40.720752603089636,58.74504973310974,43.913832595753,106.33904601065467,158.57170921945598,68.27307650881492,28.223035478270656,20.460568067649632,61.22540416869104,113.20194870843828,154.34082397564515,136.16822617282992
d4,2.9722918775558997,5.607539635125905,8.450846751112339,0.18113438353768985,0.16950797326779188,1.0873507174260277,2.607255009074977,1.6866711838827222,3.8130606468679993,4.394149881731592,4.484355482962888,4.340475395819405,1.763338863599826,2.1631586807753385,0.523009295681226,0.10472097425938018,0.551660748600759,0.8810418596898804,0.5058006740974748,1.6508586417215776,4.7740258733426275,14.719091316120117,22.66037622176968,0.8959291342715455,6.777337236418375,11.560058395805537,1.1505270879191076,3.0136959529937823,6.205441242651737,4.3263331514878445,4.463867356600336,6.445744248200887,2.8700997376139674,9.777928107672327,16.707969484215184,4.78546900858418,11.731800630198343,23.159591379512747,19.147179969805958,5.864687679635791,17.934994544470023,37.05805350159891,33.87220088334702,26.30992299794732,39.901866467372386,48.91870349164001,10.059270151324691,14.979855690962601,52.24607535044839,79.58098942559684,17.165393826192727,22.12599126560339,58.83854004184044,88.43619585159831,43.834827935783096,14.210631263766004,10.692601605319595,40.720752603089636,62.55118965137715,46.78126679662769,106.33904601065467,158.57170921945598,74.03793557406338,28.223035478270656,20.460568067649632,61.22540416869104,113.20194870843828,154.34082397564515,137.76219817161603
d5,3.8774064867651274,5.607539635125905,8.450846751112339,0.3584098609501756,0.5146182670958173,1.6811722774183733,3.4456475424973134,3.3639752993301024,5.239779695154157,4.394149881731592,4.484355482962888,4.946337133757364,4.284632602540606,5.958331309994765,1.8116240153929168,0.3665773276412385,1.4555014932188175,2.1588902823764515,0.8756856980801689,2.219374314385419,4.7740258733426275,15.509076865547534,30.307682786588384,2.498461434685506,8.521873521717454,13.715213323062569,1.6931707330488335,3.9147932389759506,6.205441242651737,4.3263331514878445,5.591655630510809,6.445744248200887,2.8700997376139674,9.777928107672327,16.707969484215184,8.275247146866947,16.911576610721713,23.159591379512747,21.627412431042416,8.668579733808489,21.873382762293847,41.47413405554596,37.44322465709983,29.936036686593212,39.901866467372386,48.91870349164001,10.449706200842467,18.86749039099883,52.24607535044839,79.58098942559684,17.165393826192727,22.937797367872726,60.38819109373658,88.43619585159831,56.20874662094991,18.2721487606638,14.21486294481377,42.586851971866764,66.89747664781879,52.06465434801402,109.12140587969846,158.57170921945598,74.03793557406338,33.50464909546061,20.460568067649632,61.22540416869104,121.17013392798881,154.34082397564515,137.76219817161603
d6,3.8774064867651274,6.490880031917015,8.450846751112339,0.3584098609501756,0.8546012370768319,2.518676431717039,3.4456475424973134,3.3639752993301024,5.239779695154157,4.394149881731592,4.484355482962888,6.368155910712323,5.286400567732677,7.846033544624989,4.409860783484932,1.3320014124372215,2.119503579026177,3.4750430463286346,1.1957027984725144,3.7920904335720005,5.79930392838926,17.466997933963427,32.81019955717151,3.855950943557727,12.729266539099854,18.2244971828939,3.3450629189587335,5.495940255211414,8.445785622019411,4.587877844145698,5.703239739552142,7.082831685640206,3.517570270788286,9.777928107672327,19.76103835918611,11.34112126352106,23.259547352579567,29.216015640571563,25.659776676481655,10.33425874459034,24.57896184596518,53.902326332557855,45.800057283541705,38.860259107686076,43.60678019487941,51.349022519060036,15.287891898744778,21.725433534852655,61.72874522205784,79.58098942559684,19.67307393960389,30.37718531345781,60.38819109373658,96.30083818394672,66.60893011219704,26.74001287898892,23.65120828907005,45.34888007746602,74.9246974255957,72.25946874357332,125.61446523136557,167.034248080067,74.03793557406338,47.4146297362615,29.596315218292897,70.02139091853837,130.5164035118449,163.17879695446197,139.74450662803824
d7,3.8774064867651274,9.722732989122285,9.837107444439516,0.3584098609501756,1.3278997987057082,2.518676431717039,3.4456475424973134,3.3639752993301024,5.239779695154157,6.568877974253155,8.486012535447065,8.578083476503066,6.692101343749386,10.99751868365433,6.190871023390766,1.7971148663683614,3.6845866739544513,4.77909814237259,1.6854973333076864,5.888492178711337,7.038371810006556,22.368885643558556,40.683325920756914,5.891076408643562,15.653045404173035,24.71171307748925,5.408335277536315,6.995318825238792,11.03292162240296,6.730849747532303,5.703239739552142,7.42619781447844,3.540557479103429,11.91929862131165,22.823326731724904,15.654585181495491,26.4332094737832,30.364086405655488,27.878346940812907,10.71231821599572,27.251436379456226,58.116254900703495,50.397018287964535,49.82979326414297,52.279371295848605,57.414138651306544,21.497273167606693,28.302777804044325,72.00590075296847,84.48562007735671,25.238341202945968,36.57889926491279,61.85730358896295,105.4190260769479,74.65933225059985,33.5498359021005,34.98125910842816,52.54717327584476,78.99322097424624,87.29185799530362,143.9039506242442,179.12827248724034,81.80199598587058,65.76860989769803,39.05139925506728,85.7293602087789,138.24431632503143,163.17879695446197,150.97457493880344
d8,5.603656987284545,13.151009123448357,12.579670870559655,0.5897065146184235,1.3278997987057082,2.518676431717039,4.015926172867246,4.347393043030259,6.365217015932718,7.439119341756177,11.236130694750333,8.578083476503066,7.234149699953575,12.507098940427255,8.48292484083126,2.9467411066529814,4.98235813863091,6.330338025986426,2.5118007998568173,7.392530476880577,9.834085753024908,25.496035340531378,46.259813985317216,7.703731329618723,18.69280339612157,30.12423936852077,5.655507980551731,9.535788378414406,12.529007903764278,8.932416395873222,5.703239739552142,8.575769578892906,4.363719119929371,13.522544756048351,24.766071680678376,16.974002535615845,26.506625517972573,34.28800454112297,30.381611660199106,13.35215931860338,32.44641912319993,63.20119789677379,58.82839202527833,62.94990172270643,55.98701056304073,61.74730315399015,22.742232532727645,30.608545680813833,76.03705533286117,86.27059143581509,28.912995972711723,44.693365087577334,62.64025428066626,106.1408413330864,82.43763954500567,35.47980523978379,41.96218063919251,58.37420499547977,89.7282620875976,97.65827659540687,143.9039506242442,179.12827248724034,88.5423283264556,77.73610403132733,42.16732224112775,90.43731278632619,143.71967105707978,169.6231010422159,161.40330806674103
d9,8.457436867318336,18.814728009896783,19.0043277019823,1.1035906214447622,1.3278997987057082,3.4057004170658978,7.324767874812897,6.820648289907782,11.067239805707892,12.086199069350478,11.800574034864121,8.578083476503066,8.714481927048778,14.20085009954476,11.557447341528896,3.3234710591399503,6.168981599944538,7.824015914567808,3.6468641874615733,10.713417211369924,15.857249908074682,34.82948606426134,62.1648297220699,7.703731329618723,18.69280339612157,31.529299582923162,6.653144744264691,11.032306959917413,14.926124037352148,9.164150139487528,6.434727965413407,11.77823720765012,5.6877871763274745,15.829161189125237,28.654175057102922,18.84525366725825,32.94415434654114,41.23654946644639,39.85656932952665,17.538923619325573,38.808267131696084,72.33637976557785,60.36448464421371,64.66639780690001,62.736163035278636,65.57694375396899,27.807268493960628,34.67621284588448,81.32450947851356,93.23969568701911,31.42248756784128,45.912685689976676,68.41967714370075,112.9454653121955,82.59772833147656,41.760401419384806,41.973454415353025,64.8412085892147,89.7282620875976,97.65827659540687,151.70161051408326,188.33576299753332,89.04237251403767,78.28535751953194,47.440409223372896,93.48925508972194,152.22538986114301,180.99262887690725,171.0761632540889
d10,11.333859957126384,23.376869519406938,22.54688917571832,1.8480663878035295,2.9666419738881458,9.154706836202555,10.99157073684366,8.337298852628525,15.065673454031959,20.586307852897075,20.298740662165365,11.493157968814998,13.813859498482575,20.299382904335225,11.557447341528896,4.018167514130772,6.903052777291876,8.23042948495656,3.91199135528986,12.105565838597467,17.769470044639117,38.48206495977593,66.48806171777036,10.236427046928664,23.254823493509313,38.428644054990976,9.385166620038692,15.511086358454357,21.571780022725413,11.345879104412575,9.460963779159524,17.633403076272977,11.076654527957288,19.77020445191835,35.56938006611338,25.28832070321954,44.37486121599984,55.63554988064513,49.30705242674268,22.257361657564612,46.146453103572696,80.00286012324203,70.73585605409751,80.99616929699668,77.1805234522801,79.82406147424128,36.316128861529805,42.42937669213089,93.42682390733987,110.86724185982679,40.502619132668684,51.30641333799476,88.83764383252542,138.7696746439348,103.02058140012292,58.66334516511799,57.73448811347814,76.41777215215008,106.38659385637126,115.64581787211682,174.69551592687895,207.51536854387794,101.39906340101112,92.42775222547688,60.700545984283124,116.25292377979034,168.54129051037106,199.14835370351295,182.6762416508498
