decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.152262456074466,0.11515377849555747,0.009232062577804356,0.009232062577804356,0.008193133714345002,0.008193133714345002,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.03874786819119933,0.052915202084144575,0.0630084767903083,0.07428733287976871,0.10531350338985426,0.21568389832403026,0.21619293349283558,0.21908336169748105,0.20590908651247328,0.11480406838634849,0.1915446493348093,0.2648067109477401,0.8106463984792704,1.8592987850790363,1.8592987850790363,1.8592987850790363,1.8592987850790363,1.8592987850790363,1.8714640882695193,1.8950790885804567,1.8950790885804567,1.8950790885804567,1.8950790885804567,1.8950790885804567,1.8817091861075788,1.8557558460131687,1.8557558460131687,1.8854330548779552,1.9377071868821671,1.9273518498600577,1.8628369212439821,1.797467749425471,1.2765198821775745,0.20781867832503917,0.20781867832503917,0.20781867832503917
d2,0.5844989304566818,0.8014608018060563,1.4386204000939808,1.4560072374167785,1.4997082363207772,1.6306583193603466,1.6172327408111786,1.6467799046970997,1.6723241978171104,1.7282360494636753,1.8650671249979047,2.040631349052723,2.053171444880159,2.090971193635246,2.2641854712048115,2.54681584957991,3.0590850444114994,3.363622620034369,3.984473544604752,4.081395939854719,4.448564458672648,4.8339131240684035,3.971607428582942,4.759367095023446,6.899866128823945,9.497145959257264,14.320301397849898,14.380348588373586,14.433297823854549,14.543321572157009,14.794176748169445,15.29591376449643,15.796318169208359,15.408121052232737,14.950017165572735,14.995852452341989,15.308027619647397,14.967308818674969,14.447068240681727,14.299802266579063,14.631894753738825,15.037643996486825,15.056019482971976,14.388563651901205,12.896245012334766,10.599395893063363,6.413265177771086,6.57535603026868,6.8102735314048335
d3,1.179215789131354,1.597738261117057,2.3812720475875446,2.4869052009063948,2.6295542258427638,2.7337342264392337,2.7337342264392337,2.794809064012233,2.915232005363732,2.939922033655181,3.0553666806718898,3.1558392368188732,3.174866048552441,3.158802407922665,3.504219229545817,3.9368989257853535,4.868524688437239,5.900875690142017,7.094612096869437,7.4408921513761825,8.104118222371822,8.281624748811204,7.511923130368691,9.279924966468673,12.420346422165835,15.626930424483604,21.239753595991772,21.257495006491148,21.16975487822706,21.54125598139795,22.077391605673476,22.837748526449438,23.761106661936118,23.378488586223366,22.74953308202083,23.5291294922834,24.461636097278408,24.587706600758523,24.411583108672914,24.289304711416598,24.625776159375786,24.94408578793729,25.25915986048911,23.782043598151123,20.769960440073746,17.902118333433165,13.34573005240441,13.806553941157123,14.223020394879912
d4,1.727875719583705,1.9670829532479832,2.728898314662493,2.8538375982795827,3.2253541819222384,3.386800046212869,3.386800046212869,3.446716757793631,3.57185783705675,3.6164631396206053,3.7642185957515606,4.004611200608095,4.09218059469817,4.420201963977952,5.03883317206527,5.295509493163362,6.004210241074489,7.205944118434916,8.59516452816031,8.961431082402711,9.728676608238219,10.418153042363492,9.789935483159239,11.794512043074974,15.45936029532422,19.02924196858905,25.356546677984365,25.519401400550265,25.900726571975895,26.461814240926216,26.91693665778657,27.841672175885144,29.289957329905597,29.087704492594114,28.60852568856771,29.492355331765086,30.61885802990637,30.96683535274556,30.839848648072568,30.631266140395592,31.274927810191272,31.744647438334745,31.705217409106524,29.79178161975394,26.033280355352538,22.91122417920858,17.658073541201073,18.55352893824848,19.349042586249595
d5,2.70449877899319,2.758343298603033,3.568952701872725,3.7356891501435356,3.957420941205843,4.404890301436091,4.48935961269367,4.63276452795125,4.601380109270053,4.638371524621363,4.636436118732723,4.679346035944114,4.572036148444969,4.526684705895425,5.157450274948045,5.586096662392858,6.498482247036776,7.567063522439704,8.780639995679604,9.172825983408615,10.60454023922507,11.726429920312588,12.136518264462328,13.950389746233693,17.47406308069901,21.07152016420425,27.56236146002085,27.45554280575798,27.3086844195047,27.63936808880586,28.19512067764217,29.21826833946446,30.74954911863169,30.82255242495886,30.66464427475462,31.68947582406993,33.094934667560935,33.52634601444794,33.05404379974428,32.9853438834694,32.83864112285068,31.813912472678332,31.72529485148519,29.92479695316777,26.709029208535718,23.829655596332074,18.503878432712284,19.332787713470644,20.009956930753447
d6,3.1232985508588897,3.4128588626412144,4.18278951224314,4.430001651561204,4.863990800614159,5.4978442548057185,5.401881185150327,5.499714062239615,5.83532611771984,5.795581467271984,5.688162431709484,5.9444738865783755,6.127347222545419,6.3923316830738965,7.137602062366785,7.417610921901411,8.280476189507823,9.337758008220588,10.692595119287905,11.160959038672713,11.947661735760306,13.045066600487283,12.519951066318814,15.02102326057986,19.07536828006136,22.721427211906033,29.261725696703763,29.41318116264725,29.75481658363151,30.343456543028175,30.998299037919452,32.40804412359675,34.17581278714581,34.03843964554296,33.659617328467824,34.84552946032548,36.452903235720484,36.89568102295871,36.51846153528703,36.39399408606031,36.75479153063024,36.577235370443866,36.60315978815467,34.618081272052905,31.45283038977692,28.540667415920975,23.724540861200857,24.58380181067281,25.140134844449534
d7,5.140547651111868,5.087607675686243,5.682205210343405,5.767186920316677,6.2860442359557975,7.12702981283854,7.061275642472309,7.214839685043101,7.289392501664996,7.056244489064109,6.7693888741328685,7.157822110774131,7.3961235562048735,7.597134521695223,8.53258014934144,9.22530950763485,10.66449946294518,12.107872998830443,13.59434773135784,14.06357109640381,15.357403612885072,17.060351892727404,17.099294494488365,20.087537356843022,24.396563382207148,28.27045221911402,35.03087405178884,35.19132628063345,35.47697976618787,36.582547225453375,38.16010520998115,40.14505242033369,42.275494539925674,42.233208369394276,41.943893341643566,43.31936508271469,44.4920353226417,45.566300130017666,45.94823811283803,46.01223519211507,46.64368594354427,46.94688431115837,47.41787093292874,45.44084469476542,41.558175648600724,38.592404565414725,33.479922680233535,34.67996134031701,35.604888371463645
d8,8.124098206535484,8.440619605892989,9.849363008049249,10.078643649752907,10.885972330931942,12.080112785146984,11.937883345224964,12.30837799743983,12.664239603267546,12.389410549160779,12.006890677173782,12.4055546544543,12.489757471694631,12.575376826743678,13.758059333445706,14.600916151817627,15.982391850382548,18.097054910640253,20.101974023100006,20.48576178369929,22.035001331028248,23.93677282650775,23.460592212211044,27.11057131362758,32.305237776199085,36.341691639009234,43.79702297650359,44.135211239899604,44.72427444046741,46.687544452942944,48.9748340884815,51.848439154467144,54.8976182738966,55.01382738854936,54.78210058029103,56.602588704620985,58.153636335692894,59.086258604803845,59.74056863473348,60.047942941794254,60.90637094785715,61.42846962990788,62.700410393903155,60.42348764392971,54.92265267636978,51.239906866909955,45.30813501447297,46.85899616326587,48.41764217358853
d9,9.839492576994738,10.07523071555451,11.718975021226877,11.950186321209461,12.837225546915905,14.14472722346677,13.91232953058241,14.169780980248996,14.366572579870368,13.888827339079583,13.28116883023337,13.494598158413215,13.542606731696434,13.603180376876871,14.667969825525233,15.52646760654834,17.026931693489743,18.91009965334783,20.66424355559557,21.016544905023835,22.689691000606576,24.63211400569292,23.460592212211044,27.11057131362758,32.305237776199085,36.341691639009234,43.79702297650359,44.135211239899604,44.72427444046741,46.687544452942944,48.9748340884815,51.848439154467144,54.8976182738966,55.01382738854936,54.78210058029103,56.602588704620985,58.153636335692894,59.086258604803845,59.74056863473348,60.047942941794254,60.90637094785715,61.42846962990788,62.76980580261426,60.65339517773104,55.89282258820177,52.64427943533322,47.35119924055556,49.05888369365445,50.63448561971646
d10,9.839492576994738,10.07523071555451,11.718975021226877,11.950186321209461,12.837225546915905,14.14472722346677,13.91232953058241,14.169780980248996,14.366572579870368,13.888827339079583,13.296200212002173,13.494598158413215,13.542606731696434,13.603180376876871,14.667969825525233,15.52646760654834,17.026931693489743,18.992307586991885,20.96891025669575,21.397685812811364,22.980906315305873,25.217423171694755,24.214650029351922,27.75528775112238,33.36363643124635,37.99262033430327,46.28500187989837,46.5711476506262,46.91857316381514,48.380577362709644,50.43524391822609,53.31813767968394,56.41832188663558,56.27855693580491,55.77284662629758,57.62603275781244,59.27140411821908,60.424071124159624,60.697689992932624,60.86697394405188,61.82038113008831,62.221036011455084,62.76980580261426,60.65339517773104,55.89282258820177,52.64427943533322,47.35119924055556,49.05888369365445,50.63448561971646
