decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,1.331252967980122,1.82849480287531,2.526873095370936,2.5858588733606753,2.7598792337582116,3.043884819620981,3.1637375739563787,3.280567785066349,3.5024277013741205,3.4678601154327047,3.4739740357094684,3.676668795151019,3.7934296665333713,3.883177692208901,4.253536742844474,4.66358543144037,5.366134748362516,5.866059525694277,6.3804009894364935,6.4770834699237785,6.932494231978175,7.205102073060477,5.855903530689266,6.003304718020599,6.668409840564854,6.885898581259486,7.178877443809608,8.327760100783799,10.657613168632938,11.868856979054424,11.851596086534375,13.992363041187946,17.90947513130403,19.692797024040544,20.642394918400264,20.758453743514494,20.301485757361192,20.09463751971668,20.385239127467557,21.634464078423864,21.17585678395266,20.920531646526715,22.316808251109823,22.221925469493016,22.408449237925065,23.87609682393605,24.689009815650174,23.93460038134712,21.840352849846454
d2,2.4990835267578015,2.8832708410830827,4.00714371635791,4.013287563885028,4.285759435770661,4.737828533975086,4.59975804835397,4.582244081037154,4.630527158412033,4.627136321899846,4.688080534729308,4.581463573314199,4.724968560194898,5.200963150420661,6.0113169246191145,6.142626629414691,6.7058022699894835,7.824023941112561,8.756092905897985,8.963232479245349,9.62128091280172,10.225442829452955,9.504329063186786,10.13374994259716,10.920216960528524,10.911769452531134,11.478947517595952,12.773612409236407,15.542539157509143,17.606863161671317,17.868199295805844,19.92486855244981,24.244685944967067,26.1302459547339,27.140160073179818,27.28900508034102,26.53378452929548,26.036247723769712,26.002416997447146,27.110013736869163,26.921520469420607,27.286427591814842,28.719446339550785,28.473745898442324,28.27325936338223,29.57574607633849,31.038832585300803,29.8458410700293,28.257241192439373
d3,2.8410896587753323,3.296667242825043,4.00714371635791,4.013287563885028,4.285759435770661,4.737828533975086,4.59975804835397,4.582244081037154,4.630527158412033,4.627136321899846,4.688080534729308,4.581463573314199,4.724968560194898,5.200963150420661,6.0113169246191145,6.142626629414691,6.7058022699894835,7.824023941112561,8.756092905897985,8.963232479245349,9.62128091280172,10.225442829452955,9.504329063186786,10.13374994259716,10.920216960528524,11.636612474516511,12.38396282240439,13.961556120423893,16.687574016961506,17.641457337587777,18.098103316268798,20.235133829187063,24.59706853052738,26.168747301470233,27.410978905583548,27.62786635040309,27.848078326102737,27.858124025843654,28.037874667975956,28.88624162480322,28.575590467829528,28.645257997981,29.78438082077615,29.80464312785866,29.335793989354414,29.972121463764026,31.22057856010581,30.46345903329387,29.20795874371404
d4,2.8410896587753323,3.296667242825043,4.00714371635791,4.013287563885028,4.285759435770661,4.737828533975086,4.59975804835397,4.582244081037154,4.630527158412033,4.627136321899846,4.688080534729308,4.581463573314199,4.724968560194898,5.200963150420661,6.0113169246191145,6.142626629414691,6.7058022699894835,7.824023941112561,8.756092905897985,8.963232479245349,9.62128091280172,10.225442829452955,9.504329063186786,10.13374994259716,10.920216960528524,11.636612474516511,12.38396282240439,13.961556120423893,16.687574016961506,17.641457337587777,18.098103316268798,20.235133829187063,24.59706853052738,26.168747301470233,27.410978905583548,27.62786635040309,27.848078326102737,27.858124025843654,28.037874667975956,28.88624162480322,28.575590467829528,28.645257997981,29.78438082077615,29.80464312785866,29.335793989354414,29.972121463764026,31.22057856010581,30.46345903329387,29.20795874371404
d5,2.8978297492033818,3.4188524106953997,4.597979521446788,4.742264098991502,5.297456508510422,5.896513597869476,5.99036225322217,6.0491770132370934,5.857260191680279,5.808746955212042,5.891128416162799,6.053088605943989,5.942960515949314,5.77958014027835,6.4875882096661535,6.990624090768201,8.149485190626056,8.969382873860315,10.240595599668554,10.543305612891128,11.095800021183337,12.089925348100271,10.367858156218432,11.14500555560726,11.962862824979048,11.916383189948611,12.70770787119099,14.392417330028206,17.43230362165514,18.952135775580803,19.347683374783227,21.60864408555009,25.164526059020282,26.684295124324215,28.00727407379504,28.820561021383604,29.228340352651166,28.709848141597497,28.973748915929633,30.45243874073043,30.182726750270184,29.71797891168977,31.873964300596597,31.70665393715369,31.364570218093615,32.598521901178046,33.673328203305175,32.22765494601118,30.37612374172211
d6,4.261809138545597,4.901796541755454,5.799822677548747,5.981002737025509,6.6677075682207025,7.640440124118322,7.576124795589978,7.833855619032407,8.192299857755208,7.902395987786356,8.00699579750166,8.056507904697455,7.877083226102193,7.959074650773893,8.534085684622799,8.952926351899018,9.783045856064462,11.13868158203914,12.05596445141979,12.470896086274939,13.737312492509568,15.145972481761234,13.973795704832229,14.609152315995992,15.57308000698373,16.121352960631476,16.885539607213204,18.464871892534457,21.523573774216892,22.826513497771867,23.213016792448038,25.502845750179997,30.63587921484408,32.005265207005266,32.75991502860713,32.84409098838819,32.87484199051488,33.06089476492306,34.47770706714299,35.55380649871892,34.353628009160985,33.79624645208041,35.66847063707367,35.53108145576117,35.05650694321068,35.8264650143301,37.35132984980899,36.70002530773757,35.574571004981706
d7,6.11900772207544,6.535910580834911,8.062730742459337,8.344035332052805,9.092431707856555,10.168907092656994,9.929514965958443,10.124055514278512,10.118183466785034,9.938587302906246,9.873924956332491,10.228919905522556,9.841686344201847,9.499085610028233,10.147183291685138,10.631786753724313,11.650816896565507,12.979404905292892,14.78093676506826,15.243383846753462,16.500584371473455,17.953678127594745,16.74957594439435,17.640050308283122,18.526442049148507,18.788044035721,20.213002005563983,21.830121485991704,24.546099657071043,26.3116093690564,27.10527813133477,29.86367602909056,34.884735113493555,36.834497989191746,38.17120369468582,39.35517939464073,39.14440919382577,38.481924511050835,39.41783781823812,42.56358432921775,42.47782593413499,42.45541130494567,44.84954880531186,44.90206904142643,44.08641674125556,45.625045719526995,46.90489471977317,47.1175063297711,45.50294363891963
d8,6.11900772207544,7.769686550414471,9.843180770406676,9.918492381358872,10.710090987969334,12.01767409287342,12.025266118722277,12.255673092719551,12.696469656306338,12.76889732759167,12.374066331371246,12.572367582134852,12.566531954675668,12.810202795448264,13.843747263096791,14.767529128400664,16.02304502680855,18.084445374569274,19.296019512236843,19.207454157536485,19.54792874760279,19.73294330850515,16.819474827593357,17.640050308283122,18.709915583668682,18.788044035721,20.213002005563983,21.830121485991704,24.546099657071043,26.3116093690564,27.10527813133477,29.86367602909056,34.884735113493555,36.834497989191746,38.17120369468582,39.35517939464073,39.31687592216862,39.048973762979905,40.447357975041136,43.60056442332997,44.168923867547676,44.70715742872459,46.95614877623641,46.88465604720194,45.96572468106195,47.08939557195053,48.74329564811045,48.97533589775683,48.71676643916777
d9,7.224532897404564,7.789647061667175,10.86373023540562,11.248916801886557,12.178335650544911,13.714699291709543,13.931143580812641,14.325552984721291,14.761350347566104,14.836015200271957,14.553791447059979,14.708077567992932,14.550500374760635,14.60127266554169,15.261703882499164,15.944230456322959,16.95744185001489,18.084445374569274,19.296019512236843,19.207454157536485,19.95510807308176,21.595597230319537,19.97789210981114,20.462777398597858,21.088531822167845,22.0850444760382,25.152979543151314,26.902133022067403,29.235856360691457,30.906096120142685,32.475158893131564,35.006866363515,39.74949170501492,41.94155590984997,43.60371636008248,44.51570897863029,44.14810830286632,44.308622804949444,44.75133880166155,47.34330529664999,46.91522041218638,47.31270683887258,49.75050796566458,49.51010892656764,48.75393436962679,50.321566934133905,52.18643023943194,51.882140405599046,50.12460535521302
d10,10.528869290909956,10.714806730263923,12.425729756521235,12.793829721330258,13.728146958231886,14.994279173286422,14.83331509937246,15.167343173174473,15.564213042385079,15.025784130261169,14.670001331590964,15.164184764259351,15.239987721565726,15.089651457491621,16.39052827226026,17.576261686310854,19.714533101499452,22.20382545176406,24.474852611560088,25.114026999742173,26.494490392665927,27.780745070310772,25.514215877390136,26.68013368721104,27.435287196065467,27.0176630403879,28.402132812111454,29.738869043426305,33.03328805948529,34.70053106825881,35.155489371540014,38.02421091455245,43.36514796200237,45.77090577156318,48.81521611023804,51.92375947426233,52.974164303881814,51.809583141584646,52.833180479917104,56.7267936553559,58.00549451685981,58.808760634226815,61.43154691991162,61.27626063606719,60.41746423544079,62.07710328510331,63.78174956407348,64.64065679166956,65.25211019644793
