decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.08126784964641659,0.16516678607457214,0.2720691975666121,0.2720691975666121,0.27285062615886824,0.2741089499826942,0.2741089499826942,0.2741089499826942,0.2741089499826942,0.27852442076483575,0.2977681117715417,0.2991427688510629,0.30338168174916263,0.3762091665494832,0.528061014749705,0.5428423073859452,0.6133933752780096,0.8223072855167142,1.0892811509045561,1.1503967605875447,1.2078573306090656,1.177611632324149,1.3311842810123604,2.1925232258529515,2.828283604798849,3.1520609600558673,3.5469643246420324,3.766951053282538,4.191563893697754,4.468800645340048,4.941433484441545,5.792305027060786,6.456137144853783,6.703948350821818,7.249893622872735,7.5573405359070005,7.532007832667956,7.973839162475979,9.121222347942208,9.515118713609043,9.679226714293097,9.835986067525491,9.852575228112306,10.02890667804811,9.800618986324718,9.839160979763554,9.639613237011414,10.18348013993631,10.009974264003363
d2,0.1765840097518352,0.40579210430041646,0.743336874734141,0.743336874734141,0.7685816051183949,0.7930843258061799,0.7930843258061799,0.7951346595169828,0.8044590662278566,0.816477378331931,0.8447958689152759,0.8711880273421146,0.8954602377224056,1.0055502627800976,1.25917358844531,1.2779206932022413,1.3438286301880267,1.5900278294975068,1.979932539066898,2.1750835110342166,2.2257744327596796,2.136847631615715,2.097242301446808,3.369896767023949,4.154645201216585,4.555478186244171,5.247824172431108,5.6089943511628,6.360558532894057,6.8528926236920755,7.365122105649414,8.702411222813042,9.661529707100888,10.017238121650996,10.712242023382046,11.12055795729561,11.04578978068639,11.454264461886439,12.930359468197352,13.630742453861519,13.808015469893057,13.994942108191685,14.096380699015587,14.171230405215272,14.13857030303798,14.069709544456646,13.929528880870816,14.422830718983795,14.204758263898839
d3,0.254419951698841,0.5505070062702832,0.9733356897344667,0.9754222565338356,1.012485795769575,1.0827210784977024,1.0827210784977024,1.0840558075619957,1.0913113955481806,1.0980428685092327,1.101795740458821,1.1256986621521399,1.211956346706109,1.3925833776909151,1.706394853325282,1.7206748144602,1.8263563390921838,2.051352844659286,2.5172823595726537,2.706129723410883,2.757703930829978,2.6925765706536313,2.718927482808019,4.073371180217345,4.927297968879088,5.401937999218345,6.045198931935689,6.49284085365835,7.416120895889097,8.004508429714374,8.637148639833486,10.24912360902372,11.388815387096557,11.82606746592112,12.590952836654184,13.107191733631925,13.004603399342773,13.44792009809672,15.15564699053386,16.168948699666263,16.42365164211913,16.702854507669052,16.91861797766944,16.944789472420013,16.966363757944922,16.815869417332316,16.730033988343298,17.299695269187687,16.920425636648694
d4,0.33568676806041864,0.6723546444197805,1.2384295937055954,1.2447120043979407,1.2928618726995285,1.3898189839243429,1.3898189839243429,1.3915082189931547,1.3933976284111733,1.4005703103206721,1.3969163040173684,1.4077954671274182,1.4928533612126986,1.6779746572970504,1.9564625421074358,1.9733644416483012,2.090233650066791,2.4082489207070226,2.938159025309749,3.1157518967433324,3.203677805191629,3.1107213593839917,3.0314151934424984,4.606985655531932,5.589454787294363,5.984892374337045,6.644587963382177,7.251556064989733,8.284736840753546,8.787451221664101,9.616234561392783,11.19377715312878,12.298647139620286,12.678436132215658,13.468438101723436,14.010711619370841,13.876319166009196,14.373177555260305,16.101123271270687,17.147874535626137,17.381847164010054,17.606713540368073,17.867942889386217,17.934315599846528,18.11962891413185,17.812852312679492,17.515437705550557,18.192069286673217,18.09193238617707
d5,0.42546045098005825,0.7789663207486006,1.490864602157703,1.4909897895105404,1.5688061740933048,1.6828162282743842,1.6828162282743842,1.6841023356365388,1.6984498895331257,1.7234607654709002,1.710494798860152,1.7372520861719172,1.791679879904646,1.9204732261397892,2.2430186665495535,2.283665884404978,2.417893590839351,2.763350956182999,3.379223451828576,3.5316020193198963,3.658443162327325,3.569279743287594,3.46139623945668,5.023659381328727,5.929276208310201,6.300553049096861,7.0379304668536,7.588957472960114,8.697247699507514,9.277552577100495,9.952046276253865,11.514473882454125,12.870773021270942,13.285557105866538,14.080475297212647,14.545529943524988,14.54977243271119,14.880213988626327,16.545331316152108,17.553485138501543,17.92930980604881,18.288752629909553,18.456453124967403,18.433318613957976,18.636440425038778,18.476556023530126,18.35757705996649,19.00331078051878,18.925865473210628
d6,0.4908445266288402,0.909000586419026,1.6755808866960593,1.6914014014042542,1.7660156090693153,1.9436414094837065,1.9463765039853875,1.9520274853267017,1.9881609271260656,2.004981045914729,1.9675753660946986,2.012862324533804,2.0906436736066323,2.268048317639426,2.533335379226587,2.6237330664005296,2.7642430727663023,3.1069672252664606,3.673368609953852,3.941925880775705,4.07584784723934,3.9577558111633295,3.8006223442935667,5.4799877197313105,6.342190270130786,6.854750100642653,7.515973794929879,8.018151519837913,8.956880191722359,9.552405527835532,10.47431152439448,12.234318734424487,13.541642411288553,13.892511958391804,14.749226596929157,15.194605072564382,14.978916476279963,15.564132697235038,17.37383033556729,18.346327300027337,18.960716169638033,19.217218832958984,19.381317019039408,19.398402033424546,19.504339448691255,19.58995204115767,19.8059584293253,20.63767113612994,20.614732642537323
d7,0.5529894358176222,0.9820798657066603,1.8485440896673895,1.8485440896673895,1.944435097260235,2.1305764649404644,2.1305764649404644,2.1332839461057524,2.168982684288375,2.1963862800169327,2.2196402463687592,2.26277119586348,2.314262399608746,2.436985727317502,2.7457416714920946,2.81507986817098,2.9657378920791557,3.2783710865426317,3.8789766652609323,4.136992349765298,4.24244916715804,4.169714800536436,4.29825384679512,6.063035128950835,6.892599612062284,7.351792329873184,8.070283433178465,8.54304518077422,9.387745144004716,9.962975765613237,10.914574067011822,12.606443861746884,14.105551737383308,14.532415636669985,15.383411120414639,15.96866895369781,15.82477849714681,16.519324436548157,18.493964268283044,19.48209783765573,19.972223206021987,20.311468484474652,20.423943171574848,20.55086929854446,20.727735631596754,20.76781278636213,20.781665736335935,21.744152825585417,21.955189670046515
d8,0.686112160576494,1.066843808648163,1.9230797486333948,1.9230797486333948,2.0206106221408127,2.2099352589493293,2.2099352589493293,2.217501328794155,2.2507078196081527,2.305806695628558,2.3159750473710146,2.324596840404383,2.3718429532210794,2.602232819076377,3.0255154120578203,3.106197525851127,3.241021699179904,3.613851320437235,4.260618528285142,4.630923575776146,4.704630804614348,4.57506147624931,4.604682688009542,6.334779047067094,7.190204097125328,7.709103543993777,8.427859300759248,8.95181454786629,9.769570207859921,10.370282209965088,11.51974042292585,13.65492540257123,15.003635259646408,15.68795436583048,16.497173415658363,17.01726217050124,17.034674161894245,17.66575786306903,20.105436009538284,21.437001438913455,22.191351078119734,22.46257792298219,22.440127642065942,22.456378146362447,22.859068229848447,23.15496010582296,23.167096765262862,24.287805827497774,24.411976113463922
d9,0.9424385573598721,1.3960010422851377,2.3973617110485903,2.411280364909527,2.5171599689436173,2.6409411406132786,2.6409411406132786,2.6409411406132786,2.546589573298581,2.4545808475845483,2.4892613703661417,2.4913976517126772,2.604334027530744,2.901247222696516,3.335883992075594,3.4602863264035717,3.741777092538577,4.206714836739079,4.994730868038058,5.18797442088011,5.349805164684482,5.287420964029884,4.9603622558311535,7.435977063701528,8.3172806894224,8.677134917253007,9.794772159950991,10.420664549846542,11.388008421811332,12.193065260174713,13.328331620451177,15.271367525978613,16.921721394348523,17.40916996615986,18.209193536535068,18.72013333952344,18.605093879278947,19.299832935757724,21.65361703359023,23.03830059476051,23.79518166228544,24.17558603644229,24.39970233735678,24.392058775906776,25.06052005792865,24.757410943085432,24.86573047773159,26.440055291611184,26.36780146357833
d10,1.1971620334229687,1.7458389238143805,2.8607687905860217,2.8701442095335414,3.0028116431834544,3.2250144080407273,3.2250144080407273,3.2247222824992585,3.1566488906337575,3.063890453495322,3.126421965493254,3.163145633659705,3.2034644475474083,3.3705022241613545,3.8523755715424812,3.9957289906376054,4.266912007400381,4.769252444166981,5.421125302603517,5.765551010401953,5.960991811144855,5.9470710457288805,6.394973049015718,8.754858065320029,9.395270453571976,9.929399697778203,11.370884925486862,12.270462656895742,13.857141835594458,15.051674934214759,16.27681948689007,18.52450596299255,20.50331781134632,21.154522370859365,22.157927732013803,22.915074475322637,22.809928948618456,23.346865789326962,25.799254489150464,27.788501875970205,28.314764372569556,28.48559010809089,28.503851515394818,28.60676526327088,29.488176063246943,29.391730815321306,28.892420097656334,29.945393225539014,30.167107407211795
