decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.21102673465843919,0.2613176330995688,0.31210204982318235,0.31210204982318235,0.3032358674019125,0.2860250427018004,0.2860250427018004,0.2860250427018004,0.2756007291510564,0.255443852653282,0.2860250427018004,0.2860250427018004,0.2860250427018004,0.3279343836326085,0.4079478062390122,0.40928781014535376,0.3724389120501333,0.35176088192918276,0.5134492562734387,0.5277247366053989,0.6516453129788324,0.9742211241621151,1.5507820268774364,2.1617679837961807,2.688947412046425,3.0630771410938484,3.3877605539821243,3.572876554085754,3.6981262309808898,4.002222838148601,5.023224469193542,6.032605383259769,6.456089979287634,6.662092249729085,6.778094105928211,6.798648123153693,6.843203673594924,7.0862682417337375,7.789437641667425,8.24437893248547,8.323572673562273,8.040248662513854,7.996993917846533,8.690255368804618,9.035419348547784,9.109311115455304,9.047845028686208,9.185792734908738,9.714357788657818
d2,0.6940463833039912,0.7977031809039591,1.3345838686331761,1.3849420856389476,1.490105879154907,1.517636659562406,1.4486784018397678,1.4355852154729911,1.3796245107363143,1.328384219580765,1.3731292549280107,1.3941572495653767,1.3941572495653767,1.4402071314504625,1.4976547663166557,1.5461846193674782,1.6109410229626484,1.7622434978798638,2.0588930314537177,2.1882717851605307,2.4262406999607498,2.9252887660321534,3.297705756420534,4.359822003527111,5.032390558686241,5.47664850745622,6.275153749555365,6.659400168010999,6.949761424133198,7.418542384096823,8.72976076058631,9.919301711023214,10.495879593930267,11.006033292149834,10.98328700337764,11.279908475918706,11.359387673380594,11.524185685873562,12.21663557272451,13.284308443910582,13.84063968844439,13.552346967170216,13.494804459553139,14.573026236757494,15.046702135488081,15.451912182895922,15.48969160217912,15.9281309671402,16.921704564029362
d3,0.9201330162725176,1.1795654203691266,1.9036005854782658,1.9201164065860354,1.9711302158635848,2.0521473647932376,2.004917565921379,2.0013999324128973,1.9910719863658128,2.029940288564536,2.0622539689703427,2.1673075034814375,2.1673075034814375,2.168608915844941,2.3265352057667057,2.38844837370656,2.487348246603249,2.735826580442331,3.062341680027057,3.188416665656625,3.506228798572087,4.082735580265447,4.365646868701685,5.4596154617559245,6.396883477004235,6.95639460651031,7.725513225183635,8.153935863295354,8.352600700892392,8.804971430183384,10.355616667715362,12.37156087073338,13.023034714175273,13.634433345548235,13.720346603780214,14.12916300236873,14.112356880911694,14.484769387602965,15.50858941670855,16.700402275567722,17.38880858773401,16.678601055326276,16.894682265634785,18.339209032004486,18.90574606017729,19.012804314357826,19.064552980306964,19.542529990183674,20.70770168078623
d4,1.1917442897432438,1.4628562594401104,2.348406479316222,2.4318551760526206,2.657149154887599,2.8986499452387493,2.8405386024131722,2.823910691520979,2.7538795078859,2.7186614985016533,2.8767295452718926,2.9868384570064155,2.989928242969686,2.9975396389033726,3.179002010985201,3.3683899138956903,3.4914657352577247,3.6277477585066924,4.080277981479345,4.256002920970113,4.601005884252476,5.166462932147683,5.524436597284433,7.399066083165252,8.66093375377142,8.986027428136541,9.83907374249219,10.313925700639142,10.766936980386218,11.37295413913932,13.178209173521466,15.54623011542196,16.44796965256394,16.927496974688644,17.48662568872235,17.75553661928739,17.690934075017363,18.021259465250278,19.19793742730119,20.625516989479216,21.281828036111925,20.552050694316808,20.7276427807543,21.518496485873936,21.865959019109685,22.03218050562168,22.147991369873324,23.278406590281328,24.64343303457579
d5,1.5400528639558713,1.9803292451748513,3.075911682501304,3.146097813580022,3.369916847421087,3.6437203799083537,3.525285332617596,3.4955546073025294,3.4337054394518454,3.371190240415673,3.559713576390342,3.7015957391711813,3.6785162641377944,3.6141074301957543,3.7959690236154935,3.926812051136973,4.154670897002362,4.561052614545431,5.208672250176774,5.659938607957504,5.979660777936625,6.832990981080999,7.3007585628428515,8.994956303537199,10.02967424585958,10.60827543553864,11.488387470084888,11.897302563875858,12.41853808475802,13.025179621046675,14.83932860527522,17.602392709256982,18.510473956342125,19.198654033956114,19.648612888049243,19.94838214826839,20.081335770900502,20.630287977846585,21.641702913021103,23.148681291178733,23.890148188978955,23.133635646061833,23.400368234499915,24.18806167049083,24.76341489399814,25.09049180374378,25.17880628003804,26.274761345468463,27.61653807271997
d6,1.9051703697553402,2.285340610172601,3.4197678448474544,3.533942869311651,3.854297288088837,4.220857893929025,4.162310127965301,4.123994462223229,3.9109295810568305,3.782633505092777,4.081810515782657,4.279620273233669,4.291298110799248,4.326656616226254,4.484705810607096,4.674129537179794,4.927743460670002,5.337061066907513,6.078367954993615,6.3049986905638296,6.859063686255249,7.614513612052573,8.313170036617105,10.357868918806364,11.406988164495953,11.976473850821552,13.026308299717723,13.461758426848508,14.007073929377757,14.644694502783723,16.92858053683956,19.959903021132476,21.16435042761063,21.878096511964486,22.183313496559403,22.52443525488804,22.34640653194178,22.663274718023676,23.849046831234972,25.419776006186364,26.17126918202151,25.32354616301431,25.516535671894026,26.68897378398166,27.273956123511883,27.814774931291446,28.01508244415485,29.18112841530617,30.487091192713294
d7,2.1919209782158644,2.606116194802592,3.8329096853758635,3.960285494608465,4.353014754694642,4.623517628968455,4.483127325504036,4.482315608708675,4.3241318983906005,4.084811353739856,4.317455180098301,4.613519035457221,4.694555295541311,4.715370341388583,5.003952085027367,5.1798572874626245,5.426554441841622,5.841154009768719,6.786115717993084,7.144881615096195,7.648413788481957,8.566109350345766,9.101780321839199,11.27845777523438,12.320581283476681,12.929765423867678,13.964413406566255,14.505298578759788,15.063260132022279,15.72362415144758,17.95010957083816,21.34640835492173,22.59867962053258,23.541593254158617,23.869293044279623,24.455688306902886,24.349666859040187,24.659698251751955,25.89634670081844,27.74066136932756,28.630451827080357,27.702713931739936,28.01695438359807,29.492807382595373,30.296138678101727,30.695988850753785,30.81009815717048,32.177821722617125,33.50789905379435
d8,2.5788102476516546,2.985583651925252,4.311212706402269,4.426326020331087,4.723269569566132,4.974474830156311,4.845666284787418,4.889353508271768,4.731285010561559,4.546848826488348,4.840291660299114,5.179124314010295,5.201527746129489,5.1924800355645395,5.365973238796351,5.589515958230658,5.8875114320918405,6.395686680904985,7.391644348826309,7.886125147086519,8.394985771597057,9.452855039104433,9.946191969346577,12.140268317113492,13.117997012401542,13.731455430525266,14.731873632321413,15.271014977793314,15.857487967996606,16.61783033405065,19.161119212583568,22.78987313382757,24.295447080355505,25.028301096175337,25.507912375334694,25.893555665572066,25.909692474892545,26.211626592368823,27.895799472779217,30.075265875833693,31.207950363008592,30.307004315396668,30.48949611943283,31.205422361273605,32.143958966519875,32.94623169058902,33.10124120638296,34.647463711040864,36.075524251906415
d9,2.9649189258115016,3.4329425739418635,4.896180478883073,5.0525577640861865,5.390178488386699,5.708378877020013,5.583171521861431,5.613539045769143,5.6134548889215425,5.498551272601952,5.7020692891098586,5.918411048182852,6.015204782859282,6.047446537648359,6.395847151788114,6.492695396125775,6.836579435762117,7.433275256122939,8.530034168454229,9.05493633898103,9.631102716687739,10.720452735388816,10.928481689235786,13.51819772652214,14.781481301679047,15.406700830999359,16.57812767421029,17.208298446382013,17.549826635447374,18.19018387242916,20.37147662246226,23.97663078795874,25.501010979524487,26.670638265952775,27.295704819616645,27.97430396848995,27.852243239360256,28.4806983218269,30.279084183433703,32.254970064934405,33.20340048301962,32.34398544035803,32.411129223742705,34.04708392809066,34.790444228377325,35.31965135169499,35.553525380065174,37.701823095146416,39.08454928654396
d10,4.0234378846223455,4.698848327639908,6.2880730768232205,6.574954965161679,7.225536999309819,7.526401353048161,7.386082237282009,7.4704352282960205,7.438339304223879,7.059206771300051,7.325020064266386,7.872468266657054,7.916331113192328,7.9873158852485355,8.480782880869963,8.732492194387381,9.147631259140976,9.778902707810424,11.151652041226905,11.757826635613084,12.411084707971384,13.466855309020465,13.708261432123756,16.545564428168937,17.876727493271833,18.753836939511096,20.174808665659732,20.837586019717612,21.341107255584596,22.427727531046276,24.549660707684936,28.475651401519038,30.235487822519488,31.51994370926745,32.151355198951634,32.67397046751705,32.39188832028921,32.777806389951785,34.81567166367713,37.68717633881947,38.86687191716689,38.401618732584254,38.82212958593534,39.47134547823839,40.46438618737592,41.371129046970495,41.35645299092928,43.24255889509096,45.06023451963563
