decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.152262456074466,0.11515377849555747,0.009232062577804356,0.009232062577804356,0.008193133714345002,0.008193133714345002,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.012841475374527712,0.03874786819119933,0.052915202084144575,0.0630084767903083,0.07428733287976871,0.10531350338985426,0.21568389832403026,0.21619293349283558,0.21908336169748105,0.3228012633400472,0.499435088321023,0.9337365680688707,1.1344361448268727,1.1714775681664271,1.2582797022021053,1.287146436232339,1.410801773306945,1.4238432590791354,1.7340024778224143,2.3214871290655,2.4776081500904947,2.5114763450957667,2.655782788980903,2.655782788980903,2.655782788980903,2.9277730920068614,3.496315641774075,3.58382294672802,3.5998626833069647,3.4686559018766276,3.337318960768124,3.251152138820903,3.168444003384524,3.169723109678265,3.086476140004505,3.156482056938154,3.3302566820412505
d2,0.5844989304566818,0.8014608018060563,1.4386204000939808,1.4560072374167785,1.4997082363207772,1.6306583193603466,1.6172327408111786,1.6467799046970997,1.6723241978171104,1.7282360494636753,1.8650671249979047,2.040631349052723,2.053171444880159,2.090971193635246,2.2641854712048115,2.54681584957991,3.0590850444114994,3.363622620034369,3.984473544604752,4.081395939854719,4.448564458672648,4.986119187285537,5.307020878620318,7.287857257562865,8.501058181922641,8.658447035773388,9.663797706201805,10.117607952600729,11.43822746441792,11.746055534573145,13.615674779301536,17.33804699236869,18.880078286506325,19.311377182057473,20.187677181410933,20.70004264450248,20.848182515749237,21.936177660178494,23.89309701891961,25.339441309432196,25.808586733306758,25.7244821706699,25.68990226419689,26.146552801376234,26.575870999024623,27.49429632706379,27.857915245234636,29.890202481570846,30.964602025083053
d3,1.179215789131354,1.597738261117057,2.3812720475875446,2.4869052009063948,2.6295542258427638,2.7337342264392337,2.7337342264392337,2.794809064012233,2.915232005363732,2.939922033655181,3.0553666806718898,3.1558392368188732,3.174866048552441,3.158802407922665,3.504219229545817,3.9368989257853535,4.868524688437239,5.900875690142017,7.094612096869437,7.4408921513761825,8.104118222371822,8.45663731620187,9.82307996835113,13.399329386553358,15.208060077954428,14.977531251402272,16.211578519572363,16.90739705241164,18.019455572494326,19.025254259631687,21.082072191718794,25.4311402682028,27.692906878401548,28.75178947719257,29.97736907968106,31.21223281960397,31.32298623268443,32.02960086600174,35.21562764109445,37.71211836990339,38.33154443421723,37.47279509809829,37.316728178081355,37.18366792229706,37.26911586457298,38.45590332483941,39.14931401074962,42.206860157558175,43.801904326332405
d4,1.727875719583705,1.9670829532479832,2.728898314662493,2.8538375982795827,3.2253541819222384,3.386800046212869,3.386800046212869,3.446716757793631,3.57185783705675,3.6164631396206053,3.7642185957515606,4.004611200608095,4.09218059469817,4.420201963977952,5.03883317206527,5.295509493163362,6.004210241074489,7.205944118434916,8.59516452816031,8.961431082402711,9.728676608238219,10.680131406365284,11.878782819147588,15.68666569742745,17.295858630231308,16.875444404089762,17.989984802894085,18.559972822169424,19.714145328559646,21.41804433299947,23.636646433699816,27.6361592371493,29.98851990006615,31.6227810311629,34.1842497370512,35.66132945142547,35.76687890523999,36.793087783295306,39.48851723031776,41.846514138207795,42.469552312069936,41.9069593325902,41.2945496542466,41.07770004823371,41.65013891234122,43.030993980513315,44.0542705833039,46.71531211030141,48.31031320675019
d5,2.70449877899319,2.758343298603033,3.568952701872725,3.7356891501435356,3.957420941205843,4.404890301436091,4.48935961269367,4.63276452795125,4.601380109270053,4.638371524621363,4.636436118732723,4.679346035944114,4.572036148444969,4.526684705895425,5.157450274948045,5.586096662392858,6.498482247036776,7.567063522439704,8.780639995679604,9.172825983408615,10.60454023922507,11.747358060413703,12.741991410519738,15.788572340633513,17.882884316076744,18.23468246835548,19.5955592861936,20.564111574728617,22.40483854889986,24.122065813255826,26.77630185620218,31.276836028286823,34.05325485796423,35.445906408362575,36.57474372982761,37.91088207480366,37.612742668591295,37.987685851086866,40.99150245383456,43.654902133825246,43.78612906718327,42.29717699509708,42.03965592421912,42.46607362488859,43.07081783967677,44.93040335627993,46.36738987556542,49.93723537652551,51.901317422971765
d6,3.1232985508588897,3.4128588626412144,4.18278951224314,4.430001651561204,4.863990800614159,5.4978442548057185,5.401881185150327,5.499714062239615,5.83532611771984,5.795581467271984,5.688162431709484,5.9444738865783755,6.127347222545419,6.3923316830738965,7.137602062366785,7.417610921901411,8.280476189507823,9.337758008220588,10.692595119287905,11.160959038672713,11.947661735760306,13.2412967816601,14.359073840909108,18.168469592145115,20.136473586713095,20.580196246261174,22.19308856388371,23.028504764686986,24.485134150888328,26.081418935090802,28.569604752207816,32.93526359429133,35.501200092691974,36.60509534535068,37.8806521036455,39.43457783376934,39.573093738731814,39.914329379553514,42.50008834609132,45.84471697819886,47.038989547976726,47.018685247890986,47.09201540462102,47.57518596315677,48.33104171712195,49.995165717031135,50.911488796555176,53.548518375945065,55.14518240213381
d7,5.140547651111868,5.087607675686243,5.682205210343405,5.767186920316677,6.2860442359557975,7.12702981283854,7.061275642472309,7.214839685043101,7.289392501664996,7.056244489064109,6.7693888741328685,7.157822110774131,7.3961235562048735,7.597134521695223,8.53258014934144,9.22530950763485,10.66449946294518,12.107872998830443,13.59434773135784,14.06357109640381,15.357403612885072,17.10634590764785,17.97927742151121,21.645755601458525,24.353514599057114,24.73598412146749,26.220861455943428,27.04023790120715,28.645090909632266,30.551635070403336,32.856230706080176,36.519995109187064,39.389130197690186,41.247566830239414,43.53483473482771,45.01797166078357,44.66978847655163,45.49141708733883,48.899000560649014,51.80652531693348,53.10354602264029,52.5069603324427,52.563559529915594,53.70851679433119,55.00038302703408,57.46996625373034,59.41653426153681,63.644411941743144,66.02022547828221
d8,8.124098206535484,8.440619605892989,9.849363008049249,10.078643649752907,10.885972330931942,12.080112785146984,11.937883345224964,12.30837799743983,12.664239603267546,12.389410549160779,12.006890677173782,12.4055546544543,12.489757471694631,12.575376826743678,13.758059333445706,14.600916151817627,15.982391850382548,18.097054910640253,20.101974023100006,20.48576178369929,22.035001331028248,24.27724228857265,24.589773189375748,28.453832212090973,31.06716220264247,30.498730171799114,31.49291913013717,31.85234924587688,32.53170617817364,34.52111808622454,37.71307363567031,42.20896457008083,44.55010692821678,46.25287991501038,48.56621874059688,50.352420057738165,50.266210809319794,50.57999719640199,53.663674775617096,57.05362793438111,58.92597314470563,57.886660378734675,57.72259372819105,58.16441588511087,59.2097589763106,62.3799620867353,64.66069649418097,69.35509537787826,72.6256253312664
d9,9.839492576994738,10.07523071555451,11.718975021226877,11.950186321209461,12.837225546915905,14.14472722346677,13.91232953058241,14.169780980248996,14.366572579870368,13.888827339079583,13.28116883023337,13.494598158413215,13.542606731696434,13.603180376876871,14.667969825525233,15.52646760654834,17.026931693489743,18.91009965334783,20.66424355559557,21.016544905023835,22.689691000606576,24.779889172307634,24.589773189375748,28.704117440070192,31.37014247321507,30.498730171799114,31.49291913013717,31.85234924587688,32.53170617817364,34.52111808622454,37.71307363567031,42.20896457008083,44.55010692821678,46.25287991501038,48.56621874059688,50.352420057738165,50.266210809319794,50.57999719640199,53.663674775617096,57.05362793438111,58.92597314470563,57.886660378734675,57.72259372819105,58.16441588511087,59.2097589763106,62.3799620867353,64.66069649418097,69.35509537787826,72.6256253312664
d10,9.839492576994738,10.07523071555451,11.718975021226877,11.950186321209461,12.837225546915905,14.14472722346677,13.91232953058241,14.169780980248996,14.366572579870368,13.888827339079583,13.296200212002173,13.494598158413215,13.542606731696434,13.603180376876871,14.667969825525233,15.52646760654834,17.026931693489743,18.992307586991885,20.96891025669575,21.397685812811364,22.980906315305873,25.623108568603406,26.494686773900074,31.286183797878195,34.92973968873841,34.72666322171362,36.17901911035417,36.7834299939521,37.53647462924201,39.509880878406804,43.76331365158235,49.67362687364712,52.649590080774445,54.40172942997464,56.2230017195166,57.93861666924185,57.79043872981687,57.984071915211985,61.71893640677985,65.18918212298856,67.30613426255854,66.21868434060192,65.55740639959515,65.85382309898066,66.78721732787413,69.71305609396791,71.82503846930867,76.70476926373858,80.63294542917512
