decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.007906257363149649,0.030066022105294767,0.04550843289734843,0.04833073134995374,0.04833073134995374,0.05023376190423186,0.05023376190423186,0.05023376190423186,0.04988689541399871,0.047525986401092624,0.04808331702436579,0.04808331702436579,0.04808331702436579,0.06278216899036793,0.08401051587496475,0.10524151130645018,0.10524151130645018,0.13301389361423385,0.18260716680464706,0.24613070222747702,0.28914654743713586,0.504236607006899,0.6387418105990134,0.7111507576937979,0.8815176090829007,0.9858556154267689,1.0417170929331538,1.1274798774166168,1.4899166641803057,1.9930850925534962,1.9930850925534962,2.0231461317194865,2.300513065683943,2.848913523375108,2.8870230094658083,2.882586176722638,2.929590672873579,2.9993035926980247,3.0190616397180143,2.9690824866760055,4.5474691395368465,7.560914115969888,7.857348622085011,7.726193680639009,7.550265684962676,7.625393916568923,8.359617476708728,9.67903298401228,10.306717996682446
d2,0.17090742954744959,0.2737703048161287,0.4331651595060408,0.4331651595060408,0.45713236273628655,0.4773358375360627,0.4751034769845539,0.46589039673356314,0.4121730163745445,0.34525022379274295,0.34875592859512217,0.34875592859512217,0.34875592859512217,0.35640823602237703,0.4148140611475264,0.44287656605079956,0.4852190714305692,0.5742648294121232,0.8470300798360053,1.0322718956787114,1.0914594651883593,1.389141804014617,1.4640157193309624,1.7463772075199686,2.207163153827144,2.517365232281392,2.706926190122017,2.8969337222334053,3.756521175994666,4.647144893387082,4.632091646745648,4.667420208534,5.259710976169378,6.52847302990394,6.870480397548075,6.965937116963046,7.043629120049846,7.074022409949581,7.07814827932858,7.197264683525892,9.597246282549516,14.349019433283281,15.19906247122879,14.938277496470413,14.56867931768926,14.53074966411545,15.786439410577007,17.971880806229976,19.581429082430706
d3,0.2924980390628982,0.5232276046550979,0.8567473489334936,0.8567473489334936,0.8998380877773745,0.9321849522083497,0.9321849522083497,0.9404950981438087,0.9187180997740256,0.7835270022222283,0.7953978377347054,0.8050217540731195,0.8228953454147452,0.8729093498335465,1.0003463114609605,1.0393859142120063,1.1405898593879125,1.336765295500289,1.63942916483253,1.83105441784953,1.9282078376908496,2.194911117198824,2.4614510412848283,2.8399184717829504,3.556460446649501,3.9335148683613914,4.126082082098322,4.477843178491152,5.453114683460843,6.799936170923683,6.807039874469694,6.941819106592122,7.849123857021938,9.862790655944568,10.4537797325579,10.721249734964445,10.853229231894156,11.040752410710578,11.453229013421947,11.862263754403973,15.441278128070119,21.24628437329343,21.726825191879982,21.502646474058096,20.98824314203947,20.93049300767113,23.114510743796522,26.84670868610087,28.552249266612662
d4,0.5262900395435816,0.8422563496596776,1.495994757143483,1.5173660685472883,1.5975351353726928,1.6823893097160973,1.6749685378055748,1.6770384500641362,1.6577721149362215,1.5587890979308616,1.5933626260055855,1.6049251783672411,1.6455326486841821,1.7431058683958387,1.9214436539169886,2.0161951050611533,2.120809495200585,2.410556938421567,2.924099802076479,3.1062632718386283,3.25578892887615,3.548688168486079,3.5140823859157844,4.293778392828298,5.2219899329700965,5.954991957419441,6.111411071723074,6.421469074396765,7.892625540863099,9.554388360999104,9.497990474080463,9.590283729994766,10.772696507458264,13.29628909718927,14.28770547435986,14.611186939884988,14.69825008999813,14.77431549734665,15.104893551907386,15.595666013888057,19.971892090191027,27.569164800681754,28.402136496543424,28.09368053758353,27.097711591297134,27.005997440575875,29.65710074682233,34.20249206766233,36.55869088676144
d5,0.8030832546786552,1.22256536478563,1.929383058830795,1.9696019754057825,2.147272627713687,2.2691794430341767,2.2677401954896395,2.2740612134283014,2.2399215109343036,2.0840545076536157,2.0974588772315856,2.111414646090722,2.1339940929403873,2.277070733297174,2.4737128974035762,2.648844571069694,2.819675048879043,3.117689005185983,3.7507770762582666,4.0468608791805565,4.23468882932461,4.467951476388874,4.711518208548274,5.559978451998986,6.738600393626752,7.44459039121776,7.644027075063984,8.06643222458254,9.630032910579018,11.201160834594472,11.239845609677033,11.350074143038581,12.809177504448131,15.690684106529964,16.7404796298,17.025945079311093,17.26293877715632,17.458741526683383,17.700836436661625,18.5783526129582,22.877497904502036,31.000716379756255,31.869373818887397,31.563162128942786,30.435544174816442,30.419756008956938,33.29180255675278,37.80196852468232,40.51532151331203
d6,1.0876595768543365,1.535622027158864,2.5039610771772853,2.5046744416670452,2.64736870079435,2.885914345608133,2.883027429193253,2.8898596748738274,2.7858627487436474,2.7053675820701244,2.779810171256297,2.780790027267643,2.7960380222540655,3.0142921927217055,3.2296296863647496,3.4602863264035717,3.6765875514409876,4.089456704479133,4.835377500996067,5.253043536059026,5.430679749492916,5.659098335779182,6.069315588598706,7.154409817022543,8.219370527984877,9.140729082470695,9.513767159377387,9.992558835278633,11.718650712936219,13.599861398654092,13.652100025651198,13.995841004086234,15.711983135531495,18.99645759810711,20.36902233265935,20.826921032424224,21.028713241437398,21.574466683112252,21.742717373767544,22.65136047590939,27.640960780900187,34.878972298212524,35.644808658241786,35.23829182631454,34.20350492640026,34.18116837982865,37.04232829163836,41.737687315446856,44.65732633381975
d7,1.470690146673102,2.0291654485188992,3.110491957650755,3.1953152741088586,3.4469677923815905,3.7077623905971313,3.6932101209049177,3.6866045799715415,3.6195056957276703,3.4950141277564155,3.567579311759349,3.736775960838227,3.836965636665083,3.91750982023931,4.188823648019769,4.4352374992674495,4.7263366150048025,5.217568380788537,6.114651088873743,6.553333196770955,6.621561065697103,7.056775448994509,7.410882394453392,8.335013923920119,9.707549451744724,10.687000982724271,11.20634028300397,11.816004343947125,13.924039592521197,16.184871667791022,16.18533814951486,16.637966438552294,18.613023765619985,22.333688067481987,23.21385168704222,23.551126744199344,24.109052585787396,24.518802269740885,24.72089168777683,25.82017198765752,30.880125160472453,39.240328883278615,39.635888309553415,39.102395007087296,37.990204482166135,38.09613202654641,41.94881021301852,47.2563032803921,50.29281801491906
d8,2.09658132988102,2.908464400798426,4.00714371635791,4.093096684295766,4.469367248279665,4.782089435759382,4.786632251030392,4.7582107598814245,4.6791305266502725,4.627136321899846,4.688080534729308,4.647675496405576,4.724968560194898,5.053133868123388,5.305944266771854,5.6433758550650825,6.026401395315938,6.566918014639459,7.589511880821862,7.985487470940274,8.42182299556447,9.078121969622668,8.88636956007441,10.12923185360214,11.867689672952157,12.951172124380115,13.552423993717664,14.202701068692445,16.318053316170204,18.947947103581374,18.95166645057511,19.180196474229223,20.927563640084784,24.41660823575159,25.48747939685111,26.01982831252341,26.952731321561266,27.546546989437747,27.730143738298246,28.392644197296384,33.811584911354004,42.85467454839929,43.84444433662427,43.40188424611577,41.88153062613381,42.06366514945784,45.3627507466992,50.47342048766764,54.20040856925962
d9,2.9460441482413153,3.4972337941636957,4.9884272918866595,5.030345156686797,5.426913141532356,5.896513597869476,5.879366678689108,5.92518465464741,5.888734629860727,5.74138117993215,5.943933190164062,6.182314183800831,6.311688052587835,6.140382491717899,6.0113169246191145,6.2641953749082955,6.7058022699894835,7.824023941112561,8.756092905897985,8.963232479245349,9.62128091280172,10.738229022075657,11.298820255154526,12.889821969599545,15.14592108566272,16.989652807851087,17.421724283552166,18.280870561432604,21.08132224852215,24.252475623491303,24.681271556050042,25.591785301457932,27.603455130369,31.471534413861736,33.60263460357336,34.31645902132971,34.77004039892442,35.743384996099735,36.66614007562285,38.32142242644735,43.29614985085371,49.81901141838566,50.546185259449366,50.599639469960124,49.62757454997399,50.24290958382654,55.40004351168221,62.368091925916346,66.64389806697473
d10,5.1770205731704,5.770602179391863,7.850200473566812,8.066123833980273,8.685678969227807,9.445782651495534,9.394193491541843,9.523190383931771,9.54477516057249,9.577626820021361,9.986394520863687,10.358338365938957,10.318576651678343,10.360923455136371,10.846427866592228,11.456398023826875,12.516008463616496,14.486259660603402,16.063255913449886,16.37534233241289,17.444485467160717,18.979239848902697,19.886587154445596,22.42965335843174,24.536765162742192,26.027795396638467,26.72245141494529,27.8338477265279,30.80203176617322,34.487991735605945,36.203825660846476,37.58632388433361,40.47483983463147,45.2072516726283,46.904986880798354,48.238975895455205,48.69527359608048,49.69780258297791,51.41791044625623,54.4051773598389,60.97441275903538,68.50015285537536,69.23096180638571,69.20048575151016,67.617002185193,67.73546426491016,75.24288467871904,82.92360175825284,87.13571615797503
