decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.005776094999566795,0.020341878964179123,0.04861663607195599,0.04861663607195599,0.065721053284422,0.09892374552038544,0.09892374552038544,0.09892374552038544,0.09695987322053273,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.09314765052081864,0.11893476786387626,0.13234230579884051,0.13234230579884051,0.13871334695755796,0.24392156449093266,0.45458055473666703,0.6502999325194136,0.6958488293074344,0.7481248668238649,0.6925396048632819,0.9085321319369402,1.2046235889098698,1.269990610457529,1.3191997515759113,1.4149969203529897,1.8022559492266335,2.3743956532498736,2.3743956532498736,2.3743956532498736,2.5648214295677363,3.0974233363021115,3.114550342416333,3.118229287184964,3.1801308430495436,3.3271544173464704,3.308060279459486,3.1758029870671076,4.939380685340409,8.351750551709923,8.934882886317624,8.891499486675755,8.684180012665383,8.71205764469688,9.1794692266803,10.375628673152994,11.237899780268723
d2,0.17507212868559385,0.2902805220482411,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5139203444580858,0.5096277000701224,0.4093957624038571,0.32597355152526286,0.32713392401185526,0.32713392401185526,0.3264588183200775,0.32121899316668834,0.31269437962064034,0.3305728524046575,0.3604945967357823,0.500316193627389,1.0057211450912498,1.2612553030725722,1.336643126069518,1.4028810668068028,1.4640157193309624,1.6837638185287975,2.111753649747265,2.46238207695793,2.695902117568779,2.9165716316836523,3.695686215591235,4.641487725166225,4.62997907436969,4.622480038917979,5.035711437445604,5.966373963212925,6.221572943270335,6.266710373910041,6.367285201542806,6.357537200881714,6.275866286269888,6.161797293459125,8.497682329387903,13.650189225721427,14.597600041328729,14.584458797846654,13.81600919288919,13.866805676039506,14.93248410416982,16.77476355295841,18.042023718569464
d3,0.28347044675392663,0.4618630191699812,0.7547428133220679,0.7547428133220679,0.7674296859351356,0.7920571445369728,0.7920571445369728,0.7706542250929903,0.6551419595222029,0.5620346441615502,0.5764483507178908,0.597480767127117,0.5977610130444869,0.6106435403514232,0.6124592195279053,0.6451090656989842,0.7227342781552344,0.8718053951731404,1.335747099240268,1.6830699750112061,1.741782036397921,1.8605659713981542,1.9524617585108301,2.5356477972631373,3.444005171729361,3.792008184976959,3.9586937238432016,4.2408315046549605,5.082629197974599,6.083213778105415,6.0861280787789145,6.107389916616504,6.625042282119425,7.70348508516081,7.906729518670484,7.942809991510819,8.021678153968994,8.028898460391384,7.837034382291067,7.848085092150991,10.60945198308712,16.556536724966136,17.27558734799334,17.292149304847086,16.95099664020347,16.999068916706367,18.02425643493725,19.778484122131516,20.737029622876108
d4,0.590399498431518,0.9896823709389058,1.8333795661779617,1.8333795661779617,1.8944357490932224,1.9680922827701972,1.9680922827701972,1.9680922827701972,1.8793416535174559,1.7194045482851883,1.7787720458997425,1.8770926248750825,1.952702533778548,2.0711301358289536,2.0569612039460514,2.1033355127916185,2.19933299239606,2.4148683414826015,2.924099802076479,3.2658736198055704,3.4011973676171254,3.6367891002210326,3.3758380946188886,4.049090691294344,5.011798470670853,5.250306914027803,5.4518094167565545,5.833990047468652,7.1989236483919115,8.595225472267337,8.589587813963847,8.645154845112446,9.71619913939629,11.694138737640682,12.312354896365537,12.626069080546028,13.233907130041588,13.470014091262728,13.315559261708016,13.565904444258877,17.759616298519592,25.234735507118756,26.04959081639017,25.83640853964157,25.263002851713317,25.39172323535712,27.54822975222737,31.264637830406002,33.24828347099456
d5,0.8713526705275633,1.4150168691274345,2.5039610771772853,2.5046744416670452,2.5915459667598117,2.697750780091588,2.697750780091588,2.7005790288456786,2.579699582590317,2.348492529656168,2.389375121004173,2.434816466111731,2.483282997259956,2.521379933840337,2.699226186632007,2.839536801843074,2.9841762743088447,3.2839981357642434,3.8384213212554887,4.135510264992727,4.301565873641259,4.2961972315240455,4.033531138796668,4.74210924481742,5.955821488267441,6.575994456067399,6.9368326318637346,7.4247762670940265,9.088145153093285,10.675010829484709,10.701787986518775,10.810795580236789,11.910259227695523,14.208615740667943,14.908779321621381,15.251309707917954,15.915690225216135,16.359240957941687,16.311346270298948,16.715410439125115,21.13046678565638,29.52781044242082,30.940234357971022,30.688107891929743,29.429514035292065,29.13321039771602,31.355336292958523,35.0915919297149,37.367973561398216
d6,1.2197494608472241,1.8873776249762948,3.0030517821377987,3.0105766348117386,3.210952902616886,3.5764420769870173,3.5764420769870173,3.58759341181876,3.5074603472946295,3.356863251525404,3.416841558298719,3.56994293703905,3.7331507399858226,3.795669852145802,3.826899637706222,3.8714878745138956,3.9912794892066747,4.178125870356629,4.903936786269138,5.339206887098073,5.50581137500056,5.661772239993584,5.501209051037197,6.564480396663246,8.069531137544562,8.957823087545165,9.418726543041053,9.992558835278633,11.675831227602032,13.305552604459532,13.244007156875,13.187631070514641,14.306292521039651,16.92422757463576,17.600504293892435,17.699836038247874,17.977213972401096,18.025314097549437,17.700836436661625,18.010806042266527,22.877497904502036,31.95036627730301,33.25270640608589,32.91317322873237,31.75335031734275,31.668227598706657,33.91155141690129,37.80196852468232,40.18689770779302
d7,1.5713196447862,2.433143998228876,3.8469487783935263,3.857382629941422,4.039216872999512,4.357357476701045,4.357357476701045,4.359480283421195,4.210599811780139,3.9277239154700454,3.9436778349336246,4.018538318185445,4.183286535145237,4.340460414903124,4.663919495361909,5.008038131634797,5.265729484382386,5.491342783043406,6.230187694804753,6.75821885651794,6.95857797619248,6.860876277617201,6.337116646940775,7.343173816094352,8.91114152866851,9.825219229180277,10.527490170457998,11.093970179963964,13.112713439978295,15.053751198636105,15.065016855890637,15.242520246731697,16.739977640817663,19.92271002519133,21.067222949995628,21.41238752060652,21.86970814561825,22.12098177497733,22.117740925316184,22.723724279822186,28.107281664407807,37.80489117684155,38.94172206580859,38.45664476187653,36.998042018850995,36.99480740970534,39.66663278444481,44.29381629369742,46.91600798222974
d8,2.09658132988102,2.9819017923693627,4.4268844143045465,4.4884860100841495,4.764285520142604,5.164420275299037,5.164420275299037,5.164420275299037,4.99480257904029,4.687324846939243,4.78521434236833,4.912751626039228,4.959038409727465,4.991748841704304,5.0428976228817834,5.285789140080823,5.68026809472388,6.207367863223507,7.194494349362413,7.7932175290024155,7.999944619888549,8.160392797804853,7.923334400884038,9.244778904707996,11.064413089816941,12.07981479878517,12.680169035557494,13.307632555838552,15.442192924758373,17.556362640948628,17.544416474466832,17.718277010387972,19.426651061289387,22.849675707232898,23.832165072321374,24.206954473810693,24.814993252439603,25.240236503801675,25.37832129116945,26.164903033881586,32.032224059701484,42.294519417444604,43.433050409713296,42.91330455219513,41.118463543963024,40.942362183694556,43.841808575742945,48.956112376136936,52.01258331075447
d9,2.5626874606743213,3.4972337941636957,4.9884272918866595,5.030345156686797,5.329300909533945,5.765860351765751,5.769819510886448,5.7895382182001605,5.680942927084466,5.410718389598241,5.409673501125247,5.561799119075433,5.761504098715546,5.793100368750198,5.93556833084748,6.217185382119403,6.384244713711443,6.665489588246769,7.832131203200819,8.58170742265037,8.800703188901956,9.249071615828374,8.88636956007441,10.12923185360214,11.867689672952157,12.951172124380115,13.552423993717664,14.202701068692445,16.318053316170204,18.475262480285313,18.447564124729617,18.559866653347708,20.198967210989906,23.653491813174764,24.579647854064927,25.04751989507865,25.762798397782937,26.184043924147282,26.31160249327895,26.99532561100078,32.54608620157727,42.39679401063856,43.84444433662427,43.40188424611577,41.578123493328434,41.3338577278965,44.39841104120096,49.73359552831617,53.43599331750622
d10,4.5934913090029195,5.418611702917483,6.737198081740161,6.802991906246827,7.022115574287767,7.292332090700011,7.297949314191545,7.301319200399302,7.0050627428687635,6.36852699406054,6.214214609201524,6.182314183800831,6.311688052587835,6.140382491717899,5.955389165660517,6.2641953749082955,6.475347772029416,6.909914047186255,7.9958570876135635,8.726220899288991,8.966702391493822,9.310626427293052,9.053418381184962,10.379568550585336,12.217944250742123,13.454334448424355,14.218489381386803,14.90326522085152,16.96896442617882,18.97269667112223,18.95166645057511,19.180196474229223,20.927563640084784,24.41660823575159,25.48747939685111,26.01982831252341,26.952731321561266,27.546546989437747,27.730143738298246,28.392644197296384,33.811584911354004,43.46244784976291,45.047085378844464,44.546921307485846,42.720690446804035,42.52589090870011,45.3627507466992,50.47342048766764,54.20040856925962
