decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.21102673465843919,0.2613176330995688,0.31210204982318235,0.31210204982318235,0.3032358674019125,0.2860250427018004,0.2860250427018004,0.2860250427018004,0.2756007291510564,0.255443852653282,0.2860250427018004,0.2860250427018004,0.2860250427018004,0.3279343836326085,0.4079478062390122,0.40928781014535376,0.3724389120501333,0.35176088192918276,0.5134492562734387,0.5277247366053989,0.6516453129788324,1.2058704480988602,1.8404615005273977,2.1538749092725533,2.8301594526535827,3.446624526551269,3.577453348312412,3.7087413537488496,4.635618447243032,5.694732053413022,5.813644208693008,6.097731329028437,6.789676136887252,8.937324997927364,9.62805327514078,9.711701492615997,9.986766724950778,10.773724318736965,11.511637711652796,11.906503062365683,14.363144341138014,17.42775500983997,17.383754499802716,17.567836786811807,17.335207467143203,17.8080466540749,19.600466073941455,22.547986274072077,24.690263463500138
d2,0.6940463833039912,0.7977031809039591,1.3345838686331761,1.3849420856389476,1.490105879154907,1.517636659562406,1.4486784018397678,1.4355852154729911,1.3796245107363143,1.328384219580765,1.3731292549280107,1.3941572495653767,1.3941572495653767,1.4402071314504625,1.4976547663166557,1.5461846193674782,1.6109410229626484,1.7622434978798638,2.0588930314537177,2.1882717851605307,2.4262406999607498,3.1705460292210272,3.9575798554427406,4.625015010271302,5.854352667826113,7.1968948812255835,7.540895312464364,7.964434732056503,9.57791527480768,11.987784155880995,12.303415038803703,13.055830832198389,14.288140320892735,17.194326605278132,18.771252719816147,19.066014566085684,19.60678936240922,20.771279751489455,21.414295698134318,22.108647957192872,26.017264391286595,30.78709717138632,30.912650596372018,31.396058186578223,30.407575117512017,30.403189062146968,33.261067213548074,36.71527073755693,38.897719401153275
d3,0.9201330162725176,1.1795654203691266,1.9036005854782658,1.9201164065860354,1.9711302158635848,2.0521473647932376,2.004917565921379,2.0013999324128973,1.9910719863658128,2.029940288564536,2.0622539689703427,2.1673075034814375,2.1673075034814375,2.168608915844941,2.3265352057667057,2.38844837370656,2.487348246603249,2.735826580442331,3.062341680027057,3.188416665656625,3.506228798572087,4.459504148138504,5.319953905172682,6.408400134303705,7.8700233912343425,9.190661043603045,9.853907736779647,10.523554711779653,12.577695814444784,15.354588329987386,15.755931064372756,16.612800791005874,18.35604248204467,20.945811585632327,22.439656937206102,23.095159375159767,23.7633117542667,25.086301572344567,25.676364185177828,26.563558950574418,30.478207335037602,34.429478241752534,34.690808173737445,34.794655159381065,33.90181310735246,34.01496962523945,36.67994942492872,40.4936419372937,42.800183620117686
d4,1.1917442897432438,1.4628562594401104,2.348406479316222,2.4318551760526206,2.657149154887599,2.8986499452387493,2.8405386024131722,2.823910691520979,2.7538795078859,2.7186614985016533,2.8767295452718926,2.9868384570064155,2.989928242969686,2.9975396389033726,3.179002010985201,3.3683899138956903,3.4914657352577247,3.6277477585066924,4.080277981479345,4.256002920970113,4.601005884252476,5.621660588266387,6.7482140633197165,8.236331750874493,9.881548966594043,11.811968502015095,12.715033589920644,13.418116441112634,15.855144392671324,18.363418419072023,18.69182460729327,19.359925457203435,21.07067048913828,24.3726612992959,26.13489507955948,26.613507277113683,27.19917307033193,28.237401444061668,29.127199520391812,30.162352291770354,34.56013239182907,39.95577926541748,40.03755889024688,40.13420141675348,38.893781591224595,38.80400697547342,41.37696877945329,46.18346433107882,48.545987537044
d5,1.5400528639558713,1.9803292451748513,3.075911682501304,3.146097813580022,3.369916847421087,3.6437203799083537,3.525285332617596,3.4955546073025294,3.4337054394518454,3.371190240415673,3.559713576390342,3.7015957391711813,3.6785162641377944,3.6141074301957543,3.7959690236154935,3.926812051136973,4.154670897002362,4.561052614545431,5.208672250176774,5.659938607957504,5.979660777936625,7.3882647326204705,8.839161088483438,10.37307512540919,12.230157522757072,14.41113757260058,15.389280191610577,16.187512471885736,18.921916595514652,22.453455760940965,22.711845503695148,23.551853836367307,25.38968516460912,29.090872351260224,30.802568874442862,31.354449314254865,32.26855867465787,33.33838361638077,33.578212557016755,34.75496631567618,39.32385882617424,44.862604080774354,45.00500603049757,44.7035299237824,43.32936161902547,42.96929684121702,46.19407756041598,50.61514148914311,53.348033289856005
d6,1.9051703697553402,2.285340610172601,3.4197678448474544,3.533942869311651,3.854297288088837,4.220857893929025,4.162310127965301,4.123994462223229,3.9109295810568305,3.782633505092777,4.081810515782657,4.279620273233669,4.291298110799248,4.326656616226254,4.484705810607096,4.674129537179794,4.927743460670002,5.337061066907513,6.078367954993615,6.3049986905638296,6.859063686255249,8.183536602272818,9.696377557310976,11.70937130897159,13.628876324341835,15.886693584225707,16.8772147759656,17.984368876951052,20.927667092563034,24.236933027137752,24.727154811913756,25.552623494094867,27.581884712449124,31.597913412455746,33.60263460357336,34.358353880220704,34.96231868055965,35.89326769811328,36.41007013849925,37.724165580890016,42.57152605076354,48.06995385637191,47.95698916775491,47.41801133140967,46.05200811522951,45.77913000742345,49.07993770732176,53.487778843527856,55.98618382774798
d7,2.1919209782158644,2.606116194802592,3.8329096853758635,3.960285494608465,4.353014754694642,4.623517628968455,4.483127325504036,4.482315608708675,4.3241318983906005,4.084811353739856,4.317455180098301,4.613519035457221,4.694555295541311,4.715370341388583,5.003952085027367,5.1798572874626245,5.426554441841622,5.841154009768719,6.786115717993084,7.144881615096195,7.648413788481957,9.159954335380263,10.647524325235231,12.788056023488306,14.73716562713698,17.045191629399447,18.266056664696073,19.272687924399264,22.26425011531483,25.959843023525224,26.047062150978007,27.17268963320892,29.262644840118615,33.2731898410502,35.55584424635306,36.13148913803872,36.86131578687517,38.11772777264242,38.64551009388286,39.87038354425504,44.946276437438065,50.36306749622693,49.982030302175815,49.986492548653196,48.56905355889095,48.46686509614683,51.919088509749784,56.463182247698036,59.02988887195816
d8,2.5788102476516546,2.985583651925252,4.311212706402269,4.426326020331087,4.723269569566132,4.974474830156311,4.845666284787418,4.889353508271768,4.731285010561559,4.546848826488348,4.840291660299114,5.179124314010295,5.201527746129489,5.1924800355645395,5.365973238796351,5.589515958230658,5.8875114320918405,6.395686680904985,7.391644348826309,7.886125147086519,8.394985771597057,10.01816978458193,11.46474113773277,13.609039213340138,15.857563056710413,18.144109222006687,19.14777633552433,20.427190571056066,23.413214587384697,27.369482467724886,27.519037980682437,28.564160952648713,31.016465393520285,35.00833456958865,37.265826527540085,38.05360994295382,38.92938640728037,40.114258970828175,40.55940275538791,42.059543730081025,47.393300825914814,53.528110416314306,53.07199493986424,52.822702054330186,51.220491834859715,51.113838864200176,54.84895559089542,59.63954649921938,62.32643552796091
d9,2.9649189258115016,3.4329425739418635,4.896180478883073,5.0525577640861865,5.390178488386699,5.708378877020013,5.583171521861431,5.613539045769143,5.6134548889215425,5.498551272601952,5.7020692891098586,5.918411048182852,6.015204782859282,6.047446537648359,6.395847151788114,6.492695396125775,6.836579435762117,7.433275256122939,8.530034168454229,9.05493633898103,9.631102716687739,11.443865837119365,12.573298172065648,14.53011950631252,16.626574818429525,19.229776146162294,20.357900469224745,21.528006379245106,25.02305071206799,28.87916328592351,29.118816580179057,30.207260054112925,32.59199590903593,37.27751302753032,39.86642420841928,40.48519884015016,41.34607357563131,42.94145295900324,43.879355382238764,45.43497118707117,50.378185529136786,56.103942443929625,56.091999133669745,56.02459551866717,54.51435628838631,54.49056624345424,58.413478044498476,64.07995625181417,66.91723608269842
d10,4.0234378846223455,4.698848327639908,6.2880730768232205,6.574954965161679,7.225536999309819,7.526401353048161,7.386082237282009,7.4704352282960205,7.438339304223879,7.059206771300051,7.325020064266386,7.872468266657054,7.916331113192328,7.9873158852485355,8.480782880869963,8.732492194387381,9.147631259140976,9.778902707810424,11.151652041226905,11.757826635613084,12.411084707971384,14.105311297656078,15.079061737033829,16.95238766064159,19.3057239840296,21.87453543480617,23.25513266956395,24.532543348105563,27.86556436556915,31.697689793686955,31.951778951502085,33.426432443592276,36.15180049573291,40.77644196388872,44.224173752042795,45.36440356526268,46.892969837710254,48.32329152674449,49.52636797538702,51.56715764402023,57.1931252240416,62.271460998869244,62.78251288586022,63.48259209835257,61.68752120371015,61.1708047593035,66.14562809142747,72.15629870506189,74.79223386992139
