decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.5404994905061811,0.8014608018060563,1.45316992874683,1.4560072374167785,1.5641241406275015,1.7947161261054463,1.8553999681873559,1.9795206763927746,2.080563568712227,2.022963986099111,2.010337994944212,2.394198188147806,2.437859691447777,2.4819442831925045,2.7063835048045206,3.025937422958881,3.5163133630766215,3.7594198695932697,4.408798393202991,4.6221318671160585,5.286414997168807,6.449633730805736,6.9748184135618105,8.169586979747848,9.905619470247904,11.386540816939329,11.568165863097205,12.21197033259433,14.368867069428518,17.300720067627267,17.96255450989638,19.071342435229994,20.789800538343854,23.94769098786632,25.84804703449622,25.991303328962974,26.199158404113923,27.589917755006276,30.351907459516596,32.62408361513867,36.4348208726205,41.93903316992633,44.08211327880899,45.1515296643402,44.425508165976346,44.88310613054554,50.30753025749907,57.980432810315946,61.48558218382999
d2,1.179215789131354,1.6188999470699215,2.6036120615288496,2.823286499402993,3.1249364053160935,3.386800046212869,3.386800046212869,3.446716757793631,3.57185783705675,3.6164631396206053,3.7642185957515606,4.004611200608095,4.09218059469817,4.366690441734629,4.6267207298140764,4.897642391987485,5.631942642858387,6.634726420878151,8.051240005527967,8.53394804289649,8.624073423401883,10.16335881370744,10.991047000664201,12.693787382118323,15.14592108566272,16.960460284896794,17.421724283552166,18.15525544454409,20.69235273890458,23.905606842766122,24.53489587638058,25.59650038778409,27.858760467864112,32.00223680651514,34.03737150760166,34.763041432486325,34.83595185711259,35.66826014501939,37.86402687142449,40.224387094551645,44.54749696602126,50.80117939270361,52.03345438355882,52.77908637528988,51.39651862071398,51.887632670541,58.2913753834999,65.97244505698215,69.19795058810041
d3,1.727875719583705,1.9670829532479832,2.728898314662493,2.8538375982795827,3.257755523767163,3.386800046212869,3.386800046212869,3.446716757793631,3.57185783705675,3.6164631396206053,3.7642185957515606,4.004611200608095,4.09218059469817,4.420201963977952,5.03883317206527,5.295509493163362,6.004210241074489,7.205944118434916,8.710969499774095,9.156258190350174,9.728676608238219,10.832131558791701,11.222503336200068,12.868472886691043,15.382863100764396,17.4653714178017,17.861718704771963,19.044480721622733,22.17176420392366,25.76628626279874,26.243968273945498,27.549290481666105,30.139828157223903,34.24518545317953,36.68406955665306,37.63638523014458,38.26850558267599,39.22745121505419,41.15070548294134,43.532768832166084,47.967119089099256,53.1743085560569,54.36692938428047,55.711280618284825,54.52930696810546,55.29354591481295,61.39398615571521,67.6009182557801,70.91894048868208
d4,2.8335568242582307,2.758343298603033,3.25309791589871,3.476671550575446,3.957420941205843,4.363743992700536,4.3601446374573545,4.4383285159504595,4.601380109270053,4.638371524621363,4.636436118732723,4.679346035944114,4.572036148444969,4.444201581829539,5.157450274948045,5.46532392702194,6.364115145864911,7.567063522439704,8.780639995679604,9.172825983408615,10.60454023922507,13.246324437593756,13.361926488276353,14.80283698269903,16.956104672534718,18.794304935206902,19.080623039724884,20.051216018188335,22.981495532278906,26.41893278812118,26.86245379197993,28.02166927505281,30.2047809228053,34.623986549461634,36.94375407011108,38.06011449126683,38.792490545758405,40.100382927148296,42.73563787125983,45.65722460130464,51.993768483054495,59.51087670781709,60.655350113322925,60.779502335608356,59.11874027409091,60.072017216734295,66.88382103027033,74.59863223531005,78.0753745765902
d5,4.132699206705544,3.855526517233878,4.094343918078442,4.381260980867253,4.814263275462309,5.4978442548057185,5.401881185150327,5.499714062239615,6.106816519429388,6.258140808582499,6.153864631972443,6.276798610934306,6.06742168033812,6.286304366908862,7.248907003735434,7.62928021648716,8.746530861268516,10.462097728193012,12.120289626056785,12.351690011272725,13.497863396949679,15.292034770350567,15.495072580879924,16.648779786653545,18.235878127765808,19.789665645958333,20.200063366913795,21.433908398228116,24.527554998289876,27.998637570142762,28.443977069166863,29.673567294780902,32.25965289123781,36.7386910519835,39.19526248810298,40.20412006583784,40.07203958549389,40.87633243523092,43.10151691718016,45.92828197089318,51.993768483054495,60.601408690754084,61.76453229655312,62.040121012825544,59.954711421441274,60.39046485390041,67.14298032496878,75.61031759898397,79.20293888742991
d6,5.140547651111868,5.087607675686243,5.682205210343405,5.767186920316677,6.2860442359557975,7.12702981283854,7.061275642472309,7.214839685043101,7.289392501664996,7.056244489064109,6.7693888741328685,7.157822110774131,7.3961235562048735,7.597134521695223,8.53258014934144,9.22530950763485,10.66449946294518,12.347064367271095,14.092580725802385,14.84930831931085,16.28080206698224,18.271883555335698,18.74461532951425,20.622608816928796,22.87447175097575,24.94633949699922,25.550631555914087,26.831613931013486,29.665214521055915,33.79777237163134,34.57537094934605,35.756454486780704,38.27288990832895,42.93212002226663,45.20006488087849,46.17503263078989,45.88741132206156,46.82178431257159,49.3975603881286,52.44508621265166,57.82869317259741,64.83291110424996,66.55209182464536,67.05027066734297,65.56324024580748,66.30658860804785,72.97880155315913,81.43860256216294,84.92572949767946
d7,8.069945413144143,8.31129774192514,9.712875639141124,9.98692918304201,10.788935282217281,11.963474487393658,11.937883345224964,12.222389193517785,12.453151913635729,12.265274929333817,11.962307807174234,12.4055546544543,12.433970575259366,12.226676437730816,13.320095688254325,14.18215205342535,15.969650003699172,17.8456351091754,19.731818737589684,20.242453257517568,21.799098708298573,23.98684756322342,24.574544987524366,27.06248224837813,28.884299589869464,30.35919972490299,31.176531555710838,32.41693731841818,35.769206287478504,39.78777828954196,41.10090569192098,42.40196704496914,44.91837682432087,49.62971310365916,52.62872346434547,53.568743610928145,53.4892347668267,54.13899951482396,56.53049449434244,60.23522451120999,65.21364698947738,70.3636246556547,72.23711864389944,73.04583667288546,72.28474140881995,73.60168002813651,79.48111439092673,86.3191742792703,90.25492786285307
d8,9.839492576994738,10.07523071555451,11.718975021226877,11.950186321209461,12.837225546915905,14.14472722346677,13.91232953058241,14.169780980248996,14.366572579870368,13.888827339079583,13.28116883023337,13.494598158413215,13.542606731696434,13.603180376876871,14.667969825525233,15.52646760654834,17.026931693489743,18.91009965334783,20.66424355559557,21.016544905023835,22.689691000606576,24.912460064765654,24.659491276789993,27.06248224837813,28.884299589869464,30.35919972490299,31.176531555710838,32.41693731841818,35.769206287478504,39.78777828954196,41.10090569192098,42.40196704496914,44.91837682432087,49.62971310365916,52.62872346434547,53.568743610928145,53.4892347668267,54.13899951482396,56.53049449434244,60.23522451120999,65.21364698947738,70.3636246556547,72.23711864389944,73.04583667288546,72.28474140881995,73.60168002813651,79.48111439092673,86.3191742792703,90.25492786285307
d9,9.839492576994738,10.07523071555451,11.718975021226877,11.950186321209461,12.837225546915905,14.14472722346677,13.91232953058241,14.169780980248996,14.366572579870368,13.888827339079583,13.28116883023337,13.494598158413215,13.542606731696434,13.603180376876871,14.667969825525233,15.52646760654834,17.026931693489743,18.91009965334783,20.66424355559557,21.016544905023835,22.689691000606576,24.912460064765654,24.659491276789993,27.06248224837813,28.884299589869464,30.35919972490299,31.176531555710838,32.41693731841818,35.769206287478504,39.78777828954196,41.10090569192098,42.40196704496914,44.91837682432087,49.62971310365916,52.62872346434547,53.568743610928145,53.4892347668267,54.13899951482396,56.53049449434244,60.23522451120999,65.21364698947738,70.3636246556547,72.23711864389944,73.04583667288546,72.28474140881995,73.60168002813651,79.48111439092673,86.3191742792703,90.25492786285307
d10,9.839492576994738,10.07523071555451,11.718975021226877,11.950186321209461,12.837225546915905,14.14472722346677,13.91232953058241,14.169780980248996,14.366572579870368,13.888827339079583,13.28116883023337,13.494598158413215,13.542606731696434,13.603180376876871,14.667969825525233,15.52646760654834,17.026931693489743,18.91009965334783,20.66424355559557,21.016544905023835,22.689691000606576,24.966561506292514,25.068537582219463,27.729155076184142,30.347951681551365,32.67292499388142,33.61975516317966,35.05212083330322,39.250063055288486,43.98716932776732,45.19906599664527,46.6860833246069,49.47816745849475,54.47796692973628,57.743058530455706,58.84867918707968,58.559790582807395,59.316570628153315,62.07646110950918,66.33404378064259,72.60130042130817,79.63691578934537,82.05784082659514,82.86689173003992,81.57157014674948,82.94034137997427,89.91673523788738,98.25844376251118,102.06605784271176
