decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13000219823069442,0.2818420480168209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11854218874736644,0.0,0.0,0.11919291460794496,0.6011244942500696,0.0,0.5252989126039865,1.0745887086827173,0.0,0.0,0.0,0.06416895381388428,0.0,2.5374108115167817,9.820346349237784,1.9063841678504112,0.0,5.4177649904819205,11.44861878811776,1.880042011566765,1.1830159808352894,0.0,0.0,0.0,0.055108414471601384,0.34000318020856735,0.5142831193459205,0.9070675428297442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8387073224497967,3.5692553906378413,0.0,0.052828000189146844,0.016659962180485977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3120081834601227,0.746817826806503,0.19141859372594422,0.5108561163214921,2.158996370969275,4.515944988043785,1.2366634440887334,1.2260063162261854,2.609086244804632,0.0,0.48259768668517045,1.8925075813006589,2.9435946479761195,2.7547754243377924,5.928638577295262,17.450062078995426,4.752921387361765,0.0840740828492177,17.54457729923588,33.25972105283959,6.176532107964877,6.51025789173087,0.0,0.1984144815457543,0.19959223116508795,1.5243670752603413,3.4497688681501026,1.8824750974851576,2.9383369926247758,0.6205155951011601,0.0,0.03486517304290934,0.6173248740534011,1.198336520221308,0.6394604228219246,1.4860876087051278
d3,0.0,0.07367579191536605,0.07297259594304854,0.0,0.0,0.0,0.0,0.0,0.299242134398765,0.40580003423413097,0.0,0.0,0.0,0.233226159868803,0.28197338380406534,0.0,0.0,0.0,0.0,0.0,0.0,4.021648936228241,7.738623208035783,0.0,0.47065384990556464,0.7251985638555812,0.0,0.0,0.0,0.020431985024753203,0.12765033641975357,0.23067239010178134,0.04062655322120434,0.6516878268047116,1.6781713406976602,0.6901114585015902,1.302873816054905,4.1303233605637875,7.316824604123497,2.8418625195599088,1.8325614947493676,3.9874742609106537,0.141591545198889,1.415622646467198,4.211618812725586,5.663515665905271,5.931287185284946,8.790081602441099,25.968644774825755,7.390976366057459,0.42350553628952237,24.85831186045112,46.44617339211202,11.247761580536999,10.925062082797982,0.25651997515689356,0.7628636319950651,0.610426180594904,3.3534319043069094,6.490237162822994,2.7278398969854507,5.137578014694848,1.9250113591373303,0.0,0.9418364494035595,3.843957141709088,3.635438723313771,2.1006166197988767,4.394574893189489
d4,0.0,0.2798653438276766,0.3487980264648089,0.0,0.0,0.0,0.0,0.0,1.1717945493818602,1.7728644151078339,0.0,0.0,0.0,0.4807423873614993,0.5538577349519964,0.0,0.259924526282553,0.4085129042957203,0.0,0.0,0.01590849344989962,6.495627862087396,12.586985473748893,0.0,1.3532840568843498,2.0831114724414777,0.0,0.0,0.018120900859974327,0.27970227201186165,0.593795010556117,0.806318300966774,0.33914801441288234,1.3524828847808545,3.0696987721787052,1.3605185124715413,2.5173366966305815,6.044927811410716,10.203511961242073,4.291680074435955,2.7365973581510747,5.659651337632485,0.5745673358882869,2.1295653758445217,6.865532946398585,8.426202957743106,7.950509199832369,11.543083613586472,31.32451533238533,12.97734398724501,0.7028533244367683,30.520535258690174,59.030640659479204,13.629181129089982,16.84259339540275,0.7916979107996214,1.3987636937156918,1.0339620221892927,4.67113088023975,8.905443476199332,4.047713839936802,8.202730841699712,3.385402056423518,0.22511461964374474,1.7772712390185315,6.935484776019505,5.992357643817709,3.432831125488536,7.249600626853918
d5,0.0,0.6361503880465926,0.9629876872833447,0.0,0.022187909853012822,0.0770420151991808,0.0,0.0,1.770508425822837,2.766856212571097,0.34190469281951746,0.24838112195485587,0.033872846058615305,0.8410508359326956,0.908192150767047,0.0,0.5483629504202623,0.9703578020236452,0.0,0.0,0.23966387027385164,9.535427381723098,18.012914141670407,0.1504970534787931,2.1664053379402866,3.6244269015081816,0.0,0.009335009533926167,0.23711367564789546,0.5647960066689703,1.243780162752092,1.4383530507387345,0.7011167870267336,2.1930024066481164,4.326828419644359,2.0944953209540977,3.838750709540272,7.8359552253175435,12.192722463825074,5.495251567925061,3.5424822723672547,7.326191898833878,1.1049275533149219,2.8234256384276226,8.884943893033908,11.804505738776884,9.920126113264462,13.607736251583823,34.79001650970666,17.83062335453979,1.2821722489695786,35.73268386333762,69.58545431702628,17.148847987344205,20.750866894399532,1.7798649336037284,2.2279266720903874,1.7524305731030325,5.979765689457767,11.443993963688541,6.549530466283326,12.074259950812422,4.821813206657802,0.5431868300168694,2.2041798110385447,9.385652092545477,8.445221375506742,4.944155589295657,9.8076308818023
d6,0.014987749753574205,1.190886184893965,1.564183624951159,0.0,0.15391399527915112,0.3454363522887202,0.0,0.08735460528641652,2.4155657669706576,3.854453485529992,0.6938479427774966,0.6547224263873079,0.12846679304340006,1.2764020968500016,1.493847789407132,0.0,0.9056658003638188,1.616352534313509,0.0,0.16628174749315405,0.4921978508652458,11.431632943641691,21.43034402434173,0.4812868114925303,3.506692229705432,4.860966420895482,0.0,0.15869235697917472,0.664129816279954,1.130030551690754,1.9113127085774257,2.3593781475926776,1.1749790329019172,3.0463955701933796,5.892215751145259,2.746141107893193,5.233323355612244,9.89488484876541,14.166391259964854,6.45435692167515,4.692684298149604,9.837490732383479,1.5095602090088573,3.603380792004876,10.886495874145668,14.288655848104959,12.42215133027424,16.009069612812553,39.00744117642715,22.305326520247995,1.870488040230003,38.9139029886603,76.1608033758071,21.037947830265814,24.461167235137967,2.813245299583712,3.3922291732093517,2.868017032901247,7.669029788601049,15.092664716428986,9.221164859449313,16.66855070060131,7.0568619778035035,0.9040659431619262,2.756743404024811,11.550815076279193,12.972117298775414,6.505846348982376,12.419076920348752
d7,0.14134659757966203,1.6838672292868528,2.5200315492423777,0.0,0.3036782800334705,0.6753726884215395,0.0,0.22222192766603716,3.2454493174571066,4.9988439688253505,1.2151701067362022,1.149180168167116,0.35616195633662456,1.8704999378822929,2.20904877822038,0.09936805139779863,1.322301040322609,2.276853246028436,0.043988378038050654,0.46557387222407665,0.9887066600016666,13.741012419254467,24.582985646132812,1.0055409394953765,5.064591220541083,6.318193406770943,0.0,0.3850181110143438,1.2170456790258435,1.7460599437651814,2.665253249292043,3.4908816767628514,1.9581080165592333,3.9138147170830178,7.782828426863831,4.123352465640564,7.7543374664342455,12.241236876311163,17.276404559886103,7.898358502341174,6.544326019052688,13.071491569334286,1.7397682196786584,5.189042555743629,14.429664069477134,16.82470500732819,14.895381892952113,16.869602971421937,43.988494783326935,27.773186763826722,2.93666693891201,42.528344731830735,82.34632615728111,22.211971786133397,26.73136621974431,4.023592079128088,4.732918803455954,4.872533262405253,10.581003929720296,19.755221575217593,11.632779062642303,18.401355861692004,8.244207838194843,1.3024704300814696,3.2187116403172173,13.438317579643591,15.533469713465344,8.91342164608566,15.02021311303291
d8,0.45234200920022,3.4573803700341528,3.6307618575356053,0.004817630215890034,0.6155815765035514,1.1949524720363058,0.02833988425872178,0.6837623628617743,4.391772066481224,6.9685298817750665,2.1948759243278975,1.800007714050193,0.6446003527762896,2.6458209465264906,3.0193753733272923,0.4053149649690363,1.9526196515501988,3.50695393974356,0.30481327933824715,1.3470529544407444,2.0393756254651803,16.354736799620035,28.57169263812327,1.7044327900951404,6.131571777672657,7.932643650994137,0.07918318241393166,0.8051628728728961,2.4414918802500094,3.312633436201753,3.5669562270455217,4.605174072979312,2.979941883190621,5.181735818029615,10.205446484177557,5.92884381960613,9.020562671571984,13.70448807064958,19.74252972277812,10.334258744590338,9.138978773294461,17.611737633891558,2.1465848977440056,7.10272214075047,18.633943625117627,21.02736641680349,17.739429424226103,21.480998670633035,46.89460657248601,32.40002498674092,4.782140163014616,47.08977472207612,89.02619256189067,24.75812036178327,30.319886744089608,6.623377014374863,7.232864761217662,7.780445084063519,14.886530837085665,22.898303050944712,14.098790770026525,24.911787425129525,11.266121366328584,2.0535744923818657,4.78530073356262,16.45033369393605,17.996018607408857,10.305706990077006,18.13611360438218
d9,1.9438123835834058,5.607539635125905,5.772404946732294,0.3838265989810645,0.9474923728015748,1.8078384952537008,1.3266221984897941,1.3346376016424404,5.244534606894653,9.242632943306607,4.151911684783471,2.600737371454887,1.1410475135232776,4.6803554602863935,4.6356538215240075,1.1700814321488373,2.981192740281312,4.413246864009501,0.6326659626157978,2.1129291382528153,4.329348929197851,18.54744294898779,31.44322265610154,3.354398482529645,8.812914514930501,10.778826900130571,0.6842378300749914,2.0974906123422814,4.229996618453543,4.856939609582834,5.703239739552141,6.117639193297709,3.6644870671738,7.346791267932305,13.975190936336912,8.409346357336897,11.73180063019834,18.1257695844741,23.991745470897428,12.749773391463734,15.254086325606771,26.802329649144866,3.7478262488380363,11.238223445419655,26.563449397536083,26.547575383510413,22.676803254223106,25.841404013735342,53.7455603565132,34.48149292355166,5.9220382449447575,53.767214853147976,100.18688684825368,35.15427144792723,32.35395034086808,7.738123961496191,9.13653717151599,11.949456652246868,20.313997690484577,28.849460308908547,15.796467957700393,35.593632648621295,23.094469937950986,3.7560023941483194,7.732272090925892,24.665738138494337,25.737806524929045,11.286958105975325,21.132213289363985
d10,3.8774064867651274,12.488570384539322,17.040657374258537,1.1168695731807006,1.6770749089816173,3.109922713869394,5.341877798518514,3.363975299330102,9.469500521348873,17.34665114396264,8.045802762274098,5.3696976008025805,5.8465193836633444,10.478164559787569,8.696196105049786,3.1737301999792837,4.797514729149585,7.170986823094636,2.0761310945354046,4.21430794143396,7.0290667156945235,24.21550020426234,47.74237014321977,6.8697196944593655,16.355471956822477,19.732219238056235,3.460383811820083,6.270892775203778,10.391426792030096,8.55361039718929,10.04584381815878,11.140180565870738,5.743232169388194,13.52254475604835,24.766071680678376,13.856535674455856,25.89900930194188,33.39335194718041,32.53272319600931,18.74179455311551,30.389404821629476,48.54800237204033,8.347386443596683,15.834868635357914,32.67151871639971,31.576649892672524,31.41050205369921,38.43462675055378,66.84857132535099,39.44001941311742,14.83615931317255,62.594155769594195,111.47222648047101,48.07839221833099,48.27730925341741,21.27781918523646,18.177322805315306,23.360505374331137,36.45268852771138,49.201111725966456,35.268781588827395,54.162737788802715,44.81519142991339,15.617706472653804,17.1080806026561,51.46431879684751,50.42587380255797,22.725412391361317,38.33309587478561
