decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.4119662317706826,0.46027304054507273,0.6982422132294663,0.7948058781051393,0.8441453289700118,0.9251267578857515,0.8808037771802817,0.8418167858204556,0.8502072737860208,0.8159077335357274,0.8710575793860701,0.9393225848815439,1.064091024327262,1.0863973798434088,1.129697952315929,1.1423583788264986,1.1301644307645515,1.2804515010648418,1.4808439588070053,1.491757942760426,1.7241406960392511,1.920327290955099,1.5248082894661228,2.4633922311281147,4.3399254130912235,6.122296674437578,8.075865684549447,8.080622423410162,8.200815334235644,8.660760741049064,8.702173234301302,9.18460770910996,9.693753691644538,9.788057331894116,9.80092388741302,9.744176559172953,9.976893176857947,10.18835361037236,10.356434540010468,10.373134598068306,10.524318343402754,10.61915278724462,10.731715914902946,9.723124051072377,7.61190092360565,6.857890896538782,4.214414990930292,4.492239968896826,4.463879908077602
d2,0.8871798568521734,1.1131089957266054,1.7777628494142501,1.8066815212070064,1.9272786869977003,2.0007722970017667,1.971308756362095,1.980752251873637,1.9314624771435591,1.9141319001362063,2.017981276231805,2.049638255369479,2.047624069963654,2.086519326288724,2.1885225196490325,2.2492647744410252,2.3742092270220123,2.5183004111139065,2.7824866109803956,2.7684290347279283,3.0622415800386538,3.362912641920732,2.975551836312141,4.064088366549737,6.418275397261109,8.576965657578462,12.240266414661896,12.240784705474177,12.466188841994825,13.113507016107445,13.224629679427116,13.623311245483364,14.068698929923958,14.089332331341652,14.16651825508873,14.416703758955526,14.836124572234487,15.031038936202,15.486611840626683,15.44635648670263,15.916167793557573,16.533607613509027,16.656195429972197,15.395542129613453,12.48721359910069,10.955676346421388,8.113185425895663,8.732517377729016,8.707260965078774
d3,1.2620190016042594,1.6010246729642414,2.5472630625321067,2.5711148707461167,2.8441048794243757,3.1155648922031194,3.1158873488696504,3.0983854166440583,2.979595555049875,2.9036013203831414,3.0664671302613513,3.2572156018026135,3.278118002511807,3.312121876632683,3.52045733625899,3.649397998405205,3.789968974831866,4.123023807834476,4.505876630456335,4.650249365888403,5.1749425998589995,5.412585227241786,4.556377801338591,6.08630995646123,9.425459883422295,11.649511108053748,15.171224774837736,15.209423570675025,15.61211879000614,16.374093062342716,16.49159652918253,16.878548625569646,17.469677486435447,17.53340079446665,17.617848180293237,18.081343461348162,18.593522092922665,18.41976309954908,18.41000288262531,18.520304526613273,19.428071959026283,19.71357268379045,19.766150124192244,18.35954816408141,15.15621577046307,13.40887547680809,10.80542519523048,11.933271757880293,11.760162608123736
d4,1.9654218722556962,2.3517508730176084,3.4501138490824923,3.5591909183412658,3.854297288088838,4.259998709449811,4.177082874450441,4.124076277941672,3.91570778589871,3.7978874408690837,4.018005329017606,4.248790658324438,4.291298110799249,4.326656616226255,4.505095909388123,4.664894975220709,4.925223785128642,5.337061066907511,6.145592259053094,6.460491871338739,6.934095989794186,7.4334882266030835,6.333438493905908,8.221696464734787,12.267009645408882,14.881577846172522,19.427998148420443,19.480986333539274,19.974749105016038,21.09427735942625,21.115513517237407,21.75098498761947,22.51626986536137,22.51348967735611,22.47788850734026,23.18382985248993,23.85660973501747,24.003548490959897,23.764186488309374,23.76848181896373,24.791093541836396,25.24122678217914,25.282878718897017,23.556730812698724,19.73921902686211,17.257152956549596,13.920683171844386,14.995020983642625,14.843672928650104
d5,2.3131668871726134,2.7979428790046974,4.058172741574347,4.187757064173292,4.528039760100707,4.903369129301417,4.807179850705683,4.793660217959018,4.591253473410038,4.401298921090043,4.6322726495076525,4.857195348394352,4.970013755207508,5.0472145983631815,5.240831903111778,5.473486400889556,5.753064848956424,6.177739895116359,7.049926025554832,7.508744534666505,8.010394841376854,8.521027953841411,7.405144344439977,9.362145993604173,13.475514897430298,16.180846802847753,21.516147279233696,21.583987724401155,22.12575459203833,23.22790230864847,23.39420476806326,24.027152063168717,24.816108796369782,24.933530066226687,24.908696121679693,25.23901536701866,25.855145839514165,25.932380513913493,25.74664036235627,25.863925406250374,26.976080635178512,27.518134075497073,27.537891679315905,25.615182989742372,21.4658282125287,18.898859973711623,14.77659001125764,16.000117234363653,15.909121210696867
d6,2.6734955042050084,3.209851279172104,4.592517135118677,4.864565998283911,5.193470925525604,5.532041594845143,5.411068399636004,5.45386455315682,5.289592312054395,5.009016971680785,5.282710644525278,5.562424352550183,5.646645336775283,5.688746171395092,5.950874993130906,6.180003722220712,6.5395955432969455,7.0045306306352995,8.121522269761797,8.552248513020311,9.204097972440291,10.050457822689609,8.764711748891001,10.560833849465894,14.353385166385296,17.141199457243918,22.023097923293825,22.064009955711978,22.650035899707014,23.735286183377916,23.874782814317463,24.395890531745458,25.184176307636793,25.226903546983657,25.068672698766154,25.871001581694713,26.643527088703266,26.68887128899331,26.51593514144991,26.520804008678518,27.927892066716836,28.562975770521923,28.546706345897036,26.529470287742626,22.303843220413082,19.27835570566608,16.037275260720996,17.1247407529512,17.18289414497692
d7,2.9460441482413153,3.527548035908179,4.970221631196607,5.208900623658426,5.857271755762456,6.508044692171902,6.451986839847857,6.418312823982868,6.134932893295835,5.74138117993215,5.94393319016406,6.327384546980648,6.512384193839905,6.594600599559653,6.859863615726536,7.1123011305190635,7.528745769941034,8.110363627284343,8.86198537660033,9.179011054677353,9.837770128152696,10.692163724254662,9.333881257947077,10.813444185612076,14.781505950276635,18.031066967742255,22.92440482563477,22.938717183288183,23.389729105148227,24.687009491216696,24.989889967849358,25.640827214602446,26.6468240872303,26.58418282150789,26.68179996320918,27.837015457996117,29.072174109402333,29.27704719662353,29.128623619726405,29.093960621852,30.465668905286677,30.938409123602888,30.998281909341053,29.223055561191003,24.734335033573146,22.074172398415172,18.03537075711348,19.149325620716027,18.885093409146638
d8,3.519602685441651,4.1358032080427884,5.989245836708992,6.091380602731856,6.484258056376207,7.0466611474276215,7.016491149259237,6.991503004016443,6.727158989267052,6.450066576674719,6.816984751332966,7.271818855796087,7.317451634310548,7.47707686044418,7.945813934993158,8.139845972714323,8.50653207157781,9.201082946339536,10.486713724867244,11.056542843694709,11.842401982661139,12.498911572657368,10.967945074541152,12.71622626301197,16.67756711518921,19.944727136054027,26.08172275274168,26.093045756029355,26.572187648747715,27.535926171207507,27.699570855707343,28.4546781048078,29.653434799348286,29.55678878036857,29.894289234903937,31.314698024965388,32.65043247629433,33.074236919858976,32.81014603796294,32.39609191111056,32.66728538276476,32.5327916808953,32.81723109018681,30.562091647191167,26.852617300914417,24.182869935978196,19.40554210562029,20.159045489118814,20.295275782702966
d9,4.528078599196996,5.364698501781541,7.432792032635638,7.703860029698779,8.133587251763505,8.643300810571812,8.487834130368697,8.6662405323891,8.621146018851,8.642780448634465,8.990359657751101,9.332869886233802,9.270384120295052,9.186777880948615,9.627663655728066,9.835450011714416,10.392244725166352,11.216433438847737,12.745636989126677,13.536918088515517,14.526027412501017,15.598947544734347,13.729039680753633,15.589527920402373,19.60156680567492,22.643021281282415,28.89099265949195,28.79079851032222,29.041651108549406,30.0522933145795,30.1070187422649,31.264289282760075,32.65231430922181,32.44987104306003,32.55599106377294,34.1116924633306,34.99936662680287,35.29005094312112,34.9201554389834,34.4560228488127,34.63898553363359,34.08103859327036,34.43579775038185,32.640063260796566,28.724066331649272,25.84221476126826,20.875821036065762,22.048823090764394,21.83119978419056
d10,5.012494118257139,5.736148646924341,7.8502004735668125,8.066123833980273,8.685678969227807,9.345825534385677,9.240381112813147,9.445014418086885,9.475460282810483,9.008549195786872,9.167761411219738,9.685977558261694,9.783709154056355,9.593127831705523,9.88145403205168,10.085424725882845,10.637949797695324,11.523853825586697,13.08202759377519,13.83520125548762,15.117894729381177,16.63074663226674,14.716179793921167,16.566312722187224,20.22037311205932,23.32004922599893,29.609333367249867,29.548984257481813,29.827706564638618,30.626367466191333,30.65623756070014,31.51232560210827,32.93369667386888,32.88868903424765,32.98407403276146,34.1116924633306,34.99936662680287,35.29005094312112,34.9201554389834,34.4560228488127,34.63898553363359,34.556682056018815,34.5086355084094,32.640063260796566,28.724066331649272,25.84221476126826,20.875821036065762,22.048823090764394,21.83119978419056
