decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.47623452958686596,0.6762519719059501,0.9987698906583578,1.0422273543400238,1.1199541270790432,1.2064095890157789,1.2064095890157789,1.2064095890157789,1.0901711458333847,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8639426289101699,0.8947267358435782,0.9795166945753768,1.0294002317781978,1.1466121194513843,1.4037681018320565,1.4486047928694965,1.6577659474543378,1.8661791373428556,1.4829976562038365,1.618512092936835,1.8557675994938072,2.0301410160225,2.36645227029244,2.631680896805539,3.858524205036068,5.195979539078504,5.236939609988069,6.294732925711699,8.49112485718752,9.082131241329535,9.567201289476012,9.57241184309713,9.59085471933695,9.309702378472643,9.21188035200612,9.512158078158631,9.618479853885999,9.812945294460933,9.99263613051662,9.908008682486015,9.633154394342544,9.522187116284645,9.357038053104862,9.353557502069048,8.887982246908118
d2,0.7339941088485017,1.0249155098185514,1.442709418583107,1.4980187117395038,1.6678653104066599,1.9006262356456085,1.9006262356456085,1.9072913584972015,1.722262116929848,1.4202575331602154,1.445354072122953,1.4686591613353435,1.4910639063222697,1.5032185413657695,1.5372276326315628,1.6324355734840958,1.7820519943496191,2.0524969656919625,2.3369981718864223,2.39449116095542,2.7598031646297088,3.249253725752699,2.634878187029009,2.7770764529140375,3.0054826364632192,3.2614771083532363,3.67080534101488,4.080367038112965,5.562576750582199,7.1406992916501135,7.174826776600568,8.226042439260073,10.360912155589439,10.943479846023685,11.387606331098596,11.370280952808073,11.368336668504675,11.130246039520006,11.010974957711799,11.37557026006899,11.617705218760607,11.816452365499678,12.006266420333592,11.812418071531278,11.501495988949713,11.296129197655063,11.217189126583655,11.302139446552655,10.581795339402683
d3,0.863197604629488,1.2573033584304119,1.8222086996572795,1.922271688845294,2.1800977231303778,2.3625662920244332,2.3625662920244332,2.3570273516986053,2.2109590309248346,1.7487701110456557,1.7939100858087702,1.8445933620791055,1.8756925725072557,1.8777724789996721,1.9214436539169886,2.102085511979451,2.292195792764705,2.5977097613590097,3.0901438760763864,3.2263431233779967,3.546479067607275,3.7994086633053836,3.101849481637806,3.1709717704455884,3.498118307227351,3.788518138592908,4.207283445497557,4.673772608485236,6.247011821230288,7.616836631190987,7.690973552654384,9.187262669428542,11.667272033411056,12.250767649837595,12.645548279393012,12.665565600513276,12.66328602565481,12.431946969421425,12.268581378023047,12.668628165268577,12.781257830495292,12.70304829903672,12.85264029138267,12.699400791293098,12.388789688223769,12.204574226523349,11.982178773652407,12.096043982915473,11.29525050576703
d4,1.0277943188991545,1.375726278675908,1.8841623731826802,1.9704486727025674,2.2530432307780925,2.507371203691056,2.507371203691056,2.4929525291015904,2.241477585506146,1.8460156765750209,1.9258502821420096,1.9697649943641493,1.9894910919433806,1.9707882665942007,2.0147236912312065,2.2004234772834184,2.4176310968066472,2.7516614439823046,3.330803497958282,3.438468380073591,3.775404039683755,4.235006913221598,3.6465374322602107,3.6853931106022872,3.790783768509182,3.932595659270376,4.363659098326872,4.851211849469137,6.386029961749847,8.068729938186253,8.163424353782803,9.477799778027673,12.385315660409816,13.075988374630503,13.71590631182486,13.65370487479613,13.578749978446666,13.251178630046379,13.021089763999553,13.463924417470416,13.681846427848757,14.027091137798573,14.239370812019288,14.084513745305305,13.728421882722948,13.519837404354561,13.282640373971576,13.192104543332917,12.422732967675392
d5,1.1576945208296632,1.535622027158864,2.066698720496592,2.123256003577462,2.319597101700699,2.5310055237792186,2.5310055237792186,2.5226873254441298,2.3428792135967242,2.0504122105457236,2.1024413137917826,2.125456030499414,2.144003134728183,2.14525848064227,2.18623073569505,2.607467017641067,2.8626660200078176,3.3101188500788474,4.002794333144527,4.1794580491633955,4.47932490492125,4.601371302426523,3.702451690043926,3.8066117157880965,4.058772187224724,4.4647780537225294,5.03205803735721,5.568333038569273,7.216191432185399,8.74085377431753,8.810321091589788,10.455481512206308,13.674977576080323,14.558279012519012,15.335283148977513,15.24609946648742,15.086703706728617,14.692376034641727,14.347258216089713,14.829451834617895,15.141857232870123,15.560908749450338,15.784420962111984,15.651794806910457,15.330145063912457,15.10027130289443,14.796302395519309,14.6688514700476,13.714560697290398
d6,1.2475626388345769,1.536521345118092,2.3693543959602428,2.3924749288951364,2.611677907597965,2.8203962889085505,2.8175485741684647,2.8106280794257543,2.6550411003883547,2.4120658762665226,2.493528992706737,2.554595482394308,2.554259329470366,2.549153018667321,2.6156003168742603,2.8366981471564365,3.354971955347615,3.916328707493508,4.717397604841043,4.9280743941121905,5.184022892752507,5.166174600167183,4.129079570939066,4.214011452136477,4.539676791719265,5.02885302651157,5.733512213261881,6.3779335119745415,8.122908582611599,9.411823983064455,9.501214213544973,11.370290321450398,14.853630097959034,15.865776444552335,16.62325439801277,16.370855811506306,16.021079503066023,15.458308148266834,15.159831502123517,15.835961877886602,16.21146197513842,16.954935236371956,17.302268709207503,17.162429207762983,16.836751965639316,16.375273125525823,15.906810447860972,15.978834635975815,15.205565240577123
d7,1.292147346916497,1.6475055091610527,2.784547412030383,2.8425615295788966,3.0413667272138376,3.228587280827826,3.228587280827826,3.2205331971526263,3.044937717010063,2.7849374137622833,2.941905214781027,3.0492316747117467,3.072502191038333,3.05567306012451,3.153861114757481,3.459403652616216,3.81817637948361,4.264877443037804,5.102234251227969,5.362056423655442,5.828616900999663,5.890379115316436,4.7238723605868085,4.833965424973625,5.205220653117003,5.782865537222127,6.3900709276832455,6.986538772264393,8.551304358969126,9.943812537435317,9.99483037781826,11.900067565232693,15.762236136516254,16.750498196393472,17.466144241024434,17.363122293723144,17.231877730830725,16.779881729948073,16.311924291458304,16.95314258677469,17.238637870826288,17.3458684284398,17.68307163820566,17.49565966927878,17.065725930102367,16.786424863857608,16.372816592676685,16.312461359054076,15.505412348001709
d8,1.4431592755841678,1.8504493753291547,3.0145844808487463,3.0655847724578598,3.296159316232344,3.5808141588646794,3.5808141588646794,3.5865947483169975,3.4159354732259297,3.1572188418300766,3.2826250814017577,3.414079198775364,3.446015316133721,3.4374764501100703,3.533468976075153,3.8260075364985733,4.1791484576400695,4.75435848192598,5.6628382890790085,5.948648171786221,6.240691769720869,6.483175558615986,5.413511894707826,5.476775345110015,5.766268488202632,6.407271432572346,7.071778959896985,7.669101173570857,9.624234243886416,11.05615481994088,11.056936573135378,13.040207626240804,16.997710119497846,18.090689537765854,18.843268930507403,18.547440963123268,18.131551335550824,17.37418996120502,16.857690190108958,17.381970494839944,17.78246017192897,18.55509552529361,18.977584918792797,18.875384295288157,18.49150121982524,18.04518278607196,17.46937745162574,17.45392653759949,16.514425848423418
d9,1.5324609296076743,2.1751703560885263,3.3282859548412542,3.4418685611246325,3.6677189829619277,3.8743490822171456,3.8738934639491305,3.8786927995770606,3.7123897239099843,3.498578191229331,3.6660220242172974,3.80940006989294,3.827702689289996,3.7906111717987496,3.882180932028582,4.223019368223788,4.59164836483922,5.146779498868639,6.108782947187757,6.655155396362121,6.885877695653712,6.785045523637904,5.920092861914403,6.085806739313118,6.400933312756628,6.9461365513782205,7.577976007654893,8.323515144635913,10.049752242128635,11.810066104644967,11.921913825216464,13.822174597680636,17.765387262897157,18.807532993798453,19.61072473133291,19.374253423639185,18.964201906246455,18.25473484553338,17.71755365612765,18.449003856198715,18.754304367423828,19.1631347694151,19.507273953854646,19.405678477140388,18.945301265337847,18.5952724678113,18.223250582183326,18.066432774140488,17.030501921099706
d10,1.8822908555635376,2.5600932576007365,4.048768782654191,4.161058440822799,4.549034827031992,4.878576812814691,4.878576812814691,4.87485344800456,4.723966439542106,4.428952770710367,4.557511111862007,4.7004268391551305,4.76386445351311,4.8494590171629035,5.021465904247293,5.416752473885024,5.726770006325581,6.243229871461496,7.256940061915473,7.481051820875509,7.766147384594685,7.633744290041223,6.312026862902402,6.3941048812598344,6.689352606040554,7.151208002683083,7.887772741413976,8.548077126069963,10.734054014746933,12.295763493876478,12.305459226206217,14.269784574613256,18.331704108996846,19.44203764281229,20.375518761842695,20.190097484248035,19.89988787304099,19.385700889337002,18.89868259523239,19.452028874188922,20.033111079520218,20.832965842667214,21.317766019383612,21.159796836633372,20.677285338409988,20.58336088273355,20.47590917743063,20.287595934579933,19.33608176515293
