decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,1.0486641969297146,1.1307282219592434,1.6262377565456667,1.6493288023494932,1.7602275227155895,1.918346228196783,1.9849250447236222,2.0108915133298195,1.9818690269767025,1.9695014649650429,1.9812307965869533,2.0108670660982857,2.01593265973836,2.063299633733899,2.163065664117107,2.3835589520716347,2.93415076130269,3.3096473568084877,3.76728582724576,3.887894777905119,4.28569292694931,4.5176143665707045,3.58417506054208,3.795605615267953,4.226838643884067,4.582894636005038,4.829380127240402,5.881514567856266,7.937231193015359,7.711106670568771,7.786070446543372,8.613350001938494,11.040306932271385,12.380701777982335,13.166394737395514,13.19904632309374,13.261330410017434,13.165115039866183,13.371822014929588,13.944033997911568,13.893830335057554,13.271460114314989,14.51492844258792,14.580991113737415,14.857257340062985,15.818074682640137,16.7361563026785,15.729223351412493,14.40698933788913
d2,2.2859473028659063,2.560578956211777,3.4571067862057605,3.658468878014993,4.0845625541008665,4.684639198804907,4.571555901428468,4.582244081037154,4.6305271584120336,4.627136321899846,4.688080534729309,4.5814635733142,4.724968560194898,5.200963150420661,5.7588672845568665,5.920077193315226,6.705802269989485,7.374802671204435,8.545529277491475,8.946730850250045,9.62128091280172,10.225442829452957,8.87299317346186,8.945185280439283,9.160402484742363,9.822201452159184,10.220319329493545,11.676313684506633,14.14326654666639,15.590082144621551,16.01374184187155,17.91505959718161,22.178736005800534,23.638990204419827,24.948813301772397,25.23033014160041,24.604848039415245,24.03501807158161,24.315513821208548,25.786204223140306,25.517832053469476,26.32315017972842,28.127791443739298,28.084226827150168,27.66541311147627,28.684086396526517,30.360336199904822,29.647320880231696,27.17355067510858
d3,2.8410896587753327,3.296667242825044,4.007143716357911,4.0132875638850285,4.285759435770662,4.737828533975087,4.599758048353971,4.582244081037154,4.6305271584120336,4.627136321899846,4.688080534729309,4.5814635733142,4.724968560194898,5.200963150420661,6.0113169246191145,6.142626629414693,6.705802269989485,7.8240239411125625,8.756092905897987,8.96323247924535,9.62128091280172,10.225442829452957,9.504329063186788,10.133749942597163,10.920216960528528,11.636612474516514,12.383962822404392,13.961556120423896,16.687574016961506,17.641457337587777,18.098103316268798,20.235133829187063,24.597068530527388,26.16874730147024,27.410978905583555,27.627866350403096,27.848078326102744,27.858124025843665,28.037874667975967,28.886241624803226,28.57559046782954,28.645257997981016,29.78438082077617,29.804643127858675,29.33579398935443,29.972121463764044,31.220578560105828,30.463459033293887,29.20795874371406
d4,2.8410896587753327,3.296667242825044,4.007143716357911,4.0132875638850285,4.285759435770662,4.737828533975087,4.599758048353971,4.582244081037154,4.6305271584120336,4.627136321899846,4.688080534729309,4.5814635733142,4.724968560194898,5.200963150420661,6.0113169246191145,6.142626629414693,6.705802269989485,7.8240239411125625,8.756092905897987,8.96323247924535,9.62128091280172,10.225442829452957,9.504329063186788,10.133749942597163,10.920216960528528,11.636612474516514,12.383962822404392,13.961556120423896,16.687574016961506,17.641457337587777,18.098103316268798,20.235133829187063,24.597068530527388,26.16874730147024,27.410978905583555,27.627866350403096,27.848078326102744,27.858124025843665,28.037874667975967,28.886241624803226,28.57559046782954,28.645257997981016,29.78438082077617,29.804643127858675,29.33579398935443,29.972121463764044,31.220578560105828,30.463459033293887,29.20795874371406
d5,2.9438703643435638,3.6062490457829433,4.819591252128272,4.996558218736501,5.434494546853571,5.992115709833762,6.089832710746288,6.049177013237094,6.138928861968665,5.990752303475751,5.891128416162799,6.081673469043102,5.97925955546177,6.146723420517885,6.671046210304066,7.0913572603583725,8.149485190626057,9.11189547840478,10.27893372677081,10.68844973703209,11.50182012576935,12.089925348100271,10.973929499683809,11.481257367650112,11.962862824979046,12.221606602695385,12.727333432440679,14.392417330028202,17.43230362165514,19.175541843381904,19.48883127475412,21.60864408555009,26.749569637051117,28.38659464278605,29.23105655350826,29.518904941989753,29.336782052031175,29.090437809428348,29.169799604679692,30.452438740730425,30.18272675027017,30.29520860793417,31.88988099265516,31.943256201814414,31.71060057432844,32.598521901178046,33.725174969084385,32.78424885681184,30.85178590458201
d6,4.261809138545598,4.719370924650775,5.894737941168119,6.198906209016345,6.748908180416601,7.856750278578912,7.7447262063873925,7.936519759757917,8.19931915596935,8.125522073404676,8.00699579750166,8.056507904697451,7.877083226102192,7.959074650773893,8.672593575614362,8.952926351899018,9.78304585606446,11.138681582039139,12.055964451419786,12.470896086274935,13.737312492509567,15.079513943405573,13.97379570483223,14.609152315995994,15.57308000698373,16.12135296063148,16.885539607213204,18.464871892534457,21.523573774216892,22.826513497771867,23.213016792448038,25.50284575018,30.63587921484408,32.005265207005266,32.75991502860714,33.43329333306609,32.87484199051489,33.06089476492306,34.47770706714299,35.55380649871892,34.9893799884059,34.61187932808216,36.03642647197999,36.055965067128874,35.088791954492564,36.51310637485648,38.19670432558229,37.05128757078356,35.5745710049817
d7,5.79261018294395,6.145696091189899,7.6731564521603275,7.965133352591587,8.910114635774827,9.890846655980818,9.870440594424696,9.820399242469456,9.6561852775714,9.754272492793842,9.873924956332496,10.096698257110537,9.779385778188244,9.499085610028231,10.07929574497695,10.631786753724311,11.650816896565503,12.979404905292892,14.78093676506826,15.243383846753467,16.500584371473458,17.62578043008067,16.119031159777403,17.10496016454843,17.897534606860912,18.788044035721,20.204126757786412,21.830121485991704,24.54609965707104,26.31160936905639,27.105278131334764,29.333906646544563,34.88473511349355,36.834497989191746,38.12800182312563,39.120881203129485,39.06776627776941,38.32405625532136,39.41783781823813,42.18930585416273,42.477825934134984,42.45541130494566,44.849548805311855,44.90206904142642,44.086416741255555,45.50972618812867,46.904894719773175,47.117506329771096,45.7051802086474
d8,6.11900772207544,7.769686550414471,9.251867646595993,9.399171524436367,10.37196574322966,11.433217329089565,11.52023466935257,12.168798724019897,12.384148460727346,12.259939156753678,11.951898834319394,12.205518582483956,12.189695657000867,12.360471712073975,13.172022067112678,13.836562282938232,14.994272312932482,16.85275706608678,18.40724569766403,18.44902673666642,19.547928747602786,19.732943308505142,16.819474827593353,17.64005030828312,18.709915583668682,18.84285213290567,20.213002005563986,21.830121485991704,24.915402753646305,26.43670585052989,27.105278131334764,29.863676029090556,34.88473511349355,36.94626573959003,38.171203694685815,39.35517939464072,39.31687592216862,39.0489737629799,40.44735797504113,43.60056442332997,44.168923867547676,44.707157428724585,46.95614877623642,46.88465604720194,45.96572468106196,47.08939557195054,48.74329564811046,48.97533589775682,48.71676643916777
d9,7.28602510471525,7.789647061667176,10.863730235405622,11.248916801886558,12.17833565054491,13.714699291709543,13.931143580812641,14.325552984721291,14.761350347566104,14.836015200271955,14.553791447059979,14.708077567992934,14.550500374760635,14.60127266554169,15.261703882499162,15.944230456322959,16.95744185001489,18.084445374569274,19.29601951223684,19.207454157536485,19.774907327213008,21.400772834386963,19.561659835721894,20.2301939376588,21.053797234233464,21.574664158936393,23.11644948037243,24.819669765361414,28.247754216394114,30.362512916240032,30.943114822590523,33.590784853367815,39.138031209942284,40.79684930271699,41.651111723314685,43.12413562483736,43.46528714924366,42.946342866959384,43.78503597231173,47.005663914591636,46.91522041218637,46.69225335760974,49.30884299309846,49.20400828807999,48.08257557024254,50.220002941145495,51.93711006711162,51.80985735579601,50.124605355213006
d10,10.528869290909956,10.714806730263923,12.425729756521235,12.793829721330258,13.728146958231886,14.994279173286422,14.83331509937246,15.167343173174473,15.56421304238508,15.025784130261167,14.670001331590967,15.164184764259353,15.239987721565726,15.089651457491623,16.390528272260262,17.51550885742455,19.060335456995173,21.619448322117094,23.975629015786268,24.406387037458686,25.77339020705758,27.243739770363735,25.188985016407877,26.68013368721104,27.43528719606547,27.01766304038791,28.402132812111454,29.738869043426313,32.24715066697701,34.33396104259376,35.109518256605526,37.96189391895142,43.32792540950744,45.77090577156318,48.81521611023804,50.35079520630461,50.70671799551329,50.99479790406167,52.74745206326617,55.28339801182145,54.95531670446951,54.5979074213343,57.5026879539201,57.54760238989465,56.76416334941628,58.26724622888514,59.990686675778065,60.52388165606456,60.44096376639912
