decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.47623452958686596,0.6762519719059501,0.9987698906583578,1.0422273543400238,1.1199541270790432,1.2064095890157789,1.2064095890157789,1.2064095890157789,1.0901711458333847,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8639426289101699,0.8947267358435782,0.9795166945753768,1.0294002317781978,1.1466121194513843,1.4037681018320565,1.4486047928694965,1.6577659474543378,2.28251320363696,3.2119523436158524,4.256945451791027,4.4506951202297,4.523941399923254,4.622272708488728,4.743510243798168,4.979314312581649,5.413027459478993,6.676523147175206,8.188302855351838,9.004959604583046,9.819633433151296,9.86688203163641,9.894475142958493,9.948879231827323,10.145148441542762,10.390715484519536,11.123580717280353,11.83847993683776,11.069465560639276,10.428841462734482,10.518808387382606,11.115229099384253,11.905033887549553,12.66699606747061,13.833809596824294,14.595872176322377
d2,0.7339941088485017,1.0249155098185514,1.442709418583107,1.4980187117395038,1.6678653104066599,1.9006262356456085,1.9006262356456085,1.9072913584972015,1.722262116929848,1.4202575331602154,1.445354072122953,1.4686591613353435,1.4910639063222697,1.5032185413657695,1.5372276326315628,1.6324355734840958,1.7820519943496191,2.0524969656919625,2.3369981718864223,2.39449116095542,2.7598031646297088,3.770133863860919,4.618884422525065,5.951004705701177,6.248646742277254,6.419176406460419,6.597769174260726,6.774532313419664,7.1711771093326515,7.742295024589011,9.324362030697543,11.422401882308861,12.451766384143033,13.394275967260366,13.417074850503916,13.476499180751983,13.42896257092797,13.729584137810601,14.40442917937948,15.09888159004009,15.857971243434871,14.829863358249355,14.226916463582043,14.756112371501228,15.612710826321639,16.318726426311873,17.077122542093285,18.32857126134105,19.183970387611687
d3,0.863197604629488,1.2573033584304119,1.8222086996572795,1.922271688845294,2.1800977231303778,2.3625662920244332,2.3625662920244332,2.3570273516986053,2.2109590309248346,1.7487701110456557,1.7939100858087702,1.8445933620791055,1.8756925725072557,1.8777724789996721,1.9214436539169886,2.102085511979451,2.292195792764705,2.5977097613590097,3.0901438760763864,3.2263431233779967,3.546479067607275,4.30208654261671,5.0780529442738125,6.411737756528936,6.701906670163238,6.940382689376645,7.1073249022182585,7.240822099460132,7.60201858243718,8.163930199064298,9.703773142066805,11.665912618461622,12.824438540988812,13.890779292896429,14.20713813670482,14.24859761612695,14.127523392877949,14.383665369512215,14.933839949774605,15.868963107424486,16.6873120229207,15.885613133432347,15.229267142808347,15.8418227718264,16.57827285201736,17.125521753447757,18.014437136762652,19.35695828713189,20.101500287773174
d4,1.0277943188991545,1.375726278675908,1.8841623731826802,1.9704486727025674,2.2530432307780925,2.507371203691056,2.507371203691056,2.4929525291015904,2.241477585506146,1.8460156765750209,1.9258502821420096,1.9697649943641493,1.9894910919433806,1.9707882665942007,2.0147236912312065,2.2004234772834184,2.4176310968066472,2.7516614439823046,3.330803497958282,3.438468380073591,3.775404039683755,4.772574651929691,5.520785301734536,6.923590942159897,7.033203953881165,7.0913860072470705,7.366607394786496,7.556734982797099,8.045860393529203,8.615190772581464,10.14978855727685,12.375804299285175,13.639859251332222,14.773567442008565,15.216917082006432,15.257671729899673,15.135781790266114,15.447567204305091,16.076666393261913,17.011680758293508,17.942924210198086,17.556633846944123,16.980393887510132,17.42978331249187,18.174756649529783,18.80368226880162,19.565354293483313,21.013007635010823,21.94524671422029
d5,1.1576945208296632,1.535622027158864,2.066698720496592,2.123256003577462,2.319597101700699,2.5310055237792186,2.5310055237792186,2.5226873254441298,2.3428792135967242,2.0504122105457236,2.1024413137917826,2.125456030499414,2.144003134728183,2.14525848064227,2.18623073569505,2.607467017641067,2.8626660200078176,3.3101188500788474,4.002794333144527,4.1794580491633955,4.47932490492125,5.06593959810346,5.7918988814308,7.067324300979753,7.494677509022393,7.766957011515618,8.016839879673077,8.26781939540101,8.8023992441532,9.29088185777057,10.891836183875984,13.343267399098039,14.842468984534129,15.758722870941668,16.284297114154292,16.338639386373657,16.19404765595339,16.656338220184256,17.265650067222897,18.442573320250276,19.50651544031162,19.095251385101804,18.588346790840532,19.051452722671705,19.797698141451402,20.44172095658897,21.3358566384678,22.961892789866546,23.744593826330984
d6,1.2475626388345769,1.536521345118092,2.3693543959602428,2.3924749288951364,2.611677907597965,2.8203962889085505,2.8175485741684647,2.8106280794257543,2.6550411003883547,2.4120658762665226,2.493528992706737,2.554595482394308,2.554259329470366,2.549153018667321,2.6156003168742603,2.8366981471564365,3.354971955347615,3.916328707493508,4.717397604841043,4.9280743941121905,5.184022892752507,5.579464610162116,6.1099584790236445,7.689242059484716,8.297487483139733,8.666287170132625,8.98459622802654,9.212170780551237,9.81583492921204,10.433541146773349,12.206086215421962,14.862131463743244,16.51699514136131,17.238200368201458,17.830631391551368,17.949352064562717,17.738707609302296,17.824571057061966,18.270662442269085,19.393882673930676,20.52401975360724,19.88541222342932,19.40395384958521,19.912588260145846,20.69331153958246,21.39479354089617,22.166272150644357,23.65588061942001,24.56410372810967
d7,1.292147346916497,1.6475055091610527,2.784547412030383,2.8425615295788966,3.0413667272138376,3.228587280827826,3.228587280827826,3.2205331971526263,3.044937717010063,2.7849374137622833,2.941905214781027,3.0492316747117467,3.072502191038333,3.05567306012451,3.153861114757481,3.459403652616216,3.81817637948361,4.264877443037804,5.102234251227969,5.362056423655442,5.828616900999663,6.236730619926364,6.502491631721856,8.154348664687397,8.88720140194835,9.202406343515007,9.725465690790644,10.007148338609431,10.551685545906938,11.023401455546775,12.789930654802653,15.585691005518036,17.01775962341484,17.98037699444936,18.374355685305993,18.300178742612264,17.97641982611676,18.072388798279828,18.897579298771632,19.987607258443518,21.014343976102605,20.934318219165007,20.372506334084306,20.72671263854329,21.457926969955974,22.14172458919089,23.086522131102896,24.690924021235475,25.383563772888508
d8,1.4431592755841678,1.8504493753291547,3.0145844808487463,3.0655847724578598,3.296159316232344,3.5808141588646794,3.5808141588646794,3.5865947483169975,3.4159354732259297,3.1572188418300766,3.2826250814017577,3.414079198775364,3.446015316133721,3.4374764501100703,3.533468976075153,3.8260075364985733,4.1791484576400695,4.75435848192598,5.6628382890790085,5.948648171786221,6.240691769720869,6.874565017758937,7.498654370278373,9.166778136389437,9.84827617398864,10.095496856239174,10.301395195665364,10.463208676903454,10.849256587152574,11.418607288391627,13.154976804175753,15.637278440008785,17.217911550777536,18.07419162263787,18.545622388454646,18.642155142135394,18.46775882520709,18.743079503158622,19.761786889897195,21.01995096341783,22.13324855497678,21.802820799114553,21.30203826699423,21.791781580743276,22.58966623430734,23.252672401243153,24.007964791206078,25.699098957428323,26.600114911618245
d9,1.5324609296076743,2.1751703560885263,3.3282859548412542,3.4418685611246325,3.6677189829619277,3.8743490822171456,3.8738934639491305,3.8786927995770606,3.7123897239099843,3.498578191229331,3.6660220242172974,3.80940006989294,3.827702689289996,3.7906111717987496,3.882180932028582,4.223019368223788,4.59164836483922,5.146779498868639,6.108782947187757,6.655155396362121,6.885877695653712,7.179111747499194,7.768410283802885,9.412113664296763,10.025404063031228,10.225745579829054,10.544013293849185,10.811032592883738,11.451644047961913,12.06621221607519,13.856286760971816,16.82393678188889,18.385420675128557,19.283296058010315,19.760945746957333,19.997728300222967,19.99163296789966,20.16831683956662,21.23492764264638,22.883192528279004,23.979116121211046,23.601302511225754,23.148770826920586,23.855551262248515,24.59395667107328,24.9945559171007,25.768832384817284,27.684531004532126,28.797190670077022
d10,1.8822908555635376,2.5600932576007365,4.048768782654191,4.161058440822799,4.549034827031992,4.878576812814691,4.878576812814691,4.87485344800456,4.723966439542106,4.428952770710367,4.557511111862007,4.7004268391551305,4.76386445351311,4.8494590171629035,5.021465904247293,5.416752473885024,5.726770006325581,6.243229871461496,7.256940061915473,7.481051820875509,7.766147384594685,8.143826177682906,8.551997148339845,10.417670570672495,11.467096827472483,11.858428677708487,12.54645124327308,12.863838119057519,13.515197820783058,14.23012442880691,16.297679798090563,19.299204425294995,21.246976575192935,22.22201712815025,22.824682647763034,22.92136645304763,22.652408995022835,22.97640506752702,24.756168120344547,26.569806506087886,27.624574394338275,27.45326149365833,26.844022709017572,27.495123944103568,28.18301253454321,28.771453473449988,29.75746051672789,31.78855761071113,33.442146551746156
