decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.005946457618870226,0.02034187896417912,0.02970601820269221,0.04201437781590159,0.03761248278578118,0.04808331702436579,0.04808331702436579,0.04808331702436579,0.04808331702436579,0.04808331702436579,0.04808331702436579,0.04808331702436579,0.04808331702436579,0.06278216899036791,0.08757170222426511,0.10524151130645017,0.105801810269557,0.15526093931593227,0.2519653375388424,0.3797136382010649,0.4594667351671094,0.4970248823192578,0.5389306306493747,0.7346692797729648,0.8024849025131775,0.8199600065332087,0.8502960667430632,0.8502960667430632,0.9146408528902139,1.0373184595644478,1.0988039792693451,1.162746318866551,1.1984536937839385,1.204963415557823,1.197215117091329,1.1725425028634653,1.1725425028634653,1.1897505103706143,1.1005976452804505,1.0116567266970993,0.9670462782678364,0.8453156234743429,0.8514440119326079,0.9787981321492565,1.274557434484616,1.3680208892823238,1.3401883139404356,1.3441016816417015,1.365564870689915
d2,0.13517202476470605,0.2180679297573916,0.36486590937139207,0.36486590937139207,0.38183754379133505,0.38271684901262476,0.38271684901262476,0.3821762827687698,0.34501051891579043,0.2509149534076839,0.2509149534076839,0.2512611393689593,0.2512611393689593,0.2785813351991462,0.3126943796206403,0.3305728524046575,0.37598690904575305,0.5016623514963374,0.8310768381665441,0.9817680097326047,1.0871145820530643,1.1801252617533615,1.1459001258588766,1.5808651928656174,1.7643151984360976,1.8200228313063431,1.8694902242591707,1.8694902242591707,2.0367263250685474,2.361361108992632,2.5288103577274494,2.830855368322655,2.8930252896843522,2.8778606261473567,2.8636900680580335,2.857874122842184,2.8145583900245246,2.798687689421648,2.6760626514819013,2.45613992922481,2.415275686969236,2.302158512424544,2.281616052281345,2.389672457492004,2.76511521752541,2.90420014526847,2.779770320584149,2.814327137772062,2.8227740215903885
d3,0.2321477750125527,0.3880085708770835,0.6153590316722076,0.6175066457781622,0.6294550284171565,0.6508567517597288,0.6508567517597288,0.6463070073968974,0.6069276521070182,0.522655153660453,0.5438462591459505,0.5613277890907895,0.5797361623133748,0.6543362457056783,0.7288027283750561,0.7360771105813293,0.7660445003148735,0.9499799527248672,1.3507916085381568,1.6757244091612158,1.7379890732965164,1.7879484302784971,1.7990965089419877,2.323203828867607,2.4771013456612674,2.5770997243918536,2.7595673003232903,2.7595673003232903,2.87577718152052,3.256613723721026,3.3404117133291056,3.689134151359965,3.7542224498958525,3.7265481275288113,3.7342282462405274,3.7117231314512207,3.6651456976131285,3.638907111244264,3.646547876991564,3.5610682262129707,3.5623332176479723,3.298142304291262,3.256954024080377,3.6335310151643445,4.1089916726832065,4.231054907037325,4.015308436803934,4.022558165695158,4.002262604647437
d4,0.32550438572491186,0.6133170945866312,1.1188444604796612,1.1176769858602273,1.159436224723158,1.226060811579313,1.226060811579313,1.238491036221169,1.1952547664829176,1.138864470690002,1.1674536927847057,1.19129519343753,1.2300715859344682,1.3816464478851558,1.5779944464250133,1.6076769231647323,1.7471995605064297,2.0230787759123983,2.464804000030724,2.633142490278397,2.7440833142671623,2.644146011222638,2.5720078294068243,3.5218711158431826,3.698125629124241,3.895158531893718,4.414836921525354,4.420252106984815,4.715537507075467,5.281091203329899,5.341949899116424,5.651526442523359,5.6765060275970995,5.68587658266791,5.622405094897402,5.5127271236382756,5.4220095471748815,5.653377091135276,5.951552346555402,5.880625136290867,5.798482440225655,5.646016867857338,5.233173592940267,5.0859527908772675,5.776251950005944,5.6717730099068495,5.324954867489018,5.462923530410659,5.442462768081553
d5,0.501486047613341,0.9296807105196361,1.6755808866960593,1.6790176343943317,1.7339283634453269,1.870044384612496,1.870044384612496,1.8742618909654065,1.8198340255352439,1.7803439294023526,1.795143372766239,1.8744251524855495,1.9252438035565187,2.00298935513281,2.249319296482793,2.3060510009844264,2.4089293825670652,2.6646555413240116,3.280223707248023,3.5233682841821437,3.6540476235255177,3.5455914556180126,3.3261566060446768,4.459260784782604,4.723956357820654,4.963573853813623,5.430598152535194,5.435777530577921,5.828210708675984,6.48100764477692,6.555898004128864,6.853900527036569,6.9570094099666235,6.997956968244051,6.827196330798374,6.729770055597145,6.553408261309343,6.795772586690561,7.194113021321796,7.306080838405512,7.227520552737683,6.992196073173837,6.621532567618789,6.08278265576808,6.723253511426789,6.933927527725946,6.68836503786745,6.807940076065977,6.856400119491316
d6,0.7743171650118261,1.2175182451945876,2.070923778803564,2.071183084623951,2.156094666156221,2.2691794430341767,2.2691794430341767,2.2831942993610514,2.2507078196081527,2.230539718129661,2.265552989779503,2.297144389032091,2.3352306466387684,2.4803025506270533,2.722117620306194,2.81507986817098,2.9657378920791553,3.3255015724332626,3.933774635953024,4.156715495821753,4.360744223278202,4.223512504192517,4.023259643532178,5.328350757811104,5.61520572743369,5.9356579301902705,6.502475136338237,6.505511622300398,6.906960326069069,7.638262154496065,7.651421185618189,8.122719071930854,8.219462191763373,8.21463242043019,8.254112172409675,8.201054622393082,8.016769243637462,8.119367886746083,8.952209427133015,8.964248986423272,8.94292543880304,8.773949352379994,8.419473446094212,8.008990168898437,8.810030989147059,8.9148525293183,8.428472814585048,8.718885610381475,8.843830572871497
d7,1.0068282953234076,1.5262968915277162,2.5368343962555637,2.5368343962555637,2.6652387632519168,2.9216753632201953,2.9216753632201953,2.9289077045642413,2.890390282477897,2.8047072935952158,2.8595836477324905,2.9398728594252166,2.9774809488972784,3.121508156593496,3.406869298867459,3.5392603515203502,3.8016165574394267,4.178125870356629,4.9039367862691385,5.339206887098073,5.491753041045615,5.320750983067879,5.0393743843228584,6.429280443114947,6.627667632189523,7.055698277178033,7.834311317943703,7.892248984664745,8.434551233776686,9.354873621747144,9.494171011537313,9.7546569238874,9.842858944542058,9.872293172009158,9.742914325456155,9.540077164275296,9.213722445668918,9.334484714804141,9.994313517518282,9.874802117645348,9.906402820639851,9.703721810748078,9.395442681092039,9.30095645260472,10.258435351170863,10.47028180551144,10.084362696949679,10.481647889175484,10.548879948048716
d8,1.5181088085876002,2.262443582757614,3.279347458470737,3.373070361736163,3.7247433730407824,3.974705395025677,3.974705395025677,3.994183011144775,3.9164871751011177,3.6852700415520356,3.722551551177922,3.8628098691243777,4.007797462386744,4.194960207126158,4.511220448587337,4.831917918090816,5.103679521512516,5.491342783043407,6.179460257792297,6.602923206967796,6.752921909005927,6.5469268680722195,6.115099016795099,7.659189237299453,8.0958315461935,8.239369816954966,8.917645082474495,8.971668281353434,9.517898991332256,10.345222728576552,10.703861445989382,11.279676055778609,11.53038045600014,11.384957605784694,11.271818173024135,11.202603240398577,10.80074978815587,10.813513382892037,11.793766805685332,11.652346478605375,11.729222763426664,11.495718131042523,11.140295934679639,11.03069774823054,12.051816416135718,12.405466586062571,11.81679519462265,12.157569664421192,12.31783596591288
d9,2.0965813298810194,2.9819017923693627,4.4268844143045465,4.4884860100841495,4.764285520142605,5.164420275299038,5.164420275299038,5.164420275299038,4.994866115233132,4.687324846939243,4.785214342368331,4.912751626039229,4.965120117174489,5.09165117644886,5.736221218237382,5.76264167863175,6.127224846551708,6.665489588246766,7.7815820119121,8.216948096532299,8.438629070721774,8.212186493401846,8.10067551200699,9.841029350972974,9.947497446540783,10.423957279048798,11.525435860878918,11.561657764632429,12.081398564355252,12.901651863540902,13.227283020065244,13.898184190176355,14.006612141137166,13.949192739140603,13.823873785475776,13.728061843930067,13.311494918582643,13.157805965873967,14.861680740861793,14.54844507056221,14.679616482962626,13.858184119066443,13.443855490639903,13.489280258920903,14.601881782874788,14.997582818381998,14.764004754798282,15.679201572342505,16.151871091246186
d10,4.593491309002919,5.418611702917483,6.737198081740161,6.802991906246826,7.022115574287765,7.292332090700009,7.297949314191543,7.301319200399302,7.005062742868762,6.368526994060538,6.214214609201523,6.18231418380083,6.311688052587835,6.140382491717898,6.162372956609408,6.2641953749082955,6.475347772029415,7.236975464478648,8.173273214190885,8.726220899288986,8.966702391493817,9.048880617358982,8.762541947579681,10.661400382715662,11.075411653911344,11.400591364006145,12.810770605215247,12.864952273444384,13.535830966193156,14.705737986927334,14.682166113067373,15.4806743244388,15.841750159055497,15.675146347112708,15.204086700081087,15.095307869899194,14.734760537145455,15.352387474115433,16.594410396346362,16.207399929802968,16.345249400254342,15.33230047538623,14.904211413210666,14.998964576832764,16.233035128236025,16.742132373978468,16.61568751678707,17.68793800352726,18.33691702641267
