decile,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.47623452958686596,0.6762519719059501,0.9987698906583578,1.0422273543400238,1.1199541270790432,1.2064095890157789,1.2064095890157789,1.2064095890157789,1.0901711458333847,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8645318149499135,0.8639426289101699,0.8947267358435782,0.9795166945753768,1.0294002317781978,1.1466121194513843,1.4037681018320565,1.4486047928694965,1.6577659474543378,1.9875481942492101,2.166017628185531,2.9255102694434187,2.9899732897518065,2.9455842373290677,3.114821364899825,3.114821364899825,3.2709622455087266,3.5370290918349383,3.7545442482211997,4.145769720427643,4.2934886298656005,4.3392507363939945,4.331168730703307,4.2661920419308785,4.215856855639977,4.252932026421361,4.268572822210988,4.506882605828798,4.741011355828229,4.186342956454853,3.9171088091716615,3.8729744981455925,4.812037857408757,5.455451188027653,5.501683318010964,5.832663070073952,6.008200288568695
d2,0.7339941088485017,1.0249155098185514,1.442709418583107,1.4980187117395038,1.6678653104066599,1.9006262356456085,1.9006262356456085,1.9072913584972015,1.722262116929848,1.4202575331602154,1.445354072122953,1.4686591613353435,1.4910639063222697,1.5032185413657695,1.5372276326315628,1.6324355734840958,1.7820519943496191,2.0524969656919625,2.3369981718864223,2.39449116095542,2.7598031646297088,3.4359563590032955,3.5013749639213043,4.5879595696960855,4.724442491350371,4.82357390035263,5.005375932708889,5.020435179902716,5.308803569236919,5.727114846242061,6.002579788535824,6.620368147721397,6.895725422714711,6.991752866272882,7.004883289466401,6.923206211308769,6.756974717176763,6.733033214981326,6.8312568102558515,7.233411083197881,7.545586769222362,6.891956568094612,6.555968091537112,6.688226002785623,7.422810830611182,7.910667066710872,8.034261485571617,8.76449386199859,9.034067512501773
d3,0.863197604629488,1.2573033584304119,1.8222086996572795,1.922271688845294,2.1800977231303778,2.3625662920244332,2.3625662920244332,2.3570273516986053,2.2109590309248346,1.7487701110456557,1.7939100858087702,1.8445933620791055,1.8756925725072557,1.8777724789996721,1.9214436539169886,2.102085511979451,2.292195792764705,2.5977097613590097,3.0901438760763864,3.2263431233779967,3.546479067607275,3.958328629399915,4.0380318609082275,5.034889941885076,5.274932363884629,5.341971304039617,5.579264655979931,5.598508078465581,5.917767365344297,6.5953077616111955,6.831036132012831,7.3773644702969285,7.724087321401953,7.866090891833885,7.864013464004868,7.708486201882563,7.476576538457616,7.425258241133332,7.40782841797549,7.8177722716088525,8.278316160536136,7.412158216258583,7.028409951940384,7.238729948613569,7.914888126035321,8.38803336265986,8.579783010496586,9.383542991305575,9.557733903019628
d4,1.0277943188991545,1.375726278675908,1.8841623731826802,1.9704486727025674,2.2530432307780925,2.507371203691056,2.507371203691056,2.4929525291015904,2.241477585506146,1.8460156765750209,1.9258502821420096,1.9697649943641493,1.9894910919433806,1.9707882665942007,2.0147236912312065,2.2004234772834184,2.4176310968066472,2.7516614439823046,3.330803497958282,3.438468380073591,3.775404039683755,4.4026141756601564,4.38871264229273,5.396159069538463,5.583075202085619,5.534935634637255,5.847397104166849,5.856067886285528,6.120189183636535,6.699622389589883,6.9308647172288635,7.489352437673811,7.832015130512781,7.937864679532997,7.895770796966078,7.815526179099608,7.6659097582340845,7.601224688914726,7.8101889271807865,8.113980618980316,8.516730510006715,8.083590538422568,7.771963991506625,7.959105501764693,8.783505761299956,9.124153851934711,9.361400651542956,10.018148697194505,10.220349989549279
d5,1.1576945208296632,1.535622027158864,2.066698720496592,2.123256003577462,2.319597101700699,2.5310055237792186,2.5310055237792186,2.5226873254441298,2.3428792135967242,2.0504122105457236,2.1024413137917826,2.125456030499414,2.144003134728183,2.14525848064227,2.18623073569505,2.607467017641067,2.8626660200078176,3.3101188500788474,4.002794333144527,4.1794580491633955,4.47932490492125,4.755870270202606,4.669046477531464,5.6627743623327325,5.7279231994329605,5.847055422836643,6.188958126452973,6.19932546406994,6.587354622352173,7.256527358035286,7.449383609287004,8.067602581225565,8.374298363884582,8.534020744368526,8.581493375336146,8.404830119536172,8.150557396731152,8.109654597679215,8.409071246797334,8.7830807384855,9.169574192579727,8.571504243928317,8.413626373132026,8.928741644222459,9.783655763301974,10.107266863953647,10.200734430460415,11.022347176250143,11.220199793703847
d6,1.2475626388345769,1.536521345118092,2.3693543959602428,2.3924749288951364,2.611677907597965,2.8203962889085505,2.8175485741684647,2.8106280794257543,2.6550411003883547,2.4120658762665226,2.493528992706737,2.554595482394308,2.554259329470366,2.549153018667321,2.6156003168742603,2.8366981471564365,3.354971955347615,3.916328707493508,4.717397604841043,4.9280743941121905,5.184022892752507,5.263210296793207,4.993210450373421,6.168967489793163,6.4319729293042105,6.628513930855721,7.0287168266899185,7.051894944430812,7.428446350431073,8.133894991754872,8.316036539649717,8.833117727908231,9.103247044688658,9.291768957728403,9.366364490140269,9.025972743071225,8.63609018418979,8.560346160466034,8.799330115263984,9.152514889821017,9.548186785671302,9.055654691823673,8.921896997503683,9.401908238703506,10.278131128939407,10.563177314417478,10.656140913105174,11.431702070107903,11.729296814820032
d7,1.292147346916497,1.6475055091610527,2.784547412030383,2.8425615295788966,3.0413667272138376,3.228587280827826,3.228587280827826,3.2205331971526263,3.044937717010063,2.7849374137622833,2.941905214781027,3.0492316747117467,3.072502191038333,3.05567306012451,3.153861114757481,3.459403652616216,3.81817637948361,4.264877443037804,5.102234251227969,5.362056423655442,5.828616900999663,6.058105470677463,5.7148865140334735,6.802214086905998,7.030056414453112,7.1200592812053145,7.48567638961514,7.517996505980811,7.883058970768637,8.568967465694163,8.739462716093538,9.349288078750257,9.704460420939215,9.900880998493388,9.852126701475878,9.51215303352285,9.05576401324367,9.126273866578025,9.370335460044364,9.49442625558402,9.852453929173262,9.25118527999662,9.21601682005094,9.733106477042018,10.643778317143898,11.11330060650567,11.249978390334777,12.12921392922081,12.328752354010714
d8,1.4431592755841678,1.8504493753291547,3.0145844808487463,3.0655847724578598,3.296159316232344,3.5808141588646794,3.5808141588646794,3.5865947483169975,3.4159354732259297,3.1572188418300766,3.2826250814017577,3.414079198775364,3.446015316133721,3.4374764501100703,3.533468976075153,3.8260075364985733,4.1791484576400695,4.75435848192598,5.6628382890790085,5.948648171786221,6.240691769720869,6.620545724794562,6.256529510860886,7.141836514497411,7.297748203490381,7.507337628170259,7.889984881704079,7.964172440902925,8.413150670361052,9.200691010161599,9.364332957270998,9.798914637711958,10.235080335392231,10.432338347901606,10.442683962349836,10.190129039381587,9.724030457112294,9.612638418695568,9.435278710884647,9.815744773531518,10.118507877959559,9.664411050552676,9.588280610862174,10.01410779157276,11.416292530888526,11.692148346663542,11.835968254444591,12.639979683700629,13.014319804411038
d9,1.5324609296076743,2.1751703560885263,3.3282859548412542,3.4418685611246325,3.6677189829619277,3.8743490822171456,3.8738934639491305,3.8786927995770606,3.7123897239099843,3.498578191229331,3.6660220242172974,3.80940006989294,3.827702689289996,3.7906111717987496,3.882180932028582,4.223019368223788,4.59164836483922,5.146779498868639,6.108782947187757,6.655155396362121,6.885877695653712,6.859926185960905,6.865933073694281,8.023055727104282,8.248949021214255,8.491351992744285,8.979058914155372,8.988863801735217,9.329289566695525,9.946709579379537,10.233217715856167,10.909203343631628,11.148199836807052,11.318402127347678,11.398778108564338,10.941600284465503,10.280642762732777,9.870231893513692,10.089084476981778,10.449103429978612,10.735672432547698,10.273557606811504,10.162755139619454,10.80331406305606,11.800131549892143,12.433806670018118,12.548392776336403,13.348905113116807,13.728588722989961
d10,1.8822908555635376,2.5600932576007365,4.048768782654191,4.161058440822799,4.549034827031992,4.878576812814691,4.878576812814691,4.87485344800456,4.723966439542106,4.428952770710367,4.557511111862007,4.7004268391551305,4.76386445351311,4.8494590171629035,5.021465904247293,5.416752473885024,5.726770006325581,6.243229871461496,7.256940061915473,7.481051820875509,7.766147384594685,7.776242534631935,7.454473447901901,8.7744953587655,9.079995214576083,9.16922901122468,9.845494846927082,9.858684044037208,10.448054099087559,11.52369664651238,11.586726842166309,11.83934261378758,12.24064959621818,12.432788253571134,12.433924721495433,12.180903298617952,11.803304298873462,11.683061187042211,12.011801224328027,12.236241890694679,12.59609803336034,11.807195871878875,11.630134625289259,12.068078532987034,12.850404807685699,13.26849783305524,13.513875434788908,14.517696008321895,14.946663011603272
