Housing type,Heating system,Year,Value
Multi-family,Electricity-Heat pump water,2015,0.01
Multi-family,Electricity-Heat pump air,2015,0.04
Multi-family,Electricity-Performance boiler,2015,0.07
Multi-family,Heating-District heating,2015,0.10
Multi-family,Natural gas-Performance boiler,2015,0.78
Multi-family,Oil fuel-Performance boiler,2015,0.00
Single-family,Electricity-Heat pump water,2015,0.04
Single-family,Electricity-Performance boiler,2015,0.20
Single-family,Electricity-Heat pump air,2015,0.32
Single-family,Natural gas-Performance boiler,2015,0.35
Single-family,Oil fuel-Performance boiler,2015,0.00
Single-family,Wood fuel-Performance boiler,2015,0.08
Multi-family,Electricity-Heat pump water,2020,0.55
Multi-family,Electricity-Heat pump air,2020,0.20
Multi-family,Electricity-Performance boiler,2020,0.04
Multi-family,Heating-District heating,2020,0.11
Multi-family,Natural gas-Performance boiler,2020,0.10
Multi-family,Oil fuel-Performance boiler,2020,0.00
Single-family,Electricity-Heat pump water,2020,0.18
Single-family,Electricity-Performance boiler,2020,0.09
Single-family,Electricity-Heat pump air,2020,0.44
Single-family,Natural gas-Performance boiler,2020,0.07
Single-family,Oil fuel-Performance boiler,2020,0.00
Single-family,Wood fuel-Performance boiler,2020,0.22
Multi-family,Electricity-Heat pump water,2030,0.63
Multi-family,Electricity-Heat pump air,2030,0.23
Multi-family,Electricity-Performance boiler,2030,0.03
Multi-family,Heating-District heating,2030,0.12
Multi-family,Natural gas-Performance boiler,2030,0.00
Multi-family,Oil fuel-Performance boiler,2030,0.00
Single-family,Electricity-Heat pump water,2030,0.22
Single-family,Electricity-Performance boiler,2030,0.05
Single-family,Electricity-Heat pump air,2030,0.46
Single-family,Natural gas-Performance boiler,2030,0.05
Single-family,Oil fuel-Performance boiler,2030,0.00
Single-family,Wood fuel-Performance boiler,2030,0.21
Multi-family,Electricity-Heat pump water,2040,0.63
Multi-family,Electricity-Heat pump air,2040,0.23
Multi-family,Electricity-Performance boiler,2040,0.03
Multi-family,Heating-District heating,2040,0.12
Multi-family,Natural gas-Performance boiler,2040,0.00
Multi-family,Oil fuel-Performance boiler,2040,0.00
Single-family,Electricity-Heat pump water,2040,0.24
Single-family,Electricity-Performance boiler,2040,0.06
Single-family,Electricity-Heat pump air,2040,0.48
Single-family,Natural gas-Performance boiler,2040,0.00
Single-family,Oil fuel-Performance boiler,2040,0.00
Single-family,Wood fuel-Performance boiler,2040,0.22
